junon-chico,-31,1,0,1,1,6,3,1,1,1
diablo-toka, ,0,0,1,0,0,0,0,1,0
lana-santi,-6,3,2,0,22,22,86,-20,0,1
diego-sylvie,-3,1,0,0,2,2,5,2,0,-1
kato-carlos,0,0,0,0,0,0,0,0,0,0
diablo-sylvie,-2,1,0,0,1,9,24,-1,0,-1
lana-inti,-5,0,1,3,2,9,28,2,3,0
carlos-penny,0,0,0,1,1,1,1,-1,-1,0
popeye-anita,-31,5,3,0,10,18,24,2,0,5
anita-kato,0,0,0,4,4,0,1,4,0,0
carlos-manuel,-2,0,0,0,2,6,13,-2,0,0
toka-diego,0,1,0,0,0,3,0,0,0,-1
santi-inti,-4,1,0,0,4,8,31,4,0,-1
diablo-diego,-2,0,0,0,0,3,6,0,0,0
toka-pedra,-6,0,0,1,0,0,0,0,-1,0
lana-micoe,0,0,0,2,2,1,7,0,2,0
toka-santi, ,0,0,0,0,0,1,0,0,0
figo-sylvie,-1,0,0,0,0,0,1,0,0,0
chico-penny,-7,0,0,3,1,5,23,-1,-3,0
figo-santi,-8,0,0,4,0,2,0,0,0,0
diablo-lana,-7,1,0,0,10,11,28,4,0,1
toka-micoe, ,0,0,0,0,2,3,0,0,0
figo-inti,-34,0,0,3,0,15,15,0,-1,0
junon-manuel,-2,0,0,0,1,1,2,1,0,0
figo-pedra,-12,2,0,0,0,7,14,0,0,-2
diego-santi,-4,0,0,0,0,0,12,0,0,0
toka-inti, ,0,0,1,0,2,1,0,-1,0
anita-manuel,-5,2,1,0,0,4,16,0,0,-2
figo-micoe,-35,3,0,0,0,6,5,0,0,-1
junon-kato,0,0,0,2,0,0,1,0,2,0
lana-pedra,0,0,0,0,0,0,7,0,0,0
sylvie-inti,-1,3,0,0,0,2,12,0,0,1
anita-chico,-2,0,0,5,3,2,19,3,5,0
santi-sylvie,-1,0,0,0,8,2,22,8,0,0
diego-micoe,-22,0,0,3,0,2,11,0,3,0
micoe-santi,-7,0,0,1,1,2,11,-1,-1,0
anita-penny,-20,0,2,1,9,17,35,-1,1,0
