Chimp,Date,Pod,Engagement
Cindy,18/08/2104,outdoor,2
David,18/08/2104,outdoor,
Emma,18/08/2104,outdoor,1
Kilimi,18/08/2104,outdoor,1
Kindia,18/08/2104,outdoor,
Liberius,18/08/2104,outdoor,2
Louis,18/08/2104,outdoor,
Lucy,18/08/2104,outdoor,
Qafzeh,18/08/2104,outdoor,
Edith,18/08/2104,outdoor,
Eva,18/08/2104,outdoor,
Freek,18/08/2104,outdoor,0
Heleen,18/08/2104,outdoor,0
Lianne,18/08/2104,outdoor,0
Paul,18/08/2104,outdoor,0
Pearl,18/08/2104,outdoor,0
Rene,18/08/2104,outdoor,0
Sophie,18/08/2104,outdoor,0
Cindy,19/08/2014,outdoor,2
David,19/08/2014,outdoor,
Emma,19/08/2014,outdoor,2
Kilimi,19/08/2014,outdoor,2
Kindia,19/08/2014,outdoor,
Liberius,19/08/2014,outdoor,2
Louis,19/08/2014,outdoor,
Lucy,19/08/2014,outdoor,
Qafzeh,19/08/2014,outdoor,
Edith,19/08/2014,outdoor,
Eva,19/08/2014,outdoor,2
Freek,19/08/2014,outdoor,0
Heleen,19/08/2014,outdoor,0
Lianne,19/08/2014,outdoor,0
Paul,19/08/2014,outdoor,0
Pearl,19/08/2014,outdoor,0
Rene,19/08/2014,outdoor,0
Sophie,19/08/2014,outdoor,0
Cindy,21/08/2014,outdoor,2
David,21/08/2014,outdoor,
Emma,21/08/2014,outdoor,2
Kilimi,21/08/2014,outdoor,
Kindia,21/08/2014,outdoor,
Liberius,21/08/2014,outdoor,
Louis,21/08/2014,outdoor,
Lucy,21/08/2014,outdoor,
Qafzeh,21/08/2014,outdoor,
Edith,21/08/2014,outdoor,
Eva,21/08/2014,outdoor,
Freek,21/08/2014,outdoor,0
Heleen,21/08/2014,outdoor,0
Lianne,21/08/2014,outdoor,0
Paul,21/08/2014,outdoor,0
Pearl,21/08/2014,outdoor,0
Rene,21/08/2014,outdoor,0
Sophie,21/08/2014,outdoor,0
Cindy,22/08/2014,outdoor,2
David,22/08/2014,outdoor,
Emma,22/08/2014,outdoor,1
Kilimi,22/08/2014,outdoor,
Kindia,22/08/2014,outdoor,
Liberius,22/08/2014,outdoor,
Louis,22/08/2014,outdoor,
Lucy,22/08/2014,outdoor,
Qafzeh,22/08/2014,outdoor,
