Date,Qafzeh,Kindia,Liberius,Louis,David,Cindy,Kilimi,Emma ,Lucy,Rene,Frek,Paul,Lianne,Heleen,Pearl,Eva,Edith,Sophie
19-Feb-15,0:01:09,0:49:38,0:00:00,0:05:26,0:00:00,0:00:00,0:03:47,0:05:42,0:00:00,0:27:35,0:49:41,0:33:50,0:00:00,0:01:07,0:12:19,0:57:29,0:47:37,0:44:51
20-Feb-15,0:01:39,0:16:06,0:00:00,0:00:00,0:00:00,0:00:00,0:00:48,0:00:00,0:00:00,0:57:14,0:37:13,0:04:30,0:00:00,0:00:00,0:36:37,0:59:15,0:45:09,0:01:40
23-Feb-15,0:01:36,0:11:02,0:00:00,0:02:21,0:00:00,0:00:00,0:10:21,0:39:51,0:00:00,0:07:50,0:44:37,0:08:05,0:00:00,0:08:27,0:33:59,0:45:50,0:17:02,0:00:49
24-Feb-15,00:01:49,00:09:44,00:00:00,00:03:23,00:00:00,00:00:00,00:00:07,00:23:27,00:00:00,00:10:21,00:10:01,00:22:33,00:00:00,00:05:55,00:09:34,00:22:50,00:09:37,00:00:00
26-Feb-15,0:01:18,0:08:05,0:00:31,0:02:00,0:00:58,0:00:00,0:07:39,0:09:42,0:02:50,0:30:30,0:21:35,0:20:44,0:00:00,0:08:26,0:15:37,0:13:02,0:12:44,0:01:52
27-Feb-15,0:00:38,0:03:16,0:00:00,0:00:00,0:00:00,0:00:00,0:04:15,0:00:00,0:00:00,0:04:18,0:06:23,0:00:00,0:00:00,0:00:46,0:11:22,0:07:00,0:13:01,0:01:42
03-Mar-15,0:08:19,0:16:55,0:00:37,0:07:03,0:10:18,0:03:18,0:06:28,0:02:11,0:03:19,0:06:43,0:13:19,0:00:00,0:00:00,0:02:36,0:09:31,0:03:22,0:11:04,0:00:54
05-Mar-15,0:00:00,0:01:37,0:00:00,0:12:28,0:00:00,0:00:00,0:06:42,0:08:17,0:00:00,0:41:15,0:29:54,0:08:22,0:00:00,0:00:00,0:22:29,0:59:39,0:41:21,0:52:41
06-Mar-15,0:01:59,0:02:21,0:06:01,0:30:02,0:00:00,0:00:00,0:01:02,0:19:36,0:08:09,0:10:18,0:30:48,0:00:53,0:00:00,0:00:00,0:14:39,0:26:22,0:06:29,0:14:09
06-Apr-15,0:00:00,0:02:09,0:00:00,0:00:00,0:02:00,0:00:00,0:03:33,0:06:17,0:00:00,0:01:33,0:40:06,0:05:22,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:17
07-Apr-15,0:00:00,0:12:51,0:00:00,0:00:00,0:00:00,0:00:00,0:03:27,0:02:02,0:00:00,0:35:24,0:06:21,0:08:18,0:00:00,0:00:00,0:00:00,0:15:18,0:04:33,0:00:00
09-Apr-15,0:00:00,0:14:52,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:03:43,0:25:14,0:00:00,0:00:00,0:14:06,0:13:00,0:00:00,0:00:00,0:01:20
