"","chimp","stage","Accuracy","RT"
"1","Kilimi","AA1",0.444444444444444,6.72714814814815
"2","Emma","AA1",0.388429752066116,8.35553719008264
"3","Liberius","AA1",0.555555555555556,16.7370555555556
"4","Freek","AA1",0.727272727272727,4.73760606060606
"5","Edith","AA1",0.425438596491228,7.00247368421053
"6","Kilimi","AA1_0",0.526370217166494,7.33273319544984
"7","Emma","AA1_0",0.3125,25.0585
"8","Liberius","AA1_0",0.533734939759036,6.51935180722892
"9","Freek","AA1_0",0.573671066714235,5.28888333927934
"10","Edith","AA1_0",0.431818181818182,8.33550649350649
"11","Eva","AA1_0",0.43558282208589,15.0346748466258
"12","Rene","AA1_0",0.5,12.8365
"13","Kilimi","AA2",0.588461538461538,8.30858076923077
"14","Freek","AA2",0.655430711610487,6.14064794007491
"15","Edith","AA2",0.48,7.12808
"16","Emma","ABp1_0",0.5,8.28543333333333
"17","Louis","ABp1_0",0.685714285714286,6.32815238095238
"18","Pearl","ABp1_0",0.672380952380952,6.37904952380952
"19","Cindy","ABp1_0",0.648648648648649,6.93586486486486
"20","Kindia","ABp1_0",0.666666666666667,26.7396666666667
"21","Paul","ABp2",0.898648648648649,9.8279527027027
"22","Eva","ABp2",0.786259541984733,13.2708091603053
"23","Louis","ABp2",1,6.17827083333333
"24","Pearl","ABp2",1,4.25979166666667
"25","David","ABp2",1,33.9203333333333
"26","Emma","ABp2_0",0.780487804878049,8.27092682926829
"27","Louis","ABp2_0",1,9.037875
"28","Pearl","ABp2_0",0.941176470588235,11.3426666666667
"29","Cindy","ABp2_0",0.902255639097744,5.23457894736842
"30","Lucy","ABp2_0",0.521739130434783,72.0095217391304
"31","Paul","ABp3",0.565217391304348,6.00927173913044
"32","Eva","ABp3",0.478947368421053,7.72355789473684
"33","Louis","ABp3",0.538071065989848,4.91167005076142
"34","Pearl","ABp3",0.565789473684211,10.6924868421053
"35","Cindy","ABp3",0.426666666666667,8.10924
"36","Pearl","ABp3_0",0.720238095238095,7.85798214285714
"37","Cindy","ABp3_0",0.6,3.84963333333333
"38","Paul","ABp4",0.49604743083004,5.73172529644269
"39","Eva","ABp4",0.56,6.05632666666667
"40","Louis","ABp4",0.501901140684411,6.47413688212928
"41","Pearl","ABp4",0.629711751662971,9.39662971175166
"42","Cindy","ABp4",0.640243902439024,7.47123780487805
"43","Kilimi","test",0.696765498652291,7.82912129380054
"44","Freek","test",0.743801652892562,5.51285950413223
"45","Paul","test",0.734848484848485,6.19215909090909
"46","Eva","test",0.622478386167147,7.07986455331412
"47","Pearl","test",0.69047619047619,7.88760714285714
"48","Cindy","test",0.661764705882353,6.60824673202614
