Chimp,accuracy,sampleRT,choiceRT
Cindy,0.567741935,7.579794644,8.687965778
David,0.5,76.35499656,77.82612014
Edith,0.532352941,3.864581506,3.087434363
Emma,0.483870968,12.71128412,6.761719946
Eva,0.660714286,24.86050916,22.47731975
Freek,0.52553542,2.786949582,2.281742886
Kilimi,0.49867374,5.377036993,4.018054599
Kindia,0.333333333,3.293646971,16.38066069
Liberius,0.558441558,5.111026852,6.392958189
Louis,0.595238095,12.20512509,18.81620736
Lucy,0,68.36566997,184.2146928
Paul,0.8,14.19588881,38.05293593
Pearl,0.672727273,12.08505639,10.43393155
Qafzeh,0.545454545,26.21096793,21.60583921
