"","Chimp","unz.Dom","unz.Ext","unz.Con","unz.Agr","unz.Neu","unz.Opn","Dominance","Extraversion","Conscientiousness","Agreeableness","Neuroticism","Openness"
"1","Cindy",3.483333333,3.45,6.045454545,5,3.95,6.0625,-0.671161825,-1.518693046,1.622165347,1.375664754,-0.018960446,1.850493859
"2","David",4.266666667,4.275,5.25,4.625,3.4,3.875,0.084635792,-0.058232095,0.351564705,0.727624347,-0.514302089,-0.543627573
"3","Edith",4.1,4.3,4.590909091,3.333333333,4.6,4.625,-0.076172212,-0.013975703,-0.701218685,-1.504514833,0.566443314,0.277214061
"4","Emma",5.4,4.675,5.727272727,5.208333333,2.55,4.875,1.178130215,0.649870184,1.11392509,1.735687202,-1.279830082,0.550827939
"5","Eva",5.733333333,4.2,5.227272727,3.666666667,3.1,5.375,1.499746221,-0.191001273,0.315261829,-0.928478915,-0.784488439,1.098055695
"6","Freek",4.533333333,4.75,5.363636364,3.75,4.3,4.25,0.341928597,0.782639361,0.533079083,-0.784469936,0.296256963,-0.133206756
"7","Heleen",2.833333333,3.65,3.909090909,3.416666667,5.6,3.125,-1.298313039,-1.164641907,-1.790304952,-1.360505853,1.467064483,-1.364469208
"8","Kilimi",3.733333333,3.8,5.659090909,4.125,2.95,4.5625,-0.42994982,-0.899103552,1.005016464,-0.136429529,-0.919581614,0.208810591
"9","Kindia",4.85,4.45,4.5,3.916666667,3.55,4.3125,0.647463803,0.251562652,-0.846430188,-0.496451977,-0.379208913,-0.064803287
"10","Lianne",1.8,3.2,4.727272727,4.416666667,6.6,2.375,-2.29532266,-1.961256971,-0.483401433,0.367601899,2.367685652,-2.185310842
"11","Liberius",4.216666667,5.15,4.636363636,3.458333333,4.05,5.3125,0.036393391,1.490741641,-0.628612935,-1.288501364,0.071101671,1.029652225
"12","Louis",5.25,4.8,4.931818182,4.541666667,3,4.8125,1.033403012,0.871152146,-0.156675552,0.583615368,-0.874550556,0.482424469
"13","Lucy",4.183333333,3.525,4.954545455,3.875,3.85,4.125,0.004231789,-1.385923869,-0.120372676,-0.568456467,-0.109022563,-0.270013695
"14","Paul",5.433333333,4.6,5.636363636,4,2.8,4.125,1.210291815,0.517101007,0.968713588,-0.352442998,-1.05467479,-0.270013695
"15","Pearl",4.666666667,4.9,6,4.583333333,3.1,4.625,0.470575,1.048177716,1.549559597,0.655619857,-0.784488439,0.277214061
"16","Qafzeh",4.766666667,4.35,3.863636364,3.708333333,3.8,3.1875,0.567059802,0.074537082,-1.862910702,-0.856474426,-0.154053621,-1.296065738
"17","Rene",4,5.15,4.772727273,4.916666667,5,5.625,-0.172657014,1.490741641,-0.410795681,1.231655775,0.926691782,1.371669573
"18","Sophie",2.4,4.4,4.590909091,4.5,5.8,3.5,-1.716413847,0.163049867,-0.701218685,0.511610878,1.647188717,-0.954048391
