,Group.1,chimpname,Chimp,Sire,Dam,Sex,DOB,DOPR,Age,Rater,Rater_ID,Ratersex,yearsknown,monthsknown,Zoo,Zooname,Fear,Dom,Pers,Caut,Stbl,Aut,Stngy,Jeals,Reckl,Soc,Tim,Symp,Play,Sol,Actv,Help,Buly,Aggr,Manp,Gntl,Affc,Exct,Impl,Inqs,Subm,Depd,Irri,Pred,Decs,Depr,Sens,Defn,Intll,Prot,Invt,Clmy,Errc,Frdy,Lazy,Dsor,Unem,Imit,Indp,Thotl,Anx,Conv,Unper,Vuln,Cool,Curious,Dist,Indv,Innov,Quit,DOSWBR,Moods,Social,Goals,Bechimp,HPQ,Based.in.information.up.to,X
1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Bram,NA,NA,NA,NA,1,NA,NA,24,NA,NA,1,7.5,0,NA,NA,3,4,2.5,5.5,3,1.5,4.5,3,1.5,3,4,2,1.5,6,2,4,4.5,3.5,3,2.5,2.5,1.5,2,2,3.5,2.5,5,3.5,3.5,3,4,2.5,5.5,2.5,1.5,1.5,3.5,3.5,4,3,5,2,5.5,1,2.5,5.5,3,2.5,4,3,1.5,3,2,4,NA,4,3.5,3.5,3,54,NA,NA
3,Cindy,NA,NA,NA,NA,0,NA,NA,46,NA,NA,0,4,1,34,NA,5.5,2.25,4,4.5,4,2.5,3.25,1.5,1.75,2.75,4.25,4.5,3.25,6.5,3.5,5.5,1,1.75,3,5.75,2.75,3.75,2.25,6.5,5.5,5.5,2.75,5.5,5.75,2.5,5,2,6.5,4.25,6.25,1.75,2.25,4.25,3.75,2,3.5,3.5,4.5,1.75,3.5,5,1.75,5.25,3,5.5,2.5,4.75,6,1.5,NA,4.75,3.5,4,4,54,NA,NA
4,Claus,NA,NA,NA,NA,1,NA,NA,17,NA,NA,1,7.5,0,NA,NA,1.5,6.5,4.5,2,3.5,2.5,5.5,6,5,4,2,2,4,4,5,3.5,5.5,5.5,5,2,2,3,3.5,4,2,2,4.5,4,5,2,2,5.5,3.5,2,4.5,4,3.5,3,3,3,3,2.5,6,3.5,3,2,3,3,4,4,3.5,2.5,2.5,2,NA,5,4,6,5.5,54,NA,NA
5,David,NA,NA,NA,NA,1,NA,NA,35,NA,NA,0,4,1,34,NA,3.25,4.5,4,4,4.25,2.25,3.5,2.75,2,3.75,3,3.5,2.75,3,3.25,4.75,3.25,4.25,4.5,5.25,4,3,2,4.25,3.75,4.5,2.5,5,4.25,2.75,4.75,2.75,5,5,3.5,1.75,2,4.5,2.75,2,3.5,3.5,3.75,1.5,3,4.5,2.75,3.25,4.5,4,4,2.5,3.75,3.75,NA,3.75,4.5,4.5,3.25,54,NA,NA
6,Edith,NA,NA,NA,NA,0,NA,NA,14,NA,NA,1,7.5,0,NA,NA,3,3,4.5,3.5,3.5,3.5,4.5,5.5,3,4,4,3.5,3.5,3,4,4,3.5,4.5,3.5,2.5,3.5,4,3.5,5,2.5,4,4,3.5,3.5,3,3.5,2.5,4,3.5,4.5,2,3,3.5,2.5,2,2.5,4,3,2,3.5,3,4,3.5,2.5,4.5,4,3,4.5,3,NA,5.5,5,5,4,54,NA,NA
7,Emma,NA,NA,NA,NA,0,NA,NA,28,NA,NA,0,4,1,34,NA,2,6.25,5.25,3,6,1,3,2.75,2.75,5.25,1.5,5.25,3.25,2,3.75,5,3.5,4.25,5.25,4.5,5.5,2.25,2.25,5,1.25,3.25,2,5,5.75,1.5,6,2.25,6.25,6.5,4.75,2,1.5,5,2.75,1.25,3.5,2.25,6,1.25,1.75,4,1.75,3.5,5,5,2.25,4,4.75,3,NA,5.25,4.75,5.75,5.75,54,NA,NA
8,Eva,NA,NA,NA,NA,0,NA,NA,29,NA,NA,1,7.5,0,NA,NA,1.5,6,5.5,2.5,5.5,2,6,4.5,3.5,5,1.5,4,3,3,5,4.5,4,4,4.5,3,3,3.5,3,5.5,2,2,3.5,4,5.5,2,3.5,4,5.5,5,5.5,1.5,1.5,3.5,3,1.5,3.5,2,6,2,1.5,2,2,2,5,5.5,2,3.5,5,2,NA,6.5,6.5,6.5,5.5,54,NA,NA
9,Freek,NA,NA,NA,NA,1,NA,NA,16,NA,NA,1,7.5,0,NA,NA,2,3.5,5,4,3.5,3.5,2.5,2.5,2.5,4,2,4,5,2.5,4.5,4,3.5,2.5,5,4,4,4.5,2.5,4.5,3,3.5,3,4,4,2,4,3.5,4.5,3,4.5,2.5,2.5,4.5,2.5,2.5,3,3.5,4,2,3,3.5,3,2.5,4,4.5,3,3,3.5,2,NA,6,6.5,5.5,5,54,NA,NA
10,Heleen,NA,NA,NA,NA,0,NA,NA,19,NA,NA,1,7.5,0,NA,NA,5,2.5,2.5,5,2.5,6,3.5,4.5,2,4,5,3.5,3.5,4.5,3,2.5,3.5,4,2,4,3,5,4,2.5,4.5,5,4.5,2.5,1.5,5.5,3.5,3,3,2.5,3,2,5,4,2.5,4.5,2.5,3,3.5,2,6,4.5,5,5,2,4,5,3.5,3,5.5,NA,3,3.5,3,2,54,NA,NA
