Date (should appear 13-Mar-12),Time start (should be 24hr e.g. 14:34),Time end (should be 24hr e.g. 15:34),Duration of obs period (min),location,your name,Data collected  - enter one of these 4 options (FO; FO+SCAN; FO+SCAN+GROOM; FO+SCAN+GROOM+AGG),Scan time,Qafzeh,Kindia,Liberius,David,Louis,Cindy,Lucy,Emma,Lyndsey,Kilimi,Rene,Paul,Frek,Lianne,Heleen,Pearl,Eva,Edith,Sofie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jul-12,14:39,15:06,27,Pod 1,Carla,FO+SCAN+Groom+Agg,0min,OOS,CL,OOS,OOS,OOS,OOS,OOS,OOS,TR,OOS,OOS,RE,OOS,EA,OOS,OOS,OOS,OOS,OOS,KD LY PA LI,LI,KD,1m,,Y,Fozen bananna,Y,"14:45, 14:49","Mouth, hand","RE, DA, KD, ED, CI, PA","KD<1m, RE, DA, CI  at approx 3m, ED, PA at approx 6m",N,,LI,Y,D,N,,N,,N,,,N,,,,
27-Jul-12,14:39,15:06,27,Pod 1,Carla,FO+SCAN+Groom+Agg,10min,OOS,OOS,G,OOS,RE,OOS,OOS,OOS,R,RE,OOS,RE,OOS,EA,OOS,OOS,OOS,EA,OOS,LB LO LY KL PA LI ED,LO,PA,<1m,,N,,N,,,,,,,LO,N,,N,,N,,N,,,N,,,,
27-Jul-12,14:39,15:06,27,Pod 1,Carla,FO+SCAN+Groom+Agg,20min,OOS,RE,RE,OOS,RE,OOS,OOS,OOS,OOS,RE,OOS,SG,RE,EA,OOS,OOS,OOS,RE,OOS,KD LB LO KL PA FK LI ED,LB,FK,2m,,N,,N,,,,,,,LB,N,,N,,Y,RE,N,,,Y,3,,,
27-Jul-12,14:39,15:06,27,Pod 1,Carla,FO+SCAN+Groom+Agg,30min,OOS,OOS,OOS,OOS,RE,SG,OOS,OOS,OOS,G,OOS,RE,RE,R,OOS,OOS,OOS,RE,OOS,LO CI KL PA FK LI ED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Qafzeh,Kindia,Liberius,David,Louis,Cindy,Lucy,Emma,Lyndsey,Kilimi,Rene,Paul,Frek,Lianne,Heleen,Pearl,Eva,Edith,Sofie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Jul-12,12:09,12:37,28,Thearte Window,Carla,FO+SCAN+Groom+Agg,0min,RE,CL,RE,RE,OOS,OOS,RE,RE,RE,OOS,OOS,OOS,OOS,CL,OOS,OOS,TR,OOS,RE,Q KD LB DA LU EM LY LI EV SO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Jul-12,12:09,12:37,28,Thearte Window,Carla,FO+SCAN+Groom+Agg,10min,RE,G,RE,R,SG,OOS,RE,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,SG,OOS,OOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Jul-12,12:09,12:37,28,Thearte Window,Carla,FO+SCAN+Groom+Agg,20min,OOS,RE,RE,CL,G,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,R,OOS,OOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Jul-12,12:09,12:37,28,Thearte Window,Carla,FO+SCAN+Groom+Agg,30min,TR,OOS,TR,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,RE,OOS,OOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
