Sub	Date	Trial	Samples	Accuracy	RiskChoices	Risk	NumRiskChoices	RT	RtRisk	PressedSample	CorSampPort	CorrectPort	PortPressed	PBSCoverall	SamplesTime	GoPressTime	ChoiceShown	ChoiceTime	NumChoices	ex2	ex3	SampleToRespRT	Pellet	Tokens	RiskBias	RiskSide	PicturePressed	CorrectPicture	SampleDuration	SimHintDuration	Delay	Chamber	TrialsPerSession	Criterion	TO	ITI	RiskOrder	Randomrisk?	LowHighPBSC	LowvsMedPBSC	MedvsHighPBSC	LoMedvsHighPBSC	LovsMedHighPBSC
ebbi	2010.07.02	1	3	1	threerisk	High	3	2.433	0.617	<n/a>	0	11	11	0.783	1.117	2.55	8.583	11.017	9	bl	bl	6.183333	2	6	1	Right	108	108	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	2	1	1	threerisk	High	3	0.817	1.1	<n/a>	0	8	8	0.783	18.883	20.65	27.15	27.967	5	bl	bl	5	2	6	1.97	Right	1728	1728	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	3	2	0	threerisk	Low	3	1.917	0.9	1	1	6	7	0.783	35.75	37.467	43.75	45.667	4	bl	bl	5.883333	0	6	0.9109	Left	632	676	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	4	1	1	threerisk	High	3	0.683	1.567	<n/a>	0	4	4	0.783	48.6	49.067	56.033	56.717	7	bl	bl	5.35	2	7	1.883573	Right	2036	2036	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	5	1	1	threerisk	High	3	2.3	1.967	<n/a>	0	7	7	0.783	64.5	66.9	74.3	76.6	10	bl	bl	7.383333	2	6	2.827066	Right	1430	1430	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	6	2	1	threerisk	High	3	4.683	2.417	<n/a>	0	11	11	0.783	84.4	86.017	93.9	98.583	11	bl	bl	10.25	2	6	3.742254	Right	1352	1352	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	7	1	1	threerisk	High	3	1.4	2.85	<n/a>	0	9	9	0.783	106.367	108.167	116.417	117.817	7	bl	bl	7.35	2	6	4.629986	Right	1659	1659	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	8	2	1	threerisk	High	3	1.367	3.267	<n/a>	0	6	6	0.783	125.583	127.233	135.933	137.3	10	bl	bl	7.766667	2	6	5.491087	Right	1031	1031	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	9	3	1	threerisk	High	3	1.133	3.783	<n/a>	2	6	6	0.783	145.083	147.4	156.533	157.667	4	bl	bl	7.966667	2	6	6.326354	Right	2154	2154	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	10	3	1	threerisk	High	3	0.717	4.133	<n/a>	2	6	6	0.783	165.583	167.667	177.233	177.95	11	bl	bl	7.983333	2	6	7.136563	Right	1936	1936	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	11	2	1	threerisk	High	3	1.65	4.567	<n/a>	1	10	10	0.783	185.733	188.133	198.133	199.783	10	bl	bl	9.333333	2	6	7.922467	Right	672	672	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	12	2	1	threerisk	High	3	1.717	4.917	<n/a>	0	5	5	0.783	207.6	210.75	221.083	222.8	10	bl	bl	9.75	2	6	8.684793	Right	94	94	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	13	1	1	threerisk	High	3	0.833	5.3	<n/a>	0	5	5	0.783	230.567	232.5	243.167	244	3	bl	bl	9.2	2	6	9.424249	Right	12	12	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	14	2	1	threerisk	High	3	0.6	5.717	<n/a>	1	5	5	0.783	251.8	253.667	264.817	265.417	10	bl	bl	9.45	2	6	10.14152	Right	1134	1134	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	15	2	1	threerisk	High	3	1.667	5.967	<n/a>	1	11	11	0.783	273.2	275.017	286.4	288.067	11	bl	bl	10.75	2	6	10.83728	Right	2104	2104	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	16	1	1	threerisk	High	3	2.3	6.333	<n/a>	0	10	10	0.783	295.85	298.167	309.917	312.217	8	bl	bl	11.75	2	6	11.51216	Right	1707	1707	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	17	1	1	threerisk	High	3	1.183	6.75	<n/a>	0	13	13	0.783	320	322.2	334.4	335.583	10	bl	bl	11.08333	2	6	12.16679	Right	260	260	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	18	1	1	threerisk	High	3	0.583	6.983	<n/a>	0	4	4	0.783	343.35	345.267	357.617	358.2	3	bl	bl	10.61667	2	6	12.80179	Right	29	29	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	19	3	1	threerisk	High	3	0.833	7.383	<n/a>	1	8	8	0.783	366.017	367.867	380.65	381.483	6	bl	bl	11.3	2	6	13.41774	Right	2190	2190	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	20	1	1	threerisk	High	3	0.7	7.633	<n/a>	0	4	4	0.783	389.25	391.133	404.133	404.833	3	bl	bl	11.38333	2	6	14.0152	Right	1845	1845	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	21	3	0	threerisk	Medium	3	1.8	6.45	1	1	8	4	0.783	412.65	414.45	426.3	428.1	7	bl	bl	11.33333	0	6	13.59475	Middle	1047	1030	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	22	2	0	threerisk	Low	3	0.783	1.417	1	0	10	5	0.783	431.267	431.767	438.6	439.383	9	bl	bl	5.3	0	5	12.1869	Left	493	605	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	23	3	1	threerisk	Medium	3	0.567	1.7	<n/a>	1	5	5	0.783	442.383	443.367	450.483	451.05	11	bl	bl	5.366667	0	6	11.8213	Middle	2434	2434	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	24	1	1	threerisk	Low	3	0.617	1.5	<n/a>	0	5	5	0.783	455.45	456.117	462.983	463.6	4	bl	bl	5.183333	0	9	10.46666	Left	259	259	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	25	1	1	threerisk	Low	3	0.633	2.05	<n/a>	0	9	9	0.783	466.25	466.817	474.283	474.917	9	bl	bl	5.8	2	10	9.152659	Left	1125	1125	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	26	2	1	threerisk	Medium	3	1.3	1.567	<n/a>	1	7	7	0.783	479.767	481.7	488.7	490	10	bl	bl	6	0	6	8.878079	Middle	2493	2493	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	27	1	0	threerisk	Medium	3	0.717	2.1	0	0	6	5	0.783	494.4	494.983	502.467	503.183	6	bl	bl	5.883333	0	9	8.611737	Middle	2020	2382	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	28	3	0	threerisk	Low	3	0.85	2.683	0	2	7	4	0.783	505.967	508.55	516.65	517.5	9	bl	bl	6.65	0	8	7.353385	Left	127	396	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	29	2	0	threerisk	Low	3	1.317	2.633	1	1	6	7	0.783	520.267	520.833	528.833	530.15	5	bl	bl	7	0	9	6.132783	Left	832	1039	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	30	2	0	threerisk	Low	3	1.133	3.133	0	1	5	7	0.783	532.8	533.383	541.883	543.017	4	bl	bl	7.316667	2	10	4.9488	Left	980	1870	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	31	2	1	threerisk	High	3	1.333	6.033	<n/a>	1	10	10	0.783	547.95	550.183	561.65	562.983	10	bl	bl	10.5	2	6	5.800336	Right	1408	1408	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	32	2	1	threerisk	High	3	1.367	6.383	<n/a>	1	6	6	0.783	570.783	572.75	584.517	585.883	5	bl	bl	10.81667	2	6	6.626326	Right	2253	2253	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	33	2	1	threerisk	Medium	3	1.917	2.317	<n/a>	0	7	7	0.783	593.683	595.483	603.2	605.117	7	bl	bl	7.333333	0	6	6.427536	Middle	1338	1338	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	34	3	0	threerisk	Low	3	1.967	3.4	0	2	7	4	0.783	609.783	610.217	618.983	620.95	5	bl	bl	8.416667	0	9	5.23471	Left	200	563	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	35	3	0	threerisk	Low	3	0.75	3.833	1	1	5	7	0.783	624.05	624.65	634.017	634.767	6	bl	bl	7.8	2	10	4.077668	Left	354	2250	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	36	1	1	threerisk	High	3	0.85	6.133	<n/a>	0	8	8	0.783	639.6	641.183	652.733	653.583	8	bl	bl	10.08333	2	6	4.955338	Right	1911	1911	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	37	1	1	threerisk	High	3	0.733	6.433	<n/a>	0	4	4	0.783	661.367	663.117	674.9	675.633	2	bl	bl	10.2	2	6	5.806678	Right	909	909	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	38	2	1	threerisk	High	3	0.817	6.8	<n/a>	0	4	4	0.783	683.417	685.2	697.367	698.183	4	bl	bl	10.66667	2	6	6.632478	Right	671	671	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	39	1	1	threerisk	High	3	3.3	7.117	<n/a>	0	8	8	0.783	705.983	707.517	720.05	723.35	9	bl	bl	13.53333	2	6	7.433503	Right	2445	2445	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	40	2	1	threerisk	High	3	1.083	7.45	<n/a>	0	12	12	0.783	731.15	732.95	745.783	746.867	9	bl	bl	11.61667	2	6	8.210498	Right	527	527	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	41	3	1	threerisk	Low	3	2.217	3.65	<n/a>	1	7	7	0.783	754.667	756.55	765.6	767.817	11	bl	bl	8.966667	0	6	6.964183	Left	1603	1603	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	42	1	1	threerisk	Medium	3	0.983	2.667	<n/a>	0	4	4	0.783	770.75	771.267	779.35	780.333	8	bl	bl	6.75	0	7	6.755258	Middle	1943	1943	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	43	2	1	threerisk	Low	3	0.6	3.883	<n/a>	1	5	5	0.783	784.467	785.15	794.417	795.017	6	bl	bl	7.566667	2	10	5.5526	Left	1556	1556	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	44	1	1	threerisk	Medium	3	0.783	2.7	<n/a>	0	6	6	0.783	799.867	801.617	809.7	810.483	4	bl	bl	6.566667	0	6	5.386022	Middle	34	34	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	45	1	1	threerisk	Medium	3	0.9	3.1	<n/a>	0	6	6	0.783	814.883	815.5	823.967	824.867	4	bl	bl	7.066667	2	9	5.224442	Middle	171	171	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	46	3	0	threerisk	Low	3	0.617	4.033	1	2	4	5	0.783	831.2	832.85	842.25	842.867	4	bl	bl	7.7	0	6	4.067708	Left	395	273	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	47	2	1	threerisk	Medium	3	0.633	3.933	<n/a>	1	5	5	0.783	845.8	846.567	855.85	856.483	3	bl	bl	7.6	0	7	3.945677	Middle	2035	2035	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	48	1	0	threerisk	Low	3	1	4.25	0	0	7	6	0.783	860.617	861.183	870.817	871.817	5	bl	bl	8.333333	2	10	2.827307	Left	1587	96	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	49	1	1	threerisk	Medium	3	1.25	3.783	<n/a>	0	10	10	0.783	876.667	878.367	887.55	888.8	8	bl	bl	8.133333	0	6	2.742488	Middle	1820	1820	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	50	1	1	threerisk	Medium	3	0.717	4.367	<n/a>	0	4	4	0.783	893.2	893.833	903.55	904.267	3	bl	bl	8.133333	2	9	2.660213	Middle	1578	1578	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	51	2	0	threerisk	Medium	3	1.267	4.617	1	1	7	4	0.783	910.6	912.267	922.333	923.6	11	bl	bl	9.033333	0	6	2.580407	Middle	100	2079	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	52	3	0	threerisk	Low	3	1.483	4.717	1	1	11	7	0.783	926.617	927.933	938.05	939.533	8	bl	bl	9.283333	0	5	1.502994	Left	3	1287	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	53	1	1	threerisk	Medium	3	0.783	4.867	<n/a>	0	8	8	0.783	942.533	942.633	952.95	953.733	10	bl	bl	8.8	0	6	1.457904	Middle	1281	1281	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	54	2	0	threerisk	Low	3	0.65	4.733	0	1	10	6	0.783	958.133	958.733	968.883	969.533	7	bl	bl	8.483333	0	9	0.4141673	Left	268	2353	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	55	2	1	threerisk	Low	3	1.1	5.267	<n/a>	1	8	8	0.783	972.2	972.833	983.483	984.583	5	bl	bl	9.45	2	10	-0.5982577	Left	1416	1416	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	56	3	1	threerisk	Medium	3	3.4	5.167	<n/a>	2	11	11	0.783	989.45	991.15	1001.7	1005.1	8	bl	bl	11.63333	0	6	-0.5803099	Middle	750	750	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	57	1	0	threerisk	Low	3	0.717	5.233	0	0	10	4	0.783	1009.5	1012.017	1022.633	1023.35	7	bl	bl	9.033333	0	9	-1.562901	Left	1778	1520	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	58	3	0	threerisk	Low	3	0.85	6.117	1	1	6	4	0.783	1026.033	1026.95	1038.433	1039.283	4	bl	bl	10.01667	2	10	-2.516014	Left	1320	2162	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	59	2	1	threerisk	High	3	2.25	4.75	<n/a>	0	9	9	0.783	1044.15	1046.05	1056.2	1058.45	8	bl	bl	10.08333	2	6	-1.440533	Right	1201	1201	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.07.02	60	2	1	threerisk	High	3	0.6	5.033	<n/a>	0	5	5	0.783	1066.25	1067.983	1078.383	1078.983	3	bl	bl	8.7	2	6	-0.3973172	Right	399	399	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.783	<n/a>	<n/a>	0.564	0.674
ebbi	2010.06.28	1	3	0	threerisk	Low	3	0.783	4.267	0	2	5	12	0.446	1.633	5.383	15.117	15.9	12	bl	bl	8.2	0	6	-1	Left	1648	1731	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.446	<n/a>	<n/a>	0.231	0.492
ebbi	2010.06.28	2	2	0	threerisk	Low	3	0.867	1.05	0	1	11	6	0.446	19.6	22.967	29.45	30.317	9	bl	bl	5.033333	0	7	-1.97	Left	1824	2405	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.446	<n/a>	<n/a>	0.231	0.492
