Sub	Date	Trial	Samples	Accuracy	RiskChoices	Risk	NumRiskChoices	RT	RtRisk	PressedSample	CorSampPort	CorrectPort	PortPressed	PBSCoverall	SamplesTime	GoPressTime	ChoiceShown	ChoiceTime	NumChoices	ex2	ex3	SampleToRespRT	Pellet	Tokens	RiskBias	RiskSide	PicturePressed	CorrectPicture	SampleDuration	SimHintDuration	Delay	Chamber	TrialsPerSession	Criterion	TO	ITI	RiskOrder	Randomrisk?	LowHighPBSC	LowvsMedPBSC	MedvsHighPBSC	LoMedvsHighPBSC	LovsMedHighPBSC	
ebbi	2009.03.05	1	3	1	threerisk	High	3	0.917	0.617	<n/a>	0	5	5	0.649	1.133	5.8	10.517	11.433	8	bl	bl	3.05	2	6	1	Right	2096	2096	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk	0.649	<n/a>	<n/a>	0.614	0.409
ebbi	2009.03.05	2	3	1	threerisk	High	3	1	1.083	<n/a>	0	9	9	0.649	19.35	21.283	26.1	27.1	8	bl	bl	3.233333	2	6	1.97	Right	2393	2393	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk	0.649	<n/a>	<n/a>	0.614	0.409
ebbi	2009.03.05	3	3	1	threerisk	High	3	0.883	1.617	<n/a>	0	8	8	0.649	35.183	37.617	42.433	43.317	8	bl	bl	3.116667	2	6	2.9109	Right	1530	1530	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk	0.649	<n/a>	<n/a>	0.614	0.409
ebbi	2009.03.05	4	3	0	threerisk	Low	3	0.717	0.6	1	0	9	5	0.649	51.9	53.85	58.683	59.4	8	bl	bl	2.95	0	6	1.823573	Left	1714	1144	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk	0.649	<n/a>	<n/a>	0.614	0.409
ebbi	2009.03.05	5	3	1	threerisk	High	3	0.917	2.233	<n/a>	0	8	8	0.649	63.05	67.1	71.917	72.833	8	bl	bl	3.15	2	7	2.768866	Right	1990	1990	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk	0.649	<n/a>	<n/a>	0.614	0.409
ebbi	2009.03.05	6	3	0	threerisk	High	3	0.917	2.5	1	2	11	5	0.649	82.1	84.683	89.5	90.417	8	bl	bl	3.15	0	6	3.6858	Right	2409	0918	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk	0.649	<n/a>	<n/a>	0.614	0.409
ebbi	2009.03.05	7	3	0	threerisk	Low	3	0.967	1.1	1	1	4	9	0.649	99.4	100.067	104.867	105.833	8	bl	bl	3.183333	0	2	2.575226	Left	0783	2016	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk	0.649	<n/a>	<n/a>	0.614	0.409
ebbi	2009.03.05	8	3	0	threerisk	Medium	3	0.883	0.75	0	1	9	10	0.649	110.267	112.3	117.067	117.95	8	bl	bl	3.066667	0	3	2.497969	Middle	1727	0219	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk	0.649	<n/a>	<n/a>	0.614	0.409
ebbi	2009.03.05	9	3	0	threerisk	Low	3	0.717	1.55	0	1	6	11	0.649	120.883	121.517	126.317	127.033	8	bl	bl	2.916667	0	3	1.42303	Left	2003	0354	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk	0.649	<n/a>	<n/a>	0.614	0.409
ebbi	2009.03.05	10	3	1	threerisk	High	3	1.15	3.05	<n/a>	2	10	10	0.649	131.867	133.733	138.517	139.667	8	bl	bl	3.35	0	4	2.380339	Right	1048	1048	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk	0.649	<n/a>	<n/a>	0.614	0.409
ebbi	2009.03.05	11	3	0	threerisk	Low	3	0.933	1.9	0	1	5	9	0.649	148.5	149.15	153.967	154.9	8	bl	bl	3.166667	0	8	1.308929	Left	0737	1331	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk	0.649	<n/a>	<n/a>	0.614	0.409
ebbi	2009.03.05	12	3	0	threerisk	Low	3	0.733	2.367	1	0	6	9	0.649	159.683	160.417	165.233	165.967	8	bl	bl	2.966667	2	9	0.2696611	Left	0344	0567	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk	0.649	<n/a>	<n/a>	0.614	0.409
ebbi	2009.03.05	13	3	1	threerisk	High	3	1.633	3.183	<n/a>	2	5	5	0.649	172.95	174.65	179.417	181.05	8	bl	bl	3.816667	2	6	1.261571	Right	1219	1219	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk	0.649	<n/a>	<n/a>	0.614	0.409
ebbi	2009.03.05	14	3	1	threerisk	High	3	0.767	3.633	<n/a>	2	4	4	0.649	191.233	193.167	197.983	198.75	8	bl	bl	2.983333	2	6	2.223724	Right	1152	1152	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk	0.649	<n/a>	<n/a>	0.614	0.409
ebbi	2009.03.05	15	3	1	threerisk	Medium	3	0.767	3.4	<n/a>	2	6	6	0.649	209.333	211.7	216.467	217.233	8	bl	bl	2.983333	0	6	2.157012	Middle	1817	1817	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk	0.649	<n/a>	<n/a>	0.614	0.409
ebbi	2009.03.05	16	3	0	threerisk	Low	3	0.683	2.6	0	1	6	8	0.649	224.467	225.117	229.85	230.533	8	bl	bl	2.866667	0	8	1.092302	Left	0313	0736	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk	0.649	<n/a>	<n/a>	0.614	0.409
ebbi	2009.03.05	17	3	0	threerisk	Medium	3	0.633	2.183	1	2	6	8	0.649	236.05	236.967	241.85	242.483	8	bl	bl	2.933333	0	9	1.059533	Middle	1348	1400	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk	0.649	<n/a>	<n/a>	0.614	0.409
ebbi	2009.03.05	18	3	0	threerisk	Low	3	0.767	2.967	0	1	6	9	0.649	246.883	247.5	252.267	253.033	8	bl	bl	2.933333	2	9	0.0277469	Left	1896	2301	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk	0.649	<n/a>	<n/a>	0.614	0.409
ebbi	2009.03.05	19	3	1	threerisk	High	3	0.667	3.567	<n/a>	0	5	5	0.649	260.617	262.083	266.867	267.533	8	bl	bl	2.9	2	6	1.026915	Right	2057	2057	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk	0.649	<n/a>	<n/a>	0.614	0.409
ebbi	2009.03.05	20	3	1	threerisk	High	3	1.383	3.917	<n/a>	1	8	8	0.649	278.083	280.117	284.9	286.283	8	bl	bl	3.566667	2	6	1.996107	Right	1266	1266	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk	0.649	<n/a>	<n/a>	0.614	0.409
ebbi	2009.03.05	21	3	1	threerisk	Medium	3	0.9	2.55	<n/a>	1	4	4	0.649	297.183	299.183	303.967	304.867	8	bl	bl	3.1	0	6	1.936224	Middle	1628	1628	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk	0.649	<n/a>	<n/a>	0.614	0.409
ebbi	2009.03.05	22	3	1	threerisk	Low	3	0.767	3.867	<n/a>	1	4	4	0.649	311.267	311.883	316.667	317.433	8	bl	bl	2.966667	0	8	0.8781372	Left	1094	1094	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk	0.649	<n/a>	<n/a>	0.614	0.409
ebbi	2009.03.05	23	3	0	threerisk	Low	3	0.667	3.533	1	0	6	8	0.649	324.467	325.217	328.967	329.633	8	bl	bl	1.85	2	9	-0.1482069	Left	0811	0199	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk	0.649	<n/a>	<n/a>	0.614	0.409
