Sub	Date	Trial	Samples	Accuracy	RiskChoices	Risk	NumRiskChoices	RT	RtRisk	PressedSample	CorSampPort	CorrectPort	PortPressed	PBSCoverall	SamplesTime	GoPressTime	ChoiceShown	ChoiceTime	NumChoices	ex2	ex3	SampleToRespRT	Pellet	Tokens	RiskBias	RiskSide	PicturePressed	CorrectPicture	SampleDuration	SimHintDuration	Delay	Chamber	TrialsPerSession	Criterion	TO	ITI	RiskOrder	Randomrisk?
ebbi	2009.02.18	1	3	0	threerisk	Low	3	0.95	0.5	0	1	4	6	0.562	1.133	25.567	30.3	31.25	8	bl	bl	3.1	0	6	0	Left	1304	426	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	2	3	1	threerisk	High	3	1.117	0.5	<n/a>	2	10	10	0.562	35.1	35.867	40.633	41.75	8	bl	bl	3.3	2	7	0	Right	684	684	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	3	3	0	threerisk	Low	3	0.883	0.45	0	0	7	9	0.562	49.317	51.817	56.6	57.483	8	bl	bl	3.083333	0	6	0	Left	2161	1265	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	4	3	1	threerisk	High	3	1.233	0.5	<n/a>	2	5	5	0.562	61.05	61.65	65.433	66.667	8	bl	bl	2.45	2	7	0	Right	2178	2178	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	5	3	1	threerisk	High	3	0.667	0.433	<n/a>	0	4	4	0.562	74.217	76.017	80.783	81.45	8	bl	bl	2.866667	2	6	0	Right	1277	1277	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	6	3	0	threerisk	Low	3	0.583	0.933	0	1	4	6	0.562	88.917	90.583	95.367	95.95	8	bl	bl	2.783333	0	6	0	Left	2101	1692	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	7	3	0	threerisk	Low	3	0.583	0.517	0	2	7	10	0.562	99.95	100.533	105.333	105.917	8	bl	bl	2.8	0	7	0	Left	2043	128	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	8	3	0	threerisk	Low	3	0.617	0.483	1	2	7	6	0.562	109.417	109.583	114.35	114.967	8	bl	bl	2.8	0	8	0	Left	1964	1096	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	9	3	1	threerisk	Low	3	0.667	0.533	<n/a>	1	10	10	0.562	118.35	118.85	123.65	124.317	8	bl	bl	2.883333	2	9	0	Left	793	793	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	10	3	1	threerisk	High	3	0.8	0.417	<n/a>	0	6	6	0.562	129.467	134.433	139.233	140.033	8	bl	bl	3.033333	2	6	0	Right	1982	1982	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	11	3	1	threerisk	High	3	0.683	0.45	<n/a>	2	8	8	0.562	147.383	150	154.783	155.467	8	bl	bl	2.9	2	6	0	Right	552	552	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	12	3	0	threerisk	High	3	0.817	0.483	1	2	6	4	0.562	162.867	164.467	169.217	170.033	8	bl	bl	2.983333	0	6	0	Right	2104	136	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	13	3	1	threerisk	Low	3	0.65	0.517	<n/a>	0	10	10	0.562	177	177.667	182.433	183.083	8	bl	bl	2.85	0	2	0	Left	2378	2378	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	14	3	1	threerisk	Low	3	0.983	0.467	<n/a>	0	10	10	0.562	186.967	187.7	192.433	193.417	8	bl	bl	3.15	0	3	0	Left	2505	2505	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	15	3	0	threerisk	Low	3	0.6	0.517	0	1	5	9	0.562	197.167	197.733	202.517	203.117	8	bl	bl	2.816667	0	4	0	Left	850	2417	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	16	3	0	threerisk	High	3	1.067	0.467	1	0	4	8	0.562	207.267	207.917	212.7	213.767	8	bl	bl	3.283333	0	5	0	Right	1718	1725	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	17	3	0	threerisk	Low	3	2.1	0.5	0	0	11	9	0.562	221.017	221.717	226.5	228.6	8	bl	bl	4.3	0	1	0	Left	709	1550	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	18	3	0	threerisk	Low	3	0.583	0.5	0	0	9	10	0.562	232.583	233.383	238.133	238.717	8	bl	bl	2.75	0	2	0	Left	731	2466	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
