Sub	Date	Trial	Samples	Accuracy	RiskChoices	Risk	NumRiskChoices	RT	RtRisk	PressedSample	CorSampPort	CorrectPort	PortPressed	PBSCoverall	SamplesTime	GoPressTime	ChoiceShown	ChoiceTime	NumChoices	ex2	ex3	SampleToRespRT	Pellet	Tokens	RiskBias	RiskSide	PicturePressed	CorrectPicture	SampleDuration	SimHintDuration	Delay	Chamber	TrialsPerSession	Criterion	TO	ITI	RiskOrder	Randomrisk?	LowHighPBSC	LowvsMedPBSC	MedvsHighPBSC	LoMedvsHighPBSC	LovsMedHighPBSC
ebbi	2010.07.23	1	3	0	threerisk	Low	3	0.617	1.083	0	2	11	9	0.809	1.417	6.583	13.083	13.7	9	bl	bl	4.8	0	6	-1	Left	1553	2049	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	2	1	1	threerisk	High	3	0.65	0.783	<n/a>	0	5	5	0.809	17.117	17.75	23.917	24.567	6	bl	bl	4.516667	2	7	0.03	Right	2048	2048	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	3	3	1	threerisk	Low	3	2.283	1.1	<n/a>	2	11	11	0.809	32.383	33.917	40.45	42.733	9	bl	bl	6.5	0	6	-0.9709	Left	506	506	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	4	3	0	threerisk	Low	3	1.733	1.65	1	1	10	4	0.809	45.683	46.5	53.533	55.267	7	bl	bl	6.466667	0	7	-1.941773	Left	1294	68	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	5	3	1	threerisk	High	3	0.7	1.033	<n/a>	0	4	4	0.809	58.117	59.1	65.5	66.2	6	bl	bl	4.783333	2	8	-0.8835198	Right	656	656	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	6	3	1	threerisk	Low	3	1.467	2.067	<n/a>	1	13	13	0.809	74.017	75.683	83.183	84.65	11	bl	bl	6.666667	0	6	-1.857014	Left	904	904	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	7	2	1	threerisk	High	3	1.35	1.533	<n/a>	1	5	5	0.809	87.583	88.333	95.233	96.583	5	bl	bl	5.933333	2	7	-0.8013038	Right	2357	2357	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	8	2	1	threerisk	High	3	0.7	2.1	<n/a>	1	8	8	0.809	104.383	106.533	114	114.7	6	bl	bl	5.866667	2	6	0.2227353	Right	1593	1593	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	9	1	1	threerisk	High	3	1.017	2.433	<n/a>	0	6	6	0.809	122.483	124.867	132.667	133.683	3	bl	bl	6.5	2	6	1.216053	Right	2093	2093	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	10	2	0	threerisk	Low	3	0.6	2.367	0	1	11	5	0.809	141.467	145.333	153.133	153.733	10	bl	bl	6.083333	0	6	0.1795717	Left	735	1365	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
