Sub	Date	Trial	Samples	Accuracy	RiskChoices	Risk	NumRiskChoices	RT	RtRisk	PressedSample	CorSampPort	CorrectPort	PortPressed	PBSCoverall	SamplesTime	GoPressTime	ChoiceShown	ChoiceTime	NumChoices	ex2	ex3	SampleToRespRT	Pellet	Tokens	RiskBias	RiskSide	PicturePressed	CorrectPicture	SampleDuration	SimHintDuration	Delay	Chamber	TrialsPerSession	Criterion	TO	ITI	RiskOrder	Randomrisk?	LowHighPBSC	LowvsMedPBSC	MedvsHighPBSC	LoMedvsHighPBSC	LovsMedHighPBSC	
ebbi	2010.06.16	1	3	0	threerisk	Low	3	0.933	0.7	0	1	4	5	0.669	1.133	1.817	7.167	8.1	4	bl	bl	3.966667	0	6	-1	Left	2149	1224	2.25	1.25	2.25	Chamber 2	60	11	4	1	Retrospective	Notrandomrisk	0.669	<n/a>	<n/a>	0.553	0.582
ebbi	2010.06.16	2	2	1	threerisk	High	3	1.117	0.5	<n/a>	0	4	4	0.669	12	13.017	18.4	19.517	7	bl	bl	4.2	2	7	0.03	Right	0529	0529	2.25	1.25	2.25	Chamber 2	60	11	4	1	Retrospective	Notrandomrisk	0.669	<n/a>	<n/a>	0.553	0.582
ebbi	2010.06.16	3	2	0	threerisk	Low	3	0.817	1.083	0	1	7	9	0.669	27.85	32.983	38.367	39.183	9	bl	bl	3.9	0	6	-0.9709	Left	1609	1656	2.25	1.25	2.25	Chamber 2	60	11	4	1	Retrospective	Notrandomrisk	0.669	<n/a>	<n/a>	0.553	0.582
ebbi	2010.06.16	4	1	1	threerisk	High	3	1.35	1.033	<n/a>	0	4	4	0.669	43.233	44.217	49.533	50.883	2	bl	bl	4.366667	2	7	0.058227	Right	2433	2433	2.25	1.25	2.25	Chamber 2	60	11	4	1	Retrospective	Notrandomrisk	0.669	<n/a>	<n/a>	0.553	0.582
ebbi	2010.06.16	5	3	1	threerisk	High	3	1.667	2.333	<n/a>	0	15	15	0.669	59.733	61.417	66.833	68.5	12	bl	bl	4.766667	2	6	1.05648	Right	2245	2245	2.25	1.25	2.25	Chamber 2	60	11	4	1	Retrospective	Notrandomrisk	0.669	<n/a>	<n/a>	0.553	0.582
ebbi	2010.06.16	6	3	1	threerisk	Low	3	2.333	10.8	<n/a>	0	7	7	0.669	78.633	81.183	86.55	88.883	7	bl	bl	5.383333	0	6	0.0247858	Left	2014	2014	2.25	1.25	2.25	Chamber 2	60	11	4	1	Retrospective	Notrandomrisk	0.669	<n/a>	<n/a>	0.553	0.582
ebbi	2010.06.16	7	3	0	threerisk	Low	3	1.983	3.233	0	0	6	12	0.669	102.617	104.217	109.6	111.583	10	bl	bl	5.066667	0	7	-0.9759578	Left	0777	0944	2.25	1.25	2.25	Chamber 2	60	11	4	1	Retrospective	Notrandomrisk	0.669	<n/a>	<n/a>	0.553	0.582
ebbi	2010.06.16	8	2	1	threerisk	Low	3	0.767	2.8	<n/a>	1	7	7	0.669	117.633	118.283	123.667	124.433	8	bl	bl	3.833333	0	8	-1.946679	Left	1809	1809	2.25	1.25	2.25	Chamber 2	60	11	4	1	Retrospective	Notrandomrisk	0.669	<n/a>	<n/a>	0.553	0.582
ebbi	2010.06.16	9	3	0	threerisk	Low	3	0.65	3.283	0	1	7	6	0.669	129.983	130.55	135.9	136.55	4	bl	bl	3.7	0	9	-2.888279	Left	0852	1343	2.25	1.25	2.25	Chamber 2	60	11	4	1	Retrospective	Notrandomrisk	0.669	<n/a>	<n/a>	0.553	0.582
ebbi	2010.06.16	10	1	1	threerisk	Medium	3	1.133	0.683	<n/a>	0	4	4	0.669	142.483	144.35	149.75	150.883	9	bl	bl	4.216667	2	10	-2.80163	Middle	1034	1034	2.25	1.25	2.25	Chamber 2	60	11	4	1	Retrospective	Notrandomrisk	0.669	<n/a>	<n/a>	0.553	0.582
ebbi	2010.06.16	11	1	1	threerisk	High	3	0.717	2.55	<n/a>	0	5	5	0.669	158.083	159.6	164.95	165.667	4	bl	bl	3.766667	2	6	-1.717581	Right	1974	1974	2.25	1.25	2.25	Chamber 2	60	11	4	1	Retrospective	Notrandomrisk	0.669	<n/a>	<n/a>	0.553	0.582
ebbi	2010.06.16	12	3	0	threerisk	Low	3	1	3.133	1	2	7	5	0.669	176.033	177.5	182.85	183.85	7	bl	bl	4.033333	0	6	-2.666054	Left	2225	0949	2.25	1.25	2.25	Chamber 2	60	11	4	1	Retrospective	Notrandomrisk	0.669	<n/a>	<n/a>	0.553	0.582
ebbi	2010.06.16	13	1	1	threerisk	High	3	0.933	2.283	<n/a>	0	6	6	0.669	189.9	190.45	195.8	196.733	5	bl	bl	3.983333	2	7	-1.586072	Right	1873	1873	2.25	1.25	2.25	Chamber 2	60	11	4	1	Retrospective	Notrandomrisk	0.669	<n/a>	<n/a>	0.553	0.582
ebbi	2010.06.16	14	2	1	threerisk	Low	3	1.633	3.483	<n/a>	1	9	9	0.669	206.817	208.417	213.85	215.483	11	bl	bl	4.75	0	6	-2.53849	Left	0463	0463	2.25	1.25	2.25	Chamber 2	60	11	4	1	Retrospective	Notrandomrisk	0.669	<n/a>	<n/a>	0.553	0.582
ebbi	2010.06.16	15	2	1	threerisk	High	3	0.733	2.617	<n/a>	0	4	4	0.669	221.9	223.3	228.633	229.367	3	bl	bl	3.766667	2	7	-1.462335	Right	0002	0002	2.25	1.25	2.25	Chamber 2	60	11	4	1	Retrospective	Notrandomrisk	0.669	<n/a>	<n/a>	0.553	0.582
