Sub	Date	Trial	Accuracy	Risk
ebbi	2011.02.17	1	1	High
ebbi	2011.02.17	2	1	High
ebbi	2011.02.17	3	1	High
ebbi	2011.02.17	4	1	High
ebbi	2011.02.17	5	1	High
ebbi	2011.02.17	6	1	High
ebbi	2011.02.17	7	1	High
ebbi	2011.02.17	8	1	High
ebbi	2011.02.17	9	1	High
ebbi	2011.02.17	10	1	High
ebbi	2011.02.17	11	1	High
ebbi	2011.02.17	12	1	High
ebbi	2011.02.17	13	0	Low
ebbi	2011.02.17	14	1	High
ebbi	2011.02.17	15	1	High
ebbi	2011.02.17	16	1	High
ebbi	2011.02.17	17	1	High
ebbi	2011.02.17	18	1	High
ebbi	2011.02.17	19	1	High
ebbi	2011.02.17	20	1	High
ebbi	2011.02.17	21	0	Medium
ebbi	2011.02.17	22	0	Low
ebbi	2011.02.17	23	1	High
ebbi	2011.02.17	24	1	High
ebbi	2011.02.17	25	1	High
ebbi	2011.02.17	26	1	High
ebbi	2011.02.17	27	1	High
ebbi	2011.02.17	28	1	Medium
ebbi	2011.02.17	29	0	Low
ebbi	2011.02.17	30	0	Low
ebbi	2011.02.17	31	1	High
ebbi	2011.02.17	32	0	High
ebbi	2011.02.17	33	0	Low
ebbi	2011.02.17	34	0	Low
ebbi	2011.02.17	35	1	Medium
ebbi	2011.02.17	36	1	Medium
ebbi	2011.02.17	37	0	Low
ebbi	2011.02.17	38	1	Low
ebbi	2011.02.17	39	1	High
ebbi	2011.02.17	40	1	High
ebbi	2011.02.17	41	1	High
ebbi	2011.02.17	42	1	High
ebbi	2011.02.17	43	1	High
ebbi	2011.02.17	44	1	High
ebbi	2011.02.17	45	1	Medium
ebbi	2011.02.17	46	0	Low
ebbi	2011.02.17	47	0	Medium
ebbi	2011.02.17	48	0	Medium
ebbi	2011.02.17	49	0	Low
ebbi	2011.02.17	50	1	Medium
ebbi	2011.02.17	51	1	High
ebbi	2011.02.17	52	1	High
ebbi	2011.02.17	53	1	High
ebbi	2011.02.17	54	1	High
ebbi	2011.02.17	55	1	Medium
ebbi	2011.02.17	56	0	Low
ebbi	2011.02.17	57	0	Low
ebbi	2011.02.17	58	1	Medium
ebbi	2011.02.17	59	0	Low
ebbi	2011.02.17	60	0	Medium
ebbi	2011.02.23	1	1	High
ebbi	2011.02.23	2	1	High
ebbi	2011.02.23	3	1	High
ebbi	2011.02.23	4	1	High
ebbi	2011.02.23	5	1	High
ebbi	2011.02.23	6	1	High
ebbi	2011.02.23	7	1	High
ebbi	2011.02.23	8	1	High
ebbi	2011.02.23	9	1	High
ebbi	2011.02.23	10	1	High
ebbi	2011.02.23	11	1	High
ebbi	2011.02.23	12	1	High
ebbi	2011.02.23	13	1	High
ebbi	2011.02.23	14	0	High
ebbi	2011.02.23	15	0	Low
ebbi	2011.02.23	16	1	Medium
ebbi	2011.02.23	17	1	Medium
ebbi	2011.02.23	18	0	Low
ebbi	2011.02.23	19	1	Medium
ebbi	2011.02.23	20	1	High
ebbi	2011.02.23	21	1	High
ebbi	2011.02.23	22	1	Medium
ebbi	2011.02.23	23	1	Low
ebbi	2011.02.23	24	0	Low
ebbi	2011.02.23	25	1	High
ebbi	2011.02.23	26	1	High
ebbi	2011.02.23	27	0	Low
ebbi	2011.02.23	28	0	Medium
ebbi	2011.02.23	29	1	Low
ebbi	2011.02.23	30	1	Medium
ebbi	2011.02.23	31	0	Low
ebbi	2011.02.23	32	1	High
ebbi	2011.02.23	33	1	High
ebbi	2011.02.23	34	1	High
ebbi	2011.02.23	35	1	High
ebbi	2011.02.23	36	0	High
ebbi	2011.02.23	37	0	Low
ebbi	2011.02.23	38	0	Low
ebbi	2011.02.23	39	1	Medium
ebbi	2011.02.23	40	0	Medium
ebbi	2011.02.23	41	0	Low
ebbi	2011.02.23	42	1	Medium
ebbi	2011.02.23	43	0	Low
ebbi	2011.02.23	44	0	Low
ebbi	2011.02.23	45	1	High
ebbi	2011.02.23	46	1	High
ebbi	2011.02.23	47	0	Medium
ebbi	2011.02.23	48	0	Medium
ebbi	2011.02.23	49	0	Low
ebbi	2011.02.23	50	0	High
ebbi	2011.02.23	51	0	Low
ebbi	2011.02.23	52	0	Medium
ebbi	2011.02.23	53	0	Medium
ebbi	2011.02.23	54	1	Low
ebbi	2011.02.23	55	1	High
ebbi	2011.02.23	56	1	Medium
ebbi	2011.02.23	57	0	Low
ebbi	2011.02.23	58	0	Low
ebbi	2011.02.23	59	1	High
ebbi	2011.02.23	60	0	Medium
ebbi	2011.02.16	1	1	High
ebbi	2011.02.16	2	1	High
ebbi	2011.02.16	3	1	High
ebbi	2011.02.16	4	1	High
ebbi	2011.02.16	5	1	High
ebbi	2011.02.16	6	1	High
ebbi	2011.02.16	7	1	High
ebbi	2011.02.16	8	1	High
ebbi	2011.02.16	9	1	High
ebbi	2011.02.16	10	1	High
ebbi	2011.02.16	11	0	Low
ebbi	2011.02.16	12	1	Medium
ebbi	2011.02.16	13	0	Low
ebbi	2011.02.16	14	1	High
ebbi	2011.02.16	15	1	High
ebbi	2011.02.16	16	1	Medium
ebbi	2011.02.16	17	0	Low
ebbi	2011.02.16	18	1	Low
ebbi	2011.02.16	19	1	High
ebbi	2011.02.16	20	1	High
ebbi	2011.02.16	21	1	High
ebbi	2011.02.16	22	1	High
ebbi	2011.02.16	23	0	Low
ebbi	2011.02.16	24	0	Low
ebbi	2011.02.16	25	0	Medium
ebbi	2011.02.16	26	1	Medium
ebbi	2011.02.16	27	1	Low
ebbi	2011.02.16	28	1	High
ebbi	2011.02.16	29	1	High
ebbi	2011.02.16	30	1	High
ebbi	2011.02.16	31	1	High
ebbi	2011.02.16	32	1	High
ebbi	2011.02.16	33	1	High
ebbi	2011.02.16	34	1	Medium
ebbi	2011.02.16	35	1	Medium
ebbi	2011.02.16	36	1	High
ebbi	2011.02.16	37	1	High
ebbi	2011.02.16	38	1	High
ebbi	2011.02.16	39	0	Low
ebbi	2011.02.16	40	1	Low
ebbi	2011.02.16	41	1	Low
ebbi	2011.02.16	42	1	Medium
ebbi	2011.02.16	43	1	High
ebbi	2011.02.16	44	1	Medium
ebbi	2011.02.16	45	1	Medium
ebbi	2011.02.16	46	1	High
ebbi	2011.02.16	47	1	High
ebbi	2011.02.16	48	1	High
ebbi	2011.02.16	49	1	High
ebbi	2011.02.16	50	0	Low
ebbi	2011.02.16	51	1	Low
ebbi	2011.02.16	52	0	Medium
ebbi	2011.02.16	53	0	Low
ebbi	2011.02.16	54	0	Medium
ebbi	2011.02.16	55	1	Low
ebbi	2011.02.16	56	1	Medium
ebbi	2011.02.16	57	1	High
ebbi	2011.02.16	58	1	Medium
ebbi	2011.02.16	59	0	Low
ebbi	2011.02.16	60	1	Low
ebbi	2011.02.11	1	1	High
ebbi	2011.02.11	2	1	High
ebbi	2011.02.11	3	1	High
ebbi	2011.02.11	4	1	High
ebbi	2011.02.11	5	1	High
ebbi	2011.02.11	6	1	High
ebbi	2011.02.11	7	1	High
ebbi	2011.02.11	8	1	High
ebbi	2011.02.11	9	1	High
ebbi	2011.02.11	10	0	High
ebbi	2011.02.11	11	0	Low
ebbi	2011.02.11	12	1	High
ebbi	2011.02.11	13	1	Medium
ebbi	2011.02.11	14	0	Low
ebbi	2011.02.11	15	1	High
ebbi	2011.02.11	16	1	High
ebbi	2011.02.11	17	1	High
ebbi	2011.02.11	18	1	High
ebbi	2011.02.11	19	1	High
ebbi	2011.02.11	20	1	High
ebbi	2011.02.11	21	1	Low
ebbi	2011.02.11	22	0	Low
ebbi	2011.02.11	23	0	Medium
ebbi	2011.02.11	24	1	High
ebbi	2011.02.11	25	1	High
ebbi	2011.02.11	26	1	High
ebbi	2011.02.11	27	0	High
ebbi	2011.02.11	28	0	Low
ebbi	2011.02.11	29	0	Low
ebbi	2011.02.11	30	1	Medium
ebbi	2011.02.11	31	1	Medium
ebbi	2011.02.11	32	0	Low
ebbi	2011.02.11	33	1	Low
ebbi	2011.02.11	34	1	High
ebbi	2011.02.11	35	1	High
ebbi	2011.02.11	36	1	High
ebbi	2011.02.11	37	1	High
ebbi	2011.02.11	38	1	Medium
ebbi	2011.02.11	39	1	Medium
ebbi	2011.02.11	40	1	High
ebbi	2011.02.11	41	1	Low
ebbi	2011.02.11	42	0	Low
ebbi	2011.02.11	43	0	Low
ebbi	2011.02.11	44	0	Low
ebbi	2011.02.11	45	0	Low
ebbi	2011.02.11	46	1	High
ebbi	2011.02.11	47	1	High
ebbi	2011.02.11	48	0	High
ebbi	2011.02.11	49	0	Low
ebbi	2011.02.11	50	0	Medium
ebbi	2011.02.11	51	0	Low
ebbi	2011.02.11	52	0	Medium
ebbi	2011.02.11	53	0	Low
ebbi	2011.02.11	54	1	Low
ebbi	2011.02.11	55	0	Medium
ebbi	2011.02.11	56	0	Medium
ebbi	2011.02.11	57	0	Medium
ebbi	2011.02.11	58	0	Low
ebbi	2011.02.11	59	1	Medium
ebbi	2011.02.11	60	0	Medium
ebbi	2011.02.18	1	1	High
ebbi	2011.02.18	2	1	High
ebbi	2011.02.18	3	1	High
ebbi	2011.02.18	4	1	High
ebbi	2011.02.18	5	1	High
ebbi	2011.02.18	6	1	High
ebbi	2011.02.18	7	1	High
ebbi	2011.02.18	8	1	Low
ebbi	2011.02.18	9	0	Low
ebbi	2011.02.18	10	1	Medium
ebbi	2011.02.18	11	1	High
ebbi	2011.02.18	12	1	High
ebbi	2011.02.18	13	1	High
ebbi	2011.02.18	14	1	High
ebbi	2011.02.18	15	1	Medium
ebbi	2011.02.18	16	1	Low
ebbi	2011.02.18	17	0	Low
ebbi	2011.02.18	18	0	Medium
ebbi	2011.02.18	19	1	High
ebbi	2011.02.18	20	1	Medium
ebbi	2011.02.18	21	1	High
ebbi	2011.02.18	22	1	High
ebbi	2011.02.18	23	1	High
ebbi	2011.02.18	24	1	High
ebbi	2011.02.18	25	1	High
ebbi	2011.02.18	26	1	High
ebbi	2011.02.18	27	1	High
ebbi	2011.02.18	28	0	Low
ebbi	2011.02.18	29	0	Low
ebbi	2011.02.18	30	1	High
ebbi	2011.02.18	31	1	High
ebbi	2011.02.18	32	1	High
ebbi	2011.02.18	33	1	Medium
ebbi	2011.02.18	34	1	Medium
ebbi	2011.02.18	35	0	Low
ebbi	2011.02.18	36	1	High
ebbi	2011.02.18	37	1	High
ebbi	2011.02.18	38	1	High
ebbi	2011.02.18	39	1	High
ebbi	2011.02.18	40	1	High
ebbi	2011.02.18	41	1	Medium
ebbi	2011.02.18	42	1	Medium
ebbi	2011.02.18	43	1	Medium
ebbi	2011.02.18	44	0	Low
ebbi	2011.02.18	45	0	Low
ebbi	2011.02.18	46	1	Medium
ebbi	2011.02.18	47	1	Low
ebbi	2011.02.18	48	0	Low
ebbi	2011.02.18	49	1	High
ebbi	2011.02.18	50	1	High
ebbi	2011.02.18	51	1	Low
ebbi	2011.02.18	52	0	Medium
ebbi	2011.02.18	53	0	Medium
ebbi	2011.02.18	54	0	Low
ebbi	2011.02.18	55	0	Medium
ebbi	2011.02.18	56	0	Low
ebbi	2011.02.18	57	0	Low
ebbi	2011.02.18	58	1	Low
ebbi	2011.02.18	59	1	Low
ebbi	2011.02.18	60	1	Medium
ebbi	2011.02.15	1	1	High
ebbi	2011.02.15	2	1	High
ebbi	2011.02.15	3	1	High
ebbi	2011.02.15	4	1	High
ebbi	2011.02.15	5	1	High
ebbi	2011.02.15	6	1	High
ebbi	2011.02.15	7	1	High
ebbi	2011.02.15	8	1	High
ebbi	2011.02.15	9	1	High
ebbi	2011.02.15	10	1	High
ebbi	2011.02.15	11	1	High
ebbi	2011.02.15	12	1	High
ebbi	2011.02.15	13	1	High
ebbi	2011.02.15	14	1	High
ebbi	2011.02.15	15	1	High
