X1..I.like.to.have.the.final.s,X2..I.spend.a.lot.of.time.visi,X3..I.often.want.to.impress.ot,X4..It.is.not.important.to.me.,X5..I.try.to.be.in.the.company,X6..I.feel.sad.if.nobody.recog,X7..Encounters.with.other.peop,X8..I.like.buying.things.which,X9..I.would.like.to.be.an.exec,X10..I.have.little.interest.in,X11..I.would.be.very.worried.i,X12..I.want.to.be.able.to.shar,X13..Getting.close.to.someone.,X14..I.feel.confident.when.dir,X15..Often.I.would.rather.be.a,X16..The.idea.of.not.having.an,X17..I.start.worrying.instantl,X18..I.try.to.control.others.r,X19..I.am.happy.to.do.people.f,X20..I.like.to.fully.immerse.m,X21..I.am.willing.to.use.aggre,X22..I.am.more.likely.to.help.,X23..Others.know.it.is.better.,X24..I.do.not.enjoy.having.aut,X25..Iƒ..m.very.keen.on.an.und,X26..It.is.important.to.me.to.,X27..I.go.out.of.my.way.to.mee,X28..I.enjoy.having.control.ov,X29..I.often.try.to.get.my.own,X30..I.do.not.have.a.forceful.,X31..It.is.better.to.do.good.t,X32..I.like.it.when.others.loo,X33..I.become.scared.when.I.lo,X34..The.opportunity.to.exerci,X35..Continuously.improve.myse,X36..To.be.in.a.leadership.pos,X37..Continuously.engage.in.ne,X38..Give.sympathy.and.love.to,X39..Opportunities.to.influenc,X40..Projects.that.challenge.m,X41..Personally.producing.work,X42..Be.respected.and.admired.,X43..Opportunities.to.take.on.,X44..High.social.status.,X45..Have.a.close..intimate.re,X46..Be.able.to.exert.influenc,X47..Engage.in.a.lot.of.activi,X48..To.be.well.known.to.a.lot,X49..A.position.with.prestige.,X50..Maintaining.high.standard,X51..Be.held.in.high.esteem.by,X52..Not.being.separated.from.,Age.in.years.,subject,gender
5,2,3,2,2,2,5,1,4,4,2,4,4,5,2,4,3,4,5,5,4,2,3,4,2,2,2,4,4,4,6,3,3,1,3,1,3,3,2,5,1,1,1,1,4,2,1,1,1,1,1,2,30,1,male
2,2,1,3,3,2,5,1,4,2,5,6,1,6,4,3,1,4,6,6,1,1,1,3,4,5,2,3,1,1,6,3,2,1,6,2,4,4,4,4,4,4,3,2,6,3,3,2,2,6,6,5,26,2,male
3,2,4,6,2,5,4,4,1,1,4,5,3,2,2,5,4,3,5,5,1,5,2,2,4,4,3,3,3,1,6,5,4,1,4,1,3,5,1,4,4,4,4,3,3,1,2,2,2,3,3,3,35,3,female
4,4,3,5,4,3,5,4,4,4,4,4,2,3,5,4,4,3,5,5,2,3,3,4,3,4,2,4,2,2,6,5,4,3,4,3,3,5,3,3,3,3,2,3,6,2,4,4,3,3,3,6,30,4,male
4,5,3,5,4,4,6,1,5,5,2,6,4,4,5,2,2,2,6,6,1,5,1,6,1,2,4,4,2,6,5,5,1,4,6,5,5,6,6,6,5,5,5,2,2,4,5,5,5,6,6,3,64,5,male
5,4,5,2,3,3,4,5,4,5,5,3,3,5,3,4,3,3,5,4,5,5,2,5,4,3,5,4,2,4,4,3,5,3,3,5,4,4,2,3,3,5,4,3,3,5,4,4,3,4,5,4,40,6,male
4,2,4,5,4,3,4,4,3,2,5,4,2,4,5,4,2,3,5,5,2,2,2,3,4,4,3,3,3,3,6,5,3,2,4,2,3,5,2,2,5,4,3,3,5,2,4,2,3,4,4,6,56,7,male
4,5,4,5,5,4,5,4,4,4,5,4,4,4,4,3,3,3,4,5,3,3,3,4,4,3,4,3,3,2,5,5,4,3,5,3,4,5,3,4,5,3,3,2,6,3,4,3,3,5,4,4,30,8,female
4,3,2,5,3,4,2,2,1,1,4,5,4,1,2,4,2,2,4,5,1,1,2,1,4,4,1,1,2,3,6,4,4,1,6,1,2,6,1,3,5,3,3,2,6,1,2,1,1,5,4,6,37,9,male
5,4,4,3,5,5,4,4,3,3,5,4,5,4,3,4,3,3,3,4,4,3,5,3,5,5,4,5,5,2,5,6,5,5,4,4,4,5,6,5,3,3,3,5,4,4,4,4,3,3,5,4,30,10,male
1,1,3,3,1,1,4,4,6,4,5,6,1,6,1,4,3,6,6,5,6,4,5,6,6,4,3,6,5,6,4,5,4,4,6,4,6,5,4,4,6,6,6,6,6,6,1,1,6,6,4,6,40,11,female
4,2,3,3,1,5,3,1,4,5,4,5,3,4,1,5,3,3,5,5,4,5,2,5,4,2,1,4,3,4,6,4,4,3,6,3,5,6,4,5,5,4,4,3,6,4,2,2,2,5,4,6,33,12,female
5,3,2,4,3,1,5,1,1,3,3,5,2,4,3,2,1,4,4,3,3,1,4,4,2,1,1,3,4,5,6,3,2,2,6,2,4,4,2,4,6,2,3,1,5,3,4,1,1,6,4,6,31,13,female
5,5,5,5,5,6,6,4,5,5,5,6,6,6,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,4,5,5,5,5,5,6,5,4,6,5,5,4,4,6,6,6,25,14,female
5,2,4,5,4,4,4,4,2,4,3,5,3,4,2,4,4,4,5,5,3,3,3,3,4,4,3,3,3,3,5,4,4,2,5,5,4,4,4,4,4,3,3,2,6,3,3,2,2,4,3,6,20,15,female
5,2,4,5,2,5,4,3,2,5,4,5,4,4,2,5,5,4,4,6,2,3,4,4,4,5,2,3,3,2,6,5,5,4,4,4,5,4,4,4,4,4,4,3,6,3,3,5,4,6,6,6,29,16,female
5,4,4,4,4,4,5,3,3,5,5,5,3,4,3,6,4,5,5,5,2,1,3,4,4,5,4,3,3,3,5,5,6,4,6,4,5,6,6,6,6,6,6,2,4,4,4,4,3,6,5,5,30,17,male
5,5,3,4,5,2,4,3,5,5,5,5,4,4,5,5,3,3,4,5,4,2,2,4,5,4,4,4,3,3,5,4,4,3,5,3,4,5,3,4,5,5,4,3,5,3,4,3,4,5,4,5,29,18,female
4,5,2,4,4,1,4,1,4,4,1,6,3,5,4,1,1,4,3,6,5,2,3,4,2,4,1,5,3,4,5,5,1,1,6,4,6,5,5,5,6,4,5,2,6,4,4,4,4,5,5,5,26,19,male
4,5,2,3,4,5,3,2,2,3,2,4,2,4,2,4,2,2,4,5,4,4,4,4,5,4,4,5,3,3,4,5,5,4,5,3,5,5,4,3,6,5,5,4,4,5,4,4,2,4,4,5,28,20,male
5,3,5,3,4,3,3,5,4,5,4,4,4,5,3,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,2,2,2,2,4,2,3,4,4,3,2,3,3,4,4,3,31,21,female
5,2,2,4,2,2,6,2,3,4,4,5,2,4,4,4,3,4,5,3,1,2,2,4,5,3,5,2,1,4,6,3,2,2,5,2,4,3,2,4,4,2,5,2,4,3,2,2,2,5,2,4,55,22,female
5,1,4,2,4,3,3,5,4,3,3,5,5,3,4,4,4,5,4,3,3,4,5,2,4,5,5,4,3,3,4,5,4,3,5,4,3,3,4,5,5,4,4,5,4,3,3,3,4,4,4,5,22,23,female
5,4,3,4,4,2,5,3,4,4,2,5,2,4,2,2,2,3,5,3,2,2,2,4,2,2,4,2,2,2,6,4,2,2,5,3,4,4,2,5,4,2,4,2,3,2,3,2,2,5,2,4,44,24,male
1,1,1,2,1,1,1,1,1,2,1,2,3,1,1,4,1,2,1,3,2,1,2,6,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,36,25,male
6,5,4,1,5,2,4,2,6,6,6,5,2,6,5,6,6,6,5,2,5,2,5,6,5,5,4,6,5,6,6,6,5,6,6,6,6,4,6,6,6,6,6,3,4,6,6,6,6,6,6,6,23,26,female
4,4,3,3,3,2,4,2,1,3,3,4,3,3,3,3,3,3,3,4,2,3,2,3,3,3,3,3,3,3,5,3,3,2,6,3,6,6,3,3,6,3,4,2,6,2,3,2,2,6,3,2,37,27,male
5,3,4,5,3,5,4,2,3,2,4,3,3,2,3,4,4,3,5,4,2,4,3,4,4,5,3,3,4,2,6,4,4,2,5,2,5,4,3,4,4,4,3,2,5,4,3,2,3,4,4,5,21,28,female
5,4,5,5,4,5,5,3,5,5,5,4,4,5,4,4,4,4,6,6,3,5,3,5,5,5,4,4,3,4,6,6,5,5,6,5,6,6,6,5,6,6,5,5,6,6,5,6,6,6,6,6,21,29,male
4,1,2,3,1,2,2,2,3,2,2,3,1,2,1,4,3,3,5,3,3,2,2,2,3,3,1,2,2,2,5,3,3,2,4,2,2,4,2,5,5,2,3,2,2,2,2,2,2,4,2,3,NA,30,NA
5,3,4,5,3,4,4,4,3,1,5,4,3,2,2,5,4,4,4,4,3,4,3,3,4,5,3,4,4,3,4,5,5,2,5,2,3,4,3,4,4,4,4,2,5,4,4,4,3,3,5,4,35,31,male
5,3,3,2,5,3,3,2,2,5,2,5,5,5,2,5,5,5,5,5,5,5,4,2,3,5,5,5,5,2,5,5,5,4,5,5,5,5,5,4,4,4,4,5,4,4,4,5,4,5,4,4,22,32,male
5,4,3,4,3,3,4,2,1,2,4,6,4,2,2,5,3,2,6,6,2,3,4,2,4,3,3,2,2,2,6,4,4,1,4,1,2,6,2,2,4,3,2,1,6,1,2,1,1,4,5,5,28,33,female
4,3,4,4,4,4,4,3,4,3,4,5,4,3,3,4,4,3,5,5,3,3,4,3,4,4,4,3,4,3,6,4,4,4,4,4,4,6,4,4,5,4,4,4,4,4,3,3,3,5,4,4,31,34,male
5,5,4,3,5,4,4,2,3,4,4,5,4,4,4,4,4,4,5,5,3,4,4,3,5,5,6,4,4,2,6,5,3,4,5,5,5,6,4,5,5,5,4,3,5,4,5,4,4,4,5,5,40,35,female
5,6,3,2,4,4,4,6,5,5,4,5,6,6,3,6,4,5,4,6,2,6,4,4,5,2,5,6,3,2,6,4,4,4,4,5,2,5,6,4,4,3,5,4,5,3,4,2,2,6,4,5,44,38,female
4,3,4,4,3,3,3,1,1,3,6,4,3,5,1,4,2,3,4,4,1,1,1,4,5,5,3,3,2,2,6,4,4,2,5,2,5,5,5,4,6,5,4,2,6,4,4,2,2,6,5,5,55,39,female
