"","DG1","DG2","PRF_dominance","prestige10","dominance10","leadership10","soc_reg","power","prestige6","dominance6","leadership6","prestige4","dominance4","leadership4","gender","age"
"4",150,10,42,36,15,26,43,24,23,8,14,14,5,9,"female","27"
"6",0,10,55,32,47,41,59,43,14,32,24,7,23,16,"male","20"
"7",50,0,65,46,34,43,55,43,27,21,24,18,12,17,"male","23"
"9",0,0,29,12,24,12,16,17,6,19,6,4,10,4,"male","25"
"10",100,150,55,38,32,36,35,39,24,20,21,15,11,14,"female","24"
"13",150,150,46,31,20,28,53,26,17,14,17,11,8,12,"female","52"
"14",0,0,56,42,20,50,53,36,25,13,31,16,7,21,"female","28"
"15",150,50,60,49,39,42,48,44,30,24,25,20,15,15,"male","44"
"16",100,0,66,41,23,41,56,36,23,17,25,15,10,17,"female","25"
"17",150,100,70,36,30,47,47,41,21,18,29,12,11,19,"male","31"
"18",150,150,71,48,31,44,44,39,28,20,28,17,11,19,"female","40"
"19",150,150,54,29,25,33,54,25,16,16,22,9,10,14,"male","32"
"20",50,0,41,44,27,27,65,22,27,16,16,17,10,11,"male","23"
"21",100,0,32,28,14,15,47,19,17,6,9,9,4,5,"female","25"
"22",100,100,58,39,37,38,54,41,21,22,24,14,13,15,"female","26"
"23",150,150,50,32,16,38,34,21,20,10,25,12,5,15,"female","27"
"24",50,0,63,46,32,41,71,45,29,19,25,20,10,16,"female","36"
"25",150,0,65,38,24,40,51,32,21,14,23,14,8,16,"female","28"
"29",150,0,53,33,15,38,42,29,21,9,24,10,6,16,"female","25"
"30",150,300,44,24,30,25,33,24,14,19,14,9,12,8,"male","27"
"31",150,50,63,39,31,45,51,31,24,19,27,15,13,18,"male","25"
"33",100,0,57,45,34,32,69,39,27,19,19,18,12,13,"female","23"
"34",150,120,62,50,33,48,59,37,29,22,29,19,14,19,"female","18"
"37",20,10,68,48,30,45,56,46,30,20,26,20,11,18,"female","30"
"38",150,150,62,50,37,39,59,37,33,20,23,22,12,17,"female","24"
"40",120,10,69,54,35,43,70,43,32,23,28,22,15,19,"male","22"
"41",150,150,32,38,15,19,51,18,21,7,12,14,4,9,"female","31"
"42",150,150,37,31,22,24,44,21,18,12,15,13,8,11,"male","47"
"43",0,0,45,36,23,32,46,28,23,14,17,17,9,10,"male","21"
"46",150,250,42,34,28,30,49,25,20,16,19,13,10,13,"female","32"
"47",150,150,56,32,20,28,37,24,19,11,18,11,7,13,"female","39"
"48",100,100,49,52,23,25,65,26,30,15,17,21,11,9,"male","22"
"49",10,10,60,54,29,30,64,39,33,18,18,24,12,11,"female","60"
"50",150,150,54,32,33,32,47,31,18,21,20,12,13,14,"male","38"
"51",150,0,60,39,29,37,53,32,23,18,23,15,12,15,"female","28"
"52",50,0,41,46,27,33,48,29,27,15,20,18,8,12,"male","21"
"53",10,0,72,52,40,47,62,52,32,23,30,21,15,20,"female","34"
"54",0,0,46,36,27,21,51,24,19,15,13,13,9,9,"female","22"
"55",100,0,74,48,37,45,62,44,29,23,28,19,15,19,"male","22"
"56",150,0,57,35,26,32,54,38,25,15,20,17,9,11,"female","25"
"57",0,0,78,45,41,50,48,47,26,25,30,16,15,20,"male","19"
"59",0,0,45,31,24,19,45,19,17,15,12,11,12,8,"male","19"
"61",150,100,48,29,22,28,45,23,17,13,17,10,8,12,"female","56"
"62",150,100,55,36,24,40,51,31,22,12,24,12,7,16,"male","23"
"63",150,150,73,42,30,53,56,51,26,18,34,17,11,22,"male","53"
"64",100,0,77,45,41,50,56,48,26,24,31,16,13,21,"male","22"
"65",150,150,48,44,20,29,53,30,28,11,18,19,6,13,"male","41"
"68",150,50,46,37,31,30,50,31,22,17,19,13,11,13,"male","23"
"69",100,100,52,43,17,28,54,25,26,9,15,15,5,11,"female","29"
"70",100,100,34,42,28,19,63,23,27,21,11,17,10,7,"female","32"
"71",130,160,35,49,31,20,75,23,30,20,11,19,13,7,"male","22"
"73",150,0,64,28,50,40,36,37,17,32,25,10,22,15,"female","29"
"74",150,100,68,48,29,35,64,38,30,16,21,20,9,13,"female","26"
"75",150,150,41,30,19,26,51,24,17,11,16,13,7,11,"male","31"
"76",100,50,49,38,27,34,44,28,24,16,21,16,11,16,"female","25"
"77",150,150,61,48,34,41,52,31,28,22,24,18,15,15,"male","28"
"78",50,10,54,42,34,36,57,38,26,21,21,17,14,14,"male","24"
"80",50,100,46,49,39,38,58,36,31,28,23,20,18,17,"male","24"
"81",100,100,69,45,30,46,59,41,27,17,29,17,9,20,"male","22"
"82",100,0,71,51,48,50,71,50,29,29,31,18,18,22,"male","18"
"84",100,50,41,35,21,25,54,18,19,15,16,12,8,12,"male","20"
"85",100,150,71,49,35,51,60,49,30,25,30,18,15,20,"male","29"
"86",120,0,42,35,13,31,50,25,19,8,18,16,4,13,"male","29"
"87",100,50,65,55,48,43,53,49,32,33,23,21,21,16,"female","26"
"88",150,100,69,45,32,47,57,43,28,21,29,19,13,19,"female","26"
"89",10,10,72,28,44,50,35,55,21,25,31,15,14,23,"male","38"
"90",150,0,69,57,43,50,53,55,35,28,29,24,17,19,"female","18"
"92",100,0,60,40,25,45,50,35,22,19,28,13,10,19,"female","50"
"93",120,100,61,38,32,43,38,37,20,18,28,14,11,20,"female","23"
"95",150,150,51,50,32,38,58,40,30,18,22,20,11,16,"male","35"
"96",150,150,55,34,37,36,59,41,20,22,22,12,12,16,"male","20"
"97",120,300,58,54,38,48,57,57,33,25,31,24,17,24,"male","24"
"99",300,300,33,43,25,30,40,19,26,16,15,14,9,13,"female","22"
"100",300,300,57,47,30,41,57,40,31,15,25,20,9,17,"female","26"
"102",150,150,68,38,34,43,38,36,22,22,26,14,14,17,"female","51"
"104",150,150,50,49,32,29,54,41,30,18,19,22,11,14,"male","30"
"107",0,0,65,44,27,46,56,40,26,18,28,18,11,18,"male","21"
"108",150,150,52,46,17,32,44,28,26,8,18,18,6,13,"male","64"
"109",0,0,70,47,45,45,51,40,29,29,27,21,19,17,"male","18"
"110",150,100,54,45,24,35,54,38,26,15,19,15,7,13,"male","51"
"112",150,150,75,46,28,47,50,42,28,13,31,18,6,20,"female","58"
"113",150,0,40,47,34,14,72,22,27,24,6,17,15,4,"male","51"
"114",50,50,53,44,35,35,58,28,27,19,22,17,11,14,"female","32"
"115",10,100,52,41,33,33,49,37,24,19,22,16,14,17,"male","32"
"116",120,200,28,29,24,13,26,15,21,16,6,13,9,4,"female","50"
"117",100,0,77,47,37,50,56,49,27,21,31,18,14,21,"female","23"
