"","dominance10","prestige10","leadership10","dominance6","prestige6","leadership6","dominance4","prestige4","leadership4","MFQ_harm_s","MFQ_fair_s","MFQ_ingroup_s","MFQ_authority_s","MFQ_purity_s","gender","age"
"1",18,39,51,10,20,32,6,12,22,0.497196703534966,0.595989851072683,0.0769865281617763,-1.78296942313236,-1.0814725849558,"female",NA
"3",29,34,32,18,19,21,12,12,14,-1.42686780477306,-1.16914879614329,-0.865475766969262,-1.03086150735652,-1.02742679000752,"female",NA
"4",32,37,24,18,20,13,12,14,6,-1.71718079438453,-0.908988183665031,0.573967884567856,-1.62449805751924,-0.872636339122029,"female",NA
"6",39,42,41,24,25,25,17,17,17,-0.427805474785577,-0.597783828100168,0.719457727408655,0.314882958582032,0.110152161139194,"female",NA
"10",13,26,25,6,11,17,4,5,11,2.02282180325926,0.754062977377743,-1.33670691453478,-0.516460640000369,-0.0446382897462972,"female",NA
"11",27,29,32,17,18,20,11,12,13,0.497196703534966,-0.337623215621906,-0.813975349288142,-0.555868124441485,-1.65393552750882,"female",NA
"12",47,49,43,28,30,26,17,22,18,-0.137492485174107,-0.597783828100168,0.325477206364816,-0.674511291689162,-0.818590544173753,"female",NA
"13",29,37,31,16,20,18,11,14,12,0.0446940854651003,-0.960031926751633,-0.171504150041263,0.789876341497071,-0.145382945683511,"female",NA
"14",26,43,28,15,24,14,10,15,9,0.206883713923496,-0.0264188600570431,-0.891225975809822,0.591997491442832,-0.354219191517279,"female",NA
"15",26,52,36,16,31,21,9,21,14,1.26000925339711,-0.286579472535305,0.0512363193212163,0.0377684257212317,-0.145382945683511,"female",NA
"16",18,49,36,11,30,24,7,22,16,1.15188283442485,-2.41396621840275,-0.839725558128702,-0.674511291689162,-0.663800093288262,"female",NA
"17",23,37,29,12,23,16,7,15,10,-0.900305035036254,-0.337623215621906,-1.13971665401286,-1.03086150735652,-1.75468018344604,"female",NA
"18",19,44,38,9,26,23,6,19,15,0.571256855201909,-0.128506346230245,0.248226579843136,1.46274857446635,1.82019405483894,"female",NA
"19",20,36,36,11,21,21,7,13,14,1.02375947327177,1.42751543159407,-0.197254358881823,-0.31858178994613,-0.408264986465556,"female",NA
"22",29,51,37,18,33,23,11,22,15,0.152820504437364,1.11631107602921,-1.33670691453478,0.512761808636271,0.264942612024685,"female",NA
"24",41,50,39,24,30,22,17,19,15,1.78657202313392,0.698077337245885,0.796708353930335,0.394118641388593,0.790706693588774,"female",NA
"26",38,48,54,24,28,33,15,18,21,-0.555928835938652,-0.806900697491829,1.49067997085833,1.54198425727291,1.98233143968377,"male",NA
"27",37,53,44,25,34,26,17,22,18,0.152820504437364,0.233741752421219,-0.891225975809822,0.0377684257212317,0.52782465280673,"female",NA
"29",35,42,29,22,26,18,14,17,11,-1.50092795644001,-1.42930940862156,-0.145753941200703,-0.120282225967562,-1.3370076917785,"female",NA
"30",30,48,42,19,28,27,11,18,19,0.206883713923496,0.493902364899481,-0.839725558128702,-0.635103807248046,-0.663800093288262,"female",NA
"31",18,49,41,9,28,26,6,19,17,-0.319679055813314,-0.0264188600570431,0.299726997524256,0.394118641388593,0.318988406972962,"male",NA
"32",30,45,43,18,30,26,12,20,17,1.44219582403632,1.11631107602921,0.719457727408655,1.58139174171403,0.992196005463203,"female",NA
"33",26,40,29,14,23,18,8,17,12,0.0246971432842887,0.28478549550782,0.248226579843136,-0.516460640000369,1.10028759535976,"female",31
"34",18,36,19,11,21,11,7,15,7,0.969696263785643,1.42751543159407,-0.942726393490942,-0.437224957193807,-0.926682134070306,"male",41
"35",15,46,47,9,28,29,5,20,20,-0.137492485174107,-1.22019253922989,0.719457727408655,0.512761808636271,1.35582270218246,"female",20
"38",34,56,58,19,34,35,10,23,23,-1.8253072133568,-1.48035315170816,-0.616985088766223,0.750468857055955,-0.50900964240277,"female",23
"39",26,52,49,13,32,29,7,22,20,-1.1565517573424,-0.806900697491829,-0.616985088766223,0.235647275775471,-0.973380995059244,"female",29
"40",28,47,46,15,30,29,12,20,19,0.206883713923496,-0.0264188600570431,1.68767023138025,1.85850627457483,0.682615103692221,"female",22
"41",31,45,43,20,28,26,13,19,18,0.679383274174173,0.856150463550945,0.0769865281617763,0.591997491442832,-0.145382945683511,"male",20
"42",23,43,34,15,23,21,9,17,13,1.78657202313392,1.06526733294261,-1.61094780157838,-1.78296942313236,-1.44509928167506,"female",19
"43",37,46,41,23,28,23,15,17,15,1.20594604391098,0.754062977377743,0.993698614452255,1.38351289165979,1.25507804624525,"female",22
"44",23,38,41,15,21,25,9,13,17,-0.792178616063991,-1.11810505305669,0.548217675727296,0.314882958582032,0.318988406972962,"female",19
"45",34,49,40,19,33,23,12,22,16,0.443133494048834,0.907194206637546,1.01944882329281,0.0377684257212317,-0.980727929018583,"female",20
"46",33,41,41,18,25,25,11,17,17,0.497196703534966,0.0246248830295581,1.49067997085833,1.85850627457483,1.46391429207902,"female",21
"47",21,38,39,11,21,24,6,13,16,0.206883713923496,1.16735481911581,0.496717258046176,0.0377684257212317,0.264942612024685,"female",22
"48",32,39,35,19,24,23,11,16,14,0.206883713923496,0.335829238594421,1.01944882329281,1.46274857446635,1.56465894801623,"female",21
"49",18,37,42,11,22,27,6,14,17,-0.427805474785577,0.233741752421219,-1.06246602749118,0.235647275775471,-0.300173396569003,"female",21
"50",23,34,34,14,20,21,10,13,14,0.679383274174173,0.805106720464344,-0.342744201722623,-0.832982657302285,-1.02742679000752,"female",21
"52",48,23,43,27,15,24,17,8,19,-2.13561714514908,1.9988803996372,0.745207936249215,-1.38721172302388,-0.0372913557869578,"male",19
"53",27,37,42,16,22,25,9,14,16,-0.373742265299445,-0.337623215621906,-0.916976184650382,-0.437224957193807,-0.717845888236538,"female",31
"54",14,48,46,8,32,28,4,21,20,1.78657202313392,1.06526733294261,0.273976788683696,0.314882958582032,0.419733062910176,"female",21
"57",31,19,31,15,11,13,10,5,7,-1.48093101425919,0.335829238594421,-0.745736132969023,-1.22874035741076,-1.80872597839432,"male",24
"59",44,44,46,28,26,28,18,20,19,-0.609992045424784,-4.28613424883718,-0.145753941200703,0.117004108527793,-1.34435462573784,"male",22
"60",30,30,37,18,18,23,10,8,15,0.335007075076571,-0.286579472535305,1.46492976201777,1.73986310732715,1.87423984978721,"male",29
"62",29,49,53,14,29,32,10,19,23,0.389070284562702,0.28478549550782,-0.642735297606783,-0.555868124441485,-1.34435462573784,"male",25
"63",21,40,28,13,22,17,8,15,11,-0.21155263684105,-0.755856954405228,-1.06246602749118,0.117004108527793,0.736660898640498,"female",22
"64",34,44,42,21,26,25,13,17,16,-1.13655481516159,-0.85794444057843,0.102736737002336,0.671233174249393,-0.717845888236538,"female",22
"65",38,47,46,26,28,27,14,19,17,-1.3187413858008,-1.11810505305669,0.0769865281617763,0.869112024303632,0.945497144474265,"male",20
"67",39,33,35,26,18,23,17,12,15,0.206883713923496,-0.337623215621906,0.548217675727296,-0.31858178994613,1.04624180041148,"female",22
"68",36,44,45,20,28,27,11,19,18,-0.609992045424784,0.754062977377743,-0.419994828244303,1.38351289165979,0.837405554577712,"female",25
"69",17,27,29,10,15,18,5,9,12,0.152820504437364,0.493902364899481,0.248226579843136,-1.58509057307812,-0.307520330528342,"male",22
"70",39,40,40,23,22,25,15,15,17,-2.71624312437202,-1.37826566553495,0.796708353930335,1.06699087435787,0.373034201921239,"male",24
"71",11,35,31,7,20,19,4,12,13,1.15188283442485,1.37647168850747,-1.1139664451723,-0.357989274387246,0.164197956087471,"male",22
"72",28,54,29,16,31,20,10,22,14,-2.47999334424668,-1.63842627801322,0.0254861104806563,-0.0414672570853296,-0.206775674591128,"male",23
"74",33,53,28,20,33,17,13,22,11,-0.0834292756879749,-0.0264188600570431,0.0769865281617763,0.077596624086677,-0.199428740631788,"male",20
"75",28,34,37,18,18,24,10,13,15,-0.555928835938652,-0.128506346230245,-0.394244619403743,-1.50585489027156,-1.29030883078957,"male",22
"76",27,52,46,18,33,29,10,23,20,0.969696263785643,0.544946107986082,-1.1139664451723,-1.38721172302388,-1.0814725849558,"female",29
"77",21,39,23,12,23,12,8,14,7,1.26000925339711,0.754062977377743,-0.419994828244303,-0.437224957193807,-0.354219191517279,"female",21
"78",16,32,29,10,18,18,7,13,13,0.0987572949512319,1.68767604407233,-0.419994828244303,0.433526125829709,0.365687267961899,"female",22
"79",29,33,36,18,20,21,11,13,13,-0.319679055813314,0.805106720464344,0.0254861104806563,0.512761808636271,0.164197956087471,"female",23
"80",23,37,38,15,22,23,8,14,15,-0.609992045424784,-0.286579472535305,0.325477206364816,0.314882958582032,0.736660898640498,"female",20
"81",27,46,32,17,28,18,10,18,13,0.443133494048834,0.0246248830295581,0.273976788683696,0.275475474140916,1.92828564473549,"female",22
"82",14,39,30,9,23,18,7,15,11,2.02282180325926,1.37647168850747,-0.171504150041263,-0.357989274387246,0.264942612024685,"female",22
"83",38,49,43,21,28,25,15,20,16,0.0987572949512319,0.493902364899481,-1.13971665401286,-0.793575172861169,-0.980727929018583,"female",20
"84",29,33,28,19,20,16,10,12,12,1.44219582403632,1.11631107602921,1.96191111842385,-0.714339490054607,-0.717845888236538,"male",25
"87",26,34,33,15,20,20,9,12,13,0.443133494048834,-0.0264188600570431,0.496717258046176,0.314882958582032,1.14698645634869,"female",25
"88",25,31,31,15,16,19,8,12,12,-0.555928835938652,0.544946107986082,0.693707518568095,0.671233174249393,0.52782465280673,"female",24
"89",44,43,22,31,26,14,21,17,11,1.31407246288325,1.9988803996372,2.65588273535185,2.13562080743563,2.23786654650647,"male",22
"90",22,44,29,12,26,18,8,18,12,0.679383274174173,-0.908988183665031,-0.616985088766223,-0.160110424333007,0.00940750520197961,"female",21
"92",29,45,32,19,26,19,10,18,12,0.86156984481338,-2.15874750296974,-1.8079380621003,-1.34738352465844,-0.563055437351047,"female",20
"93",31,45,46,20,25,26,11,16,20,0.625320064688041,0.544946107986082,-0.197254358881823,-1.30797604021732,-1.29030883078957,"female",23
"94",25,43,53,16,25,32,10,16,21,1.02375947327177,-0.648827571186769,1.24218929265529,2.29409217304875,1.15433339030803,"female",24
"95",25,33,41,14,20,25,8,13,17,-0.191555694660238,-0.648827571186769,-0.445745037084863,-1.30797604021732,-0.872636339122029,"female",21
"97",26,35,28,15,20,17,9,16,12,-1.60905437541227,-0.908988183665031,-1.58519759273782,-1.62449805751924,-0.926682134070306,"male",24
"98",29,45,47,18,26,29,12,16,18,0.551259913021098,0.805106720464344,2.87862320471433,1.85850627457483,2.29191234145475,"female",22
"99",38,42,40,22,23,24,12,15,16,-1.26467817631467,-1.32722192244835,0.548217675727296,1.14622655716443,-0.145382945683511,"male",27
"101",23,40,41,14,23,24,8,14,17,-0.319679055813314,-1.2712362823165,-1.83368827094086,-0.635103807248046,0.52782465280673,"female",30
"103",19,36,40,10,20,25,7,16,17,-0.137492485174107,-0.0264188600570431,1.46492976201777,2.13562080743563,1.98233143968377,"female",23
"104",31,44,40,20,26,26,12,18,18,-0.738115406577859,0.182698009334618,0.102736737002336,0.117004108527793,-0.717845888236538,"male",26
"106",32,42,40,18,26,23,11,17,16,-1.02842839618933,-0.546740085013567,-1.1139664451723,-0.437224957193807,-1.03477372396686,"male",20
"107",17,43,41,11,24,25,5,17,16,0.679383274174173,0.805106720464344,0.745207936249215,1.54198425727291,0.938150210514926,"female",18
"108",32,57,50,16,35,29,8,24,18,0.0987572949512319,-0.128506346230245,-0.248754776562943,0.394118641388593,0.264942612024685,"female",20
"110",20,44,45,14,25,29,8,17,19,-0.609992045424784,-0.0774626031436443,-0.865475766969262,0.512761808636271,-0.717845888236538,"female",23
"111",25,37,28,14,24,18,9,17,12,-1.19061802464772,-0.0264188600570431,0.993698614452255,0.394118641388593,0.110152161139194,"female",23
"112",28,41,42,17,24,26,10,16,18,-0.50186562645252,0.335829238594421,-2.52765988786886,-1.11009719016308,-0.926682134070306,"female",20
"113",27,27,29,19,15,18,11,10,11,1.15188283442485,-0.179550089316847,-1.58519759273782,-1.86220510593892,-0.671147027247601,"female",25
"114",22,47,37,16,27,22,9,19,15,1.78657202313392,1.73871978715893,0.0254861104806563,0.156411592968909,2.08307609562098,"female",22
"115",24,44,34,12,26,20,8,17,13,1.02375947327177,1.06526733294261,0.522467466886736,0.512761808636271,1.61870474296451,"female",23
"116",29,50,51,17,30,30,9,21,20,0.206883713923496,-0.0264188600570431,1.26793950149585,1.06699087435787,0.318988406972962,"female",19
"117",24,43,38,12,24,22,7,15,15,-0.21155263684105,-0.337623215621906,0.573967884567856,0.354290443023148,0.891451349525989,"female",22
"118",35,45,40,22,27,25,13,18,17,0.389070284562702,-0.0774626031436443,0.0254861104806563,-0.437224957193807,-0.253474535580065,"female",18
"119",24,40,46,13,24,28,7,16,17,-0.772181673883179,-0.286579472535305,-1.58519759273782,-1.22874035741076,-0.671147027247601,"female",22
"120",17,48,25,9,26,17,5,18,12,0.969696263785643,1.11631107602921,-1.1139664451723,-2.17872712324084,-1.29030883078957,"female",22
