Capuchin,Fearful,Dominant,Persistent,Cautious,Stable,Autistic,Curious,Thoughtless,Stingy.Greedy,Jealous,Individualistic,Reckless,Sociable,Distractible,Timid,Sympathetic,Playful,Solitary,Vulnerable,Innovative,Active,Helpful,Bullying,Aggressive,Manipulative,Gentle,Affectionate,Excitable,Impulsive,Inquisitive,Submissive,Cool,Dependent.Follower,Irritable,Unperceptive,Predictable,Decisive,Depressed,Conventional,Sensitive,Defiant,Intelligent,Protective,Quitting,Inventive,Clumsy,Erratic,Friendly,Anxious,Lazy,Disorganized,Unemotional,Imitative,Independent,cap_Ast,cap_Opn,cap_Neu,cap_Soc,cap_Att,Location
Accroc,2.33333333333333,6.66666666666667,6.33333333333333,3.33333333333333,4,1.66666666666667,5.33333333333333,2.66666666666667,5.66666666666667,6,4.33333333333333,3.33333333333333,4.66666666666667,5.33333333333333,2,4,3.33333333333333,3.66666666666667,2,3.66666666666667,5.33333333333333,4,5.33333333333333,5,3.33333333333333,4,5,4.66666666666667,4,5,1.66666666666667,4.33333333333333,2,4.33333333333333,3.66666666666667,4.33333333333333,5.66666666666667,1.66666666666667,4,3.66666666666667,2.66666666666667,4.33333333333333,4.33333333333333,3.33333333333333,4,2.33333333333333,2.33333333333333,3.66666666666667,3,2.33333333333333,3,3,2.33333333333333,5.66666666666667,5.25,4.36111111111111,3.91666666666667,5.04761904761905,4.66666666666667,Strasbourg
Alila,5.6,3,3,5.4,4,1.8,4,2.2,3.8,3.2,4.6,2.6,4.6,2.8,4.2,4.2,3,4,4.6,3.8,3.2,4,4.2,4.6,3,4.6,4,3.2,2.6,4.2,4.4,3.8,3.4,3.6,3,4.8,4.4,3.6,4.2,4.4,3.2,4.6,3.2,3.6,3.4,2.8,2.4,4.2,4.4,4.6,2.6,2.8,3.6,4.8,3.5375,3.58333333333333,3.725,4.42857142857143,5.17142857142857,Strasbourg
Arnaud,3.4,6.2,5.6,4.2,4.4,5.2,5.6,3.2,3.8,4.2,4.4,3,3.2,3.4,2.6,3.2,3.6,4,2,3.8,5,4.4,4.8,4.4,3.2,3.4,3.4,3,2.6,4.6,2,4.6,2.2,3.2,3.2,5,5.6,2.4,4.6,4.2,4.2,5.2,4.4,4.2,4,1.6,2.2,3.2,3.2,1.8,2.6,3.6,4.4,5.8,4.675,4.51666666666667,3.4,3.85714285714286,5.17142857142857,Strasbourg
Asson,4.33333333333333,2.33333333333333,3,4.66666666666667,4.33333333333333,4.66666666666667,3,2.66666666666667,3.66666666666667,3.33333333333333,3.66666666666667,3,4.33333333333333,4,4.33333333333333,4,2.33333333333333,3.66666666666667,4,2.66666666666667,3.33333333333333,4,4,3,3.33333333333333,4.33333333333333,4,3,3,3.66666666666667,4.33333333333333,3.33333333333333,2.66666666666667,2.66666666666667,4,4.66666666666667,3.66666666666667,2.66666666666667,4.66666666666667,3.66666666666667,2.66666666666667,3.33333333333333,3.33333333333333,4,2.66666666666667,3,2,4.33333333333333,4.33333333333333,3.66666666666667,3.33333333333333,3.33333333333333,2.33333333333333,4,3.54166666666667,3.11111111111111,3.83333333333333,4.19047619047619,4.71428571428571,Strasbourg
Boy,6.8,1.2,1.6,6.8,2,3.4,3,1.6,1.8,2.2,6,1.2,2.4,3,6.6,3.4,1.4,6.8,6.2,3,3.6,3.4,1.4,1.8,2.6,6,3.4,4.8,3.6,3,6.6,2.8,3.2,2.4,2.2,5.4,3,6,5.4,5.8,1.2,5.4,2.4,5,2.8,2.4,2.8,4.4,6.6,4.2,4,2.4,2.6,4,2.025,2.63333333333333,4.675,2.77142857142857,5.05714285714286,Strasbourg
Kinika,4.4,3.4,3,5.2,4,2.2,3.4,2,2.6,3,2.8,1.8,5,4,5,4.8,2,3.6,4.4,3.8,3.8,4.6,2.8,3,3.4,4.8,4.4,3,2.2,3.8,4.6,4.2,4.4,2.4,2.8,5.4,4,2.4,4.6,5,2.4,4.4,3.8,3.4,3,1.8,1.8,4.6,4.2,2.8,2.6,3.2,3.6,3.4,3.0625,3.5,3.45,4.8,5.37142857142857,Strasbourg
Kiwi,5.4,4.6,3.8,3.6,2.2,3.4,3.8,3.6,3.8,5,4.4,3.6,3,4.8,3.4,2.8,1.2,5,3.6,2.2,3.4,2.4,4.4,4.6,3.8,3.4,2.8,5.8,4.4,2.8,3.8,2.8,2.6,4.2,4.2,3.2,4,3.6,4.2,3.4,2.8,3.2,2,3.6,2,2.8,5.2,3,5.2,4.6,4.6,3.8,2.6,4.8,4.3125,3.01666666666667,4.925,3.37142857142857,3.6,Strasbourg
Kolette,3.6,4.2,4.2,4.2,4.2,1.8,5,2.2,3.8,3.6,2.8,2.2,5.4,3.4,3.4,4.6,2.8,3.4,3,3.6,4,4.2,3.8,3.4,4,4.4,4.2,3.2,2.8,4,3.4,4.8,4,2.4,3,5,4.2,1.8,4.4,4.2,3.4,4.2,3.8,3.8,3.4,2.2,2,4.4,3,2.8,2.4,3.8,3.6,4.2,3.85,3.91666666666667,3.425,5.14285714285714,5.28571428571429,Strasbourg
Olive,6,1.33333333333333,3.33333333333333,5.66666666666667,4,1.66666666666667,3.66666666666667,2.33333333333333,2.66666666666667,2.66666666666667,4.66666666666667,2.33333333333333,4.33333333333333,4,6.33333333333333,4,3,5.33333333333333,6,3.33333333333333,3.66666666666667,4,3.33333333333333,2.66666666666667,3.33333333333333,5,4,3,4,3.66666666666667,6,3.33333333333333,4.33333333333333,2.66666666666667,3,5,3.66666666666667,4,5,5,3,3.66666666666667,3,4.33333333333333,3.33333333333333,2,2.66666666666667,4.33333333333333,4.66666666666667,4,3.33333333333333,4,3,4,2.60416666666667,3.38888888888889,3.875,4.14285714285714,4.95238095238095,Strasbourg
Paola,4.2,3.8,3.6,4.8,4.8,2,4.6,2.6,3,3.4,3.4,2.2,5.2,3.4,4.2,4.2,3.6,3.2,3.8,4,4.8,4.6,3.8,3.6,3.4,4.8,5,3.2,3.2,4.2,4.4,3.4,4,2.6,3,4.4,4.4,2.4,4.6,4.6,3,5,3.4,3,3.8,1.8,2.4,5,4,3.2,2.4,2.8,4,4.6,3.5125,4.06666666666667,3.8,5.08571428571429,5.28571428571429,Strasbourg
Petula,4.4,2.4,3,5.4,4.4,2.4,4.2,2.2,2.8,2.6,3.8,1.8,4.6,3,5.2,4.2,2.6,4.2,4.8,3.6,4,4.6,2,1.8,3.4,5.4,4.6,3.2,3,4,5.6,4,3.6,2,2.8,5.2,3.4,3.2,4.6,5,2.4,5,3.2,3,3.8,2.4,1.8,5.2,4.6,2.8,2.6,3,3.6,4.2,2.7875,3.73333333333333,3.75,4.57142857142857,5.4,Strasbourg
Pistou,3,4.8,6.2,3.6,3.6,2.4,6.6,3.8,5.2,5.6,5.4,3.8,4.4,2.6,2.2,3,4.6,4,4.8,5.8,6.4,4,5.2,4,3.8,4.2,3.4,4.4,4.2,6,3.8,3.4,2.2,3.4,2.4,4,6.2,2.8,2.2,4.2,5.4,6,2.6,2.4,5.8,1.4,2.2,4,3.6,1.6,2.2,1.8,4.4,5.2,4.575,5.75,4.325,4.42857142857143,5.34285714285714,Strasbourg
Popeye (Sb),4.2,3.2,3.6,5.6,4,6.2,4.2,2.6,3.4,4,5,2.4,3.8,4,4.8,4.6,3.2,4.4,5,3.6,4.4,4,3,2.8,3.4,5,4.2,2.8,3.6,3.4,4.8,3.8,3.6,2.4,3.2,5.2,4.2,3.6,4.8,5,2.6,5,4,3.8,3.4,2.2,2,4.8,4.8,2.8,3,3.2,3.8,4,3.225,3.73333333333333,3.675,3.68571428571429,5,Strasbourg
Raven,2.8,5.2,5.4,3.8,4,2.6,6,3.8,5.4,5.4,5.2,4.2,5.2,3.6,2.6,4,5.6,3,2.6,5.2,6,3.4,5.2,5,4.2,4,4.8,4.4,5,6,2.6,4.2,3,4.6,3.4,3.4,5.8,1.8,3.2,3.8,4.6,5.6,2.8,2.6,5.2,1.8,3.6,4.4,2.6,2,2.8,2.6,4.4,4.8,4.9125,5.38333333333333,4.175,5.2,4.62857142857143,Strasbourg
