"Subject","Actv","Affc","Aggr","Anx","Aut","Buly","Caut","Clmy","Conv","Cool","Curious","Decs","Defn","Depd","Depr","Dist","Dom","Dsor","Errc","Exct","Fear","Frdy","Gntl","Help","Imit","Impl","Indp","Indv","Innov","Inqs","Intll","Invt","Irri","Jeals","Lazy","Manp","Pers","Play","Pred","Prot","Quit","Reckl","Sens","Soc","Sol","Stbl","Stngy","Subm","Symp","Thotl","Tim","Unem","Unper","Vuln"
"Achille",2.66666666666667,3,1.33333333333333,2.66666666666667,1.66666666666667,1.33333333333333,6,3.66666666666667,5.33333333333333,5.66666666666667,2,2.33333333333333,1.33333333333333,3,3.66666666666667,2.66666666666667,1.33333333333333,4,2.33333333333333,2.33333333333333,5,2.33333333333333,4,2.33333333333333,3,2,4.66666666666667,4.66666666666667,1.66666666666667,2.66666666666667,3,2,2.66666666666667,1.66666666666667,3.66666666666667,2.33333333333333,2.66666666666667,1.33333333333333,4.66666666666667,2.33333333333333,4,1.33333333333333,3.66666666666667,2,4.33333333333333,4,1.66666666666667,5.33333333333333,2,1.33333333333333,4.66666666666667,5.33333333333333,3,5.66666666666667
"Annibal",5.75,4,3,4.5,1.25,3.25,5,2.5,3.5,2.75,4,4,2.5,5.25,2,4.5,1.25,3.25,4,4.5,5.25,5,4.25,2.5,3.5,4.25,2,2.25,4.25,5.5,3.5,4,3.25,4.25,1.25,3,3,6.5,2.75,3,4,3.25,4.5,5,1.75,3.25,3.75,5.5,3,3.75,4.25,2,3.5,4.75
"Arjuna",6.25,4,4,3,1,5.25,2.5,2,3.25,3,5.5,5,4.5,5.5,1.25,4.25,4,3,3.5,5,2.5,5.25,3.75,2.5,3.75,4.75,2.25,2.25,4.25,6.5,4.75,4.25,3.25,5.25,1.25,3.75,5,6.5,3.25,3.75,3.5,5,4.25,6,1.25,2.75,5.75,3,3.25,4.75,2,1.5,3.5,2.5
"Charles",3,3,2.66666666666667,2.33333333333333,1,3.33333333333333,3.66666666666667,1,4.33333333333333,3.66666666666667,3,3.66666666666667,3,2.33333333333333,3,3,4.33333333333333,2.66666666666667,2.33333333333333,3,2,2.66666666666667,3.33333333333333,2.66666666666667,3.66666666666667,2.33333333333333,5,2.33333333333333,3.33333333333333,4,4,3.33333333333333,2.66666666666667,3,3,3.66666666666667,4.33333333333333,1.33333333333333,4.33333333333333,2.66666666666667,3.33333333333333,2.66666666666667,3.33333333333333,2,3.66666666666667,4,3,4,2.33333333333333,2.66666666666667,2.33333333333333,3.66666666666667,2.66666666666667,3
"Coco",4.33333333333333,5,3,5.33333333333333,1,2,6.33333333333333,1.33333333333333,4.33333333333333,2.33333333333333,3.33333333333333,3,1.66666666666667,5,1.33333333333333,3.66666666666667,3,3,3,5,6,5.33333333333333,4,3,3,3,2.66666666666667,2.33333333333333,2.33333333333333,3.66666666666667,3.33333333333333,2.33333333333333,2.33333333333333,3,3,2.66666666666667,2.66666666666667,2,4.33333333333333,6,4.33333333333333,1.66666666666667,3.66666666666667,4,2.33333333333333,2.33333333333333,3.33333333333333,3.66666666666667,3,2,4.33333333333333,2.33333333333333,3.33333333333333,5
"Couscous",5.33333333333333,4.33333333333333,2.66666666666667,3.33333333333333,1,2.66666666666667,4.33333333333333,1.33333333333333,3,4,4.66666666666667,3.66666666666667,2.66666666666667,5,1,4.33333333333333,2,3.33333333333333,2,4,3.33333333333333,4.33333333333333,4.33333333333333,3,3,3,3.66666666666667,2.66666666666667,3.33333333333333,5.66666666666667,3.66666666666667,3.33333333333333,2.33333333333333,3,1.66666666666667,2.66666666666667,4,5.33333333333333,3.33333333333333,3.33333333333333,3.66666666666667,3,3.66666666666667,4,3,3.33333333333333,3.33333333333333,5,2.66666666666667,3,3.33333333333333,2.66666666666667,3.66666666666667,3.33333333333333
"Dany",4.33333333333333,4.66666666666667,4.66666666666667,4.66666666666667,1,4,4.66666666666667,1,4.33333333333333,2,3.66666666666667,3,2.33333333333333,4.66666666666667,1,4,3.66666666666667,3,3.66666666666667,4.66666666666667,5,4.33333333333333,2.33333333333333,2.66666666666667,3.66666666666667,4.33333333333333,2.66666666666667,2.33333333333333,1.66666666666667,3.66666666666667,3.33333333333333,2.33333333333333,3.66666666666667,4.33333333333333,2.66666666666667,3,3.66666666666667,2,4.33333333333333,4.66666666666667,4.33333333333333,2.66666666666667,4.33333333333333,3.66666666666667,2.33333333333333,2,4.33333333333333,3.66666666666667,3.33333333333333,3.33333333333333,4,1.66666666666667,3.66666666666667,4.33333333333333
"Dattero",5.33333333333333,3.66666666666667,2,4.66666666666667,1,2,5.66666666666667,1,3,3,3.66666666666667,3,2,4,1,4,2,3.33333333333333,2.33333333333333,4.33333333333333,5.66666666666667,4.33333333333333,3.66666666666667,2.66666666666667,3.33333333333333,3,2.66666666666667,2.33333333333333,3.33333333333333,4.33333333333333,4.33333333333333,3,2.33333333333333,2.33333333333333,1.66666666666667,2.66666666666667,2.66666666666667,5.33333333333333,2.66666666666667,3,3.66666666666667,2,3.66666666666667,3.33333333333333,2.66666666666667,2.33333333333333,2.66666666666667,5,2.66666666666667,2.66666666666667,4.33333333333333,1.66666666666667,3.66666666666667,4.66666666666667
"Donald",2.66666666666667,2.33333333333333,1,5.66666666666667,1,1.66666666666667,6.33333333333333,1,5,2,3,2.33333333333333,1.33333333333333,1.33333333333333,5.66666666666667,3,1.66666666666667,2.66666666666667,1.33333333333333,2.66666666666667,5,1,2.33333333333333,2.33333333333333,2.66666666666667,2,4.66666666666667,5,2.33333333333333,4,4.66666666666667,2.33333333333333,2,2.66666666666667,3,3,3,1,5,2.33333333333333,3.66666666666667,1,4,1,5,2.33333333333333,1.66666666666667,7,3,1.33333333333333,6,5.33333333333333,3.66666666666667,5
"Eve",4,5,1.33333333333333,4.33333333333333,1,1,6,2,4.33333333333333,3.66666666666667,3,3,1.33333333333333,5,1.33333333333333,3.33333333333333,1.33333333333333,2.66666666666667,3,3.66666666666667,5.33333333333333,5.33333333333333,4,3,3.66666666666667,3,2,2.33333333333333,1.66666666666667,2.33333333333333,4,2,2.33333333333333,1.66666666666667,2.66666666666667,2.66666666666667,3,2,4.33333333333333,6,4,1.33333333333333,4.33333333333333,4.66666666666667,2.66666666666667,2.33333333333333,1.33333333333333,5,3.66666666666667,1.66666666666667,4.66666666666667,3,3.66666666666667,5
"Fleur",5,5,4,3,1,4.33333333333333,2.33333333333333,1,3.33333333333333,3.66666666666667,5.66666666666667,4.33333333333333,4.33333333333333,4.66666666666667,1,3.66666666666667,4.66666666666667,3.33333333333333,3.33333333333333,5,2,5,3.66666666666667,4,4,4.33333333333333,4,4.33333333333333,3.66666666666667,5.33333333333333,5,3.33333333333333,3.33333333333333,4.33333333333333,2.66666666666667,4,5,3.33333333333333,4,5,3,4,4.66666666666667,5,2,4.33333333333333,5.66666666666667,1.66666666666667,3.33333333333333,4,1.33333333333333,2.66666666666667,3.66666666666667,2.33333333333333
"Gaetan",2.66666666666667,2.33333333333333,5.33333333333333,3,1,6.33333333333333,4.33333333333333,2.33333333333333,5.66666666666667,6,4.66666666666667,4.66666666666667,4.33333333333333,2,2.33333333333333,3.66666666666667,5.66666666666667,3.33333333333333,2,3.33333333333333,3.66666666666667,3.33333333333333,2.66666666666667,2.66666666666667,1.66666666666667,1.66666666666667,6,5.66666666666667,2.66666666666667,2.33333333333333,3,2.33333333333333,2.66666666666667,6,6.33333333333333,2,6,1.33333333333333,6,4.33333333333333,4,1.66666666666667,3.33333333333333,2.66666666666667,3.66666666666667,3.66666666666667,6.33333333333333,1,2.33333333333333,2.33333333333333,2.66666666666667,4.66666666666667,4.66666666666667,2.66666666666667
"Grant",6,3,4.66666666666667,4.66666666666667,1,6,2.33333333333333,1,2.66666666666667,2.66666666666667,5.33333333333333,3.66666666666667,4.66666666666667,4.33333333333333,1,4.33333333333333,4.33333333333333,4,3.66666666666667,5.66666666666667,3.33333333333333,5,2.66666666666667,2.66666666666667,3.66666666666667,5.33333333333333,4,4.33333333333333,4.33333333333333,6.33333333333333,5,4.66666666666667,3.66666666666667,4.33333333333333,1.66666666666667,4.66666666666667,4.33333333333333,5.66666666666667,3,3.33333333333333,3.66666666666667,4.33333333333333,3.66666666666667,4.66666666666667,2.33333333333333,3,5.66666666666667,2.66666666666667,3,4.66666666666667,2.66666666666667,1.66666666666667,3.66666666666667,2.33333333333333
"Greg",2.33333333333333,2.66666666666667,5,2.66666666666667,1,4.33333333333333,2,1.66666666666667,5,3,3,5.66666666666667,1,2.66666666666667,1.66666666666667,3.66666666666667,7,2.66666666666667,2.66666666666667,3,1,3,2.33333333333333,1.66666666666667,3,4.33333333333333,3.66666666666667,4,1.33333333333333,2.66666666666667,3,2,4.66666666666667,3.66666666666667,4.33333333333333,2.66666666666667,4.66666666666667,1,5.33333333333333,5,4.33333333333333,2.33333333333333,3,3,3.33333333333333,5,6.33333333333333,1,2,2.33333333333333,1.33333333333333,4.66666666666667,4.33333333333333,1.33333333333333
"Guazza",5.66666666666667,5,3.33333333333333,3.33333333333333,1,4,5,1,3,3.66666666666667,5,4,3.33333333333333,5,1,4.33333333333333,3.66666666666667,3.33333333333333,2.33333333333333,3.66666666666667,3.66666666666667,5.66666666666667,4.33333333333333,3.33333333333333,3.33333333333333,3,2.33333333333333,2.33333333333333,3,5,4.33333333333333,4,2.66666666666667,4,1.66666666666667,3.66666666666667,3.33333333333333,4.66666666666667,3,4.66666666666667,3.66666666666667,2.33333333333333,4.33333333333333,5.66666666666667,2,3,4,3.33333333333333,3.33333333333333,3,3,2,3.66666666666667,2.66666666666667
"Guenda",5.66666666666667,5,3,3.66666666666667,1,3.66666666666667,5,1,3,3.33333333333333,4.66666666666667,3,3.66666666666667,5,1,4.33333333333333,3,3.33333333333333,2.66666666666667,3.66666666666667,4.66666666666667,5.33333333333333,4.33333333333333,2.66666666666667,3.66666666666667,3,2.66666666666667,2.33333333333333,3,5,3.66666666666667,4,3,3.66666666666667,1.66666666666667,3.66666666666667,3.33333333333333,4.66666666666667,2.66666666666667,4.33333333333333,3.66666666666667,2.33333333333333,4.33333333333333,4.66666666666667,2,2.33333333333333,3.66666666666667,2.33333333333333,3.33333333333333,3,3,2.33333333333333,3.66666666666667,3.33333333333333
"Guilaine",2.33333333333333,5,2,4,1,2.33333333333333,5,2.33333333333333,5,3.66666666666667,3,4.33333333333333,1.33333333333333,4.66666666666667,1.33333333333333,3.33333333333333,5.66666666666667,2.66666666666667,2,3,4.33333333333333,5,4.66666666666667,3,2.66666666666667,2.33333333333333,3,2.33333333333333,1.66666666666667,3,3.66666666666667,2,2.66666666666667,2.66666666666667,4,2.66666666666667,4.33333333333333,1.66666666666667,4,6.33333333333333,4,1.33333333333333,4.66666666666667,5.33333333333333,2,5,5,1.33333333333333,3,1.66666666666667,2.66666666666667,3,3.66666666666667,2.66666666666667
"Jeanne",2.66666666666667,5.33333333333333,3.66666666666667,3,1,5,4,2.66666666666667,4.33333333333333,5,3.33333333333333,4.66666666666667,3.66666666666667,3.33333333333333,2.33333333333333,3.33333333333333,6,3,3,3.66666666666667,3.33333333333333,5.66666666666667,4,4.66666666666667,2,3,3.66666666666667,2.66666666666667,2.33333333333333,3,4.66666666666667,2.66666666666667,2.66666666666667,3.66666666666667,5,2.66666666666667,4.66666666666667,3,3.66666666666667,6,4,2.66666666666667,5,6.33333333333333,2.66666666666667,5,5,1.66666666666667,5,2.66666666666667,3,4.66666666666667,3.33333333333333,1.66666666666667
"Lady",4.33333333333333,5,4,2.33333333333333,1,4,4,1.66666666666667,4.33333333333333,4.33333333333333,5.66666666666667,4.33333333333333,3,3.66666666666667,1.66666666666667,3,5,3,3.33333333333333,3,2.33333333333333,4.33333333333333,3.66666666666667,3,2.33333333333333,3.66666666666667,4,2.33333333333333,3.66666666666667,3.33333333333333,5,3.33333333333333,3.33333333333333,4.33333333333333,4,3.33333333333333,4.66666666666667,4,4.66666666666667,3.66666666666667,3.66666666666667,3,4.66666666666667,5.66666666666667,2.66666666666667,4.66666666666667,4.66666666666667,3,4,2.66666666666667,2.66666666666667,3.66666666666667,2.66666666666667,2.33333333333333
