"Subject","tDom","tOpn","tFrd","tInd"
"Achille",37.2,34.6,40.3,66.6
"Annibal",45.6,62.6,51.8,41.9
"Arjuna",62.1,65.6,54.3,37.9
"Charles",52.3,44.3,36.3,60.2
"Coco",41.3,48.5,47.8,37.6
"Couscous",48.5,54.9,47.2,46.2
"Dany",49.3,52.3,43.8,41.4
"Dattero",40.7,56.5,43.1,45.7
"Donald",35.3,39.3,34.2,75.2
"Eve",37.2,44.3,54.7,37.1
"Fleur",62.3,55.8,56.7,44.6
"Gaetan",61.5,32.7,35.6,62.8
"Grant",59.9,67.6,44.4,48.3
"Greg",62.3,37.9,31.5,53.2
"Guazza",52.3,56.5,56,37.6
"Guenda",50.4,57.7,51.2,39.2
"Guilaine",50,37.9,56.7,38.1
"Jeanne",57.2,40,69,44
"Lady",57.9,45.7,58.7,48.3
"Nabou",50.4,38.4,49.9,48.9
"Natchez",61.4,34.8,36.9,62
"Nereis",39.5,47.3,71,52.1
"Nicandro",37.3,60.8,52.3,41.1
"Nimbo",51.1,62.4,45.6,62.8
"Nina",51.7,43.7,50.7,45.5
"Ninfa",42.5,44.4,55.8,38.7
"Olga",36.2,46.6,64.9,59.1
"Pallas",43.6,41,33.5,52.1
"Palmira",39.5,45.9,52.6,41.4
"Palos",36.4,37.7,38.3,67.7
"Papaya",40.4,46.6,48.5,43
"Parsifal",33.4,55.1,49.9,44
"Patsy",56.7,60.8,47.2,60.2
"Platon",57.1,37.9,30.8,65.5
"Rimbaud",66.2,49.8,41.5,67.7
"Shan",65.1,68.8,64.9,52.1
"Sherlock",48.3,41.8,58.3,59.3
"Sibylle",65.9,57.8,49.2,62.5
"Simbad",43,48.1,64.9,46.9
"Sophie",69.7,61.5,49.9,46.7
"Soqquadro",61.6,66.9,44.4,47.8
"Sostrato",47.4,52.3,47.2,45.7
"Sybille",37.2,45.4,61,39.5
"Tanya",50.5,52.9,59.4,48.3
"Thethys",49.6,51.3,58.9,48.7
"Uttar",54.6,65.1,59.2,45.1
