Sub	Date	Trial	Samples	Accuracy	RiskChoices	Risk	NumRiskChoices	RT	RtRisk	PressedSample	CorSampPort	CorrectPort	PortPressed	PBSCoverall	SamplesTime	GoPressTime	ChoiceShown	ChoiceTime	NumChoices	ex2	ex3	SampleToRespRT	Pellet	Tokens	RiskBias	RiskSide	PicturePressed	CorrectPicture	SampleDuration	SimHintDuration	Delay	Chamber	TrialsPerSession	Criterion	TO	ITI	RiskOrder	Randomrisk?	LowHighPBSC	LowvsMedPBSC	MedvsHighPBSC	LoMedvsHighPBSC	LovsMedHighPBSC
lash	2010.07.02	1	2	1	threerisk	Low	3	0.85	0.95	<n/a>	0	4	4	0.481	1.383	3.65	10.2	11.05	7	bl	bl	4.883333	0	6	-1	Left	2372	2372	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.481	<n/a>	<n/a>	0.428	0.274
lash	2010.07.02	2	3	1	threerisk	Low	3	1.917	1.033	<n/a>	1	5	5	0.481	14.083	14.383	21.1	23.017	10	bl	bl	6.066667	0	7	-1.97	Left	293	293	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.481	<n/a>	<n/a>	0.428	0.274
lash	2010.07.02	3	2	1	threerisk	Medium	3	0.617	0.883	<n/a>	1	5	5	0.481	25.833	26.7	33.233	33.85	7	bl	bl	4.583333	2	8	-1.9109	Middle	2262	2262	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.481	<n/a>	<n/a>	0.428	0.274
lash	2010.07.02	4	2	0	threerisk	Medium	3	1.25	1.033	1	1	9	7	0.481	40.033	42.583	49.3	50.55	9	bl	bl	5.4	0	6	-1.853573	Middle	2238	1380	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.481	<n/a>	<n/a>	0.428	0.274
lash	2010.07.02	5	1	1	threerisk	High	3	1.717	0.867	<n/a>	0	7	7	0.481	53.533	54.233	60.767	62.483	8	bl	bl	5.683333	0	5	-0.7979658	Right	737	737	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.481	<n/a>	<n/a>	0.428	0.274
lash	2010.07.02	6	2	0	threerisk	Medium	3	1.567	1.433	1	1	4	11	0.481	68.417	68.967	76.067	77.633	8	bl	bl	6.1	0	10	-0.7740268	Middle	896	2054	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.481	<n/a>	<n/a>	0.428	0.274
lash	2010.07.02	7	1	1	threerisk	Low	3	0.933	1.5	<n/a>	0	7	7	0.481	80.283	80.95	88.083	89.017	5	bl	bl	5.5	0	9	-1.750806	Left	682	682	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.481	<n/a>	<n/a>	0.428	0.274
lash	2010.07.02	8	1	1	threerisk	Low	3	0.667	1.983	<n/a>	0	4	4	0.481	91.667	92.5	100.1	100.767	2	bl	bl	5.7	2	10	-2.698282	Left	427	427	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.481	<n/a>	<n/a>	0.428	0.274
lash	2010.07.02	9	3	1	threerisk	High	3	0.567	1.25	<n/a>	1	4	4	0.481	105.8	107.967	114.833	115.4	4	bl	bl	4.866667	2	6	-1.617333	Right	598	598	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.481	<n/a>	<n/a>	0.428	0.274
lash	2010.07.02	10	2	0	threerisk	Medium	3	2.317	1.867	1	0	10	8	0.481	123.25	125.95	133.5	135.817	9	bl	bl	7.3	0	6	-1.568813	Middle	395	488	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.481	<n/a>	<n/a>	0.428	0.274
lash	2010.07.02	11	1	0	threerisk	Low	3	2.133	2.3	0	0	4	9	0.481	138.8	139.3	147.3	149.433	10	bl	bl	7.566667	0	5	-2.521749	Left	2	654	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.481	<n/a>	<n/a>	0.428	0.274
lash	2010.07.02	12	1	1	threerisk	High	3	1.65	1.967	<n/a>	0	8	8	0.481	152.417	152.9	160.533	162.183	6	bl	bl	6.716667	2	6	-1.446097	Right	820	820	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.481	<n/a>	<n/a>	0.428	0.274
lash	2010.07.02	13	2	1	threerisk	High	3	0.033	1.967	<n/a>	0	8	8	0.481	169.983	173.5	181.1	181.133	6	bl	bl	5.066667	2	6	-0.4027136	Right	1070	1070	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.481	<n/a>	<n/a>	0.428	0.274
lash	2010.07.02	14	2	0	threerisk	Low	3	0.917	3.033	1	1	4	8	0.481	189.183	192.417	201.117	202.033	7	bl	bl	7.05	0	6	-1.390632	Left	1283	145	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.481	<n/a>	<n/a>	0.428	0.274
lash	2010.07.02	15	2	0	threerisk	Low	3	1.2	3.05	1	1	4	6	0.481	204.967	205.983	214.633	215.833	3	bl	bl	7.283333	0	7	-2.348913	Left	1850	335	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.481	<n/a>	<n/a>	0.428	0.274
lash	2010.07.02	16	3	1	threerisk	Low	3	1.283	3.467	<n/a>	1	7	7	0.481	218.667	219.75	228.867	230.15	10	bl	bl	7.85	0	8	-3.278446	Left	492	492	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.481	<n/a>	<n/a>	0.428	0.274
lash	2010.07.02	17	3	0	threerisk	Low	3	1.5	4.367	0	0	5	7	0.481	232.917	233.517	243.5	245	5	bl	bl	8.916667	0	9	-4.180092	Left	804	211	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.481	<n/a>	<n/a>	0.428	0.274
lash	2010.07.02	18	3	0	threerisk	Low	3	0.95	4.383	1	2	7	5	0.481	247.667	248.617	258.633	259.583	4	bl	bl	8.4	2	10	-5.05469	Left	1969	158	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.481	<n/a>	<n/a>	0.428	0.274
lash	2010.07.02	19	2	0	threerisk	Medium	3	0.65	2.383	1	1	4	6	0.481	264.6	266.5	274.483	275.133	3	bl	bl	6.083333	0	6	-4.903049	Middle	561	2123	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.481	<n/a>	<n/a>	0.428	0.274
lash	2010.07.02	20	1	1	threerisk	High	3	2.333	2.283	<n/a>	0	4	4	0.481	278.117	279.7	287.633	289.967	6	bl	bl	7.7	0	5	-3.755958	Right	315	315	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.481	<n/a>	<n/a>	0.428	0.274
