Sub	Date	Trial	Samples	Accuracy	RiskChoices	Risk	NumRiskChoices	RT	RtRisk	PressedSample	CorSampPort	CorrectPort	PortPressed	PBSCoverall	SamplesTime	GoPressTime	ChoiceShown	ChoiceTime	NumChoices	ex2	ex3	SampleToRespRT	Pellet	Tokens	RiskBias	RiskSide	PicturePressed	CorrectPicture	SampleDuration	SimHintDuration	Delay	Chamber	TrialsPerSession	Criterion	TO	ITI	RiskOrder	Randomrisk?	LowHighPBSC	LowvsMedPBSC	MedvsHighPBSC	LoMedvsHighPBSC	LovsMedHighPBSC	
lash	2009.03.25	1	2	1	threerisk	Low	3	1.367	1.017	<n/a>	1	8	8	0.699	1.167	1.733	6.433	7.8	5	bl	bl	3.5	0	6	-1	Left	1898	1898	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk	0.699	<n/a>	<n/a>	0.655	0.511
lash	2009.03.25	2	2	1	threerisk	High	3	1.283	0.567	<n/a>	0	6	6	0.699	12.317	12.833	17.55	18.833	5	bl	bl	3.416667	2	7	0.03	Right	0198	0198	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk	0.699	<n/a>	<n/a>	0.655	0.511
lash	2009.03.25	3	2	0	threerisk	Low	3	0.733	1.45	1	0	7	4	0.699	26.783	28.7	33.433	34.167	5	bl	bl	2.866667	0	6	-0.9709	Left	0537	0221	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk	0.699	<n/a>	<n/a>	0.655	0.511
lash	2009.03.25	4	2	0	threerisk	Low	3	0.7	1.617	0	0	5	6	0.699	39.933	40.55	45.267	45.967	5	bl	bl	2.833333	0	7	-1.941773	Left	1216	2360	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk	0.699	<n/a>	<n/a>	0.655	0.511
lash	2009.03.25	5	2	1	threerisk	High	3	1.117	0.933	<n/a>	0	6	6	0.699	50.55	51.05	55.783	56.9	5	bl	bl	3.266667	2	8	-0.8835198	Right	0738	0738	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk	0.699	<n/a>	<n/a>	0.655	0.511
lash	2009.03.25	6	2	1	threerisk	High	3	0.733	1.433	<n/a>	0	4	4	0.699	65	68.15	72.867	73.6	5	bl	bl	2.866667	2	6	0.1429858	Right	2017	2017	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk	0.699	<n/a>	<n/a>	0.655	0.511
lash	2009.03.25	7	2	1	threerisk	High	3	0.75	2	<n/a>	0	5	5	0.699	84.733	84.85	89.567	90.317	5	bl	bl	2.883333	2	6	1.138696	Right	1633	1633	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk	0.699	<n/a>	<n/a>	0.655	0.511
lash	2009.03.25	8	2	1	threerisk	High	3	1.05	2.417	<n/a>	1	5	5	0.699	99.933	101.3	106.033	107.083	5	bl	bl	3.216667	2	6	2.104535	Right	1013	1013	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk	0.699	<n/a>	<n/a>	0.655	0.511
lash	2009.03.25	9	2	1	threerisk	High	3	1.283	2.867	<n/a>	1	7	7	0.699	116.417	119.7	123.433	124.717	5	bl	bl	2.45	2	6	3.041399	Right	1513	1513	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk	0.699	<n/a>	<n/a>	0.655	0.511
lash	2009.03.25	10	2	1	threerisk	High	3	0.65	3.5	<n/a>	1	4	4	0.699	134.517	137.917	142.65	143.3	5	bl	bl	2.8	2	6	3.950157	Right	2230	2230	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk	0.699	<n/a>	<n/a>	0.655	0.511
