Sub	Date	Trial	Samples	Accuracy	RiskChoices	Risk	NumRiskChoices	RT	RtRisk	PressedSample	CorSampPort	CorrectPort	PortPressed	PBSCoverall	SamplesTime	GoPressTime	ChoiceShown	ChoiceTime	NumChoices	ex2	ex3	SampleToRespRT	Pellet	Tokens	RiskBias	RiskSide	PicturePressed	CorrectPicture	SampleDuration	SimHintDuration	Delay	Chamber	TrialsPerSession	Criterion	TO	ITI	RiskOrder	Randomrisk?
lash	2009.02.24	1	2	0	threerisk	Medium	3	2.033	0.55	1	0	4	6	0.777	1.183	7	11.667	13.7	5	bl	bl	4.15	0	6	0	Middle	2402	1455	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	2	2	1	threerisk	High	3	0.683	0.5	<n/a>	0	6	6	0.777	16.4	18.417	23.133	23.817	5	bl	bl	2.816667	2	6	0	Right	2463	2463	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	3	2	1	threerisk	Medium	3	0.85	0.933	<n/a>	0	8	8	0.777	34.4	35.217	39.95	40.8	5	bl	bl	3	0	6	0	Middle	1676	1676	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	4	2	1	threerisk	Low	3	1.217	0.583	<n/a>	1	7	7	0.777	45.55	46.167	49.883	51.1	5	bl	bl	2.366667	0	8	0	Left	1031	1031	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	5	2	0	threerisk	Low	3	1.8	0.617	0	0	8	6	0.777	54.567	55.217	59.933	61.733	5	bl	bl	3.95	2	9	0	Left	1432	130	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	6	2	1	threerisk	High	3	1.283	0.4	<n/a>	0	6	6	0.777	66.95	72.683	77.433	78.717	5	bl	bl	3.45	2	6	0	Right	2291	2291	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	7	2	0	threerisk	Medium	3	1.383	1.583	1	1	8	5	0.777	86.067	91.133	95.85	97.233	5	bl	bl	3.533333	0	6	0	Middle	992	198	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	8	2	1	threerisk	High	3	0.767	0.583	<n/a>	1	4	4	0.777	101	101.85	106.583	107.35	5	bl	bl	2.916667	2	6	0	Right	1556	1556	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	9	2	1	threerisk	High	3	1.367	0.583	<n/a>	1	8	8	0.777	114.883	117.517	122.217	123.583	5	bl	bl	3.5	2	6	0	Right	2413	2413	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	10	2	0	threerisk	Medium	3	0.967	0.983	1	1	4	6	0.777	131.133	133.867	138.583	139.55	5	bl	bl	3.1	0	6	0	Middle	1656	168	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	11	2	0	threerisk	Low	3	0.883	1.117	1	1	5	7	0.777	142.683	143.45	148.183	149.067	5	bl	bl	3.033333	0	6	0	Left	522	991	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	12	2	1	threerisk	Low	3	1.333	0.533	<n/a>	0	8	8	0.777	153.25	153.983	158.717	160.05	5	bl	bl	3.483333	0	7	0	Left	237	237	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	13	2	1	threerisk	Low	3	0.867	0.45	<n/a>	0	5	5	0.777	163.517	165.017	169.733	170.6	5	bl	bl	3	0	8	0	Left	471	471	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	14	2	1	threerisk	Low	3	0.767	0.883	<n/a>	0	6	6	0.777	175.95	176.067	180.783	181.55	5	bl	bl	2.9	2	9	0	Left	2149	2149	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	15	2	1	threerisk	High	3	0.983	0.6	<n/a>	0	6	6	0.777	187.083	192.583	197.3	198.283	5	bl	bl	3.116667	2	6	0	Right	322	322	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	16	2	0	threerisk	Low	3	1.717	0.5	1	1	7	5	0.777	205.783	208.35	213.117	214.833	5	bl	bl	3.9	0	6	0	Left	1945	2276	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	17	2	1	threerisk	High	3	1.483	0.433	<n/a>	1	7	7	0.777	218.4	219.4	223.117	224.6	5	bl	bl	2.633333	2	7	0	Right	1587	1587	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
