Sub	Date	Trial	Samples	Accuracy	RiskChoices	Risk	NumRiskChoices	RT	RtRisk	PressedSample	CorSampPort	CorrectPort	PortPressed	PBSCoverall	SamplesTime	GoPressTime	ChoiceShown	ChoiceTime	NumChoices	ex2	ex3	SampleToRespRT	Pellet	Tokens	RiskBias	RiskSide	PicturePressed	CorrectPicture	SampleDuration	SimHintDuration	Delay	Chamber	TrialsPerSession	Criterion	TO	ITI	RiskOrder	Randomrisk?	LowHighPBSC	LowvsMedPBSC	MedvsHighPBSC	LoMedvsHighPBSC	LovsMedHighPBSC
lash	2010.07.26	1	1	1	threerisk	Medium	3	1.233	0.85	<n/a>	0	10	10	0.258	1.067	1.883	8.417	9.65	7	bl	bl	5.2	0	6	0	Middle	238	238	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	2	3	1	threerisk	Low	3	0.983	1	<n/a>	0	13	13	0.258	14.283	14.85	21.5	22.483	10	bl	bl	5.083333	0	9	-1	Left	1646	1646	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	3	1	0	threerisk	Low	3	0.85	1.083	0	0	11	10	0.258	25.15	25.533	32.283	33.133	8	bl	bl	5.033333	2	10	-1.97	Left	2419	1852	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	4	1	1	threerisk	Low	3	1.633	1.5	<n/a>	0	7	7	0.258	37.65	40.017	47.183	48.817	8	bl	bl	6.233333	0	6	-2.9109	Left	2149	2149	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	5	1	1	threerisk	Medium	3	1.2	1.633	<n/a>	0	4	4	0.258	51.767	52.333	59.583	60.783	3	bl	bl	5.883333	0	7	-2.823573	Middle	418	418	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	6	3	1	threerisk	Low	3	0.983	4.017	<n/a>	2	7	7	0.258	65.017	65.483	75.117	76.1	5	bl	bl	8.05	2	10	-3.738866	Left	1987	1987	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	7	3	0	threerisk	Medium	3	1.55	1.483	1	2	15	11	0.258	80.633	82.4	89.65	91.2	12	bl	bl	6.233333	0	6	-3.6267	Middle	2052	70	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	8	2	1	threerisk	Low	3	0.783	2.333	<n/a>	1	5	5	0.258	94.267	94.783	102.75	103.533	5	bl	bl	6.183333	0	5	-4.517899	Left	563	563	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	9	1	1	threerisk	Medium	3	1.167	1.95	<n/a>	0	4	4	0.258	106.583	107.217	114.8	115.967	4	bl	bl	6.183333	0	6	-4.382362	Middle	386	386	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	10	3	0	threerisk	Low	3	0.917	2.767	1	1	8	10	0.258	120.467	120.95	129.367	130.283	8	bl	bl	6.766667	0	9	-5.250891	Left	1571	889	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	11	1	1	threerisk	Medium	3	0.9	2.333	<n/a>	0	4	4	0.258	132.95	133.617	141.567	142.467	3	bl	bl	6.283333	2	10	-5.093364	Middle	244	244	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	12	1	1	threerisk	Medium	3	0.733	2.733	<n/a>	0	5	5	0.258	148.85	151.267	159.583	160.317	2	bl	bl	6.483333	0	6	-4.940563	Middle	1262	1262	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	13	2	0	threerisk	Low	3	1.533	3.083	0	1	4	9	0.258	164.817	165.333	174.083	175.617	9	bl	bl	7.716667	0	9	-5.792346	Left	560	1520	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	14	2	1	threerisk	Low	3	1.333	3.483	<n/a>	0	5	5	0.258	178.317	179.017	188.167	189.5	9	bl	bl	7.916667	2	10	-6.618576	Left	1187	1187	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	15	3	0	threerisk	Medium	3	1.483	3.117	1	1	4	6	0.258	194.017	196.517	205.25	206.733	5	bl	bl	7.666667	0	6	-6.420019	Middle	1369	3	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	16	3	1	threerisk	Low	3	0.983	4.033	<n/a>	1	6	6	0.258	209.8	210.383	220.017	221	4	bl	bl	8.05	0	5	-7.227418	Left	1123	1123	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	17	3	1	threerisk	Medium	3	1.9	3.383	<n/a>	0	9	9	0.258	224.067	224.967	233.967	235.867	7	bl	bl	8.35	0	6	-7.010596	Middle	399	399	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	18	1	1	threerisk	Low	3	1.417	4.633	<n/a>	0	8	8	0.258	240.35	240.8	251.05	252.467	5	bl	bl	9.1	0	9	-7.800278	Left	1600	1600	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	19	2	1	threerisk	Medium	3	1.517	4.133	<n/a>	0	7	7	0.258	255.15	255.75	265.5	267.017	6	bl	bl	8.716667	2	10	-7.566269	Middle	2355	2355	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	20	1	1	threerisk	High	3	0.483	0.617	<n/a>	0	5	5	0.258	273.083	275.483	281.7	282.183	2	bl	bl	4.15	2	6	-6.339281	Right	368	368	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	21	1	1	threerisk	High	3	1.2	1.067	<n/a>	0	10	10	0.258	289.767	291.75	298.5	299.7	9	bl	bl	5.383333	2	6	-5.149103	Right	2264	2264	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	22	3	1	threerisk	Low	3	1.233	4.183	<n/a>	2	11	11	0.258	307.267	310.367	320.217	321.45	9	bl	bl	8.533333	0	6	-5.99463	Left	1929	1929	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	23	1	1	threerisk	High	3	1.733	1.683	<n/a>	0	5	5	0.258	324.383	325.183	332.5	334.233	6	bl	bl	6.483333	2	7	-4.814791	Right	2055	2055	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	24	2	1	threerisk	Medium	3	0.85	3.717	<n/a>	1	5	5	0.258	341.767	344.533	353.85	354.7	3	bl	bl	7.6	0	6	-4.670347	Middle	2098	2098	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	25	1	1	threerisk	Medium	3	0.8	4.067	<n/a>	0	4	4	0.258	359.167	359.833	369.517	370.317	2	bl	bl	7.916667	2	9	-4.530237	Middle	1966	1966	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	26	2	1	threerisk	Low	3	0.967	5.583	<n/a>	0	4	4	0.258	376.317	379.433	390.65	391.617	6	bl	bl	9.616667	0	6	-5.39433	Left	1432	1432	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	27	2	1	threerisk	Low	3	0.8	5.117	<n/a>	1	5	5	0.258	394.567	395.467	406.217	407.017	6	bl	bl	9	0	7	-6.2325	Left	811	811	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	28	1	1	threerisk	Low	3	0.883	4.817	<n/a>	0	4	4	0.258	409.867	411.067	421.483	422.367	3	bl	bl	8.733333	0	8	-7.045525	Left	1295	1295	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	29	3	1	threerisk	Medium	3	1.383	4.133	<n/a>	1	6	6	0.258	425.167	425.917	435.733	437.117	9	bl	bl	8.633333	2	9	-6.834159	Middle	2320	2320	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	30	3	0	threerisk	Low	3	1.983	6.283	1	0	7	4	0.258	443.117	447.783	459.7	461.683	6	bl	bl	11.33333	0	6	-7.629134	Left	644	1428	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	31	3	0	threerisk	Medium	3	1.517	4.55	1	0	4	9	0.258	464.633	465.7	475.9	477.417	8	bl	bl	9.15	0	7	-7.40026	Middle	1566	373	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	32	1	0	threerisk	Low	3	0.117	5.783	0	0	8	5	0.258	480.367	486.1	497.55	497.667	7	bl	bl	9.016667	0	6	-8.178252	Left	2183	2220	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	33	2	0	threerisk	Low	3	1.167	6.25	1	1	4	5	0.258	500.617	501.367	513.217	514.383	3	bl	bl	10.45	0	7	-8.932905	Left	1443	2134	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	34	3	0	threerisk	Low	3	0.933	6.1	1	2	6	4	0.258	517.25	517.967	529.683	530.617	7	bl	bl	10.1	0	8	-9.664918	Left	831	486	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	35	2	0	threerisk	Medium	3	2.167	4.9	1	1	4	8	0.258	533.383	533.933	544.467	546.633	7	bl	bl	10.15	0	9	-9.37497	Middle	491	72	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	36	3	1	threerisk	Low	3	1.7	6.35	<n/a>	1	12	12	0.258	549.417	551.383	563.383	565.083	9	bl	bl	11.15	0	8	-10.09372	Left	1021	1021	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	37	1	1	threerisk	Medium	3	0.75	5	<n/a>	0	5	5	0.258	567.85	568.617	579.267	580.017	6	bl	bl	8.833333	2	9	-9.790909	Middle	763	763	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	38	2	1	threerisk	Low	3	1.45	6.367	<n/a>	0	6	6	0.258	586.133	588.55	600.517	601.967	4	bl	bl	10.85	0	6	-10.49718	Left	391	391	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	39	2	0	threerisk	Medium	3	1.017	5.25	1	0	10	9	0.258	604.917	605.517	616.433	617.45	10	bl	bl	9.366667	0	7	-10.18227	Middle	1499	1088	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	40	1	1	threerisk	Low	3	0.667	6.45	<n/a>	0	5	5	0.258	620.4	621.133	633.183	633.85	2	bl	bl	10.15	0	6	-10.8768	Left	729	729	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	41	1	1	threerisk	Medium	3	0.833	5.267	<n/a>	0	4	4	0.258	636.783	637.35	648.2	649.033	2	bl	bl	9.116667	0	7	-10.55049	Middle	2270	2270	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	42	1	0	threerisk	Low	3	1.683	6.833	0	0	13	7	0.258	653.233	653.783	666.283	667.967	10	bl	bl	11.61667	2	10	-11.23398	Left	1693	1213	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	43	2	1	threerisk	High	3	0.95	1.383	<n/a>	1	6	6	0.258	672.683	674.817	681.817	682.767	6	bl	bl	5.4	2	6	-9.896961	Right	1645	1645	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	44	1	1	threerisk	High	3	0.617	1.883	<n/a>	0	5	5	0.258	690.583	692.4	699.917	700.533	5	bl	bl	5.566667	2	6	-8.600052	Right	1375	1375	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	45	2	1	threerisk	Medium	3	2.517	5.533	<n/a>	1	8	8	0.258	708.483	710.2	721.417	723.933	10	bl	bl	11.18333	0	6	-8.34205	Middle	520	520	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	46	1	1	threerisk	Medium	3	1.3	5.6	<n/a>	0	4	4	0.258	728.417	728.95	740.183	741.483	6	bl	bl	9.983333	2	9	-8.091789	Middle	28	28	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	47	2	1	threerisk	Medium	3	0.9	5.8	<n/a>	1	9	9	0.258	747.467	750.3	761.733	762.633	6	bl	bl	9.766667	0	6	-7.849035	Middle	1766	1766	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	48	1	1	threerisk	High	3	1.75	2.533	<n/a>	0	11	11	0.258	767.117	767.733	775.95	777.7	9	bl	bl	7.4	2	9	-6.613564	Right	2034	2034	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	49	3	0	threerisk	Low	3	2.067	6.867	0	2	4	8	0.258	785.067	790.75	803.283	805.35	10	bl	bl	12.03333	0	6	-7.415157	Left	1769	1697	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	50	3	1	threerisk	Medium	3	1.65	5.817	<n/a>	1	7	7	0.258	808.3	808.917	820.417	822.067	12	bl	bl	10.58333	0	7	-7.192702	Middle	878	878	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	51	1	1	threerisk	Low	3	1.083	7.917	<n/a>	0	5	5	0.258	826.3	828.983	842.5	843.583	2	bl	bl	12.03333	2	10	-7.976921	Left	2505	2505	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	52	2	1	threerisk	High	3	0.617	2.333	<n/a>	0	5	5	0.258	848.233	852.067	860.033	860.65	5	bl	bl	6.016667	2	6	-6.737614	Right	5	5	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
lash	2010.07.26	53	3	0	threerisk	Medium	3	2.033	5.867	1	2	5	7	0.258	868.55	870.783	882.233	884.267	4	bl	bl	10.91667	0	6	-6.535485	Middle	306	74	2.5	1.6	2.25	Chamber 4	60	11	4	1	Prospective	Notrandomrisk	0.258	<n/a>	<n/a>	0.173	0.19
