Sub	Date	Trial	Samples	Accuracy	RiskChoices	Risk	NumRiskChoices	RT	RtRisk	PressedSample	CorSampPort	CorrectPort	PortPressed	PBSCoverall	SamplesTime	GoPressTime	ChoiceShown	ChoiceTime	NumChoices	ex2	ex3	SampleToRespRT	Pellet	Tokens	RiskBias	RiskSide	PicturePressed	CorrectPicture	SampleDuration	SimHintDuration	Delay	Chamber	TrialsPerSession	Criterion	TO	ITI	RiskOrder	Randomrisk?	LowHighPBSC	LowvsMedPBSC	MedvsHighPBSC	LoMedvsHighPBSC	LovsMedHighPBSC	
lash	2010.06.17	1	1	1	threerisk	Medium	3	0.867	1.083	<n/a>	0	5	5	0.571	1.433	5.983	11.583	12.45	5	bl	bl	3.933333	0	6	0	Middle	0818	0818	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	2	2	0	threerisk	Low	3	1.617	0.7	1	1	4	11	0.571	18.35	18.9	24.55	26.167	10	bl	bl	4.7	0	9	-1	Left	1829	1643	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	3	2	0	threerisk	Low	3	0.833	1.15	1	1	13	5	0.571	29.517	30.05	35.85	36.683	10	bl	bl	4.066667	2	10	-1.97	Left	1223	1286	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	4	1	1	threerisk	High	3	0.583	0.5	<n/a>	0	4	4	0.571	42.75	47.367	53.017	53.6	6	bl	bl	3.666667	2	6	-0.9109	Right	2455	2455	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	5	3	1	threerisk	Low	3	1.167	1.7	<n/a>	0	10	10	0.571	61.9	67.767	73.417	74.583	10	bl	bl	4.25	0	6	-1.883573	Left	2428	2428	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	6	1	1	threerisk	High	3	0.55	1.05	<n/a>	0	5	5	0.571	79.183	79.833	85.417	85.967	2	bl	bl	3.566667	2	7	-0.8270658	Right	0707	0707	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	7	2	1	threerisk	High	3	1.383	1.45	<n/a>	0	8	8	0.571	94.933	97.317	102.933	104.317	5	bl	bl	4.45	2	6	0.1977462	Right	2424	2424	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	8	2	0	threerisk	Low	3	1.167	2.1	1	0	7	10	0.571	113.733	116.467	122.1	123.267	7	bl	bl	4.233333	0	6	-0.8081862	Left	0312	1363	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	9	2	1	threerisk	High	3	0.783	1.9	<n/a>	1	6	6	0.571	128.333	129.267	134.883	135.667	4	bl	bl	3.833333	2	7	0.2160594	Right	0738	0738	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	10	2	1	threerisk	Low	3	2.317	2.283	<n/a>	1	12	12	0.571	145.667	156.067	161.717	164.033	10	bl	bl	5.4	0	6	-0.7904224	Left	1823	1823	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	11	1	1	threerisk	Low	3	0.6	4.15	<n/a>	0	4	4	0.571	169.233	169.8	175.4	176	2	bl	bl	3.633333	0	7	-1.76671	Left	1504	1504	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	12	3	0	threerisk	Low	3	1.3	3.267	0	2	6	9	0.571	183	185.517	191.2	192.5	12	bl	bl	4.416667	0	8	-2.713708	Left	0779	1144	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	13	1	0	threerisk	Low	3	1.533	3.667	0	0	12	7	0.571	198.517	198.617	204.267	205.8	9	bl	bl	4.616667	0	9	-3.632297	Left	1835	0745	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
