Sub	Date	Trial	Accuracy	Risk
lash	2011.03.07	1	1	High
lash	2011.03.07	2	0	High
lash	2011.03.07	3	0	Medium
lash	2011.03.07	4	0	High
lash	2011.03.07	5	1	Medium
lash	2011.03.07	6	0	Low
lash	2011.03.07	7	1	Low
lash	2011.03.07	8	1	High
lash	2011.03.07	9	1	Low
lash	2011.03.07	10	1	Medium
lash	2011.03.07	11	1	High
lash	2011.03.07	12	0	Low
lash	2011.03.07	13	1	High
lash	2011.03.07	14	1	Medium
lash	2011.03.07	15	0	High
lash	2011.03.07	16	0	Low
lash	2011.03.07	17	1	Medium
lash	2011.03.07	18	0	Low
lash	2011.03.07	19	1	Low
lash	2011.03.07	20	0	Low
lash	2011.03.07	21	1	Low
lash	2011.03.07	22	0	Medium
lash	2011.03.07	23	1	Low
lash	2011.03.07	24	1	High
lash	2011.03.07	25	1	High
lash	2011.03.07	26	1	High
lash	2011.03.07	27	1	High
lash	2011.03.07	28	1	High
lash	2011.03.07	29	1	High
lash	2011.03.07	30	1	Medium
lash	2011.03.07	31	1	Medium
lash	2011.03.07	32	1	Medium
lash	2011.03.07	33	0	Low
lash	2011.03.07	34	1	High
lash	2011.03.07	35	1	Medium
lash	2011.03.07	36	1	Low
lash	2011.03.07	37	1	Low
lash	2011.03.07	38	1	High
lash	2011.03.07	39	1	High
lash	2011.03.07	40	0	Low
lash	2011.03.07	41	1	Low
lash	2011.03.07	42	1	High
lash	2011.03.07	43	1	Medium
lash	2011.03.07	44	0	Medium
lash	2011.03.07	45	1	Low
lash	2011.03.07	46	1	Low
lash	2011.03.07	47	1	High
lash	2011.03.07	48	1	High
lash	2011.03.07	49	1	Medium
lash	2011.03.07	50	1	Medium
lash	2011.03.07	51	1	Medium
lash	2011.03.07	52	1	Low
lash	2011.03.07	53	0	Low
lash	2011.03.07	54	1	Medium
lash	2011.03.07	55	1	High
lash	2011.03.07	56	1	High
lash	2011.03.07	57	1	Medium
lash	2011.03.07	58	1	Medium
lash	2011.03.07	59	1	High
lash	2011.03.07	60	1	Medium
lash	2011.02.25	1	1	High
lash	2011.02.25	2	0	High
lash	2011.02.25	3	1	Medium
lash	2011.02.25	4	0	High
lash	2011.02.25	5	0	Low
lash	2011.02.25	6	1	Medium
lash	2011.02.25	7	1	Medium
lash	2011.02.25	8	0	Low
lash	2011.02.25	9	1	Low
lash	2011.02.25	10	0	Low
lash	2011.02.25	11	1	Medium
lash	2011.02.25	12	1	Low
lash	2011.02.25	13	1	High
lash	2011.02.25	14	1	High
lash	2011.02.25	15	1	High
lash	2011.02.25	16	1	Medium
lash	2011.02.25	17	1	Low
lash	2011.02.25	18	1	Low
lash	2011.02.25	19	1	High
lash	2011.02.25	20	1	High
lash	2011.02.25	21	1	Medium
lash	2011.02.25	22	0	Medium
lash	2011.02.25	23	1	High
lash	2011.02.25	24	1	High
lash	2011.02.25	25	1	High
lash	2011.02.25	26	0	Medium
lash	2011.02.25	27	1	Low
lash	2011.02.25	28	1	High
lash	2011.02.25	29	1	High
lash	2011.02.25	30	1	High
lash	2011.02.25	31	0	Low
lash	2011.02.25	32	1	Medium
lash	2011.02.25	33	1	Low
lash	2011.02.25	34	0	Medium
lash	2011.02.25	35	1	Medium
lash	2011.02.25	36	1	Medium
lash	2011.02.25	37	1	Low
lash	2011.02.25	38	1	Medium
lash	2011.02.25	39	1	High
lash	2011.02.25	40	1	Low
lash	2011.02.25	41	1	High
lash	2011.02.25	42	1	Medium
lash	2011.02.25	43	1	Low
lash	2011.02.25	44	1	Low
lash	2011.02.25	45	1	Low
lash	2011.02.25	46	1	High
lash	2011.02.25	47	0	Medium
lash	2011.02.25	48	1	High
lash	2011.02.25	49	1	Medium
lash	2011.02.25	50	1	High
lash	2011.02.25	51	1	High
lash	2011.02.25	52	0	Low
lash	2011.02.25	53	1	Medium
lash	2011.02.25	54	1	Low
lash	2011.02.25	55	1	Low
lash	2011.02.25	56	1	High
lash	2011.02.25	57	1	High
lash	2011.02.25	58	1	Medium
lash	2011.02.25	59	1	High
lash	2011.02.25	60	1	Medium
lash	2011.03.09	1	1	High
lash	2011.03.09	2	1	High
lash	2011.03.09	3	1	High
lash	2011.03.09	4	1	High
lash	2011.03.09	5	1	High
lash	2011.03.09	6	0	Low
lash	2011.03.09	7	1	Medium
lash	2011.03.09	8	0	Low
lash	2011.03.09	9	1	Medium
lash	2011.03.09	10	1	High
lash	2011.03.09	11	1	High
lash	2011.03.09	12	0	Medium
lash	2011.03.09	13	0	Low
lash	2011.03.09	14	0	Medium
lash	2011.03.09	15	1	Medium
lash	2011.03.09	16	1	Low
lash	2011.03.09	17	1	Low
lash	2011.03.09	18	1	Medium
lash	2011.03.09	19	1	High
lash	2011.03.09	20	0	Low
lash	2011.03.09	21	1	Low
lash	2011.03.09	22	1	Medium
lash	2011.03.09	23	0	Low
lash	2011.03.09	24	1	High
lash	2011.03.09	25	1	Medium
lash	2011.03.09	26	1	High
lash	2011.03.09	27	1	High
lash	2011.03.09	28	1	High
lash	2011.03.09	29	1	High
lash	2011.03.09	30	0	Low
lash	2011.03.09	31	1	Medium
lash	2011.03.09	32	0	Low
lash	2011.03.09	33	1	High
lash	2011.03.09	34	0	High
lash	2011.03.09	35	0	Low
lash	2011.03.09	36	0	Medium
lash	2011.03.09	37	1	Medium
lash	2011.03.09	38	1	Low
lash	2011.03.09	39	1	Low
lash	2011.03.09	40	1	Medium
lash	2011.03.09	41	0	Low
lash	2011.03.09	42	1	Low
lash	2011.03.09	43	1	High
lash	2011.03.09	44	1	High
lash	2011.03.09	45	0	Medium
lash	2011.03.09	46	0	High
lash	2011.03.09	47	0	Medium
lash	2011.03.09	48	1	High
lash	2011.03.09	49	1	Low
lash	2011.03.09	50	1	Low
lash	2011.03.09	51	1	High
lash	2011.03.09	52	1	High
lash	2011.03.09	53	1	Medium
lash	2011.03.09	54	0	High
lash	2011.03.09	55	1	Medium
lash	2011.03.09	56	1	Medium
lash	2011.03.09	57	0	Low
lash	2011.03.09	58	0	Low
lash	2011.03.09	59	0	Medium
lash	2011.03.09	60	0	Low
lash	2011.02.24	1	1	High
lash	2011.02.24	2	1	High
lash	2011.02.24	3	1	High
lash	2011.02.24	4	1	Medium
lash	2011.02.24	5	1	Low
lash	2011.02.24	6	1	Low
lash	2011.02.24	7	0	Medium
lash	2011.02.24	8	0	High
lash	2011.02.24	9	1	Medium
lash	2011.02.24	10	1	Low
lash	2011.02.24	11	1	High
lash	2011.02.24	12	1	Low
lash	2011.02.24	13	1	Medium
lash	2011.02.24	14	1	High
lash	2011.02.24	15	1	High
lash	2011.02.24	16	1	High
lash	2011.02.24	17	1	High
lash	2011.02.24	18	1	High
lash	2011.02.24	19	1	Medium
lash	2011.02.24	20	0	Low
lash	2011.02.24	21	1	Low
lash	2011.02.24	22	1	Medium
lash	2011.02.24	23	1	High
lash	2011.02.24	24	1	High
lash	2011.02.24	25	1	High
lash	2011.02.24	26	1	Medium
lash	2011.02.24	27	1	Low
lash	2011.02.24	28	1	Medium
lash	2011.02.24	29	1	Medium
lash	2011.02.24	30	1	Low
lash	2011.02.24	31	1	Low
lash	2011.02.24	32	1	High
lash	2011.02.24	33	1	High
lash	2011.02.24	34	1	Medium
lash	2011.02.24	35	1	Low
lash	2011.02.24	36	1	Low
lash	2011.02.24	37	1	Medium
lash	2011.02.24	38	1	High
lash	2011.02.24	39	1	Medium
lash	2011.02.24	40	1	Low
lash	2011.02.24	41	1	Medium
lash	2011.02.24	42	1	High
lash	2011.02.24	43	1	Low
lash	2011.02.24	44	1	Medium
lash	2011.02.24	45	1	Low
lash	2011.02.24	46	0	Medium
lash	2011.02.24	47	1	High
lash	2011.02.24	48	1	Low
lash	2011.02.24	49	1	High
lash	2011.02.24	50	1	Medium
lash	2011.02.24	51	1	Low
lash	2011.02.24	52	1	Low
lash	2011.02.24	53	1	High
lash	2011.02.24	54	1	High
lash	2011.02.24	55	1	Medium
lash	2011.02.24	56	0	Low
lash	2011.02.24	57	1	High
lash	2011.02.24	58	1	Medium
lash	2011.02.24	59	1	Medium
lash	2011.02.24	60	1	High
lash	2011.03.03	1	1	High
lash	2011.03.03	2	1	High
lash	2011.03.03	3	1	High
lash	2011.03.03	4	1	High
lash	2011.03.03	5	1	High
lash	2011.03.03	6	1	Medium
lash	2011.03.03	7	1	High
lash	2011.03.03	8	1	Medium
lash	2011.03.03	9	1	Low
lash	2011.03.03	10	1	Low
lash	2011.03.03	11	0	Medium
lash	2011.03.03	12	0	Low
lash	2011.03.03	13	1	Medium
lash	2011.03.03	14	1	Low
lash	2011.03.03	15	1	Low
lash	2011.03.03	16	1	Low
lash	2011.03.03	17	1	Medium
lash	2011.03.03	18	1	High
lash	2011.03.03	19	1	High
lash	2011.03.03	20	1	High
lash	2011.03.03	21	1	High
lash	2011.03.03	22	1	Medium
lash	2011.03.03	23	1	Medium
