Sub	Date	Trial	Accuracy	Risk
lash	2011.03.03	1	1	High
lash	2011.03.03	2	1	High
lash	2011.03.03	3	1	High
lash	2011.03.03	4	1	High
lash	2011.03.03	5	1	High
lash	2011.03.03	6	1	Medium
lash	2011.03.03	7	1	High
lash	2011.03.03	8	1	Medium
lash	2011.03.03	9	1	Low
lash	2011.03.03	10	1	Low
lash	2011.03.03	11	0	Medium
lash	2011.03.03	12	0	Low
lash	2011.03.03	13	1	Medium
lash	2011.03.03	14	1	Low
lash	2011.03.03	15	1	Low
lash	2011.03.03	16	1	Low
lash	2011.03.03	17	1	Medium
lash	2011.03.03	18	1	High
lash	2011.03.03	19	1	High
lash	2011.03.03	20	1	High
lash	2011.03.03	21	1	High
lash	2011.03.03	22	1	Medium
lash	2011.03.03	23	1	Medium
lash	2011.03.03	24	0	High
lash	2011.03.03	25	1	Low
lash	2011.03.03	26	1	Low
lash	2011.03.03	27	1	Low
lash	2011.03.03	28	1	Medium
lash	2011.03.03	29	0	Low
lash	2011.03.03	30	1	Medium
lash	2011.03.03	31	1	Low
lash	2011.03.03	32	1	High
lash	2011.03.03	33	1	High
lash	2011.03.03	34	1	High
lash	2011.03.03	35	1	Medium
lash	2011.03.03	36	1	Low
lash	2011.03.03	37	1	Medium
lash	2011.03.03	38	1	Medium
lash	2011.03.03	39	1	Low
lash	2011.03.03	40	1	Low
lash	2011.03.03	41	1	High
lash	2011.03.03	42	1	Medium
lash	2011.03.03	43	1	Low
lash	2011.03.03	44	1	Low
lash	2011.03.03	45	0	Medium
lash	2011.03.03	46	0	High
lash	2011.03.03	47	0	Medium
lash	2011.03.03	48	1	High
lash	2011.03.03	49	1	Low
lash	2011.03.03	50	1	High
lash	2011.03.03	51	1	Medium
lash	2011.03.03	52	1	High
lash	2011.03.03	53	1	High
lash	2011.03.03	54	1	High
lash	2011.03.03	55	0	High
lash	2011.03.03	56	1	Low
lash	2011.03.03	57	1	Medium
lash	2011.03.03	58	1	Medium
lash	2011.03.03	59	0	Low
lash	2011.03.03	60	1	Low
lash	2011.03.04	1	1	Low
lash	2011.03.04	2	1	High
lash	2011.03.04	3	1	High
lash	2011.03.04	4	1	High
lash	2011.03.04	5	1	High
lash	2011.03.04	6	1	Medium
lash	2011.03.04	7	1	High
lash	2011.03.04	8	1	High
lash	2011.03.04	9	1	Medium
lash	2011.03.04	10	0	Low
lash	2011.03.04	11	1	Medium
lash	2011.03.04	12	1	Low
lash	2011.03.04	13	0	Low
lash	2011.03.04	14	0	Medium
lash	2011.03.04	15	1	Medium
lash	2011.03.04	16	1	Low
lash	2011.03.04	17	1	Low
lash	2011.03.04	18	1	High
lash	2011.03.04	19	1	Medium
lash	2011.03.04	20	1	High
lash	2011.03.04	21	1	High
lash	2011.03.04	22	1	High
lash	2011.03.04	23	1	High
lash	2011.03.04	24	0	High
lash	2011.03.04	25	1	Low
lash	2011.03.04	26	1	Medium
lash	2011.03.04	27	1	Low
lash	2011.03.04	28	1	Medium
lash	2011.03.04	29	1	Low
lash	2011.03.04	30	1	Medium
lash	2011.03.04	31	1	Medium
lash	2011.03.04	32	0	Low
lash	2011.03.04	33	1	High
lash	2011.03.04	34	1	High
lash	2011.03.04	35	0	Low
lash	2011.03.04	36	1	High
lash	2011.03.04	37	1	Medium
lash	2011.03.04	38	1	Medium
lash	2011.03.04	39	1	High
lash	2011.03.04	40	1	Low
lash	2011.03.04	41	1	Medium
lash	2011.03.04	42	1	Low
lash	2011.03.04	43	1	High
lash	2011.03.04	44	1	Medium
lash	2011.03.04	45	1	Medium
lash	2011.03.04	46	1	High
lash	2011.03.04	47	0	Low
lash	2011.03.04	48	1	High
lash	2011.03.04	49	0	Medium
lash	2011.03.04	50	0	Low
lash	2011.03.04	51	1	Low
lash	2011.03.04	52	1	High
lash	2011.03.04	53	1	Medium
lash	2011.03.04	54	0	Low
lash	2011.03.04	55	1	Low
lash	2011.03.04	56	1	Medium
lash	2011.03.04	57	1	High
lash	2011.03.04	58	0	High
lash	2011.03.04	59	0	Low
lash	2011.03.04	60	1	Medium
lash	2011.03.07	1	1	High
lash	2011.03.07	2	0	High
lash	2011.03.07	3	0	Medium
lash	2011.03.07	4	0	High
lash	2011.03.07	5	1	Medium
lash	2011.03.07	6	0	Low
lash	2011.03.07	7	1	Low
lash	2011.03.07	8	1	High
lash	2011.03.07	9	1	Low
lash	2011.03.07	10	1	Medium
