Day,Month,Year,Observer ID,Start Time,Duration ,Aggression,Victim 1,Support,Supporter 1,Supporter 2,Supporter 3,Supporter 4,Supporter 5,Supporter 6,Dyadic +,Context,Aggressor ,Support,Support 1,Support 2,Support 3,Support 4,Support 5,Contact ,Directed non-contact,Display,Decided interaction,Notes,,,,,,,,
Day,Month,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Jul,2012,CB,14:39,27,Y,LB,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,RE,N,N/A,N/A,N/A,N/A,N/A,N,Y,N,N,"RE chased LB with hair errect but no raised arms, LB immediately retreated",,,,,,,,
31,Jul,2012,CB,12:09,28,Y,LB,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,DA,N,N/A,N/A,N/A,N/A,N/A,N,Y,N,N,DA chsed LB arms raised vocalising follwoing LB mating with EV,,,,,,,,
31,Jul,2012,CB,12:09,28,Y,EV,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,LB ,Y,DA,,,,,N,Y,N,N,"LB and DA chased EV, she retreated",,,,,,,,
1,Aug,2012,CB,12:31,31,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Aug,2012,CB,14:29,28,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Aug,2012,CB,15:00,23,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Aug,2012,CB,16:10,29,Y,LI,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,Q,N,N/A,N/A,N/A,N/A,N/A,N,Y,N,N,Q chased LI briefly with arms raised then ran out of Pod 1 (No contact occured LI retreated),,,,,,,,
7,Aug,2012,CB,12:07,34,Y,PA,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,Q,N,N/A,N/A,N/A,N/A,N/A,Y,N,N,Y,"Q ran towards PA vocalising with arms raised and slapped him on the back, in response PA offered to groom him",,,,,,,,
7,Aug,2012,CB,12:07,34,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,RE,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,"RE ran through Pod 3 arms raised vocalising, not directed at anyone but displaced CI, KL, FK",,,,,,,,
7,Aug,2012,CB,14:25,26,Y,DA,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,EV,Y,ED,,,,,N,Y,N,N,EV chased DA while vocolising then ran towards RE then ran into Pod 3 still vocolising,,,,,,,,
7,Aug,2012,CB,14:25,26,Y,RE,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,EV,Y,ED,,,,,N,Y,N,N,EV chased DA while vocolising then ran towards RE then ran into Pod 3 still vocolising,,,,,,,,
8,Aug,2012,CB,12:33,16,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Aug,2012,CB,11:58,30,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,KD,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,"KD ran through Pod 3 with raised hair, vocalsiing, not directed at any individual then ran outside, possibly due to scatter feed.",,,,,,,,
10,Aug,2012,CB,11:23,28,Y,FK,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,KD,N,N/A,N/A,N/A,N/A,N/A,N,Y,N,N,KD jumped at FK with arms raised and clapped his hands together - but no actual contact with FK who retreated.,,,,,,,,
