Chimp,Q1,Q2,Q3,Q4.1,Q4.2,Q5,Q6.1,Q6.2,Q7,Q8,Q9,Q10,SWB.Q1,SWB.Q2,SWB.Q3,SWB.Q4,totalwelfare,totalswb,welfareswb,time
Cindy,4.333,2.667,4,3,3.667,4,3.667,3,3.667,2,3.667,3,4,3.667,5.667,4.667,29.67,18,47.67,1
David,4,3,3.333,3,3,4,3,2.667,3.667,3.667,3,2.667,5,4,4.667,4,24.67,17.67,42.33,1
Edith,4.333,2.333,4.333,4.667,4.333,4,3.333,4.333,4.333,2,4.333,3.667,6,6.333,5.244,6,35.33,23.58,58.91,1
Emma,2.667,2.333,4,3.667,3.667,3.333,3.667,3.667,3.667,3,4,4,5.333,6,6,5.667,30.67,23,53.67,1
Eva,4.333,2,4,4.333,4.333,3.667,3.333,4.333,4.333,2,4.333,4,5.667,6,6.333,5.333,34.67,23.33,58,1
Frek,4.667,2.667,3.667,4.333,4.333,3.667,4,3.333,4.333,2.667,4,4,5,5.667,4.333,5.333,33,20.33,53.33,1
Heleen,3.667,3.667,3,3.667,3.667,3.333,3.333,3.333,3.667,3,3.333,3.333,4.333,5.333,4.333,4.333,27.67,18.33,46,1
Kilimi,4,3,3.667,3.333,3.333,4,3.667,2.333,3.667,2,4,3.333,5.667,5,5.667,5,29.33,21.33,50.67,1
Kindia,4.333,3,4,4,4,4,4,2.667,3.667,2,3.667,3.333,4.667,4.333,4.667,4,31.33,17.67,49,1
Lianne,3,3,2.667,2.667,3,3.444,3.667,2.667,3.333,3,3,2.333,3.333,3.667,4,3,23.78,14,37.78,1
Liberius,3.667,3.333,3.333,2.667,3,3.333,3.333,2.667,4,3.333,2.667,3,4,3.667,4,4,24.67,15.67,40.33,1
Louis,3.667,2.333,4,3.667,3.333,3.667,3.333,3.333,4,2,4,3,4.667,5,5.667,5,30.33,20.33,50.67,1
Lucy,2,2,4.333,4,4.333,3.333,3.667,3.333,4,2,3.333,3.333,5,5.333,5.667,5,31.67,21,52.67,1
Paul,3.333,2.667,3,2.667,3,2.778,3,2.667,3.333,2.667,2.667,3.157,3.667,4.333,4.667,2.667,23.6,15.33,38.94,1
Pearl,3,4,2,2.667,2.667,3.333,3.667,2,3.667,3.333,2.333,2.333,4,3.667,4,3.667,21.33,15.33,36.67,1
Qafzeh,4.667,2.667,4.333,4,4,4,3.667,4,4,2,4.333,3.667,5.333,5.333,6.667,5.667,34,23,57,1
Rene,4,3,3,4.333,4.333,3.667,3.667,3.667,4,3.667,3.333,2.667,6,6,4,4.667,29,20.67,49.67,1
Sofie,3.333,4,2.667,3,3.333,3.667,3.667,2.667,3,3.667,2.667,2.333,4.333,3.667,4,3.667,23.33,15.67,39,1
Cindy,3.667,4,3,2,1.667,3.333,2.667,1.667,2.667,4,2.333,2.463,2.667,3,3,3.333,17.8,12,29.8,2
David,3,2.333,3.667,3.333,3.667,3.692,3,3.333,3,3,3.333,3.796,5.333,5,5.333,5,27.82,20.667,48.49,2
Edith,4,2.333,4.333,4.667,4.667,3.026,3.333,4.333,4.333,2,4.333,4.13,5,5,5,5.667,35.16,20.667,55.82,2
Emma,3.667,2.333,4,4.333,4,3.359,3.333,3.667,4,2.333,4,3.13,5,5,5.333,5.333,31.49,20.667,52.16,2
Eva,4.333,2.333,4.333,5,5,3.359,3,5,4.333,1.667,4.667,3.796,5.667,5.667,6.333,6.333,36.82,24,60.82,2
Frek,4,2.667,3.667,4,4,2.692,3,3,3.667,3.333,3.667,4.13,4.333,3.667,4.667,4.333,28.49,17,45.49,2
Heleen,4,3,3.333,3.333,3.667,2.692,3,3.667,3.333,3.333,3.333,3.13,4.333,4.333,4.667,5,26.16,18.333,44.49,2
Kilimi,3.667,2.667,3.667,2.667,3,3.026,3,2.667,3,2.667,3.333,3.463,4,4,5,4,25.16,17,42.16,2
Kindia,4.667,2.667,4.333,3.667,4,3.692,3,3.667,3.667,2.333,3.667,3.463,4.667,4.333,5.667,5.333,30.82,20,50.82,2
Lianne,2.667,3.667,2.333,2.667,2.667,2.692,3,2.333,2.333,4,2.667,2.796,2.667,3,3.667,2.333,19.49,11.667,31.16,2
Liberius,5,1.667,4.333,2.667,3,2.359,2.667,2.667,3.667,2.333,3.667,3.463,4,4,5.333,4.667,26.16,18,44.16,2
Louis,3.333,2.333,4.333,4,4.333,3.692,3,4,4,2.333,3.667,3.796,5.333,5.667,6,6,32.49,23,55.49,2
Lucy,2.667,2,4.333,3.667,3.333,3.026,3.333,3.667,3.667,2,4.333,3.796,5,5.333,5.333,4.333,31.16,20,51.16,2
Paul,3.667,4,2.333,2.667,2.333,2.359,2.667,2,2.333,4,2.667,2.796,3,2.667,3.333,2.333,18.16,11.333,29.49,2
Pearl,3.333,3.667,3.333,3.667,3.667,3,3,1.667,3,3,3.667,3.463,3,3.333,5,4,25.46,15.333,40.8,2
Qafzeh,5,2.667,4.333,4,4,3.692,3,4,3.667,2.333,4,3.796,5,5.333,6.667,5.667,32.16,22.667,54.82,2
Rene,4.333,3,3,4.333,4,3.026,3,4,4,3.333,4,3.796,5.333,5.333,5.333,6,29.82,22,51.82,2
Sofie,3,4.333,2.333,2.333,2.667,2.667,3,1.333,2,4,2,1.796,2,2,2.667,2,16.13,8.667,24.8,2
