"","Group.1","Chimp","Rater","Q.day","Q.month","Q.year","Known.day","K.month","K.year","Known.months","Q1","Q2","Q3","Q4.1","Q4.2","Q5","Q6.1","Q6.2","Q7","Q8","Q9","Q10","SWB.Day","SWB.Month","SWB.Year","SWB.Q1","SWB.Q2","SWB.Q3","SWB.Q4","Welfare.comments","X1","X2","X3","X4.1","X4.2","X5","X6.1","X6.2","Positive","X7.comments","Negative","X8.comment","X9","X10","Freq"
"1","Africa",NA,NA,17.5,4.21428571428571,2015,NA,NA,NA,8.28571428571429,3.35714285714286,3.07142857142857,4.07142857142857,3.85714285714286,4.14285714285714,3.78571428571429,3.78571428571429,4.07142857142857,4.14285714285714,2.28571428571429,4.21428571428571,4.21428571428571,NA,NA,NA,5.71428571428571,5.92857142857143,5.92857142857143,5.78571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"2","Bea",NA,NA,17.5,4.21428571428571,2015,NA,NA,NA,8.28571428571429,4.21428571428571,3,2.78571428571429,2.85714285714286,3.14285714285714,3.35714285714286,2.92857142857143,2.5,3.42857142857143,3.14285714285714,3.35714285714286,3.21428571428571,NA,NA,NA,4.14285714285714,4.07142857142857,4,3.64285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"3","Bongo",NA,NA,17.5,4.21428571428571,2015,NA,NA,NA,8.28571428571429,4.71428571428571,3.5,3.85714285714286,3.78571428571429,3.64285714285714,3.78571428571429,3.5,3.28571428571429,4.21428571428571,2.07142857142857,4,4.14285714285714,NA,NA,NA,5.21428571428571,5,5.42857142857143,5.64285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"4","Charly",NA,NA,17.5,4.21428571428571,2015,NA,NA,NA,8.28571428571429,3.92857142857143,3.07142857142857,3.64285714285714,4.28571428571429,4.21428571428571,3.71428571428571,3.42857142857143,3.57142857142857,4.07142857142857,2.71428571428571,4.14285714285714,4.21428571428571,NA,NA,NA,5.21428571428571,5.71428571428571,5.5,5.07142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"5","Cindy",NA,NA,7,9.33333333333333,2014,NA,NA,NA,61,4.33333333333333,2.66666666666667,4,3,3.66666666666667,4,3.66666666666667,3,3.66666666666667,2,3.66666666666667,3,7,9.33333333333333,2014,4,3.66666666666667,5.66666666666667,4.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"6","Coco",NA,NA,17.5,4.21428571428571,2015,NA,NA,NA,8.28571428571429,4.35714285714286,3.07142857142857,3.28571428571429,2.71428571428571,2.64285714285714,3.5,3.14285714285714,2.64285714285714,3.28571428571429,2.71428571428571,3.35714285714286,3.21428571428571,NA,NA,NA,4.07142857142857,3.78571428571429,4.21428571428571,3.78571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"7","David",NA,NA,15,9.33333333333333,2014,NA,NA,NA,21,4,3,3.33333333333333,3,3,4,3,2.66666666666667,3.66666666666667,3.66666666666667,3,2.66666666666667,11.3333333333333,10,2014,5,4,4.66666666666667,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"8","Edith",NA,NA,13.6666666666667,9,2014,NA,NA,NA,17,4.33333333333333,2.33333333333333,4.33333333333333,4.66666666666667,4.33333333333333,4,3.33333333333333,4.33333333333333,4.33333333333333,2,4.33333333333333,3.66666666666667,13.6666666666667,9,2014,6,6.33333333333333,5.24397163120567,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"9","Emma",NA,NA,12,9,2014,NA,NA,NA,17,2.66666666666667,2.33333333333333,4,3.66666666666667,3.66666666666667,3.33333333333333,3.66666666666667,3.66666666666667,3.66666666666667,3,4,4,12,9,2014,5.33333333333333,6,6,5.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"10","Eva",NA,NA,13.3333333333333,9.33333333333333,2014,NA,NA,NA,17,4.33333333333333,2,4,4.33333333333333,4.33333333333333,3.66666666666667,3.33333333333333,4.33333333333333,4.33333333333333,2,4.33333333333333,4,13.3333333333333,9.33333333333333,2014,5.66666666666667,6,6.33333333333333,5.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"11","Frek",NA,NA,13.6666666666667,9,2014,NA,NA,NA,17,4.66666666666667,2.66666666666667,3.66666666666667,4.33333333333333,4.33333333333333,3.66666666666667,4,3.33333333333333,4.33333333333333,2.66666666666667,4,4,13.6666666666667,9,2014,5,5.66666666666667,4.33333333333333,5.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"12","Heleen",NA,NA,6.33333333333333,9.66666666666667,2014,NA,NA,NA,21,3.66666666666667,3.66666666666667,3,3.66666666666667,3.66666666666667,3.33333333333333,3.33333333333333,3.33333333333333,3.66666666666667,3,3.33333333333333,3.33333333333333,10.3333333333333,10,2014,4.33333333333333,5.33333333333333,4.33333333333333,4.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"13","Juan",NA,NA,17.5,4.21428571428571,2015,NA,NA,NA,8.28571428571429,3.14285714285714,3.28571428571429,2.85714285714286,3.42857142857143,3.21428571428571,3,2.85714285714286,2.71428571428571,3.28571428571429,2.85714285714286,3.5,3.42857142857143,NA,NA,NA,4.28571428571429,4.42857142857143,4.14285714285714,4.28571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"14","Kilimi",NA,NA,6.66666666666667,9.33333333333333,2014,NA,NA,NA,61,4,3,3.66666666666667,3.33333333333333,3.33333333333333,4,3.66666666666667,2.33333333333333,3.66666666666667,2,4,3.33333333333333,9.33333333333333,6.66666666666667,2014,5.66666666666667,5,5.66666666666667,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"15","Kindia",NA,NA,13.6666666666667,9,2014,NA,NA,NA,17,4.33333333333333,3,4,4,4,4,4,2.66666666666667,3.66666666666667,2,3.66666666666667,3.33333333333333,13.6666666666667,9,2014,4.66666666666667,4.33333333333333,4.66666666666667,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"16","Lianne",NA,NA,5,9.33333333333333,2014,NA,NA,NA,17.6666666666667,3,3,2.66666666666667,2.66666666666667,3,3.44444444444444,3.66666666666667,2.66666666666667,3.33333333333333,3,3,2.33333333333333,5,9.33333333333333,2014,3.33333333333333,3.66666666666667,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
