Animal,Rater,Sociable (1),Active (1),Dominant (1),Spontaneous (1),Calm (1),Good-tempered (1),Brave (1),"Happy, cheerful (1)",Not aggressive (1),Cautious (1),Empathic (1),Not creative (1)
Pearl,GE51,4,6,4,2,4,3,4,3,2,3,3,5
Sofie,GE51,6,5,7,5,6,7,7,7,3,6,5,1
Cindy,GE51,5,4,7,2,6,2,6,5,1,4,2,6
Lucy,GE51,2,6,3,3,3,3,3,2,4,4,4,1
Heleen,GE51,3,6,4,4,5,4,5,4,3,2,4,2
Liberius,GE51,6,3,3,3,3,4,2,4,4,2,3,6
Rene,GE51,3,4,5,3,5,2,4,3,3,2,3,2
Qafzeh,GE51,3,1,2,4,3,4,1,3,5,3,4,3
Lianne,GE51,6,6,6,2,6,5,6,6,2,4,3,2
Eva,GE51,1,3,1,5,3,3,3,3,5,3,3,4
Emma,GE51,1,5,3,5,4,4,2,3,5,5,5,3
Paul,GE51,4,3,2,6,4,7,4,6,7,6,7,3
Kindia,GE51,2,2,1,6,5,6,2,5,6,5,5,2
Edith,GE51,2,2,2,6,5,4,5,3,5,4,4,6
Frek,GE51,2,3,4,5,5,2,3,4,4,4,2,5
Kilimi,GE51,4,5,5,3,5,3,5,4,3,3,4,5
David,GE51,5,3,5,4,4,4,4,5,4,3,3,2
Louis,GE51,2,2,3,6,4,3,2,3,6,5,5,4
Pearl,MW95,4,4,6,6,6,1,7,3,7,1,4,5
Sofie,MW95,3,2,6,5,6,1,7,4,7,3,4,3
Cindy,MW95,7,3,7,7,6,1,7,4,7,2,4,4
Lucy,MW95,2,7,4,6,2,3,2,3,3,6,3,4
Heleen,MW95,4,5,3,5,4,1,4,3,7,3,2,5
Liberius,MW95,5,2,4,2,2,5,1,4,1,4,6,5
Rene,MW95,2,3,3,3,5,1,2,2,3,5,2,4
Qafzeh,MW95,4,1,1,4,5,4,2,4,1,3,2,3
Lianne,MW95,5,4,7,6,5,2,5,4,7,1,4,3
Eva,MW95,1,2,1,3,4,2,3,2,1,7,4,6
Emma,MW95,1,3,2,4,2,4,2,3,1,5,3,4
Paul,MW95,7,4,7,4,5,4,4,6,2,4,7,4
Kindia,MW95,5,2,2,4,4,4,1,3,1,3,5,3
Edith,MW95,3,4,2,3,1,4,2,2,2,7,4,5
Frek,MW95,3,3,5,4,5,3,3,3,3,5,3,6
Kilimi,MW95,5,5,6,5,3,2,4,4,6,6,4,5
David,MW95,4,3,4,4,4,4,3,5,2,3,5,3
Louis,MW95,4,3,3,3,4,3,3,4,2,4,5,3
Pearl,ZN85,4,5,5,6,3,4,3,3,2,3,2,2
Sofie,ZN85,6,5,6,6,5,7,4,5,3,4,3,2
Cindy,ZN85,4,5,7,7,5,1,6,2,1,1,1,7
Lucy,ZN85,3,6,4,7,3,5,3,4,3,3,4,2
Heleen,ZN85,2,4,4,6,4,3,5,3,1,1,1,2
Liberius,ZN85,3,2,2,3,2,4,2,4,6,7,5,2
Rene,ZN85,1,2,3,2,5,1,3,1,5,5,2,2
Qafzeh,ZN85,5,5,1,5,3,3,2,4,6,4,4,2
Lianne,ZN85,4,5,4,6,4,4,3,4,2,5,2,2
Eva,ZN85,4,3,1,4,2,4,2,4,5,4,5,2
Emma,ZN85,3,4,2,5,2,4,3,3,4,4,5,2
Paul,ZN85,5,3,3,2,6,5,2,5,6,6,6,2
Kindia,ZN85,4,3,2,5,3,5,1,4,6,5,4,2
Edith,ZN85,1,2,2,1,2,4,2,3,5,6,5,4
Frek,ZN85,1,2,4,2,4,2,4,1,2,5,1,2
Kilimi,ZN85,4,5,6,6,3,4,6,4,2,3,4,5
David,ZN85,6,5,4,6,6,4,4,4,4,4,2,2
Louis,ZN85,2,4,2,4,3,4,3,4,5,4,3,2
Waty,A,4,5,6,5,2,4,2,3,3,3,3,5
Nico,A,2,3,2,5,2,2,3,2,2,3,4,5
Tico,A,1,1,1,1,7,5,7,6,2,1,4,2
Victor,A,3,4,3,3,6,2,5,3,3,3,3,3
Africa,A,5,4,6,5,6,2,3,3,3,5,4,3
Charly,A,5,4,3,3,4,3,5,3,2,3,2,5
Marco,A,3,3,6,3,3,5,2,3,3,2,4,6
Toni,A,2,3,3,3,4,4,5,2,2,4,5,3
Waty,B,2,5,5,6,3,4,4,3,5,4,5,5
Nico,B,4,3,3,5,2,2,2,3,3,6,2,5
Tico,B,2,1,2,2,6,4,7,5,5,2,4,1
Victor,B,5,4,5,2,5,3,5,4,5,5,5,2
Africa,B,5,5,5,6,5,5,5,4,5,6,5,5
Charly,B,5,5,5,5,2,2,2,3,3,2,4,5
Marco,B,5,5,6,6,2,3,2,2,3,5,2,6
Toni,B,5,4,4,4,2,3,4,4,2,3,2,3
Waty,C,4,4,6,4,6,5,5,4,5,2,5,3
Nico,C,5,2,5,2,4,4,5,4,3,3,5,3
Tico,C,3,4,3,5,2,2,2,2,2,5,4,5
Victor,C,2,2,2,1,4,4,5,4,2,2,4,2
Africa,C,5,4,2,2,4,4,5,4,3,3,4,3
Charly,C,6,5,4,4,2,2,4,3,3,5,3,4
Marco,C,4,4,5,3,4,4,2,4,4,3,3,5
Toni,C,6,5,3,4,4,4,5,3,4,4,3,4
Waty,D,7,7,7,6,5,3,2,2,7,4,4,6
Nico,D,6,7,3,5,2,1,3,1,2,6,1,6
Tico,D,1,1,5,1,6,2,2,4,5,2,2,2
Victor,D,7,6,2,4,6,2,3,2,5,2,1,5
Africa,D,7,7,6,6,6,6,3,2,6,5,5,5
Charly,D,6,6,5,6,5,2,6,2,5,5,2,6
Marco,D,6,6,3,5,6,3,6,3,3,5,1,5
Toni,D,5,3,2,2,5,2,3,2,1,5,2,2
Waty,E,6,6,7,6,5,6,2,5,6,6,3,5
Nico,E,6,5,3,6,2,2,5,2,1,3,2,3
Tico,E,1,1,2,2,5,5,7,7,5,5,5,7
Victor,E,5,5,3,3,5,5,5,5,6,7,7,5
Africa,E,6,6,6,6,7,6,7,5,6,6,6,7
Charly,E,5,5,3,5,3,3,5,3,3,3,3,3
Marco,E,6,6,7,5,5,5,2,5,5,5,5,3
Toni,E,3,3,3,3,3,5,5,5,3,2,3,3
Waty,F,2,6,6,6,6,5,6,5,5,6,4,4
Nico,F,7,6,3,7,1,1,2,1,1,3,1,6
Tico,F,6,3,7,2,5,2,2,5,2,3,1,4
Victor,F,2,2,3,2,7,3,6,3,2,3,2,4
Africa,F,7,7,2,7,6,1,5,2,2,6,1,6
Charly,F,6,6,5,5,3,3,3,2,2,4,2,4
Marco,F,6,6,6,5,5,3,2,2,5,5,2,4
Toni,F,5,3,3,5,5,5,3,3,2,5,1,5
Waty,G,6,6,7,6,3,4,4,2,4,4,4,5
Nico,G,6,7,3,4,1,1,2,1,1,3,1,7
Tico,G,1,1,2,5,6,4,3,5,5,2,1,1
Victor,G,7,7,1,3,6,4,2,3,3,4,1,7
Africa,G,6,4,6,5,5,4,3,4,3,1,6,5
Charly,G,7,6,5,2,4,5,2,4,5,3,2,1
Marco,G,7,6,7,6,1,2,1,2,4,6,1,4
Toni,G,4,3,2,1,2,3,2,2,4,1,5,1
Waty,H,5,3,5,4,5,4,3,4,5,4,4,6
Nico,H,5,3,4,4,3,2,4,3,2,3,3,2
Tico,H,3,1,2,2,7,4,7,5,2,4,4,2
Victor,H,5,5,4,4,5,3,5,4,4,5,3,2
Africa,H,6,6,3,5,4,2,5,3,2,6,4,3
Charly,H,6,5,4,4,5,3,3,3,4,4,4,2
Marco,H,6,5,6,4,2,3,2,3,4,4,4,2
Toni,H,5,6,4,6,2,2,5,3,2,5,4,2
Waty,I,5,6,6,6,4,2,2,2,5,5,5,6
Nico,I,5,3,2,4,2,2,4,2,2,3,2,5
Tico,I,3,2,2,2,4,4,5,4,2,2,4,2
Victor,I,5,5,5,4,5,4,5,4,5,3,5,4
Africa,I,6,6,6,6,5,2,5,2,3,3,4,5
Charly,I,5,5,4,4,2,4,4,4,2,4,4,4
