chimpname,Chimp,Sire,Dam,Sex,DOB,DOPR,Age,Rater,Rater_ID,Ratersex,yearsknown,monthsknown,Zoo,Zooname,Fear,Dom,Pers,Caut,Stbl,Aut,Curious,Thotl,Stngy,Jeals,Indv,Reckl,Soc,Dist,Tim,Symp,Play,Sol,Vuln,Innov,Actv,Help,Buly,Aggr,Manp,Gntl,Affc,Exct,Impl,Inqs,Subm,Cool,Depd,Irri,Unper,Pred,Decs,Depr,Conv,Sens,Defn,Intll,Prot,Quit,Invt,Clmy,Errc,Frdy,Anx,Lazy,Dsor,Unem,Imit,Indp,DOSWBR,Moods,Social,Goals,Bechimp,HPQ,Based in information up to
Ricky,37,,,1,01/01/1961,05/10/2005,,117,A,1,5,1,34,Edinburgh,5,2,2,6,2,3,3,2,5,2,6,2,4,3,6,6,6,7,5,2,2,4,1,1,2,6,6,5,5,4,6,2,3,2,3,4,4,4,5,5,2,5,4,3,3,4,3,6,5,3,3,2,2,5,05/10/2005,3,3,5,4,54,
Ricky,37,,,1,01/01/1961,21/09/2005,,118,B,0,5,3,34,Edinburgh,5,1,2,4,1,4,2,4,4,1,6,4,3,5,4,5,4,7,7,1,2,5,1,1,1,7,3,5,5,2,4,3,4,1,5,5,4,5,4,4,3,3,4,4,1,2,3,4,5,5,4,4,1,4,21/09/2005,4,4,4,4,54,
Emma,208,L32,L29,0,15/08/1981,05/10/2005,,117,A,1,5,1,34,Edinburgh,2,6,5,2,3,5,6,4,6,6,5,5,5,3,2,2,2,5,2,6,3,2,5,6,5,3,4,5,6,5,2,3,2,6,3,3,5,4,3,3,5,5,3,2,6,3,4,3,2,5,4,2,2,5,05/10/2005,4,5,6,5,54,
Emma,208,L32,L29,0,15/08/1981,25/07/2005,,120,C,0,15,0,34,Edinburgh,6,5,6,2,2,6,6,2,6,6,5,6,4,6,2,2,2,5,5,2,6,2,6,6,6,2,2,6,5,5,2,5,2,6,5,6,6,2,5,2,6,6,2,2,2,2,6,6,2,2,2,3,2,6,24/07/2005,6,6,6,5,54,
Qafzeh,323,,208,1,31/03/1992,05/10/2005,,117,A,1,5,1,34,Edinburgh,2,6,4,2,2,4,3,6,5,6,4,6,3,4,2,2,4,4,3,2,5,3,6,6,3,2,2,6,4,3,2,3,2,5,6,4,3,3,3,2,5,3,3,5,3,2,5,2,3,3,3,2,3,6,05/10/2005,4,4,6,6,54,
Qafzeh,323,,208,1,31/03/1992,24/07/2005,,120,C,0,13,4,34,Edinburgh,6,5,5,2,6,2,6,2,2,6,6,6,3,2,2,2,6,2,2,6,6,2,6,6,6,2,2,6,6,2,2,5,2,6,4,6,6,2,4,4,6,4,2,2,2,4,2,2,2,2,2,4,5,6,24/07/2005,6,6,6,6,54,
Kindia,97BB04,,234,1,05/02/1997,05/10/2005,,117,A,1,5,1,34,Edinburgh,6,2,5,5,3,2,6,4,4,6,4,3,5,4,5,3,5,4,3,3,5,3,2,2,4,4,3,5,4,5,5,2,5,5,4,4,3,3,4,4,2,4,3,4,4,4,4,5,5,3,4,3,5,4,05/10/2005,4,3,5,5,54,
Kindia,97BB04,,234,1,05/02/1997,15/08/2005,,119,D,0,4,5,34,Edinburgh,7,3,5,3,4,1,7,1,2,2,5,4,7,3,2,6,7,1,7,7,7,7,1,2,4,7,7,5,5,6,6,4,7,1,1,5,4,1,2,6,2,6,6,2,7,1,1,7,4,1,2,1,7,5,15/08/2005,7,7,6,6,54,
Louis,224,,,1,01/01/1976,05/10/2005,,117,A,1,5,1,34,Edinburgh,2,6,6,3,3,2,5,3,4,4,5,3,5,3,2,3,2,2,3,4,4,4,5,5,4,3,3,5,4,5,2,2,2,5,3,4,5,3,5,4,4,6,4,4,4,2,4,4,3,3,3,2,3,5,05/10/2005,5,5,6,5,54,
Louis,224,,,1,01/01/1976,21/09/2005,,118,B,0,5,3,34,Edinburgh,4,4,5,3,3,1,4,3,4,5,5,5,4,3,3,4,4,5,5,4,3,4,5,4,3,4,4,5,5,4,3,3,4,5,3,3,4,5,3,4,5,4,5,5,4,4,5,3,5,4,3,3,3,4,21/09/2005,3,4,4,4,54,
