Chimp,Q day,Q month,Q year,dob day,dob month,dob year
Africa,15,4,2015,1,1,2000
Africa,26,6,2015,1,1,2000
Africa,15,4,2015,1,1,2000
Africa,20,4,2015,1,1,2000
Africa,15,4,2015,1,1,2000
Africa,20,4,2015,1,1,2000
Africa,16,4,2015,1,1,2000
Africa,19,4,2015,1,1,2000
Africa,13,4,2015,1,1,2000
Africa,27,4,2015,1,1,2000
Africa,15,4,2015,1,1,2000
Africa,19,4,2015,1,1,2000
Africa,4,5,2015,1,1,2000
Africa,21,4,2015,1,1,2000
Bea,15,4,2015,1,1,2000
Bea,26,6,2015,1,1,2000
Bea,15,4,2015,1,1,2000
Bea,20,4,2015,1,1,2000
Bea,15,4,2015,1,1,2000
Bea,20,4,2015,1,1,2000
Bea,16,4,2015,1,1,2000
Bea,19,4,2015,1,1,2000
Bea,13,4,2015,1,1,2000
Bea,27,4,2015,1,1,2000
Bea,15,4,2015,1,1,2000
Bea,19,4,2015,1,1,2000
Bea,4,5,2015,1,1,2000
Bea,21,4,2015,1,1,2000
Bongo,15,4,2015,1,1,2000
Bongo,26,6,2015,1,1,2000
Bongo,15,4,2015,1,1,2000
Bongo,20,4,2015,1,1,2000
Bongo,15,4,2015,1,1,2000
Bongo,20,4,2015,1,1,2000
Bongo,16,4,2015,1,1,2000
Bongo,19,4,2015,1,1,2000
Bongo,13,4,2015,1,1,2000
Bongo,27,4,2015,1,1,2000
Bongo,15,4,2015,1,1,2000
Bongo,19,4,2015,1,1,2000
Bongo,4,5,2015,1,1,2000
Bongo,21,4,2015,1,1,2000
Charly,15,4,2015,1,1,1989
Charly,26,6,2015,1,1,1989
Charly,15,4,2015,1,1,1989
Charly,20,4,2015,1,1,1989
Charly,15,4,2015,1,1,1989
Charly,20,4,2015,1,1,1989
Charly,16,4,2015,1,1,1989
Charly,19,4,2015,1,1,1989
Charly,13,4,2015,1,1,1989
Charly,27,4,2015,1,1,1989
Charly,15,4,2015,1,1,1989
Charly,19,4,2015,1,1,1989
Charly,4,5,2015,1,1,1989
Charly,21,4,2015,1,1,1989
Cindy,18,10,2014,1,1,1964
Cindy,2,10,2014,1,1,1964
Cindy,1,8,2014,1,1,1964
Coco,15,4,2015,1,1,2000
Coco,26,6,2015,1,1,2000
Coco,15,4,2015,1,1,2000
Coco,20,4,2015,1,1,2000
Coco,15,4,2015,1,1,2000
Coco,20,4,2015,1,1,2000
Coco,16,4,2015,1,1,2000
Coco,19,4,2015,1,1,2000
Coco,13,4,2015,1,1,2000
Coco,27,4,2015,1,1,2000
Coco,15,4,2015,1,1,2000
Coco,19,4,2015,1,1,2000
Coco,4,5,2015,1,1,2000
Coco,21,4,2015,1,1,2000
David,17,10,2014,2,1,1975
David,27,10,2014,2,1,1975
David,1,8,2014,2,1,1975
Edith,15,10,2014,11,4,1996
Edith,25,9,2014,11,4,1996
Edith,1,8,2014,11,4,1996
Emma,10,10,2014,15,8,1981
Emma,25,9,2014,15,8,1981
Emma,1,8,2014,15,8,1981
Eva,10,10,2014,9,12,1980
Eva,29,10,2014,9,12,1980
Eva,1,8,2014,9,12,1980
Frek,15,10,2014,21,10,1993
Frek,25,9,2014,21,10,1993
Frek,1,8,2014,21,10,1993
Heleen,14,10,2014,16,4,1991
Heleen,4,11,2014,16,4,1991
Heleen,1,8,2014,16,4,1991
Juan,15,4,2015,1,1,2003
Juan,26,6,2015,1,1,2003
Juan,15,4,2015,1,1,2003
Juan,20,4,2015,1,1,2003
Juan,15,4,2015,1,1,2003
Juan,20,4,2015,1,1,2003
Juan,16,4,2015,1,1,2003
Juan,19,4,2015,1,1,2003
Juan,13,4,2015,1,1,2003
Juan,27,4,2015,1,1,2003
Juan,15,4,2015,1,1,2003
Juan,19,4,2015,1,1,2003
Juan,4,5,2015,1,1,2003
Juan,21,4,2015,1,1,2003
Kilimi,17,10,2014,20,2,1993
Kilimi,2,10,2014,20,2,1993
Kilimi,1,8,2014,20,2,1993
Kindia,15,10,2014,5,2,1997
Kindia,25,9,2014,5,2,1997
Kindia,1,8,2014,5,2,1997
Lianne,12,10,2014,14,2,1989
Lianne,2,10,2014,14,2,1989
Lianne,1,8,2014,14,2,1989
Liberius,14,10,2014,20,1,1999
Liberius,4,11,2014,20,1,1999
Liberius,1,8,2014,20,1,1999
Louis,17,10,2014,1,1,1976
Louis,20,11,2014,1,1,1976
Louis,1,8,2014,1,1,1976
Lucy,14,10,2014,11,11,1976
Lucy,2,10,2014,11,11,1976
Lucy,1,8,2014,11,11,1976
Marco,15,4,2015,1,1,1984
Marco,26,6,2015,1,1,1984
Marco,15,4,2015,1,1,1984
Marco,20,4,2015,1,1,1984
Marco,15,4,2015,1,1,1984
Marco,20,4,2015,1,1,1984
Marco,16,4,2015,1,1,1984
Marco,19,4,2015,1,1,1984
Marco,13,4,2015,1,1,1984
Marco,27,4,2015,1,1,1984
Marco,15,4,2015,1,1,1984
Marco,19,4,2015,1,1,1984
Marco,4,5,2015,1,1,1984
Marco,21,4,2015,1,1,1984
Nico,15,4,2015,1,1,2001
Nico,26,6,2015,1,1,2001
Nico,15,4,2015,1,1,2001
Nico,20,4,2015,1,1,2001
Nico,15,4,2015,1,1,2001
Nico,20,4,2015,1,1,2001
Nico,16,4,2015,1,1,2001
Nico,19,4,2015,1,1,2001
Nico,13,4,2015,1,1,2001
Nico,27,4,2015,1,1,2001
Nico,15,4,2015,1,1,2001
Nico,19,4,2015,1,1,2001
Nico,4,5,2015,1,1,2001
Nico,21,4,2015,1,1,2001
Paul,9,10,2014,8,5,1993
Paul,2,10,2014,8,5,1993
Paul,1,8,2014,8,5,1993
Pearl,18,10,2014,1,1,1969
Pearl,27,10,2014,1,1,1969
Pearl,1,8,2014,1,1,1969
Qafzeh,12,10,2014,31,3,1992
Qafzeh,25,9,2014,31,3,1992
