"lhs" "op" "rhs" "est" "se" "z" "pvalue" "ci.lower" "ci.upper"
"1" "bm.i" "=~" "bmi23" 1 0 NA NA 1 1
"2" "bm.i" "=~" "bmi33" 1 0 NA NA 1 1
"3" "bm.i" "=~" "bmi42" 1 0 NA NA 1 1
"4" "bm.i" "=~" "bmi55" 1 0 NA NA 1 1
"5" "bm.s" "=~" "bmi23" 0 0 NA NA 0 0
"6" "bm.s" "=~" "bmi33" 1 0 NA NA 1 1
"7" "bm.s" "=~" "bmi42" 1.9 0 NA NA 1.9 1.9
"8" "bm.s" "=~" "bmi55" 3.2 0 NA NA 3.2 3.2
"9" "bm.q" "=~" "bmi23" 0 0 NA NA 0 0
"10" "bm.q" "=~" "bmi33" 1 0 NA NA 1 1
"11" "bm.q" "=~" "bmi42" 3.61 0 NA NA 3.61 3.61
"12" "bm.q" "=~" "bmi55" 10.24 0 NA NA 10.24 10.24
"13" "inc.i" "=~" "income23" 1 0 NA NA 1 1
"14" "inc.i" "=~" "income33" 1 0 NA NA 1 1
"15" "inc.i" "=~" "income42" 1 0 NA NA 1 1
"16" "inc.i" "=~" "income50" 1 0 NA NA 1 1
"17" "inc.i" "=~" "income55" 1 0 NA NA 1 1
"18" "inc.s" "=~" "income23" 0 0 NA NA 0 0
"19" "inc.s" "=~" "income33" 1 0 NA NA 1 1
"20" "inc.s" "=~" "income42" 1.9 0 NA NA 1.9 1.9
"21" "inc.s" "=~" "income50" 2.7 0 NA NA 2.7 2.7
"22" "inc.s" "=~" "income55" 3.2 0 NA NA 3.2 3.2
"23" "inc.q" "=~" "income23" 0 0 NA NA 0 0
"24" "inc.q" "=~" "income33" 1 0 NA NA 1 1
"25" "inc.q" "=~" "income42" 3.61 0 NA NA 3.61 3.61
"26" "inc.q" "=~" "income50" 7.29 0 NA NA 7.29 7.29
"27" "inc.q" "=~" "income55" 10.24 0 NA NA 10.24 10.24
"28" "bm.i" "~" "sex" -0.821611180458685 0.075839790771813 -10.8335106425959 0 -0.970254438966491 -0.672967921950878
"29" "bm.i" "~" "g" -0.154551231565571 0.0590508646061893 -2.61725603166481 0.00886398271121491 -0.270288799449653 -0.038813663681489
"30" "bm.i" "~" "lvIQsex" -0.0341956729973223 0.0781055655136724 -0.437813525482206 0.661521465436613 -0.187279768396254 0.118888422401609
"31" "bm.i" "~" "Youth_SES" -0.242136806431745 0.0438878343106622 -5.51717372786654 3.44494848203425e-08 -0.328155381040104 -0.156118231823386
"32" "bm.i" "~" "education" -0.187950055133838 0.0452364584726252 -4.15483575593293 3.25521287403152e-05 -0.276611884528325 -0.0992882257393509
"33" "bm.s" "~" "sex" -0.394107012270029 0.0812361546422114 -4.85137453890814 1.22608758856835e-06 -0.553326949611289 -0.234887074928768
"34" "bm.s" "~" "g" -0.0708719670679844 0.0635080614535967 -1.11595229717047 0.264442554262543 -0.19534548024499 0.0536015461090216
"35" "bm.s" "~" "lvIQsex" -0.0845043920931891 0.0841597564311942 -1.00409501734094 0.315332816873266 -0.249454483645993 0.0804456994596147
"36" "bm.s" "~" "Youth_SES" -0.00725756234427173 0.0466850965841834 -0.155457798639974 0.876460421218247 -0.098758670264045 0.0842435455755015
"37" "bm.s" "~" "education" 0.0409801448065284 0.04780862735274 0.857170495696729 0.39135066568972 -0.0527230429551385 0.134683332568195
"38" "bm.q" "~" "sex" 0.14799567228741 0.0257785273449189 5.74104448664639 9.40943656324578e-09 0.0974706871168876 0.198520657457931
