"A0002600","R0000100","R0172500","R0172600","R0173600","R0214700","R0214800"
-5,1,3,3,5,3,2
458,2,2,28,5,3,2
458,3,2,8,5,3,2
-5,4,2,8,5,3,2
-5,5,4,19,1,3,1
458,6,4,21,1,3,1
-5,7,2,13,1,3,1
458,8,2,15,6,3,2
458,9,2,13,1,3,1
-5,10,2,7,6,3,2
-5,11,4,24,1,3,1
-5,12,3,9,5,3,2
-5,13,3,4,1,3,1
458,14,3,3,5,3,2
458,15,2,13,1,3,1
458,16,2,11,5,3,2
458,17,3,3,1,3,1
458,18,3,24,1,3,1
-5,19,2,28,5,3,2
458,20,3,14,5,3,2
458,21,2,10,5,3,2
458,22,2,14,5,3,2
-5,23,4,1,1,3,1
-5,24,3,10,1,3,1
458,25,3,26,5,3,2
-5,26,3,10,1,3,1
458,27,3,20,5,3,2
-5,28,3,8,5,3,2
458,29,3,8,5,3,2
458,30,4,6,5,3,2
458,31,3,6,4,1,1
-5,32,3,26,8,1,2
458,33,3,2,4,1,1
458,34,4,16,1,3,1
-5,35,4,25,5,3,2
458,36,4,25,1,3,1
458,37,3,26,5,3,2
458,38,3,26,5,3,2
458,39,3,29,1,3,1
458,40,3,24,2,3,1
458,41,3,10,2,3,1
458,42,3,24,1,3,1
458,43,3,29,6,3,2
458,44,3,14,5,3,2
-5,45,3,15,1,3,1
-5,46,3,30,5,3,2
458,47,3,30,1,3,1
-5,48,3,7,2,3,1
458,49,4,29,5,3,2
458,50,3,13,5,3,2
-5,51,3,7,1,3,1
458,52,3,15,1,3,1
458,53,2,3,4,1,1
458,54,2,5,1,3,1
-5,55,2,10,1,3,1
-5,56,2,10,5,3,2
458,57,3,5,5,3,2
458,58,2,15,5,3,2
458,59,3,14,1,3,1
-5,60,2,19,1,3,1
458,61,2,12,5,3,2
458,62,2,12,5,3,2
458,63,2,19,1,3,1
-5,64,2,16,1,3,1
-5,65,2,19,5,3,2
458,66,2,5,1,3,1
458,67,4,17,1,3,1
458,68,2,8,5,3,2
458,69,2,7,1,3,1
458,70,2,17,1,3,1
458,71,2,17,1,3,1
458,72,4,4,5,3,2
458,73,4,16,1,3,1
-5,74,3,21,5,3,2
458,75,3,13,5,3,2
458,76,3,20,1,3,1
458,77,2,3,5,3,2
-5,78,2,20,5,3,2
-5,79,3,20,1,3,1
458,80,4,2,1,3,1
458,81,4,4,1,3,1
-5,82,3,31,3,2,1
458,83,2,27,3,2,1
458,84,2,19,3,2,1
458,85,2,17,3,2,1
458,86,2,28,7,2,2
458,87,2,14,3,2,1
458,88,2,20,3,2,1
-5,89,4,17,7,2,2
458,90,4,20,1,3,1
458,91,3,23,5,3,2
458,92,3,20,5,3,2
458,93,2,23,1,3,1
458,94,5,12,1,3,1
458,95,4,24,5,3,2
458,96,4,26,6,3,2
458,97,2,26,5,3,2
458,98,2,27,6,3,2
458,99,5,8,5,3,2
458,100,2,11,5,3,2
-5,101,2,10,1,3,1
458,102,2,10,5,3,2
458,103,4,3,1,3,1
-5,104,4,30,5,3,2
-5,105,4,11,6,3,2
458,106,3,3,1,3,1
458,107,2,19,1,3,1
458,108,2,19,1,3,1
-5,109,3,5,5,3,2
458,110,4,6,1,3,1
458,111,4,25,5,3,2
458,112,3,28,5,3,2
-5,113,3,15,1,3,1
-5,114,3,9,1,3,1
458,115,3,28,5,3,2
-5,116,4,5,5,3,2
458,117,5,5,1,3,1
-5,118,3,29,5,3,2
458,119,3,23,1,3,1
458,120,4,2,1,3,1
458,121,4,2,5,3,2
458,122,3,22,1,3,1
-5,123,3,30,1,3,1
458,124,3,28,5,3,2
-5,125,3,31,1,3,1
458,126,3,31,1,3,1
-5,127,3,29,1,3,1
458,128,3,9,5,3,2
458,129,2,20,1,3,1
-5,130,5,3,6,3,2
