imageName,stimSaliency,concept
10000,4224,1
10001,2032,1
10002,2372,1
10003,2158,1
10004,4582,1
10005,3516,1
10006,2322,1
10007,2944,1
10008,3038,1
10009,6507,1
10010,5091,1
10011,2004,1
10012,6236,1
10013,1282,1
10014,2178,1
10015,7030,1
10016,1634,1
10017,5570,1
10018,2846,1
10019,2349,1
10020,6343,1
10021,2473,1
10022,1241,1
10023,2370,1
10024,2750,1
10025,2380,1
10026,,1
10027,,1
10028,,1
10029,,1
10030,,1
10031,,1
10032,,1
10033,,1
10034,,1
10035,,1
10036,,1
10037,,1
10038,,1
10039,,1
10040,,1
10041,,1
10042,,1
10043,,1
10044,,1
10045,,1
10046,,1
10047,,1
10048,,1
10049,,1
10050,8500,2
10051,4824,2
10052,8500,2
10053,7692,2
10054,5411,2
10055,6499,2
10056,8500,2
10057,5779,2
10058,7310,2
10059,6686,2
10060,7729,2
10061,6907,2
10062,6079,2
10063,4719,2
10064,7982,2
10065,5431,2
10066,5589,2
10067,5127,2
10068,8500,2
10069,6204,2
10070,8500,2
10071,4785,2
10072,8319,2
10073,5603,2
10074,,2
10075,,2
10076,,2
10077,,2
10078,,2
10079,,2
10080,,2
10081,,2
10082,,2
10083,,2
10084,,2
10085,,2
10086,,2
10087,,2
10088,,2
10089,,2
10090,,2
10091,,2
10092,,2
10093,,2
10094,,2
10095,,2
10096,,2
10097,,2
10098,,2
10099,,2
10100,4791,3
10101,3174,3
10102,5483,3
10103,4840,3
10104,3234,3
10105,8500,3
10106,6343,3
10107,5422,3
10108,6805,3
10109,6503,3
10110,3376,3
10111,6316,3
10112,4810,3
10113,4118,3
10114,5238,3
10115,8500,3
10116,7849,3
10117,5892,3
10118,5457,3
10119,4715,3
10120,5090,3
10121,2916,3
10122,3004,3
10123,8500,3
10124,,3
10125,,3
10126,,3
10127,,3
10128,,3
10129,,3
10130,,3
10131,,3
10132,,3
10133,,3
10134,,3
10135,,3
10136,,3
10137,,3
10138,,3
10139,,3
10140,,3
10141,,3
10142,,3
10143,,3
10144,,3
10145,,3
10146,,3
10147,,3
10148,,3
10149,,3
10150,2574,4
10151,6294,4
10152,7469,4
10153,1954,4
10154,4948,4
10155,6000,4
10156,4619,4
10157,5534,4
10158,3378,4
10159,5270,4
10160,3137,4
10161,3786,4
10162,3398,4
10163,4003,4
10164,4240,4
10165,2720,4
10166,3607,4
10167,4148,4
10168,3639,4
10169,6971,4
10170,3597,4
10171,5369,4
10172,,4
10173,,4
10174,,4
10175,,4
10176,,4
10177,,4
10178,,4
10179,,4
10180,,4
10181,,4
10182,,4
10183,,4
10184,,4
10185,,4
10186,,4
10187,,4
10188,,4
10189,,4
10190,,4
10191,,4
10192,,4
10193,,4
10194,,4
10195,,4
10196,,4
10197,,4
10198,,4
10199,,4
