imageName,stimSaliency,concept
10000,4224,people
10001,2032,people
10002,2372,people
10003,2158,people
10004,4582,people
10005,3516,people
10006,2322,people
10007,2944,people
10008,3038,people
10009,6507,people
10010,5091,people
10011,2004,people
10012,6236,people
10013,1282,people
10014,2178,people
10015,7030,people
10016,1634,people
10017,5570,people
10018,2846,people
10019,2349,people
10020,6343,people
10021,2473,people
10022,1241,people
10023,2370,people
10024,2750,people
10025,2380,people
10026,,people
10027,,people
10028,,people
10029,,people
10030,,people
10031,,people
10032,,people
10033,,people
10034,,people
10035,,people
10036,,people
10037,,people
10038,,people
10039,,people
10040,,people
10041,,people
10042,,people
10043,,people
10044,,people
10045,,people
10046,,people
10047,,people
10048,,people
10049,,people
10050,8500,flowers
10051,4824,flowers
10052,8500,flowers
10053,7692,flowers
10054,5411,flowers
10055,6499,flowers
10056,8500,flowers
10057,5779,flowers
10058,7310,flowers
10059,6686,flowers
10060,7729,flowers
10061,6907,flowers
10062,6079,flowers
10063,4719,flowers
10064,7982,flowers
10065,5431,flowers
10066,5589,flowers
10067,5127,flowers
10068,8500,flowers
10069,6204,flowers
10070,8500,flowers
10071,4785,flowers
10072,8319,flowers
10073,5603,flowers
10074,,flowers
10075,,flowers
10076,,flowers
10077,,flowers
10078,,flowers
10079,,flowers
10080,,flowers
10081,,flowers
10082,,flowers
10083,,flowers
10084,,flowers
10085,,flowers
10086,,flowers
10087,,flowers
10088,,flowers
10089,,flowers
10090,,flowers
10091,,flowers
10092,,flowers
10093,,flowers
10094,,flowers
10095,,flowers
10096,,flowers
10097,,flowers
10098,,flowers
10099,,flowers
10100,4791,cats
10101,3174,cats
10102,5483,cats
10103,4840,cats
10104,3234,cats
10105,8500,cats
10106,6343,cats
10107,5422,cats
10108,6805,cats
10109,6503,cats
10110,3376,cats
10111,6316,cats
10112,4810,cats
10113,4118,cats
10114,5238,cats
10115,8500,cats
10116,7849,cats
10117,5892,cats
10118,5457,cats
10119,4715,cats
10120,5090,cats
10121,2916,cats
10122,3004,cats
10123,8500,cats
10124,,cats
10125,,cats
10126,,cats
10127,,cats
10128,,cats
10129,,cats
10130,,cats
10131,,cats
10132,,cats
10133,,cats
10134,,cats
10135,,cats
10136,,cats
10137,,cats
10138,,cats
10139,,cats
10140,,cats
10141,,cats
10142,,cats
10143,,cats
10144,,cats
10145,,cats
10146,,cats
10147,,cats
10148,,cats
10149,,cats
10150,2574,birds
10151,6294,birds
10152,7469,birds
10153,1954,birds
10154,4948,birds
10155,6000,birds
10156,4619,birds
10157,5534,birds
10158,3378,birds
10159,5270,birds
10160,3137,birds
10161,3786,birds
10162,3398,birds
10163,4003,birds
10164,4240,birds
10165,2720,birds
10166,3607,birds
10167,4148,birds
10168,3639,birds
10169,6971,birds
10170,3597,birds
10171,5369,birds
10172,,birds
10173,,birds
10174,,birds
10175,,birds
10176,,birds
10177,,birds
10178,,birds
10179,,birds
10180,,birds
10181,,birds
10182,,birds
10183,,birds
10184,,birds
10185,,birds
10186,,birds
10187,,birds
10188,,birds
10189,,birds
10190,,birds
10191,,birds
10192,,birds
10193,,birds
10194,,birds
10195,,birds
10196,,birds
10197,,birds
10198,,birds
10199,,birds
