Chimp,Outcome,Scenario,LT Scenario,LT Outcome,Horses,No scenario,New,Length of outcome,Length of outcome minus fades,Proportion LT Outcome
LB,Emotional.outcome,Eric Expected,0,3,N,N,Y,13,NA,0.230769231
PA2,Emotional.novel,Emotional.novel.horses,1,0,Y,N,Y,15,NA,0
PA,Emotional.novel,Emotional.novel.horses,1,1,Y,N,Y,15,NA,0.066666667
DA,Emotional.novel,Emotional.novel.horses,1,2,Y,N,Y,15,NA,0.133333333
PA,Emotional.outcome,Emotional.outcome.horses,2,0,Y,N,Y,13,NA,0
DA,Emotional.victim,Emotional.victim.horses,2,0,Y,N,Y,15,NA,0
EV,Unemotional.novel,Unemotional.novel.horses,2,2,Y,N,Y,15,NA,0.133333333
KL,Emotional.novel,Emotional.novel.horses,3,1,Y,N,Y,15,NA,0.066666667
Q,Unemotional.novel,Unemotional.novel.horses,3,8,Y,N,Y,15,NA,0.533333333
Q,Bystander.masked,Bystander.masked.horses,4,0,Y,N,Y,13,NA,0
RE,Emotional.victim,Carlos Expected,4,7,N,N,Y,22,NA,0.318181818
EV,Emotional.outcome,Emotional.outcome.horses,4,10,Y,N,Y,13,NA,0.769230769
PA,Unemotional.novel,Unemotional.novel.horses,5,0,Y,N,Y,15,NA,0
Q,Emotional.novel,Emotional.novel.horses,5,1,Y,N,Y,15,NA,0.066666667
KL,Unemotional.novel,Unemotional.novel.horses,5,3,Y,N,Y,15,NA,0.2
PA,Unemotional.victim,Unemotional.victim.horses,5,5,Y,N,Y,15,NA,0.333333333
PA,Unemotional.victim,Carlos Unexpected,5,6,N,N,Y,13,NA,0.461538462
FK,Emotional.victim,Emotional.victim.horses,5,13,Y,N,Y,15,NA,0.866666667
FK,Unemotional.outcome,Eric Unexpected,7,2,N,N,Y,11,NA,0.181818182
CI,Unemotional.outcome,Unemotional.outcome.horses,7,4,Y,N,Y,11,NA,0.363636364
KL,Emotional.victim,Emotional.victim.horses,7,8,Y,N,Y,15,NA,0.533333333
CI,Emotional.outcome,Emotional.outcome.horses,7,11,Y,N,Y,13,NA,0.846153846
EV,Emotional.victim,Emotional.victim.horses,7,12,Y,N,Y,15,NA,0.8
EV,Bystander.masked,Bystander.masked.horses,8,1,Y,N,Y,13,NA,0.076923077
PE,Unemotional.novel,Unemotional.novel.horses,8,1,Y,N,Y,15,NA,0.066666667
KL,Unemotional.victim,Carlos Unexpected,8,3,N,N,Y,13,NA,0.230769231
PE,Unemotional.victim,Unemotional.victim.horses,8,3,Y,N,Y,15,NA,0.2
Q,Unemotional.victim,Unemotional.victim.horses,8,6,Y,N,Y,15,NA,0.4
CI,Emotional.novel,Emotional.novel.horses,8,9,Y,N,Y,15,NA,0.6
FK,Unemotional.victim,Carlos Unexpected,8,12,N,N,Y,13,NA,0.923076923
KL,Emotional.outcome,Eric Expected,9,1,N,N,Y,13,NA,0.076923077
PA,Emotional.victim,Emotional.victim.horses,9,2,Y,N,Y,15,NA,0.133333333
PE,Unemotional.outcome,Unemotional.outcome.horses,9,2,Y,N,Y,11,NA,0.181818182
PE,Emotional.victim,Emotional.victim.horses,9,7,Y,N,Y,15,NA,0.466666667
LB,Emotional.victim,Carlos Expected,9,13,N,N,Y,22,NA,0.590909091
ED,Unemotional.novel,Unemotional.novel.horses,9,13,Y,N,Y,15,NA,0.866666667
DA,Unemotional.victim,Unemotional.victim.horses,10,0,Y,N,Y,15,NA,0
LB,Unemotional.victim,Unemotional.victim.horses,10,2,Y,N,Y,15,NA,0.133333333
CI,Unemotional.victim,Unemotional.victim.horses,10,5,Y,N,Y,15,NA,0.333333333
PA2,Unemotional.novel,Unemotional.novel.horses,10,7,Y,N,Y,15,NA,0.466666667
CI,Victim.masked,Victim.masked.horses,10,7,Y,N,Y,13,NA,0.538461538
LB,Emotional.novel,Emotional.novel.horses,10,12,Y,N,Y,15,NA,0.8
FK,Emotional.outcome,Eric Expected,10,13,N,N,Y,13,NA,1
KL,Victim.masked,Victim.masked.horses,11,1,Y,N,Y,13,NA,0.076923077
PA2,Unemotional.victim,Unemotional.victim.horses,11,2,Y,N,Y,15,NA,0.133333333
PE,Emotional.victim,Carlos Expected,11,3,N,N,Y,22,NA,0.136363636
ED,Unemotional.victim,Carlos Unexpected,11,3,N,N,Y,13,NA,0.230769231
RE,Unemotional.victim,Unemotional.victim.horses,11,11,Y,N,Y,15,NA,0.733333333
PE,Emotional.outcome,Eric Expected,12,1,N,N,Y,13,NA,0.076923077
PE,Bystander.masked,Bystander.masked.horses,12,2,Y,N,Y,13,NA,0.153846154
ED,Emotional.victim,Carlos Expected,12,3,N,N,Y,22,NA,0.136363636
KL,Unemotional.victim,Unemotional.victim.horses,12,3,Y,N,Y,15,NA,0.2
PE,Unemotional.victim,Carlos Unexpected,12,5,N,N,Y,13,NA,0.384615385
PA,Unemotional.outcome,Unemotional.outcome.horses,12,6,Y,N,Y,11,NA,0.545454545
PE,Victim.masked,Victim.masked.horses,12,6,Y,N,Y,13,NA,0.461538462
FK,Emotional.victim,Carlos Expected,12,7,N,N,Y,22,NA,0.318181818
CI,Unemotional.novel,Unemotional.novel.horses,12,8,Y,N,Y,15,NA,0.533333333
LB,Emotional.victim,Emotional.victim.horses,12,9,Y,N,Y,15,NA,0.6
ED,Emotional.novel,Emotional.novel.horses,12,13,Y,N,Y,15,NA,0.866666667
LB,Bystander.masked,Bystander.masked.horses,13,1,Y,N,Y,13,NA,0.076923077
PE,Unemotional.outcome,Eric Unexpected,13,1,N,N,Y,11,NA,0.090909091
EV,Unemotional.victim,Unemotional.victim.horses,13,2,Y,N,Y,15,NA,0.133333333
PE,Emotional.outcome,Emotional.outcome.horses,13,4,Y,N,Y,13,NA,0.307692308
FK,Unemotional.novel,Unemotional.novel.horses,13,6,Y,N,Y,15,NA,0.4
KL,Emotional.outcome,Emotional.outcome.horses,13,8,Y,N,Y,13,NA,0.615384615
PE,Emotional.novel,Emotional.novel.horses,13,13,Y,N,Y,15,NA,0.866666667
PA,Emotional.victim,Carlos Expected,13,22,N,N,Y,22,NA,1
KL,Unemotional.outcome,Eric Unexpected,14,4,N,N,Y,11,NA,0.363636364
RE,Unemotional.outcome,Unemotional.outcome.horses,14,5,Y,N,Y,11,NA,0.454545455
ED2,Emotional.victim,Emotional.victim.horses,14,14,Y,N,Y,15,NA,0.933333333
LU,Emotional.victim,Emotional.victim.horses,14,15,Y,N,Y,15,NA,1
SO,Unemotional.novel,Unemotional.novel.horses,15,4,Y,N,Y,15,NA,0.266666667
FK,Emotional.novel,Emotional.novel.horses,15,10,Y,N,Y,15,NA,0.666666667
ED,Unemotional.victim,Unemotional.victim.horses,15,15,Y,N,Y,15,NA,1
ED,Emotional.victim,Emotional.victim.horses,16,6,Y,N,Y,15,NA,0.4
KD,Unemotional.novel,Unemotional.novel.horses,16,6,Y,N,Y,15,NA,0.4
KL,Emotional.victim,Carlos Expected,16,7,N,N,Y,22,NA,0.318181818
EV,Emotional.victim,Carlos Expected,16,18,N,N,Y,22,NA,0.818181818
PA,Bystander.masked,Bystander.masked.horses,17,1,Y,N,Y,13,NA,0.076923077
RE,Unemotional.novel,Unemotional.novel.horses,17,6,Y,N,Y,15,NA,0.4
RE,Emotional.outcome,Eric Expected,17,7,N,N,Y,13,NA,0.538461538
EV,Emotional.novel,Emotional.novel.horses,17,14,Y,N,Y,15,NA,0.933333333
Q,Victim.masked,Victim.masked.horses,18,3,Y,N,Y,13,NA,0.230769231
ED,Unemotional.outcome,Eric Unexpected,18,5,N,N,Y,11,NA,0.454545455
Q,Unemotional.outcome,Unemotional.outcome.horses,18,5,Y,N,Y,11,NA,0.454545455
KL,Bystander.masked,Bystander.masked.horses,18,7,Y,N,Y,13,NA,0.538461538
RE,Emotional.novel,Emotional.novel.horses,18,12,Y,N,Y,15,NA,0.8
SO,Unemotional.outcome,Unemotional.outcome.horses,19,3,Y,N,Y,11,NA,0.272727273
EV2,Unemotional.victim,Unemotional.victim.horses,19,15,Y,N,Y,15,NA,1
CI,Emotional.victim,Emotional.victim.horses,20,10,Y,N,Y,15,NA,0.666666667
RE,Unemotional.victim,Carlos Unexpected,21,7,N,N,Y,13,NA,0.538461538
KL,Unemotional.outcome,Unemotional.outcome.horses,21,7,Y,N,Y,11,NA,0.636363636
LB,Unemotional.outcome,Unemotional.outcome.horses,21,8,Y,N,Y,11,NA,0.727272727
RE,Emotional.victim,Emotional.victim.horses,21,14,Y,N,Y,15,NA,0.933333333
ED,Emotional.outcome,Eric Expected,22,0,N,N,Y,13,NA,0
PA,Unemotional.outcome,Eric Unexpected,22,10,N,N,Y,11,NA,0.909090909
RE2,Emotional.outcome,Emotional.outcome.horses,22,13,Y,N,Y,13,NA,1
FK,Victim.masked,Victim.masked.horses,22,13,Y,N,Y,13,NA,1
LU,Emotional.novel,Emotional.novel.horses,22,15,Y,N,Y,15,NA,1
LB,Unemotional.victim,Carlos Unexpected,23,10,N,N,Y,13,NA,0.769230769
LB,Unemotional.outcome,Eric Unexpected,24,0,N,N,Y,11,NA,0
HL,Emotional.outcome,Eric Expected,24,7,N,N,Y,13,NA,0.538461538
RE,Emotional.outcome,Emotional.outcome.horses,24,NA,Y,N,Y,13,NA,NA
EV2,Unemotional.victim,Carlos Unexpected,25,8,N,N,Y,13,NA,0.615384615
FK,Unemotional.victim,Unemotional.victim.horses,25,9,Y,N,Y,15,NA,0.6
LB,Unemotional.novel,Unemotional.novel.horses,25,12,Y,N,Y,15,NA,0.8
PA,Emotional.outcome,Eric Expected,27,1,N,N,Y,13,NA,0.076923077
EV,Unemotional.outcome,Unemotional.outcome.horses,27,6,Y,N,Y,11,NA,0.545454545
EV,Unemotional.victim,Carlos Unexpected,28,8,N,N,Y,13,NA,0.615384615
LB,Victim.masked,Victim.masked.horses,28,12,Y,N,Y,13,NA,0.923076923
FK,Unemotional.outcome,Unemotional.outcome.horses,29,7,Y,N,Y,11,NA,0.636363636
ED,Emotional.outcome,Emotional.outcome.horses,30,13,Y,N,Y,13,NA,1
LB,Emotional.outcome,Emotional.outcome.horses,31,6,Y,N,Y,13,NA,0.461538462
FK,Bystander.masked,Bystander.masked.horses,31,13,Y,N,Y,13,NA,1
ED,Bystander.masked,Bystander.masked.horses,32,10,Y,N,Y,13,NA,0.769230769
EV,Victim.masked,Victim.masked.horses,32,11,Y,N,Y,13,NA,0.846153846
RE,Bystander.masked,Bystander.masked.horses,33,13,Y,N,Y,13,NA,1
CI,Bystander.masked,Bystander.masked.horses,36,6,Y,N,Y,13,NA,0.461538462
ED,Unemotional.outcome,Unemotional.outcome.horses,36,9,Y,N,Y,11,NA,0.818181818
LB2,Emotional.outcome,Eric Expected,39,5,N,N,Y,13,NA,0.384615385
HL,Unemotional.outcome,Unemotional.outcome.horses,40,10,Y,N,Y,11,NA,0.909090909
FK,Emotional.outcome,Emotional.outcome.horses,41,11,Y,N,Y,13,NA,0.846153846
EV,Emotional.outcome,Eric Expected,42,12,N,N,Y,13,NA,0.923076923
