,,,,,STATE BEHAVIOURS ,,,AG = give/receive/mutual,,,Ag = give/receive/mutual,,*e.g. copulation; stereotypic behaviour,"For below, give names where possible",,*Near: =/< 1m,EVENTS,"*If response is to conspecifics out of sight, e.g. in aNother pod, then give 0S",,,EMOTIONAL AROUSAL,,,,,,,,,,,,,,*Full display = a combination of hoots/run/banging,,,,CONSOLATION,,,,,,Consolation behaviour recorded for fight only,,,,,,,,,,,,,,RECONCILIATION,,,,,,,,,,,,,,
Chimp,Day,Start time,Time,Pod,Fo,Re/Gr,Tr,AG,Pl,Di,Ag,OS,O*,Sitting with conspecific?,Grooming with conspecific?,*Near others?,Full Display; hoots only; or fight?,Name of conspecific(s) involved*,Does focal respond?,If fight: does focal join in?,Look towards conspecific?,Look around?,Facial expression?,Move,Piloerection,Vocalisation,Sway,Bipedal stand/bipedal move,Bipedal sway,Banging,Urinating,Bob,Crouch bob,Arm wave,*Full Display in response?,Approach aNother chimp?,Approached by?,Other?,Does focal show consolation behaviour after a fight between conspecifics?,Is consolation offered to focal individual after a fight?,Does focal offer support during a fight?,Does focal provide intervention during a fight?,Consolation offered to winner or loser?,Name of conspecific,Name of aggressor (started fight),Name of victim,Approaches conspecific?,Approached by conspecific?,Facial expression?,Hold out hand,Kiss,Embrace,Other?,Touch conspecific?,Groom conspecific?,Play with conspecific?,Vocalistion?,Length of contact,Name of conspecific(s) fought with,Is focal victim or aggressor?,Length of time between fight and reconciliation,Approach conspecific?,Approached by conspecific?,Facial expression?,Hold out hand,Kiss,Embrace,Other?,Touch conspecific?,Groom conspecific?,Play with conspecific?,Vocalistion?,Length of contact
Frek,07/03/2014,14:20,00:00:01,2,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:00:04,2,,x,,,,,,,,,,"Eva, Paul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:00:31,2,,,,,,,,,Inspecting Eva,,,"Eva, Paul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:00:33,2,,x,,,,,,,,,,"Eva, Paul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:00:41,2,,,,give,,,,,,,Eva,Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:02:17,2,,,,,,,,,,,,,Hoots/Display,OS,Yes,,x,,,,,hoots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:02:25,2,,x,,,,,,,,,,"Eva, Paul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:02:34,2,,,,give,,,,,,,Eva,Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:02:46,2,,,,,,,,,Sofie approached Frek and was lip smacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:02:54,2,,,,give,,,,,,,Sofie,"Eva, Paul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:02:56,2,,,,mutual,,,,,,,Sofie,"Eva, Paul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:03:08,2,,x,,,,,,,,,,"Sofie, Eva, Paul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:03:14,2,,,,give,,,,,,,Sofie,"Eva, Paul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:04:29,2,,,,give,,,,,,,Sofie,"Heleen, Eva, Paul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:05:21,2,,x,,,,,,,,,,"Sofie, Heleen, Eva, Paul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:05:36,2,,,,give,,,,,,,Sofie,"Heleen, Eva, Paul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:07:01,2,,x,,,,,,,,,,"Sofie, Heleen, Eva, Paul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:07:34,2,,,,give,,,,,,,Sofie,"Heleen, Eva, Paul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:09:06,2,,x,,,,,,,,,,"Sofie, Heleen, Eva, Paul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:09:21,2,,,,give,,,,,,,Sofie,"Eva, Paul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:15:38,2,,x,,,,,,,,,,"Sofie, Eva, Paul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
