File,Date,Usable images,Usable baseline,Image number,Baseline image,Angle or tilt,Notes,LE Area,LE Mean,LE StdDev,LE Min,LE Max,RE Area,RE Mean,RE StdDev,RE Min,RE Max,Nose Area,Nose Mean,Nose StdDev,Nose Min,Nose Max
fk19,18.12.2015,7,Y,23382,Y,Y,,177,38.681,0.504,37.3,39.127,N/A,N/A,N/A,N/A,N/A,177,32.88,0.299,31.82,33.464
fk19,18.12.2015,7,Y,23383,N,Y,,177,35.337,0.352,34.56,36.118,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
fk19,18.12.2015,7,Y,23388,N,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,177,29.747,0.317,29.187,30.477
fk19,18.12.2015,7,Y,23389,N,N,,N/A,N/A,N/A,N/A,N/A,177,35.609,0.483,34.291,36.172,177,29.696,0.379,29.026,30.584
fk19,18.12.2015,7,Y,23390,N,Y,,N/A,N/A,N/A,N/A,N/A,177,35.388,0.266,34.614,35.688,N/A,N/A,N/A,N/A,N/A
fk19,18.12.2015,7,Y,23391,N,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,177,32.036,0.808,30.369,33.271
fk3,01.12.2015,3,Y,22794,Y,Y,,N/A,N/A,N/A,N/A,N/A,177,35.551,0.341,34.96,36.127,177,29.265,0.554,28.031,30.146
fk3,01.12.2015,3,Y,22796,N,Y,,177,33.842,0.335,32.991,34.522,N/A,N/A,N/A,N/A,N/A,177,28.329,0.461,27.52,29.198
fk3,01.12.2015,3,Y,22797,N,Y,,177,34.74,0.395,33.72,35.325,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ed14,14.12.2015,4,Y,23273,Y,Y,,177,34.357,0.381,33.016,34.859,177,34.997,0.251,34.245,35.2,N/A,N/A,N/A,N/A,N/A
ed14,14.12.2015,4,Y,23274,N,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,177,27.923,0.696,27.148,29.4
ed14,14.12.2015,4,Y,23275,N,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,177,27.849,0.733,26.329,29.195
