Sample #,chimp,HeightDate,Weight,Avg Height (cm),Height (m),M squared,BMI,Height Measure 1,Height Measure 2,Height Measure 3
58,Abby,7/28/2010,80,88,0.88,0.77,103.31,88,,
78,Agatha,02/11/2011,71.5,91.3,0.913,0.83,85.78,91.3,,
118,Amanda,7/29/2011,61.5,89.8,0.898,0.81,76.32,89.7,89.7,89.9
57,Artemus,7/27/2010,78,89.5,0.895,0.8,97.38,89.5,,
54,Azalea,7/14/2010,73.2,88.3,0.883,0.78,93.88,88.3,,
59,Barbara,7/28/2010,58,85.4,0.854,0.73,79.53,85.4,,
73,Bo,1/21/2011,55.5,81.6,0.816,0.67,83.35,81.6,,
85,Brandy,2/21/2011,71,90.3,0.903,0.82,87.07,90.3,,
95,Brodie,3/18/2011,84,84.4,0.844,0.71,117.92,83.9,85,84.3
52,Callie,7/13/2010,86,87.6,0.876,0.77,112.07,87.6,,
76,Cheeta,02/04/2011,77,76.1,0.761,0.58,132.96,76.1,,
106,Christa,5/16/2011,62.5,83.9,0.839,0.7,88.79,83.5,83.5,84.7
61,Cissie,7/29/2010,64.5,82.2,0.822,0.68,95.46,82.2,,
42,Dara,3/18/2010,57.5,84,0.84,0.71,81.49,84,,
65,David,11/11/2010,69,80.2,0.802,0.64,107.28,80.2,,
60,Drew,7/29/2010,68.5,86.9,0.869,0.76,90.71,86.9,,
69,Duff,11/18/2010,60.4,82.2,0.822,0.68,89.39,82.2,,
97,Edwina,3/24/2011,71.5,82.4,0.8243,0.68,105.22,82.8,82.6,81.9
56,Elvira,7/27/2010,51,83.9,0.839,0.7,72.45,83.9,,
67,Elwood,11/17/2010,63,85.5,0.855,0.73,86.18,85.5,,
102,Evelyne,4/29/2011,70,82.3,0.823,0.68,103.35,83.1,81.9,81.9
113,Faye,07/08/2011,63.5,82,0.82,0.67,94.44,81.3,82.7,
105,Fiona,05/12/2011,93.5,91.4,0.914,0.84,111.92,91.2,91.7,91.3
91,Foxy,03/03/2011,60,80.3,0.803,0.64,93.05,80.2,80.4,
53,Frannie,7/13/2010,67,83.4,0.834,0.7,96.33,83.4,,
66,Fritz,11/17/2010,90,85.4,0.854,0.73,123.4,85.4,,
84,Gelb,2/21/2011,77.5,92.2,0.922,0.85,91.17,92.2,,
90,Jacqueline,03/02/2011,61,81.8,0.8183,0.67,91.09,81.2,82.9,81.4
41,Jaimie,3/18/2010,52.5,79.1,0.791,0.63,83.91,79.1,,
98,Jewelle,3/28/2011,73.5,80.7,0.807,0.65,112.86,80.9,81,80.2
83,Jolson,2/18/2011,84.5,91.6,0.916,0.84,100.71,91.6,,
93,Joseph,3/14/2011,75,85.3,0.853,0.73,103.08,84.3,86.3,
63,Julie,10/29/2010,63.5,83.1,0.831,0.69,91.95,83.1,,
86,Justin,2/21/2011,71,83.9,0.839,0.7,100.86,83.9,,
64,Katrina,11/11/2010,67,83.8,0.838,0.7,95.41,83.8,,
47,Kerri,06/03/2010,41,81.8,0.818,0.67,61.27,81.8,,
92,Leslie,03/10/2011,77,90,0.9,0.81,95.17,89.8,90.1,
40,Lil'One,03/11/2010,40.5,69.3,0.693,0.48,84.33,69.3,,
55,Liza,7/14/2010,75,88.1,0.881,0.78,96.63,88.1,,
81,Lucas,2/15/2011,76,83.4,0.834,0.7,109.27,83.4,,
94,Lulu,3/17/2011,48.5,83.8,0.8375,0.7,69.15,84.2,83.3,
68,Luther,11/18/2010,63,79.4,0.794,0.63,99.93,79.4,,
49,Marietta,06/10/2010,51.5,77.6,0.776,0.6,85.52,77.6,,
51,Martha,07/12/2010,37,79.3,0.793,0.63,58.84,79.3,,
50,Mary,07/12/2010,64,85.6,0.856,0.73,87.34,85.6,,
80,Melinda,2/15/2011,79.5,82.7,0.827,0.68,116.24,82.7,,
44,Melissa,04/05/2010,94.5,84.8,0.848,0.72,131.41,84.8,,
117,Patrick,7/22/2011,62.5,84.1,0.841,0.71,88.44,84.5,84.1,83.6
75,Pericles,1/28/2011,61.5,85,0.85,0.72,85.12,84.2,86.2,84.6
48,Rebecca,06/10/2010,45,75.1,0.751,0.56,79.79,75.1,,
43,Rogger,3/31/2010,75.5,79.2,0.792,0.63,120.36,79.2,,
46,Rowena,05/03/2010,72,85.2,0.852,0.73,99.19,85.2,,
87,Sabrina,2/22/2011,74,83.9,0.839,0.7,105.13,83.9,,
38,Sara,03/11/2010,47,75.5,0.755,0.57,82.45,75.5,,
99,Scott,4/15/2011,58,82.7,0.8273,0.68,84.74,82.9,82.8,82.5
79,Shirley,2/14/2011,83,90.3,0.903,0.82,101.79,90.3,,
70,Suwanee,11/23/2010,70,89.5,0.895,0.8,87.39,89.4,89.6,
39,Sylvia,03/11/2010,84.5,82.4,0.824,0.68,124.45,82.4,,
45,Travis,04/05/2010,93,89.3,0.893,0.8,116.62,89.3,,
74,Wenka,1/24/2011,53,78.3,0.783,0.61,86.45,78.3,,
107,Abby,5/23/2011,86.5,88,0.88,0.77,111.78,88.3,88.4,87.2
120,Agatha,8/15/2011,73,90.3,0.903,0.81,89.62,89.7,90.8,
71,Azalea,12/17/2010,78,86.7,0.867,0.75,103.77,86.7,,
77,Barbara,02/07/2011,54.5,81.6,0.816,0.67,81.85,81.6,,
125,Brodie,10/20/2011,71,84,0.84,0.71,100.7,84.5,83.3,84.1
72,Callie,01/03/2011,81.5,87.9,0.879,0.77,105.48,87.9,,
114,Cissie,6/27/2011,74.5,83.6,0.836,0.7,106.68,82.5,84.3,83.9
100,Dara,4/18/2011,61,81.7,0.817,0.67,91.39,81.9,81.5,81.7
111,Drew,6/16/2011,74.5,,,,,,,
128,Edwina,11/03/2011,53.5,81.4,0.814,0.66,80.68,81.7,81.7,80.9
110,Elvira,6/13/2011,48.5,84,0.84,0.71,68.68,84.2,84.3,83.6
122,Foxy,09/02/2011,68,81.6,0.816,0.67,102.21,83.3,83.3,78.1
109,Frannie,06/06/2011,75.5,87.3,0.873,0.76,98.99,87.3,87.1,87.6
108,Jaimie,5/27/2011,54,78,0.78,0.61,88.68,77.2,78.1,78.8
129,Jewelle,11/21/2011,62.5,84.4,0.844,0.71,87.74,83.9,84.6,84.7
101,Lil'One,4/25/2011,44,71.3,0.7133,0.51,86.47,71.5,71.3,71.2
112,Liza,6/20/2011,61,83.8,0.838,0.7,86.86,84.4,83.2,
121,Lucas,8/31/2011,75.5,86.8,0.868,0.75,100.21,86.9,86.9,86.6
88,Marietta,2/24/2011,44,78.8,0.788,0.62,70.86,78.8,,
119,Melinda,08/09/2011,84,79.9,0.799,0.64,131.58,79.4,79.8,80.5
62,Melissa,10/25/2010,95.45,85.2,0.852,0.73,131.49,85.2,,
96,Rebecca,3/21/2011,45,75.5,0.7547,0.57,79.01,76.3,74.2,75.9
82,Rowena,2/17/2011,61,86.4,0.864,0.75,81.72,86.4,,
126,Sabrina,10/24/2011,67.5,80.3,0.803,0.64,104.77,80,80.6,80.2
123,Shirley,09/02/2011,75,84.7,0.847,0.72,104.54,84.5,85.1,84.5
89,Suwanee,2/28/2011,66,84.9,0.8485,0.72,91.67,84.4,85.3,
103,Sylvia,05/02/2011,63,81.4,0.814,0.66,95.08,81.7,81.3,81.2
104,Travis,05/09/2011,93.5,88,0.8803,0.77,120.65,88.1,87.8,88.2
116,Azalea,7/14/2011,74.5,89.1,0.891,0.79,93.91,89.4,88.6,89.2
115,Callie,07/11/2011,78.5,81.9,0.819,0.67,117.13,81.1,81.9,82.6
127,Marietta,10/31/2011,49.5,79.4,0.794,0.63,78.52,79.8,79.2,79.2
