"","chimp","Sex.x","DOB.x","fear.z","pers.z","caut.z","stbl.z","aut.z","stngy.z","jeals.z","reckl.z","soc.z","tim.z","symp.z","play.z","sol.z","actv.z","help.z","buly.z","aggr.z","manp.z","gntl.z","affc.z","exct.z","impl.z","inqs.z","subm.z","depd.z","irri.z","pred.z","decs.z","depr.z","sens.z","defn.z","intll.z","prot.z","invt.z","clmy.z","errc.z","frdy.z","lazy.z","dsor.z","unem.z","imit.z","indp.z","dom.z"
"1","Abby",0,"05/11/1995",4,5,5,4,1,1,1,1,5,5,3,7,1,6,1,1,1,1,4,6,1,1,5,4,4,1,4,4,NA,4,1,NA,1,4,1,NA,6,1,1,NA,2,2,2
"2","Ada",0,"01/01/1955",2,2,5,4,6,4,3,3,2,5,4,1,6,4,2,2,3,4,4,4,2,2,4,5,5,2,5,4,NA,3,2,NA,2,3,6,NA,2,6,6,NA,2,5,1
"3","Agatha",0,"1/21/1993",5,4,5,5,2,5,5,3,5,5,5,3,3,4,5,3,3,5,5,4,5,3,4,5,5,2,5,5,NA,5,5,NA,4,4,4,NA,4,3,5,NA,4,5,3
"4","Alice",0,"01/01/1961",4,5,4,4,2,5,4,2,3,4,5,5,6,4,3,3,5,4,4,4,4,4,4,3,4,4,6,4,NA,4,3,NA,4,5,4,NA,3,4,4,NA,5,5,5
"5","Alicia",0,"6/26/1989",1,3,6,4,1,5,4,2,5,6,4,3,4,5,3,5,5,6,4,2,5,2,4,3,5,5,5,4,NA,4,2,NA,4,3,2,NA,3,5,3,NA,4,3,5
"6","Amanda",0,"6/15/1991",4.5,4.5,4.5,4,4,2.5,3.5,3.5,5,1,4,2.5,5.5,3.5,4,1.5,2,6,4,4,4,6,4.5,6.5,7,5,5.5,2,5,5,3,5,3.5,1,3,5,4.5,3,3.5,4,6.5,4.5,1
"7","Amos",1,"11/19/1981",1,4,3,6,2,5,5,2,6,1,5,4,2,5,4,5,4,6,3,4,2,2,3,1,1,4,6,6,NA,4,1,NA,4,3,1,NA,4,2,1,NA,1,7,7
"8","Angela",0,"9/17/1971",5,5,5,5,5,5,4,1,3,6,4,2,6,3,4,2,1,4,5,5,2,2,2,6,5,4,4,3,NA,5,2,NA,4,1,6,NA,5,6,6,NA,4,4,6
"9","Anja",0,"01/09/1980",2,6,2,3,1,7,4,5,3,2,3,1,5,1,2,7,5,6,3,2,2,3,3,2,3,4,6,7,NA,2,5,NA,2,4,2,NA,3,5,2,NA,2,5,6
"10","Anna",0,"01/01/1955",4,3,6,6,3,5,4,5,2,5,1,1,7,2,2,2,1,2,6,2,2,2,3,6,5,5,6,6,NA,2,6,NA,2,4,6,NA,3,6,3,NA,4,7,2
"11","Artemus",1,"12/18/1990",2,6.5,1.5,2,2.5,7,6,5.5,4.5,2,2,5.5,4.5,6.5,2.5,6,6,4.5,2,4,6,5.5,5.5,1,2,4.5,4.5,5.5,1,3.5,5.5,4.5,2,6,2,5,4,1.5,3.5,2,4.5,7,7
"12","Arthur",1,"5/21/1991",3.5,6,4,2,2,4,6.5,4.5,5,3,3.5,4,2.5,7,4.5,4,4.5,5,3.5,4.5,7,4.5,4.5,3,3,4.5,5.5,3.5,3,3.5,3,2.5,3,3,3,5,4.5,2,4,2,3.5,4,4.5
"13","Artifact",1,"6/21/1979",6,5,6,4,1,3,4,3,2,6,4,2,5,2,3,3,3,2,4,3,4,3,2,4,4,4,5,3,NA,2,2,NA,3,3,5,NA,3,5,5,NA,2,4,2
"14","Artifee",0,"7/24/1976",4,4,4,4,2,4,3,2,4,5,5,3,4,3,5,1,1,5,5,4,4,3,4,2,3,2,6,5,NA,5,5,NA,4,4,5,NA,3,5,3,NA,4,5,5
"15","Atlanta",0,"08/10/1965",1,1,1,7,1,5,2,1,4,1,6,1,6,1,1,1,1,1,6,7,1,1,2,1,1,1,7,7,NA,6,1,NA,2,1,1,NA,7,7,1,NA,1,7,2
"16","Augusta",0,"08/01/1975",4.5,5.5,2,2.5,2,5,5,3,3.5,3.5,2.5,3,3.5,4,4,3,4.5,3.5,2.5,2.5,4.5,4,4,4,4.5,4.5,4.5,4.5,2,4,2.5,3.5,3.5,2.5,2,3.5,3,2.5,2,2.5,4.5,3.5,4.5
"17","Austin",1,"07/10/1974",4.5,5,4,6,1.5,4,4,2,7,1,6,6.5,1,5.5,6.5,4.5,2,6,6,6.5,4.5,1.5,6.5,3,3.5,1,5.5,6.5,1,4,3,7,5,7,1.5,1,7,1,1,1.5,6,6,4.5
"18","Azalea",0,"03/07/1997",1,2,3,4,1,1,1,1,5,2,4,5,1,4,1,1,1,1,4,4,2,2,4,2,4,1,3,2,NA,3,1,NA,2,3,2,NA,4,2,2,NA,3,4,1
"19","Barbara",0,"12/16/1972",2,2,6,6,1,1,2,1,5,1,4,1,5,1,4,2,1,3,6,6,1,1,4,3,2,4,6,4,NA,4,1,NA,5,3,1,NA,6,6,1,NA,4,4,3
"20","Barbi",0,"6/14/1976",4,2,5,4,1,4,2,2,2,5,3,2,5,2,2,2,2,2,3,2,2,2,3,5,5,2,5,3,NA,3,2,NA,2,2,2,NA,5,5,3,NA,2,2,2
"21","Barney",1,"05/06/1989",3,6.5,2.5,2.5,3.5,5.5,5.5,6,2.5,2.5,2,4,2.5,6,3,6,6,5,2,2,5.5,5.5,5,2,2,6,5,5,2.5,4.5,3,4.5,2.5,3.5,2,3.5,3,2,4,2,2,6,6
"22","Beleka",0,"01/01/1962",2,6,4.5,4.5,2.5,5,4.5,2.5,4,2.5,4.5,3.5,3,3.5,4.5,4.5,4.5,4,4,3.5,3,2.5,4.5,3,2.5,2.5,6.5,4.5,3.5,5,2,4,4,2.5,3,3,4,4,3.5,5,3,6,4
"23","Bertha",0,"03/05/1977",4,5,4,4,6,5,4,4,4,3,4,3,5,4,4,5,5,5,3,3,5,5,4,5,5,5,4,4,NA,4,5,NA,4,4,4,NA,4,4,4,NA,4,5,5
"24","Bjorn",1,"7/16/1988",3,2,4,3,1,2,2,2,4,3,4,4,4,3,3,2,3,2,4,4,3,2,4,4,4,2,4,4,NA,4,2,NA,4,4,1,NA,4,2,1,NA,4,4,2
"25","Bo",0,"01/01/1969",4.5,2.5,6,5.5,3,2,2.5,1.5,4.5,5.5,4,1.5,5.5,1.5,3,1.5,1.5,4,4.5,3.5,3,2.5,3,5.5,5,3.5,5.5,3,4.5,4,2,2.5,3.5,2,5.5,1.5,4,6,4.5,5,2.5,3,2.5
"26","Boisfeullet",1,"12/14/1971",2,3.5,5,4,3,3,3,4,1.5,5.5,3.5,1.5,5,4.5,3.5,4,3.5,2,4,4,4,4,2,3.5,2,2.5,5,3.5,4.5,3,3.5,3,3,2,3.5,3.5,4,4.5,3.5,4.5,2,4.5,3
