"","chimp","Sub..","Year4","Glucose","BUN","Creatine","Protein","Albumn","Bilirubn","alkphos","sgpt","sgot","cholesterol","calcium","phosphate","sodium","potassium","chloride","ag_ratio","bc_ratio","globulin","lipase","amylase","triglicerides","cpk","ggtp","magnesium","osmolal","Year3","Glucose.1","BUN.1","Creatin","Protein.1","Albumn.1","Bilirubn.1","alkphos.1","sgpt.1","sgot.1","cholesterol.1","calcium.1","phosphate.1","sodium.1","potassium.1","chloride.1","ag_ratio.1","bc_ratio.1","globulin.1","lipase.1","amylase.1","triglicerides.1","cpk.1","ggtp.1","magnesium.1","osmolal.1","Year2","Glucose.2","BUN.2","Creatin.1","Protein.2","Albumn.2","Bilirubn.2","alkphos.2","sgpt.2","sgot.2","cholesterol.2","calcium.2","phosphate.2","sodium.2","potassium.2","chloride.2","ag_ratio.2","bc_ratio.2","globulin.2","lipase.2","amylase.2","triglicerides.2","cpk.2","ggtp.2","magnesium.2","osmolal.2","Year1","Glucose.3","BUN.3","Creatin.2","Protein.3","Albumn.3","Bilirubn.3","alkphos.3","sgpt.3","sgot.3","cholesterol.3","calcium.3","phosphate.3","sodium.3","potassium.3","chloride.3","ag_ratio.3","bc_ratio.3","globulin.3","lipase.3","amylase.3","triglicerides.3","cpk.3","ggtp.3","magnesium.3","osmolal.3","DaysInterval1","DaysInterval2","DaysInterval3","AverageDaysInterval","Interval1Centered","Interval2Centered","Interval3Centered","X","DOB.x","Dam.x","Sire.x","Sex.x","Rater.x","DOPR.x","DaysAgeatTest","YearsAgeatTest","location.x","Version.x","Group.size.x","fear.x","dom.x","pers.x","caut.x","stbl.x","aut.x","stngy.x","jeals.x","reckl.x","soc.x","tim.x","symp.x","play.x","sol.x","actv.x","help.x","buly.x","aggr.x","manp.x","gntl.x","affc.x","exct.x","impl.x","inqs.x","subm.x","depd.x","irri.x","pred.x","decs.x","depr.x","sens.x","defn.x","intll.x","prot.x","invt.x","clmy.x","errc.x","frdy.x","lazy.x","dsor.x","unem.x","imit.x","indp.x","DOB.y","Dam.y","Sire.y","location.y","Group.size.y","Sex.y","Rater.y","DOPR.y","Version.y","reckl.y","aut.y","symp.y","sol.y","buly.y","actv.y","fear.y","caut.y","imit.y","unem.y","stngy.y","play.y","sens.y","exct.y","aggr.y","indp.y","intll.y","affc.y","stbl.y","help.y","tim.y","impl.y","depd.y","decs.y","defn.y","irri.y","lazy.y","invt.y","dom.y","pred.y","frdy.y","depr.y","clmy.y","prot.y","subm.y","gntl.y","manp.y","soc.y","inqs.y","jeals.y","pers.y","errc.y","dsor.y","fear.z","pers.z","caut.z","stbl.z","aut.z","stngy.z","jeals.z","reckl.z","soc.z","tim.z","symp.z","play.z","sol.z","actv.z","help.z","buly.z","aggr.z","manp.z","gntl.z","affc.z","exct.z","impl.z","inqs.z","subm.z","depd.z","irri.z","pred.z","decs.z","depr.z","sens.z","defn.z","intll.z","prot.z","invt.z","clmy.z","errc.z","frdy.z","lazy.z","dsor.z","unem.z","imit.z","indp.z","Colony","Status","Survey.1","BP.1","Weight.1..kg.","Survey.2","BP.2","Weight.2..kg.","Survey.3","BP.3","Weight.3..kg.","sex","maternity","paternity","momage","parity","bo","rearing","age","hi","date1","rbc","wbc","hct","hgb","mcv","mch","mchc","lymph","monos","eos","date2","rbc2","wbc2","hct2","hgb2","mcv2","mch2","mchc2","lymp2","mono2","eos2","date3","rbc3","wbc3","hct3","hgb3","mcv3","mch3","mchc3","lymp3","mono3","eos3"
"1","Abby","726","2/17/04",67,13,0.8,7.3,4,0.2,740,38,24,175,10.3,3.4,141,4,104,1.2,16,3.3,31,13,78,330,20,1.7,278,"03/06/2003",70,13,0.8,6.8,3.6,0.4,684,29,19,164,9.8,3.5,140,4.2,114,1.1,16,3.2,21,15,89,438,18,1.8,277,"4/18/02",68,13,0.6,7.3,3.9,0.1,743,28,33,185,9.9,3.9,144,4.2,107,1.1,22,3.4,32,16,87,1024,14,1.9,284,"2/28/01",82,14,0.7,7.2,3.8,0.1,1030,39,24,219,9.9,3.1,139,4.1,104,1.1,20,3.4,19,23,82,386,19,1.7,276,414,322,348,361.33,53,-39,-13,1,"05/11/1995","Barbara","Sam",0,"SS","1/19/99",1349,3.8,"Yerkes","A",NA,4,2,5,5,4,1,1,1,1,5,5,3,7,1,6,1,1,1,1,4,6,1,1,5,4,4,1,4,4,1,4,1,3,1,4,1,1,6,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yerkes","Alive","5/23/11","124/60",86.5,"7/28/10","108/61",80,"5/18/09","167/67",83,0,"Barbara","Sam",22,3,3,1,"1.5","0.28","30/01/1997",5.4,16800,39.6,13.1,73.3,24.3,33.1,60,0,3,"09/03/1998",5.78,12100,41.7,14,72.1,24.2,33.6,58,1,3,"17/12/1999",5.35,10600,40.9,13.6,76.4,25.4,33.3,48,3,1
"2","Agatha","700","7/29/03",84,10,0.9,7.1,3.7,0.1,163,22,19,206,9.3,3.9,140,4.2,106,1.1,11,3.4,37,21,67,206,20,1.6,276,"10/28/02",94,11,0.9,6.8,3.6,0.2,207,33,13,199,9.2,3.1,134,3.7,103,1.1,12,3.2,24,22,53,148,21,1.7,265,"09/05/2001",96,7,1,7.5,4.2,0.2,373,31,15,205,9.7,3.3,145,3.8,104,1.3,7,3.3,25,20,132,150,35,1.6,285,"10/04/2000",82,9,0.8,7.3,4.1,0.2,572,25,14,238,10.3,3.1,136,4,106,1.3,11,3.2,24,14,62,145,37,1.9,268,336,418,274,342.67,-7,75,-69,3,"1/21/1993","Melinda","Walnut",0,"AH","7/26/01",3108,8.7,"Yerkes","A",11,5,3,4,5,5,2,5,5,3,5,5,5,3,3,4,5,3,3,5,5,4,5,3,4,5,5,2,5,5,2,5,5,4,4,4,4,3,4,3,5,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yerkes","Alive","8/15/11","121/66",73,"02/11/2011","132/79",71.5,"11/12/2019","127/69",73.5,0,"Melinda","Walnut",10.25,2,2,1,"4.5","0.39","21/10/1997",5.02,8400,40.5,14,80.7,27.9,34.6,44,1,4,"09/09/1998",5.06,15300,41.2,14.1,81.4,27.9,34.2,29,2,0,"28/09/1999",5,10700,42.4,13.8,84.8,27.6,32.5,50,1,2
"3","Alice","358","5/17/99",108,53,2.3,6.8,2.5,0.2,215,43,25,426,11.5,2.7,134,4.2,99,0.6,23,4.3,19,42,264,93,318,2.4,282,"05/11/1998",117,36,1.6,6.6,2.3,0.3,167,53,28,492,8.9,3.6,134,3.9,101,0.5,23,4.3,53,44,186,134,267,1.3,276,"05/08/1997",113,31,1.7,6.4,2.4,0.5,148,65,27,449,9.5,2.6,137,3.8,99,0.6,18,4,NA,NA,196,117,NA,NA,NA,"5/22/96",102,25,1.2,6.8,2.6,0.8,110,61,27,476,9.6,4.1,134,3.9,97,0.6,21,4.2,NA,NA,199,117,NA,NA,NA,351,368,371,363.33,-12,5,8,4,"01/01/1961","","",0,"WH","09/03/1997",13394,37.6,"Yerkes","B",NA,4,5,5,4,4,2,5,4,2,3,4,5,5,6,4,3,3,5,4,4,4,4,4,4,3,4,4,6,4,4,4,3,5,4,5,4,4,3,4,4,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"","",NA,NA,NA,1,"36","0.36","08/05/1997",3.86,21000,35.6,11.7,92.2,30.3,32.9,78,0,0,"11/05/1998",3.84,22900,35.6,11.6,92.7,30.2,32.6,61,9,1,"26/01/1999",3.69,22000,34.1,11,92.4,29.8,32.3,55,1,0
"4","Alicia","646","12/01/1999",70,7,0.7,8.1,4,0.1,157,31,19,209,8.9,3,137,3.2,102,1,10,4.1,23,12,59,432,24,1.7,267,"04/07/1998",68,20,0.9,7.1,2.9,0.2,122,28,18,201,9.6,3.2,129,4.5,96,0.7,22,4.2,1,23,27,292,22,1.5,259,"4/30/97",44,7,0.8,6.8,3,0.3,812,18,20,146,9.1,4,132,4,99,0.8,9,3.8,NA,NA,82,671,NA,NA,NA,"3/13/96",79,19,0.8,7.7,3.6,0.3,405,24,15,203,9.9,4.5,134,4.1,94,0.9,24,4.1,NA,NA,89,123,NA,NA,NA,413,342,603,452.67,-40,-111,150,5,"6/26/1989","Cynthia","Phineas",0,"WH","11/11/1997",3060,8.6,"Yerkes","B",NA,1,5,3,6,4,1,5,4,2,5,6,4,3,4,5,3,5,5,6,4,2,5,2,4,3,5,5,5,4,2,4,2,3,4,3,2,3,3,5,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Cynthia","Phineas",9,1,1,1,"7.5","-0.23","30/04/1997",4.98,17100,42.5,14.6,85.3,29.3,34.4,15,3,0,"07/04/1998",4.78,7700,41,13.9,85.8,29.1,33.9,50,6,4,"01/12/1999",4.87,12200,41.4,13.9,85,28.5,33.6,31,2,1
"5","Amanda","684","1/14/03",88,9,0.5,7.6,4,0.3,254,26,13,203,9.8,2.6,136,3.3,97,1.1,18,3.6,30,17,111,289,19,1.6,267,"12/27/01",125,9,1,7.5,3.6,0.2,408,26,14,208,9.2,3.4,136,3.5,99,0.9,9,3.9,20,24,94,129,22,2,270,"1/25/01",116,8,1,7.1,3.7,0.2,405,29,14,201,10.1,3.7,139,4.3,105,1.1,8,3.4,31,18,57,152,29,1.8,276,"01/04/2000",113,9,0.9,7.1,3.7,0.2,477,39,19,176,9.3,2.8,135,3.8,98,1.1,10,3.4,19,12,88,151,22,1.8,268,387,336,383,368.67,18,-33,14,6,"6/15/1991","Sheila","Jimoh",0,"MW","7/26/01",3694,10.4,"Yerkes","A",6,7,1,2,6,2,4,3,5,2,5,1,3,2,5,4,4,1,2,6,3,2,5,6,3,7,7,5,5,2,4,4,3,4,2,1,5,5,3,3,5,3,7,2,"6/15/1991","Sheila","Jimoh","Yerkes",6,0,"KB","10/04/1997","B",5,4,5,6,2,3,2,3,6,5,2,3,6,3,2,7,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,1,5,6,5,6,5,6,2,7,5,2,4.5,4.5,4.5,4,4,2.5,3.5,3.5,5,NA,4,2.5,5.5,3.5,NA,1.5,2,6,4,4,4,NA,4.5,6.5,NA,NA,5.5,NA,5,5,NA,5,3.5,NA,3,5,4.5,NA,3.5,4,6.5,4.5,"Yerkes","Alive","7/25/11","146/78",61.5,"12/14/09","137/63",64,"5/13/08","138/68",63.5,0,"Sheila","Jimoh",18.75,9,3,2,"6","-0.86","26/11/1997",5.44,9400,43.3,14.6,79.6,26.8,33.7,40,1,0,"12/01/1999",5.26,7100,42.5,14.3,80.8,27.2,33.6,60,5,3,"12/08/1999",4.34,20400,34.6,11.5,79.7,26.5,33.2,53,6,1
"6","Amos","495","1/29/04",85,16,0.9,8.3,3.9,0.2,97,54,39,219,10.4,4.1,142,4,99,0.9,18,4.4,45,21,106,327,29,1.8,282,"2/17/03",71,15,1.1,7.8,3.5,0.2,134,50,44,191,9.2,2.8,136,3.6,100,0.8,14,4.3,57,20,116,304,19,1.6,269,"03/04/2002",91,13,0.9,8.2,3.6,0.2,201,51,41,208,9.9,3,143,3.9,98,0.8,14,4.6,38,22,149,378,19,1.8,283,"03/05/2001",95,15,1.2,8.6,3.8,0.2,140,56,42,198,10,3.4,143,3.8,101,0.8,13,4.8,33,19,129,447,28,1.7,284,364,350,346,353.33,11,-3,-7,7,"11/19/1981","Sonia","Phineas",1,"JF","02/10/1999",6292,17.7,"Yerkes","A",NA,1,7,4,3,6,2,5,5,2,6,1,5,4,2,5,4,5,4,6,3,4,2,2,3,1,1,4,6,6,1,4,1,6,4,3,1,2,4,2,1,4,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Sonia","Phineas",22,7,4,1,"15","0","14/02/1997",6.29,8300,48.5,16.3,77.1,25.9,33.6,28,5,1,"17/03/1998",6.07,13900,47.6,16.5,78.4,27.2,34.7,8,2,1,"01/03/1999",6.16,17700,49.3,16.9,80,27.4,34.3,11,3,1
"7","Anja","554","12/09/2004",101,14,0.9,8.9,3.4,0.1,97,40,17,199,9.3,4,140,3.4,97,0.6,16,5.5,29,32,177,340,22,1.8,277,"11/26/03",122,11,0.9,8.4,3.5,0.2,84,31,20,214,9.3,2.3,138,2.7,98,0.7,12,4.9,33,27,155,168,18,1.8,272,"11/21/03",77,13,1.2,8.2,3.2,0.2,92,33,20,206,9.3,4.5,140,4.2,100,0.6,11,5,33,36,180,257,224,2.1,277,"12/07/2001",107,10,1.2,7.8,3.3,0.1,75,32,23,225,8.9,3.7,142,3.2,101,0.7,8,4.5,37,19,119,392,21,1.7,280,714,5,379,366,348,-361,13,9,"01/09/1980","Tari","Jiggs",0,"JM","01/11/1999",6942,19.5,"Yerkes","A",NA,2,6,6,2,3,1,7,4,5,3,2,3,1,5,1,2,7,5,6,3,2,2,3,3,2,3,4,6,7,2,2,5,5,2,4,2,4,3,5,2,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yerkes","Alive","04/06/2010","182/110",85,"3/19/09","149/90",94,"4/22/08","141/67",87,0,"Tari","Jiggs",22,5,5,1,"17.5","0.31","04/11/1997",5.05,7600,40.9,13.6,81,26.9,33.3,25,2,6,"03/11/1998",5.44,12100,45,15,82.7,27.6,33.3,55,7,2,"21/10/1999",5.13,18700,42.3,13.4,82.5,26.1,31.7,43,1,2
"8","Anna","408","4/27/00",126,78,2.6,6.9,2,4.5,242,140,177,225,6.7,10.9,145,3.3,93,0.4,30,4.9,345,25,145,791,469,2.4,311,"01/05/2000",139,14,1.2,8.1,3.4,0.1,191,68,43,182,9.3,1.9,145,2.9,98,0.7,12,4.7,62,23,200,174,73,2.1,288,"12/02/1998",106,11,1,8.6,3.5,0.1,119,30,33,185,8.1,2.3,144,2.9,101,0.7,11,5.1,33,46,309,238,29,1.9,283,"01/05/1998",112,22,0.8,8,2.8,0.3,57,29,24,192,8.9,3.8,142,3.2,98,0.5,28,5.2,NA,NA,149,141,NA,NA,NA,331,399,113,281,50,118,-168,10,"01/01/1955","","",0,"WH","10/04/1997",15617,43.9,"Yerkes","B",NA,4,2,3,6,6,3,5,4,5,2,5,1,1,7,2,2,2,1,2,6,2,2,2,3,6,5,5,6,6,3,2,6,4,2,4,6,2,3,6,3,6,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"","",NA,NA,NA,1,"42.5","1","25/11/1997",4.35,8100,35.8,10.8,82.3,24.8,30.2,40,1,0,"05/01/1998",4.45,6600,35.7,11.1,80.2,24.9,31.1,45,0,7,"01/12/1998",4.95,7500,40.7,13,82.2,26.3,31.9,41,10,0
"9","Artemus","599","5/18/04",71,9,1,6.9,3.8,0.3,104,27,14,216,10.6,4.7,143,4.4,104,1.2,9,3.1,65,37,461,143,33,2.7,281,"06/12/2003",83,12,1.4,7.3,3.8,0.3,115,21,14,217,9.6,3.7,139,4.1,100,1.1,9,3.5,35,40,131,269,28,1.7,275,"10/14/02",93,11,1,7.4,3.9,0.2,169,24,18,206,9.9,2.2,147,4,113,1.1,11,3.5,41,39,96,151,26,1.8,290,"7/23/01",111,9,1.2,7.5,4.4,0.4,215,23,15,206,9.5,3.3,142,3.5,103,1.4,8,3.1,21,20,150,168,38,1.8,280,448,241,341,343.33,105,-102,-2,11,"12/18/1990","Jenda","Iyk",1,"AH","7/15/01",3862,10.8,"Yerkes","A",5,1,7,6,2,3,3,7,5,5,5,2,2,4,4,6,3,5,5,5,3,5,6,5,5,1,2,4,3,5,1,4,4,5,3,6,2,5,4,1,5,2,4,7,"12/18/1990","Jenda","Iyk","Yerkes",5,1,"DL","10/04/1997","B",6,2,2,5,7,7,3,1,5,2,7,7,3,6,7,7,4,3,1,2,2,6,2,6,7,5,2,6,7,6,4,1,2,1,1,1,4,4,6,7,7,5,2,2,6.5,1.5,2,2.5,7,6,5.5,4.5,2,2,5.5,4.5,6.5,2.5,6,6,4.5,2,4,6,5.5,5.5,1,2,4.5,4.5,5.5,1,3.5,5.5,4.5,2,6,2,5,4,1.5,3.5,2,4.5,7,"Yerkes","Alive","7/27/10","143/65",78,"1/25/10","122/62",78.5,"02/03/2009","138/61",74.5,1,"Jenda","Iyk",32.08,11,3,2,"6.5","-0.23","04/06/1997",5.51,19400,44.9,14.9,81.5,27,33.2,14,4,0,"17/06/1998",5.52,14000,45.9,15.4,83.2,27.9,33.6,6,2,0,"24/06/1999",5.47,13100,45.9,15.4,83.9,28.2,33.6,15,0,0
"10","Arthur","601","11/24/04",145,11,1.2,7.2,4.1,0.3,139,46,41,191,10,3.3,144,3.7,103,1.3,9,3.1,52,44,88,627,24,1.7,287,"12/08/2003",108,12,1.2,7.1,4.2,0.3,73,25,27,169,10.7,2.9,143,3.5,101,1.4,10,2.9,32,42,94,619,17,1.6,283,"1/13/03",145,10,1.3,7.4,4.3,0.3,129,32,27,182,9.8,2.4,134,3.5,96,1.4,8,3.1,43,34,75,405,14,2.1,267,"10/25/00",118,11,1.3,7.2,4.4,0.3,350,26,30,177,10.7,2.2,18,3.7,100,1.6,8,2.8,41,23,81,496,23,1.7,274,810,329,352,497,313,-168,-145,12,"5/21/1991","Jaq","Rogger",1,"MW","7/26/01",3719,10.4,"Yerkes","A",6,2,5,6,2,1,3,6,7,7,4,1,2,2,3,7,4,6,6,5,2,3,7,6,4,1,2,6,5,4,4,2,3,2,3,2,4,7,3,2,5,3,2,5,"5/21/1991","Jaq","Rogger","Yerkes",6,1,"KB","10/04/1997","B",2,1,5,2,2,7,5,6,5,1,2,6,5,7,3,3,3,6,3,5,5,3,4,3,3,3,2,4,4,6,6,2,2,3,5,5,5,6,5,6,6,3,3,3.5,6,4,2,2,4,6.5,4.5,5,3,3.5,4,2.5,7,4.5,4,4.5,5,3.5,4.5,7,4.5,4.5,3,3,4.5,5.5,3.5,3,3.5,3,2.5,3,3,3,5,4.5,2,4,2,3.5,4,"Yerkes","Alive","02/03/2009","129/66",79,"2/26/07","166/70",78,"12/01/2005","153/72",83,1,"Jaq","Rogger",14.58,2,2,2,"5.5","1","06/11/1996",5.09,7900,42.1,13.2,82.7,25.9,31.4,43,3,2,"24/11/1997",5.02,8600,39.7,13,79.1,25.9,32.7,50,2,2,"24/11/1998",5.29,14300,41.7,14.3,78.8,27,34.3,20,1,1
