"","hematology.chimp","birthday"
"1","Abby",1995-08-02
"2","Agatha",1993-04-23
"3","Alice",1961-05-17
"4","Alicia",1989-11-01
"5","Amanda",1991-11-28
"6","Amos",1982-02-18
"7","Anja",1980-05-10
"8","Anna",1955-06-07
"9","Artemus",1990-12-06
"10","Arthur",1991-05-10
"11","Artifee",1976-11-12
"12","Atlanta",1965-09-18
"13","Augusta",1975-08-12
"14","Barbara",1973-02-05
"15","Barbi",1976-11-17
"16","Barney",1989-07-06
"17","Beleka",1962-04-17
"18","Bjorn",1988-11-09
"19","Bo",1969-03-26
"20","Boisfeullet",1972-02-04
"21","Boka",1960-04-26
"22","Borie",1964-02-19
"23","Brandy",1985-09-20
"24","Brent",1976-02-06
"25","Brodie",1984-04-12
"26","Brooks",1992-11-19
"27","Buffy",1984-01-10
"28","Callie",1991-02-20
"29","Carl",1986-11-02
"30","Carmichael",1983-08-31
"31","Cathy",1989-11-13
"32","Cheeta",1957-02-08
"33","Chip",1989-05-16
"34","Christa",1995-09-26
"35","Cissie",1977-04-14
"36","Clint",1980-08-10
"37","Columbus",1978-03-17
"38","Conan",1986-01-10
"39","Cynthia",1980-08-27
"40","Daisey",1989-10-12
"41","Dara",1988-09-19
"42","David",1977-07-21
"43","Debbie",1989-06-28
"44","Dobbs",1961-03-19
"45","Dona",1990-07-28
"46","Donald",1988-03-15
"47","Dover",1994-04-10
"48","Drew",1993-03-21
"49","Duff",1990-02-08
"50","Duncan",1968-01-30
"51","Edwina",1991-05-16
"52","Ellie",1972-09-25
"53","Elvira",1988-11-29
"54","Elwood",1990-04-02
"55","Ericka",1974-03-04
"56","Evelyne",1991-09-19
"57","Faye",1992-06-06
"58","Fiona",1995-03-06
"59","Foxy",1968-01-01
"60","Frannie",1992-10-09
"61","Fritz",1989-01-03
"62","Garbo",1954-01-31
"63","Gay",1967-04-08
"64","Gelb",1983-06-07
"65","Georgia",1980-10-13
"66","Gwennie",1969-07-01
"67","Heppie",1969-07-14
"68","Hoboh",1959-04-19
"69","Hunter",1984-09-13
"70","Iyk",1962-09-20
"71","Jimmy",1977-02-23
"72","Jacqueline",1976-12-17
"73","Jaimie",1995-08-29
"74","Janice",1990-06-28
"75","Jarred",1987-09-27
"76","Jeanie",1969-04-07
"77","Jenda",1958-04-19
"78","Jenifere",1963-02-21
"79","Jesse",1982-09-01
"80","Jewelle",1992-06-12
"81","Jimoh",1964-05-22
"82","Jolson",1993-01-16
"83","Jorg",1968-06-18
"84","Joseph",1981-04-15
"85","Josh",1990-08-07
"86","Juan",1968-06-03
"87","Julie",1994-08-15
"88","Justin",1986-12-26
"89","Kasey",1986-10-13
"90","Katrina",1987-07-26
"91","Kengee",1988-06-20
"92","Kerri",1995-02-04
"93","Kevin",1990-08-02
"94","Kipper",1979-11-16
"95","Lamar",1988-05-30
"96","Lee",1983-12-20
"97","Lena",1976-03-19
"98","Les",1975-11-03
"99","Leslie",1970-03-12
"100","Lil'One",1969-04-02
"101","Lindsey",1994-02-19
"102","Lizzie",1990-08-07
"103","Lolita",1959-09-26
"104","Lucas",1993-03-26
"105","Lucy",1956-09-20
"106","Lulu",1957-02-21
"107","Luther",1990-05-08
"108","Lux",1981-09-20
"109","Lyons",1984-09-13
"110","Magnum",1989-11-15
"111","Mai",1964-02-02
"112","Marietta",1973-10-05
"113","Marilyne",1971-05-29
"114","Martha",1960-11-06
"115","Mary",1960-12-12
"116","Mason",1984-12-06
"117","Maverick",1993-11-21
"118","Maxine",1957-03-14
"119","Mega",1984-12-05
"120","Melinda",1982-12-25
"121","Melissa",1981-09-15
"122","Merlin",1993-03-21
"123","Merv",1976-03-29
"124","Missy",1993-07-27
"125","Mortimer",1977-02-17
"126","Natasha",1988-05-25
"127","Ossabaw",NA
"128","Patrick",1993-07-10
"129","Peony",1968-03-10
"130","Phillip",1977-07-29
"131","Phineas",1966-02-22
"132","Polyanna",1989-03-01
"133","Puddin",1979-04-28
"134","Ranette",1987-12-12
"135","Reba",1959-04-12
"136","Rebecca",1991-05-28
"137","Reid",1993-08-24
"138","Rhett",1989-05-02
"139","Rita",1987-11-08
"140","Rogger",1969-03-26
"141","Ronald",1988-06-15
"142","Rosemary",1994-02-19
"143","Rowena",1988-08-16
"144","Rufus",1981-03-15
"145","Sabrina",1978-10-21
"146","Sam",1982-10-12
"147","Scott",1987-06-20
"148","Sean",1992-05-14
"149","Sellers",1983-12-27
"150","Sheena",1989-03-08
"151","Sheila",1972-08-15
"152","Shirley",1972-03-25
"153","Socrates",1987-05-12
"154","Sonia",1959-12-20
"155","Steward",1994-02-21
"156","Storer",1982-03-17
"157","Suwanee",1985-07-20
"158","Suzanna",1976-03-30
"159","Sylvia",1993-09-12
"160","Tai",1967-02-27
"161","Tank",1986-03-28
"162","Tara",NA
"163","Travis",1989-11-20
"164","Virginia",1991-08-30
"165","Vivienne",1984-08-25
"166","Waga",1982-08-09
"167","Wenka",1954-06-27
"168","Wilma",1989-02-21
"169","Wilson",1994-03-27
"170","Winston",1987-02-01
"171","Woodruff",1975-12-30
"172","Zana",1990-06-28
"173","Zeb",NA
