metabolic,,hematology,,blood chem,,rater1,,rater2,,heights,,,,dec2_traits,,,,Abby,    ,,,final,,for Joyce
Abby,,Abby,,Abby,,Abby,,Amanda,,Abby,,,,Abby,,,,Abby,,,,Abby,,Abby
Agatha,,Agatha,,Agatha,,Ada,,Artemus,,Abby,,,,Agatha,,,,Abby,,,,Agatha,,Agatha
Amanda,,Alice,,Alice,,Agatha,,Arthur,,Agatha,,,,Alice,,,,Abby,,,,Alice,,Alice
Anja,,Alicia,,Alicia,,Alice,,Augusta,,Agatha,,,,Alicia,,,,Abby,,,,Alicia,,Alicia
Artemus,,Amanda,,Amanda,,Alicia,,Barney,,Amanda,,,,Amanda,,,,Abby,,,,Amanda,,Amanda
Arthur,,Amos,,Amos,,Amanda,,Beleka,,Artemus (male),,,,Amanda,,,,Ada,,,,Amos,,Amos
Azalea,,Anja,,Anja,,Amos,,Bo,,Azalea,,,,Amos,,,,Agatha,,,,Anja,,Anja
Barbara,,Anna,,Anna,,Angela,,Boisfeullet,,Azalea,,,,Anja,,,,Agatha,,,,Anna,,Anna
Barbi,,Artemus,,Artemus,,Anja,,Boka,,Azalea,,,,Anna,,,,Agatha,,,,Artemus,,Artemus
Bo,,Arthur,,Arthur,,Anna,,Brandy,,Barbara,,,,Artemus,,,,Agatha,,,,Arthur,,Arthur
Borie,,Artifee,,Artifee,,Artemus,,Callie,,Barbara,,,,Artemus,,,,Agatha,,,,Artifee,,Artifee
Brandy,,Atlanta,,Atlanta,,Arthur,,Carl,,Bo,,,,Arthur,,,,Agatha,,,,Atlanta,,Atlanta
Brodie,,Augusta,,Augusta,,Artifact,,Carmicheal,,Brandy,,,,Arthur,,,,Alice,,,,Augusta,,Augusta
Callie,,Barbara,,Barbara,,Artifee,,Colombus,,Brodie,,,,Artifee,,,,Alice,,,,Barbara,,Barbara
Carl,,Barbi,,Barbi,,Atlanta,,Conan,,Brodie,,,,Atlanta,,,,Alice,,,,Barbi,,Barbi
Cathy,,Barney,,Barney,,Augusta,,Dara,,Callie,,,,Augusta,,,,Alicia,,,,Barney,,Barney
Chip,,Beleka,,Beleka,,Austin,,David,,Callie,,,,Augusta,,,,Alicia,,,,Beleka,,Beleka
Christa,,Bjorn,,Bjorn,,Azalea,,Dobbs,,Callie,,,,Barbara,,,,Alicia,,,,Bjorn,,Bjorn
Cissie,,Bo,,Bo,,Barbara,,Duff,,Cheeta,,,,Barbi,,,,Amanda,,,,Bo,,Bo
Dara,,Boisfeullet,,Boisfeullet,,Barbi,,Edwina,,Christa,,,,Barney,,,,Amanda,,,,Boisfeullet,,Boisfeullet
David,,Boka,,Boka,,Barney,,Elvira,,Cissie,,,,Barney,,,,Amanda,,,,Boka,,Boka
Dona,,Borie,,Borie,,Beleka,,Evelyne,,Cissie,,,,Beleka,,,,Amanda,,,,Borie,,Borie
Drew,,Brandy,,Brandy,,Bertha,,Faye,,Dara,,,,Beleka,,,,Amanda,,,,Brandy,,Brandy
Duff,,Brent,,Brent,,Bjorn,,Flora,,Dara,,,,Bjorn,,,,Amanda,,,,Brent,,Brent
Edwina,,Brodie,,Brodie,,Bo,,Foxy,,David (male),,,,Bo,,,,Amos,,,,Brodie,,Brodie
Elvira,,Brooks,,Brooks,,Boisfeullet,,Fritz,,Drew (male),,,,Bo,,,,Amos,,,,Brooks,,Brooks
Elwood,,Buffy,,Buffy,,Boka,,Gelb,,Drew (male),,,,Boisfeullet,,,,Amos,,,,Buffy,,Buffy
Ericka,,Callie,,Callie,,Borie,,Heppie,,Duff (male),,,,Boisfeullet,,,,Angela,,,,Callie,,Callie
Evelyne,,Carl,,Carl,,Brandy,,Jacqueline,,Edwina,,,,Boka,,,,Anja,,,,Carl,,Carl
Faye,,Carmich,,Carmich,,Brent,,Jeanie,,Edwina,,,,Boka,,,,Anja,,,,Carmichael,,Carmichael
Fiona,,Cathy,,Cathy,,Brian,,Jenda,,Elvira,,,,Borie,,,,Anja,,,,Cathy,,Cathy
Foxy,,Cheetah,,Cheetah,,Brooks,,Jewelle,,Elvira,,,,Brandy,,,,Anja,,,,Cheeta,,Cheeta
Frannie,,Chip,,Chip,,Buffy,,Jimmy Carter,,Elwood (male),,,,Brandy,,,,Anna,,,,Chip,,Chip
Fritz,,Christa,,Christa,,Callie,,Jolson,,Evelyne,,,,Brent,,,,Anna,,,,Christa,,Christa
Gelb,,Cissie,,Cissie,,Carl,,Joseph,,Faye,,,,Brooks,,,,Anna,,,,Cissie,,Cissie
Georgia,,Clint,,Clint,,Carmicheal,,Justin,,Fiona,,,,Buffy,,,,Artemus,,,,Clint,,Clint
Heppie,,Columbus,,Columbus,,Cathy,,Katrina,,Foxy,,,,Callie,,,,Artemus,,,,Columbus,,Columbus
Jacqueline,,Conan,,Conan,,Cheeta,,Kengee,,Foxy,,,,Callie,,,,Artemus,,,,Conan,,Conan
Jaimie,,Cynthia,,Cynthia,,Cheri,,Lamar,,Frannie,,,,Carl,,,,Artemus,,,,Cynthia,,Cynthia
Jarred,,Daisey,,Daisey,,Christa,,Lee,,Frannie,,,,Carl,,,,Artemus,,,,Daisey,,Daisey
Jewelle,,Dara,,Dara,,Cissie,,Lena,,Fritz (male),,,,Carmich,,,,Artemus (male),,,,Dara,,Dara
Jolson,,David,,David,,Claus,,Les,,Gelb (male),,,,Carmich,,,,Arthur,,,,David,,David
Joseph,,Debbie,,Debbie,,Clint,,Leslie,,Jacqueline,,,,Cathy,,,,Arthur,,,,Debbie,,Debbie
Julianne,,Dobbs,,Dobbs,,Colombus,,Lilone,,Jaime,,,,Cheetah,,,,Arthur,,,,Dobbs,,Dobbs
Julie,,Dona,,Dona,,Conan,,Lindsey,,Jamie,,,,Christa,,,,Arthur,,,,Dona,,Dona
Justin,,Donald,,Donald,,Cynthia,,Luther,,Jewelle,,,,Cissie,,,,Arthur,,,,Donald,,Donald
Katrina,,Dover,,Dover,,Daisey,,Marietta,,Jewelle,,,,Clint,,,,Artifact,,,,Dover,,Dover
Kengee,,Drew,,Drew,,Dara,,Mary,,Jolson (male),,,,Columbus,,,,Artifee,,,,Drew,,Drew
Kerri,,Duff,,Duff,,David,,Maxine,,Joseph (male),,,,Columbus,,,,Artifee,,,,Duff,,Duff
Lamar,,Duncan,,Duncan,,Dobbs,,Mega,,Julie,,,,Conan,,,,Artifee,,,,Duncan,,Duncan
Lena,,Edwina,,Edwina,,Dona,,Melissa,,Justin (male),,,,Conan,,,,Atlanta,,,,Edwina,,Edwina
Leslie,,Ellie,,Ellie,,Donald,,Merv,,Katrina,,,,Cynthia,,,,Atlanta,,,,Ellie,,Ellie
Lil' One,,Elvira,,Elvira,,Dover,,Mortimer,,Kerri,,,,Daisey,,,,Atlanta,,,,Elvira,,Elvira
Liza,,Elwood,,Elwood,,Duff,,Ossobaw,,Leslie,,,,Dara,,,,Augusta,,,,Elwood,,Elwood
Lucas,,Ericka,,Ericka,,Edwina,,Phillip,,Lil'One,,,,Dara,,,,Augusta,,,,Ericka,,Ericka
Lulu,,Evelyne,,Evelyne,,Ellie,,Puddin,,Lil'One,,,,David,,,,Augusta,,,,Evelyne,,Evelyne
Luther,,Faye,,Faye,,Elvira,,Reba,,Liza,,,,David,,,,Augusta,,,,Faye,,Faye
Lux,,Fiona,,Fiona,,Elwood,,Rebecca,,Liza,,,,Dobbs,,,,Austin,,,,Fiona,,Fiona
Mai,,Foxy,,Foxy,,Erika,,Rogger,,Lucas (male),,,,Dobbs,,,,Austin,,,,Foxy,,Foxy
Marietta,,Frannie,,Frannie,,Evelyne,,Sabrina,,Lucas (male),,,,Dona,,,,Azalea,,,,Frannie,,Frannie
Martha,,Fritz,,Fritz,,Faye,,Scott,,Lulu,,,,Donald,,,,Azalea,,,,Fritz,,Fritz
Mary,,Garbo,,Garbo,,Fiona,,Sellers,,Luther (male),,,,Dover,,,,Azalea,,,,Garbo,,Garbo
Maxine,,Gay,,Gay,,Flora,,Shirley,,Marietta,,,,Duff,,,,Azalea,,,,Gay,,Gay
