chimp,sex,DoB,status,lastDate,,,,,,,,ID,,,,,Abby,,,,,,,,,
Abby,0,05/11/1995,Death,18/02/2016,,,,,,,,,,,,,Ada,,,,,,,,,
Ada,0,01/01/1955,Death,27/06/1994,,,,,,,,,,,,,Agatha,,,,,,,,,
Agatha,0,1/21/1993,Alive,09/02/2016,,,,,,,,,,,,,Alice,,,,,,,,,
Alice,0,01/01/1961,Death,14/10/1999,,,,,,,,,,,,,Alicia,,,,,,,,,
Alicia,0,6/26/1989,Death,06/04/2006,,,,,,,,,,,,,Amanda,,,,,,,,,
Amanda,0,6/15/1991,Alive,22/03/2016,,,,,,,,,,,,,Amanda,,,,,,,,,
Amos,1,11/19/1981,Death,16/07/2010,,,,,,,,,,,,,Amos,,,,,,,,,
Angela,0,9/17/1971,Death,07/03/1997,,,,,,,,,,,,,Angela,,,,,,,,,
Anja,0,01/09/1980,Death,04/02/2015,,,,,,,,,,,,,Anja,,,,,,,,,
Anna,0,01/01/1955,Death,27/04/2000,,,,,,,,,,,,,Anna,,,,,,,,,
Artemus,1,12/18/1990,Alive,22/03/2016,,,,,,,,,,,,,Artemus,,,,,,,,,
Arthur,1,5/21/1991,Alive,09/02/2016,,,,,,,,,,,,,Artemus,,,,,,,,,
Artifact,1,6/21/1979,Death,07/05/1998,,,,,,,,,,,,,Arthur,,,,,,,,,
Artifee,0,7/24/1976,Death,15/09/2004,,,,,,,,,,,,,Artifact,,,,,,,,,
Atlanta,0,08/10/1965,Death,21/12/2000,,,,,,,,,,,,,Artifee,,,,,,,,,
Augusta,0,08/01/1975,Death,30/11/2007,,,,,,,,,,,,,Atlanta,,,,,,,,,
Austin,1,07/10/1974,Death,17/01/2002,,,,,,,,,,,,,Augusta,,,,,,,,,
Azalea,0,03/07/1997,Alive,09/02/2016,,,,,,,,,,,,,Austin,,,,,,,,,
Barbara,0,12/16/1972,Death,27/02/2015,,,,,,,,,,,,,Azalea,,,,,,,,,
Barbi,0,6/14/1976,Alive,09/02/2016,,,,,,,,,,,,,Barbara,,,,,,,,,
Barney,1,05/06/1989,Alive,30/03/2016,,,,,,,,,,,,,Barbi,,,,,,,,,
Beleka,0,01/01/1962,Death,20/03/2006,,,,,,,,,,,,,Barney,,,,,,,,,
Bertha,0,03/05/1977,Death,15/07/1997,,,,,,,,,,,,,Beleka,,,,,,,,,
Bjorn,1,7/16/1988,Death,01/05/2007,,,,,,,,,,,,,Bertha,,,,,,,,,
Bo,0,01/01/1969,Alive,09/02/2016,,,,,,,,,,,,,Bjorn,,,,,,,,,
Boisfeullet,1,12/14/1971,Death,15/12/2003,,,,,,,,,,,,,Bo,,,,,,,,,
Boka,0,11/11/1959,Death,29/01/2007,,,,,,,,,,,,,Boisfeullet,,,,,,,,,
Borie,0,01/01/1964,Death,12/08/2014,,,,,,,,,,,,,Boka,,,,,,,,,
Brandy,0,4/26/1985,Alive,22/03/2016,,,,,,,,,,,,,Borie,,,,,,,,,
Brent,1,1/20/1976,Death,10/03/2014,,,,,,,,,,,,,Brandy,,,,,,,,,
Brian,1,3/31/1979,LTF,14/10/1998,,,,,,,,,,,,,Brandy,,,,,,,,,
Brooks,1,11/10/1992,Alive,30/03/2016,,,,,,,,,,,,,Brent,,,,,,,,,
Buffy,0,01/02/1984,Death,08/12/2006,,,,,,,,,,,,,Brent,,,,,,,,,
Callie,0,2/18/1991,Death,18/02/2014,,,,,,,,,,,,,Brian,,,,,,,,,
Carl,1,5/21/1986,Alive,09/02/2016,,,,,,,,,,,,,Brooks,,,,,,,,,
Carmichael,1,3/21/1983,Death,29/09/2010,,,,,,,,,,,,,Buffy,,,,,,,,,
Cathy,0,10/05/1989,Alive,09/02/2016,,,,,,,,,,,,,Callie,,,,,,,,,
Cheeta,0,01/01/1957,Death,04/01/2012,,,,,,,,,,,,,Carl,,,,,,,,,
Cheri,0,01/01/1955,Death,02/12/1995,,,,,,,,,,,,,Carmichael,,,,,,,,,
Christa,0,06/01/1995,Alive,09/02/2016,,,,,,,,,,,,,Cathy,,,,,,,,,
Cissie,0,11/28/1976,Alive,09/02/2016,,,,,,,,,,,,,Cheeta,,,,,,,,,
Claus,1,12/25/1992,Alive,30/03/2016,,,,,,,,,,,,,Cheri,,,,,,,,,
Clint,1,06/06/1980,Death,02/08/2004,,,,,,,,,,,,,Christa,,,,,,,,,
Columbus,1,10/10/1977,Death,04/01/2000,,,,,,,,,,,,,Cissie,,,,,,,,,
Conan,1,01/03/1986,Death,22/12/2014,,,,,,,,,,,,,Claus,,,,,,,,,
Cynthia,0,06/07/1980,Death,28/03/2013,,,,,,,,,,,,,Clint,,,,,,,,,
Daisey,0,10/01/1989,Alive,09/02/2016,,,,,,,,,,,,,Columbus,,,,,,,,,
Dara,0,6/16/1988,Alive,09/02/2016,,,,,,,,,,,,,Conan,,,,,,,,,
David,1,6/27/1977,Alive,09/02/2016,,,,,,,,,,,,,Cynthia,,,,,,,,,
Dobbs,1,01/01/1961,Death,28/03/2001,,,,,,,,,,,,,Daisey,,,,,,,,,
Dona,0,04/03/1990,Alive,09/02/2016,,,,,,,,,,,,,Dara,,,,,,,,,
Donald,1,10/15/1987,Death,17/09/2007,,,,,,,,,,,,,David,,,,,,,,,
Dover,1,2/25/1994,Death,22/07/2004,,,,,,,,,,,,,Debbie,,,,,,,,,
Duff,1,02/08/1990,Death,12/01/2015,,,,,,,,,,,,,Dobbs,,,,,,,,,
Edwina,0,5/28/1991,Death,30/12/2012,,,,,,,,,,,,,Dona,,,,,,,,,
Ellie,0,8/14/1972,Death,20/03/2010,,,,,,,,,,,,,Donald,,,,,,,,,
Elvira,0,10/31/1988,Alive,09/02/2016,,,,,,,,,,,,,Dover,,,,,,,,,
Elwood,1,2/19/1990,Death,02/03/2014,,,,,,,,,,,,,Duff,,,,,,,,,
Ericka,0,10/20/1973,Death,04/09/2016,,,,,,,,,,,,,Edwina,,,,,,,,,
Evelyne,0,09/04/1991,Alive,09/02/2016,,,,,,,,,,,,,Ellie,,,,,,,,,
