chimp,DOB,Sex,Dam,Sire,Rater,Numraters,Date,Zoo_Name,Version,Group_size,fear,dom,pers,caut,stbl,aut,stngy,jeals,reckl,soc,tim,symp,play,sol,actv,help,buly,aggr,manp,gntl,affc,exct,impl,inqs,subm,depd,irri,pred,decs,depr,sens,defn,intll,prot,invt,clmy,errc,frdy,lazy,dsor,unem,imit,indp,dominance,surgency,dependability,agreeableness,emotionality,openness
Abby,05/11/1995,0,Barbara,Sam,SS,1,1/19/1999,Yerkes,A,unk,4,2,5,5,4,1,1,1,1,5,5,3,7,1,6,1,1,1,1,4,6,1,1,5,4,4,1,4,4,1,4,1,3,1,4,1,1,6,1,1,2,2,2,3,5.888888889,6.666666667,2.6,3.666666667,4.5
Agatha,1/21/1993,0,Melinda,Walnut,AH,1,7/26/2001,Yerkes,A,11,5,3,4,5,5,2,5,5,3,5,5,5,3,3,4,5,3,3,5,5,4,5,3,4,5,5,2,5,5,2,5,5,4,4,4,4,3,4,3,5,4,4,5,3.666666667,4.444444444,4.444444444,4.8,4,4
Alice,01/01/1961,0,Unknown,Unknown,WH,1,09/03/1997,Yerkes,B,,4,5,5,4,4,2,5,4,2,3,4,5,5,6,4,3,3,5,4,4,4,4,4,4,3,4,4,6,4,4,4,3,5,4,5,4,4,3,4,4,3,5,5,4.416666667,3.777777778,4.444444444,4,4.333333333,4.5
Alicia,6/26/1989,0,Cynthia,Phineas,WH,1,11/11/1997,Yerkes,B,,1,5,3,6,4,1,5,4,2,5,6,4,3,4,5,3,5,5,6,4,2,5,2,4,3,5,5,5,4,2,4,2,3,4,3,2,3,3,5,3,4,4,3,3.916666667,3.888888889,4.777777778,3.8,4.333333333,3.5
Amanda,6/15/1991,0,Sheila,Jimoh,MW,2,7/26/2001,Yerkes,A,6,7,1,2,6,2,4,3,5,2,5,1,3,2,5,4,4,1,2,6,3,2,5,6,3,7,7,5,5,2,4,4,3,4,2,1,5,5,3,3,5,3,7,2,2.25,3.888888889,4,3.2,5.333333333,2
Amanda,6/15/1991,,Sheila,Jimoh,KB,2,10/04/1997,Yerkes,B,6,2,4,7,3,6,4,2,2,5,5,4,5,3,6,3,4,2,2,6,5,6,3,4,6,6,4,4,6,4,6,6,4,6,5,4,1,5,6,4,2,5,6,7,4.416666667,4.111111111,4.666666667,5,2.666666667,5
Amos,11/19/1981,1,Sonia,Phineus,JF,1,02/10/1999,Yerkes,A,unk,1,7,4,3,6,2,5,5,2,6,1,5,4,2,5,4,5,4,6,3,4,2,2,3,1,1,4,6,6,1,4,1,6,4,3,1,2,4,2,1,4,1,7,6.083333333,4.777777778,5.444444444,4,2.666666667,3
Anja,01/09/1980,0,Tari,Jiggs,JM,1,01/11/1999,Yerkes,A,unk,2,6,6,2,3,1,7,4,5,3,2,3,1,5,1,2,7,5,6,3,2,2,3,3,2,3,4,6,7,2,2,5,5,2,4,2,4,3,5,2,5,2,5,6,2.666666667,4.222222222,2.4,3.333333333,3.5
Anna,01/01/1955,0,Unknown,Unknown,WH,1,10/04/1997,Yerkes,B,,4,2,3,6,6,3,5,4,5,2,5,1,1,7,2,2,2,1,2,6,2,2,2,3,6,5,5,6,6,3,2,6,4,2,4,6,2,3,6,3,6,4,7,3.583333333,2.444444444,4.666666667,2.6,2,3.5
Artemus,12/18/1990,1,Jenda,Iyk,AH,2,7/15/2001,Yerkes,A,5,1,7,6,2,3,3,7,5,5,5,2,2,4,4,6,3,5,5,5,3,5,6,5,5,1,2,4,3,5,1,4,4,5,3,6,2,5,4,1,5,2,4,7,6.166666667,5.111111111,3.222222222,3,5.666666667,5.5
Artemus,12/18/1990,,Jenda,Iyk,DL,2,10/04/1997,Yerkes,B,5,3,7,7,1,1,2,7,7,6,4,2,2,7,5,7,2,7,7,4,1,3,6,6,6,1,2,5,6,6,1,3,7,4,1,6,2,5,4,2,2,2,5,7,6.333333333,5.111111111,2.777777778,1.8,6.333333333,6
Arthur,5/21/1991,1,Jaq,Rogger,MW,2,7/26/2001,Yerkes,A,6,2,5,6,2,1,3,6,7,7,4,1,2,2,3,7,4,6,6,5,2,3,7,6,4,1,2,6,5,4,4,2,3,2,3,2,4,7,3,2,5,3,2,5,5.5,4,2.444444444,2.6,6.333333333,3
Arthur,5/21/1991,,Jaq,Rogger,KB,2,10/04/1997,Yerkes,B,6,5,4,6,6,3,1,2,6,2,6,5,5,6,2,7,5,2,3,5,5,6,7,3,5,5,4,3,6,3,2,5,3,3,3,4,2,3,6,2,3,1,5,3,3.166666667,6,4.888888889,4.6,6.333333333,4.5
Artifee,7/24/1976,0,Banana,Hoboh,AH,1,7/15/2001,Yerkes,A,2,4,5,4,4,4,2,4,3,2,4,5,5,3,4,3,5,1,1,5,5,4,4,3,4,2,3,2,6,5,4,5,5,4,4,4,5,3,3,5,3,5,4,5,4.166666667,3.555555556,5.333333333,4.8,3.666666667,4
Atlanta,08/10/1965,0,Cheri,Jent,SS,1,1/19/1999,Yerkes,A,unk,1,2,1,1,7,1,5,2,1,4,1,6,1,6,1,1,1,1,1,6,7,1,1,2,1,1,1,7,7,1,6,1,6,2,1,1,1,7,7,1,2,1,7,5.333333333,3.444444444,6.888888889,4.2,2.666666667,1.5
Augusta,08/01/1975,0,Mary,Homer,MW,2,7/15/2001,Yerkes,A,2,5,5,6,2,2,2,6,6,2,3,4,2,2,4,4,5,2,6,4,2,2,5,4,4,5,6,5,5,5,2,4,2,4,3,2,2,3,3,3,2,3,6,3,4.083333333,3.888888889,4.333333333,3.2,5.333333333,3
Augusta,08/01/1975,,Mary,Homer,BN,2,06/02/2000,Yerkes,A,2,4,4,5,2,3,2,4,4,4,4,3,3,4,3,4,3,4,3,3,3,3,4,4,4,3,3,4,4,4,2,4,3,3,4,3,2,4,3,2,2,2,3,4,4.416666667,4.222222222,4.444444444,3.4,5,3.5
Barbara,12/16/1972,0,Sonia,Hal,SS,1,1/13/1999,Yerkes,A,unk,2,3,2,6,6,1,1,2,1,5,1,4,1,5,1,4,2,1,3,6,6,1,1,4,3,2,4,6,4,4,4,1,5,5,3,1,1,6,6,1,1,4,4,3.916666667,3.555555556,6.444444444,4.6,3.333333333,3.5
Barbi,6/14/1976,0,Cookie,Homer,JM,1,01/11/1999,Yerkes,A,unk,4,2,2,5,4,1,4,2,2,2,5,3,2,5,2,2,2,2,2,3,2,2,2,3,5,5,2,5,3,5,3,2,2,2,2,2,2,5,5,3,5,2,2,2.75,2.666666667,5.777777778,2.6,3,2.5
Barney,05/06/1989,0,Melissa,Joseph,MW,2,7/15/2001,Yerkes,A,2,1,7,7,2,2,5,7,6,7,1,2,1,2,2,7,3,7,7,6,1,1,6,6,5,1,1,7,6,5,2,5,2,5,2,2,2,3,3,2,5,2,2,7,6.5,3.777777778,3,2.4,6,3.5
Barney,05/06/1989,,Melissa,Joseph,BN,2,06/02/2000,Yerkes,A,2,5,5,6,3,3,2,4,5,5,4,3,3,6,3,5,3,5,5,4,3,3,5,5,5,3,3,5,4,5,3,4,4,4,3,5,2,4,3,2,3,2,2,5,4.75,4.333333333,3.555555556,3.2,5.333333333,5
Beleka,01/01/1962,0,Unknown,Unknown,MW,2,7/26/2001,Yerkes,A,6,3,2,6,3,3,4,5,4,4,3,3,4,2,3,3,5,2,4,3,4,4,4,3,4,4,3,3,6,4,5,4,2,2,3,2,4,4,3,4,5,5,2,6,4.25,3.222222222,4.555555556,4,4,3
Beleka,01/01/1962,,Unknown,Unknown,WH,2,10/27/1997,Yerkes,B,6,1,6,6,6,6,1,5,5,1,5,2,5,5,3,4,4,7,5,5,4,3,2,2,5,2,2,2,7,5,2,6,2,6,5,3,2,2,5,4,2,5,4,6,5.666666667,4.555555556,5.555555556,4.8,2.333333333,4
Bjorn,7/16/1988,1,Anja,Walnut,SS,1,1/19/1999,Yerkes,A,unk,3,2,2,4,3,1,2,2,2,4,3,4,4,4,3,3,2,3,2,4,4,3,2,4,4,4,2,4,4,2,4,2,4,4,4,1,1,4,2,1,2,4,4,3.5,4.333333333,5.888888889,3.8,4.666666667,4
Bo,01/01/1969,0,Unknown,Unknown,AH,2,7/26/2001,Yerkes,A,9,4,4,4,5,6,1,3,3,2,5,4,5,2,5,2,4,2,2,5,6,5,3,3,5,4,4,3,5,4,4,5,3,4,4,3,5,2,4,5,3,6,4,5,3.75,3.555555556,5.333333333,4.8,2.333333333,4
Bo,01/01/1969,,Unknown,Unknown,WH,2,10/21/1997,Yerkes,B,9,5,1,1,7,5,5,1,2,1,4,7,3,1,6,1,2,1,1,3,3,2,3,2,1,7,6,4,6,2,5,3,1,1,3,1,6,1,4,7,6,4,1,1,1.333333333,2.111111111,5.777777778,2.8,3.333333333,1
Boisfeullet,12/14/1971,1,Jenda,,WH,2,10/30/1997,Yerkes,A,2,3,3,5,5,2,5,4,4,6,1,6,2,1,5,6,3,5,5,2,2,2,6,5,2,3,2,4,5,3,5,2,5,1,2,1,6,6,3,3,6,4,1,5,3.916666667,2.777777778,3.111111111,2.2,5.333333333,1.5
Boisfeullet,12/14/1971,,Jenda,,DP,2,7/27/2001,Yerkes,B,2,1,3,2,5,6,1,2,2,2,2,5,5,2,5,3,4,3,2,2,6,6,2,3,2,4,2,1,5,4,4,4,2,5,4,3,1,1,5,6,1,5,3,4,3.833333333,3.333333333,6.111111111,4.6,2.333333333,2.5
