"","chimp","DOB","Sex","X","X.1","Rater","Numraters","Date","X.2","X.3","X.4","fear","dom","pers","caut","stbl","aut","stngy","jeals","reckl","soc","tim","symp","play","sol","actv","help","buly","aggr","manp","gntl","affc","exct","impl","inqs","subm","depd","irri","pred","decs","depr","sens","defn","intll","prot","invt","clmy","errc","frdy","lazy","dsor","unem","imit","indp"
"1","12f107e47567289bea3f2469e22ee78b","5/11/1995",0,NA,NA,"57fb5d0ae4d5344f7c5304d54546929a",1,"1/19/1999",NA,NA,NA,4,2,5,5,4,1,1,1,1,5,5,3,7,1,6,1,1,1,1,4,6,1,1,5,4,4,1,4,4,1,4,1,3,1,4,1,1,6,1,1,2,2,2
"2","5f10a650ceb7b82b729d5043d22d6c0b","1/21/1993",0,NA,NA,"b9a3c74cd48a8f5347281975470e8793",1,"7/26/2001",NA,NA,NA,5,3,4,5,5,2,5,5,3,5,5,5,3,3,4,5,3,3,5,5,4,5,3,4,5,5,2,5,5,2,5,5,4,4,4,4,3,4,3,5,4,4,5
"3","e5759c4da227a0de2fddc02065ef1e2f","1/1/1961",0,NA,NA,"c04f2152dd477342ab465e0f4dffb710",1,"9/3/1997",NA,NA,NA,4,5,5,4,4,2,5,4,2,3,4,5,5,6,4,3,3,5,4,4,4,4,4,4,3,4,4,6,4,4,4,3,5,4,5,4,4,3,4,4,3,5,5
"4","3dde88b05d070ca8f1b7551e28a1bd98","6/26/1989",0,NA,NA,"c04f2152dd477342ab465e0f4dffb710",1,"11/11/1997",NA,NA,NA,1,5,3,6,4,1,5,4,2,5,6,4,3,4,5,3,5,5,6,4,2,5,2,4,3,5,5,5,4,2,4,2,3,4,3,2,3,3,5,3,4,4,3
"5","01352b3aea65a37d42989d3beb780b76","6/15/1991",0,NA,NA,"dd448847d5ea21df46d77af16f9b54e8",2,"7/26/2001",NA,NA,NA,7,1,2,6,2,4,3,5,2,5,1,3,2,5,4,4,1,2,6,3,2,5,6,3,7,7,5,5,2,4,4,3,4,2,1,5,5,3,3,5,3,7,2
"6","01352b3aea65a37d42989d3beb780b76","6/15/1991",NA,NA,NA,"3e0b514bba2983f9afd4923909d51c2c",2,"10/4/1997",NA,NA,NA,2,4,7,3,6,4,2,2,5,5,4,5,3,6,3,4,2,2,6,5,6,3,4,6,6,4,4,6,4,6,6,4,6,5,4,1,5,6,4,2,5,6,7
"7","ad3e64803ee08efe3ced8a50aaff2e1d","11/19/1981",1,NA,NA,"2bdac43399e5231278527eaa929991f4",1,"2/10/1999",NA,NA,NA,1,7,4,3,6,2,5,5,2,6,1,5,4,2,5,4,5,4,6,3,4,2,2,3,1,1,4,6,6,1,4,1,6,4,3,1,2,4,2,1,4,1,7
"8","eae7d08d8a01827b97182c3c6ded6f75","1/9/1980",0,NA,NA,"0d1cd57e9fd861f93a8ec8e7aa0bbaab",1,"1/11/1999",NA,NA,NA,2,6,6,2,3,1,7,4,5,3,2,3,1,5,1,2,7,5,6,3,2,2,3,3,2,3,4,6,7,2,2,5,5,2,4,2,4,3,5,2,5,2,5
"9","a2eb1f45ac6990ca88e39986b1b45bc1","1/1/1955",0,NA,NA,"c04f2152dd477342ab465e0f4dffb710",1,"10/4/1997",NA,NA,NA,4,2,3,6,6,3,5,4,5,2,5,1,1,7,2,2,2,1,2,6,2,2,2,3,6,5,5,6,6,3,2,6,4,2,4,6,2,3,6,3,6,4,7
"10","df4c70e60655d3a003db55e78df8f400","12/18/1990",1,NA,NA,"b9a3c74cd48a8f5347281975470e8793",2,"7/15/2001",NA,NA,NA,1,7,6,2,3,3,7,5,5,5,2,2,4,4,6,3,5,5,5,3,5,6,5,5,1,2,4,3,5,1,4,4,5,3,6,2,5,4,1,5,2,4,7
