chimp,Sex,DOB,Dam,Sire,Rater,DOPR,DaysAgeatTest,YearsAgeatTest,location,Version ,Group size,fear,dom,pers,caut,stbl,aut,stngy,jeals,reckl,soc,tim,symp,play,sol,actv,help,buly,aggr,manp,gntl,affc,exct,impl,inqs,subm,depd,irri,pred,decs,depr,sens,defn,intll,prot,invt,clmy,errc,frdy,lazy,dsor,unem,imit,indp
Jenny,0,2/24/40,Wendy,Jack,DL,10/4/97,21042,59.1,Yerkes,B,,5,6,5,6,5,6,2,3,2,5,3,6,5,4,2,7,2,4,5,7,6,4,4,6,3,2,1,5,5,2,6,6,6,7,5,5,2,7,6,3,3,4,3
Ada,0,1/1/55,,,WH,7/15/01,16997,47.7,Yerkes,A,1,2,1,2,5,4,6,4,3,3,2,5,4,1,6,4,2,2,3,4,4,4,2,2,4,5,5,2,5,4,6,3,2,2,2,3,6,5,2,6,6,7,2,5
Maxine,0,2/10/57,,,MW,7/15/01,16226,45.6,Yerkes,A,2,7,1,5,7,3,2,2,5,2,3,7,3,2,2,1,6,1,1,2,6,4,5,2,3,7,6,4,6,2,6,5,2,5,1,2,3,2,4,6,4,3,2,2
Garbo,0,12/10/53,Gamma,Bokar,WH,10/22/97,16022,45.0,Yerkes,B,,1,1,5,6,5,3,3,2,1,5,5,5,4,6,1,4,1,1,5,6,4,4,3,5,6,5,2,5,3,4,4,1,5,4,3,5,3,6,5,4,2,4,5
Flora,0,1/1/54,,,LF,7/24/97,15910,44.7,Yerkes,A,3,6,1,5,4,2,4,4,6,1,4,5,3,2,4,2,2,1,1,1,4,3,6,4,3,5,5,6,3,3,5,3,3,3,3,2,4,5,2,5,3,2,2,4
Jenda,0,2/14/58,Soda,Jent,MW,7/26/01,15868,44.6,Yerkes,A,6,3,2,2,5,5,3,2,2,1,2,4,3,1,6,2,4,1,2,3,4,3,3,2,2,5,5,2,5,5,5,4,1,3,2,2,4,2,4,2,5,4,2,6
Wenka,0,5/21/54,Banka,Web,WH,8/11/97,15788,44.3,Yerkes,A,3,5,2,2,5,2,6,1,2,2,3,5,4,2,6,2,2,1,1,4,4,3,5,5,4,6,6,4,5,4,6,3,4,3,4,3,5,5,4,4,6,3,4,5
Anna,0,1/1/55,,,WH,10/4/97,15617,43.9,Yerkes,B,,4,2,3,6,6,3,5,4,5,2,5,1,1,7,2,2,2,1,2,6,2,2,2,3,6,5,5,6,6,3,2,6,4,2,4,6,2,3,6,3,6,4,7
Cheri,0,1/1/55,,,DL,10/4/97,15617,43.9,Yerkes,B,,4,1,1,6,5,6,2,2,2,2,6,2,1,7,3,1,2,2,2,5,1,4,2,3,7,6,6,4,5,5,5,1,4,1,2,6,4,2,5,5,5,3,3
Sparkle,0,1/1/55,,,DL,10/4/97,15617,43.9,Yerkes,B,,6,4,6,4,2,3,5,6,6,2,3,3,1,3,3,5,3,3,4,3,4,6,5,5,5,6,6,3,6,5,5,6,6,4,6,5,5,3,5,2,2,4,6
Lulu,0,1/1/57,,,SS,1/14/99,15353,43.1,Yerkes,B,,3,1,4,4,3,2,2,4,1,5,4,5,4,4,3,5,1,1,3,5,5,5,2,5,4,4,2,6,4,2,5,3,5,5,2,2,2,6,2,2,1,2,4
