chimp,DOB,Dam,Sire,location,Group size,Sex,Rater,DOPR,Version ,reckl,aut,symp,sol,buly,actv,fear,caut,imit,unem,stngy,play,sens,exct,aggr,indp,intll,affc,stbl,help,tim,impl,depd,decs,defn,irri,lazy,invt,dom,pred,frdy,depr,clmy,prot,subm,gntl,manp,soc,inqs,jeals,pers,errc,dsor
Amanda,6/15/91,Sheila,Jimoh,Yerkes,6,0,KB,10/4/97,B,5,4,5,6,2,3,2,3,6,5,2,3,6,3,2,7,6,6,6,,,,,,,,,,,6,6,6,1,5,6,5,6,5,6,2,7,5,2
Artemus,12/18/90,Jenda,Iyk,Yerkes,5,1,DL,10/4/97,B,6,2,2,5,7,7,3,1,5,2,7,7,3,6,7,7,4,3,1,2,2,6,2,6,7,5,2,6,7,6,4,1,2,1,1,1,4,4,6,7,7,5,2
Arthur,5/21/91,Jaq,Rogger,Yerkes,6,1,KB,10/4/97,B,2,1,5,2,2,7,5,6,5,1,2,6,5,7,3,3,3,6,3,5,5,3,4,3,3,3,2,4,4,6,6,2,2,3,5,5,5,6,5,6,6,3,3
Augusta,8/1/75,Mary,Homer,Yerkes,2,0,BN,6/2/00,A,4,2,3,3,4,4,4,2,3,2,4,4,4,4,3,4,3,3,3,3,3,4,3,4,3,4,2,3,4,4,3,2,2,4,3,3,3,4,4,4,5,4,2
Barney,5/6/89,Melissa,Joseph,Yerkes,2,1,BN,6/2/00,A,5,2,3,3,5,5,5,3,2,2,4,6,4,5,5,5,4,3,3,3,3,5,3,5,4,5,2,5,5,4,3,3,2,3,3,3,4,4,5,5,6,4,3
Beleka,1/1/62,,,Yerkes,6,0,WH,10/27/97,B,1,1,5,3,7,4,1,6,4,5,5,5,6,2,5,6,6,3,6,4,2,2,2,5,2,2,4,3,6,7,5,2,2,5,2,4,5,5,5,5,6,2,2
Bo,1/1/69,,,Yerkes,9,0,WH,10/21/97,B,1,5,3,6,1,1,5,7,1,4,1,1,3,3,1,1,1,2,5,2,7,2,6,2,1,4,7,1,1,6,4,5,6,3,7,3,3,4,1,2,1,1,6
Boisfeullet,12/14/71,Jenda,,Yerkes,2,1,DP,7/27/01,B,2,1,5,5,3,3,1,5,3,5,2,2,4,2,2,4,5,6,6,4,5,3,2,4,2,1,6,3,3,5,5,4,1,4,4,6,2,2,2,2,2,1,1
Boka,11/11/59,Alfalfa,Bokar,Yerkes,3,0,MW,1/25/01,B,1,2,2,5,1,2,5,5,2,5,3,2,4,3,2,6,4,3,6,3,5,3,3,5,2,3,3,2,1,6,4,4,4,2,2,3,3,4,3,3,3,2,4
Brandy,4/26/85,Lolita,Walnut,Yerkes,2,0,AH,7/15/01,B,6,2,3,4,4,5,3,3,4,3,5,4,4,5,3,5,4,4,4,3,2,5,3,5,5,5,2,4,5,3,4,3,4,4,2,5,5,4,5,6,6,4,5
Callie,2/18/91,Waga,Rogger,Yerkes,5,0,DL,10/4/97,B,1,4,4,4,2,5,5,6,5,5,2,3,5,2,1,2,3,4,5,3,6,2,7,5,2,2,2,4,1,6,5,6,2,4,7,6,4,5,4,5,2,2,5
Carl,5/21/86,Reba,Phillip,Yerkes,3,1,AH,7/15/01,B,4,1,4,2,3,5,2,3,4,3,4,2,5,6,2,5,4,4,5,5,1,2,3,5,5,2,4,3,4,5,5,3,3,4,5,4,5,4,4,3,5,2,2
Carmicheal,3/21/83,Ericka,Rogger,Yerkes,7,1,MW,7/26/01,B,6,4,4,3,5,5,2,4,4,3,4,3,5,5,6,5,3,4,3,3,3,5,3,3,2,4,5,3,6,5,3,5,4,3,2,4,3,3,3,4,3,5,5
Colombus,10/10/77,Sonia,Phinneas,Yerkes,,1,LP,8/17/97,B,2,4,4,6,,2,2,6,,2,6,3,3,4,2,4,4,1,2,2,2,5,3,5,4,6,6,2,5,6,2,6,2,3,2,3,3,1,2,4,4,3,4
Conan,1/3/86,Mai,Walnut,Yerkes,2,1,WH,8/13/97,B,3,1,4,5,5,4,5,4,4,4,4,4,4,5,3,4,3,3,4,4,5,3,6,3,3,4,5,2,3,4,3,4,5,4,5,3,4,4,3,4,4,5,5
Dara,6/16/88,Leslie,Homer,Yerkes,11,0,WH,12/30/98,B,5,,1,2,6,6,5,5,4,3,7,4,3,5,6,6,6,4,4,2,2,5,4,5,6,6,2,4,6,4,2,2,2,5,1,2,5,5,5,6,6,2,1
David,6/27/77,Flora,Hal,Yerkes,2,1,SS,1/14/99,B,6,7,2,6,4,6,4,3,4,2,4,6,4,6,5,4,2,2,2,2,5,7,4,3,4,3,3,2,2,4,4,3,5,3,5,2,2,2,5,5,5,6,6
Dobbs,1/1/61,,,Yerkes,2,1,WH,8/28/97,B,2,5,2,6,2,1,4,4,2,6,4,1,2,1,1,6,3,2,4,3,6,4,5,6,2,3,6,3,2,4,3,6,5,3,5,4,3,2,2,3,6,5,5
Duff,2/8/90,Lena,Clint,Yerkes,2,1,AH,7/30/01,B,6,7,2,4,5,5,2,2,4,3,3,3,3,4,5,5,3,3,2,4,2,5,2,3,3,5,3,3,5,3,2,4,5,3,3,3,4,4,2,4,4,5,6
Edwina,5/28/91,Lolita,Edward,Yerkes,6,0,KB,10/4/97,B,4,2,2,5,6,5,3,5,4,5,6,4,4,3,5,5,5,3,5,3,2,3,2,6,5,4,2,3,6,6,4,4,4,3,2,3,6,5,4,7,6,2,2
Elvira,10/31/88,Barbi,Jimoh,Yerkes,7,0,MW,7/26/01,B,5,2,3,3,4,5,6,2,4,3,4,4,5,6,2,3,6,5,3,5,2,6,5,3,3,5,2,5,3,5,3,2,4,4,6,3,4,4,5,6,6,4,4
Evelyne,9/4/91,Sabrina,Puddin,Yerkes,5,0,MW,7/29/01,B,2,1,3,2,6,6,4,5,5,6,7,2,2,4,5,5,6,3,6,3,2,2,4,6,3,2,1,4,6,6,3,2,1,6,3,4,6,6,6,6,4,1,1
