metabolic,,hematology,,blood chem,,rater1,,rater2,,heights,,,,dec2_traits,,,,Abby,    ,,,final
Abby,,Abby,,Abby,,Abby,,Amanda,,Abby,,,,Abby,,,,Abby,,,,Abby
Agatha,,Agatha,,Agatha,,Ada,,Artemus,,Abby,,,,Agatha,,,,Abby,,,,Agatha
Amanda,,Alice,,Alice,,Agatha,,Arthur,,Agatha,,,,Alice,,,,Abby,,,,Alice
Anja,,Alicia,,Alicia,,Alice,,Augusta,,Agatha,,,,Alicia,,,,Abby,,,,Alicia
Artemus,,Amanda,,Amanda,,Alicia,,Barney,,Amanda,,,,Amanda,,,,Abby,,,,Amanda
Arthur,,Amos,,Amos,,Amanda,,Beleka,,Artemus (male),,,,Amanda,,,,Ada,,,,Amos
Azalea,,Anja,,Anja,,Amos,,Bo,,Azalea,,,,Amos,,,,Agatha,,,,Anja
Barbara,,Anna,,Anna,,Angela,,Boisfeullet,,Azalea,,,,Anja,,,,Agatha,,,,Anna
Barbi,,Artemus,,Artemus,,Anja,,Boka,,Azalea,,,,Anna,,,,Agatha,,,,Artemus
Bo,,Arthur,,Arthur,,Anna,,Brandy,,Barbara,,,,Artemus,,,,Agatha,,,,Arthur
Borie,,Artifee,,Artifee,,Artemus,,Callie,,Barbara,,,,Artemus,,,,Agatha,,,,Artifee
Brandy,,Atlanta,,Atlanta,,Arthur,,Carl,,Bo,,,,Arthur,,,,Agatha,,,,Atlanta
Brodie,,Augusta,,Augusta,,Artifact,,Carmicheal,,Brandy,,,,Arthur,,,,Alice,,,,Augusta
Callie,,Barbara,,Barbara,,Artifee,,Colombus,,Brodie,,,,Artifee,,,,Alice,,,,Barbara
Carl,,Barbi,,Barbi,,Atlanta,,Conan,,Brodie,,,,Atlanta,,,,Alice,,,,Barbi
Cathy,,Barney,,Barney,,Augusta,,Dara,,Callie,,,,Augusta,,,,Alicia,,,,Barney
Chip,,Beleka,,Beleka,,Austin,,David,,Callie,,,,Augusta,,,,Alicia,,,,Beleka
Christa,,Bjorn,,Bjorn,,Azalea,,Dobbs,,Callie,,,,Barbara,,,,Alicia,,,,Bjorn
Cissie,,Bo,,Bo,,Barbara,,Duff,,Cheeta,,,,Barbi,,,,Amanda,,,,Bo
Dara,,Boisfeullet,,Boisfeullet,,Barbi,,Edwina,,Christa,,,,Barney,,,,Amanda,,,,Boisfeullet
David,,Boka,,Boka,,Barney,,Elvira,,Cissie,,,,Barney,,,,Amanda,,,,Boka
Dona,,Borie,,Borie,,Beleka,,Evelyne,,Cissie,,,,Beleka,,,,Amanda,,,,Borie
Drew,,Brandy,,Brandy,,Bertha,,Faye,,Dara,,,,Beleka,,,,Amanda,,,,Brandy
Duff,,Brent,,Brent,,Bjorn,,Flora,,Dara,,,,Bjorn,,,,Amanda,,,,Brent
Edwina,,Brodie,,Brodie,,Bo,,Foxy,,David (male),,,,Bo,,,,Amos,,,,Brodie
Elvira,,Brooks,,Brooks,,Boisfeullet,,Fritz,,Drew (male),,,,Bo,,,,Amos,,,,Brooks
Elwood,,Buffy,,Buffy,,Boka,,Gelb,,Drew (male),,,,Boisfeullet,,,,Amos,,,,Buffy
Ericka,,Callie,,Callie,,Borie,,Heppie,,Duff (male),,,,Boisfeullet,,,,Angela,,,,Callie
Evelyne,,Carl,,Carl,,Brandy,,Jacqueline,,Edwina,,,,Boka,,,,Anja,,,,Carl
Faye,,Carmich,,Carmich,,Brent,,Jeanie,,Edwina,,,,Boka,,,,Anja,,,,Carmichael
Fiona,,Cathy,,Cathy,,Brian,,Jenda,,Elvira,,,,Borie,,,,Anja,,,,Cathy
Foxy,,Cheetah,,Cheetah,,Brooks,,Jewelle,,Elvira,,,,Brandy,,,,Anja,,,,Cheeta
Frannie,,Chip,,Chip,,Buffy,,Jimmy Carter,,Elwood (male),,,,Brandy,,,,Anna,,,,Chip
Fritz,,Christa,,Christa,,Callie,,Jolson,,Evelyne,,,,Brent,,,,Anna,,,,Christa
Gelb,,Cissie,,Cissie,,Carl,,Joseph,,Faye,,,,Brooks,,,,Anna,,,,Cissie
Georgia,,Clint,,Clint,,Carmicheal,,Justin,,Fiona,,,,Buffy,,,,Artemus,,,,Clint
Heppie,,Columbus,,Columbus,,Cathy,,Katrina,,Foxy,,,,Callie,,,,Artemus,,,,Columbus
Jacqueline,,Conan,,Conan,,Cheeta,,Kengee,,Foxy,,,,Callie,,,,Artemus,,,,Conan
Jaimie,,Cynthia,,Cynthia,,Cheri,,Lamar,,Frannie,,,,Carl,,,,Artemus,,,,Cynthia
Jarred,,Daisey,,Daisey,,Christa,,Lee,,Frannie,,,,Carl,,,,Artemus,,,,Daisey
Jewelle,,Dara,,Dara,,Cissie,,Lena,,Fritz (male),,,,Carmich,,,,Artemus (male),,,,Dara
Jolson,,David,,David,,Claus,,Les,,Gelb (male),,,,Carmich,,,,Arthur,,,,David
Joseph,,Debbie,,Debbie,,Clint,,Leslie,,Jacqueline,,,,Cathy,,,,Arthur,,,,Debbie
Julianne,,Dobbs,,Dobbs,,Colombus,,Lilone,,Jaime,,,,Cheetah,,,,Arthur,,,,Dobbs
Julie,,Dona,,Dona,,Conan,,Lindsey,,Jamie,,,,Christa,,,,Arthur,,,,Dona
Justin,,Donald,,Donald,,Cynthia,,Luther,,Jewelle,,,,Cissie,,,,Arthur,,,,Donald
Katrina,,Dover,,Dover,,Daisey,,Marietta,,Jewelle,,,,Clint,,,,Artifact,,,,Dover
Kengee,,Drew,,Drew,,Dara,,Mary,,Jolson (male),,,,Columbus,,,,Artifee,,,,Drew
Kerri,,Duff,,Duff,,David,,Maxine,,Joseph (male),,,,Columbus,,,,Artifee,,,,Duff
Lamar,,Duncan,,Duncan,,Dobbs,,Mega,,Julie,,,,Conan,,,,Artifee,,,,Duncan
Lena,,Edwina,,Edwina,,Dona,,Melissa,,Justin (male),,,,Conan,,,,Atlanta,,,,Edwina
Leslie,,Ellie,,Ellie,,Donald,,Merv,,Katrina,,,,Cynthia,,,,Atlanta,,,,Ellie
Lil' One,,Elvira,,Elvira,,Dover,,Mortimer,,Kerri,,,,Daisey,,,,Atlanta,,,,Elvira
