chimp	DOB	Dam	Sire	Sex	Rater	DOPR	DaysAgeatTest	YearsAgeatTest	location	Version 	Group size	fear	dom	pers	caut	stbl	aut	stngy	jeals	reckl	soc	tim	symp	play	sol	actv	help	buly	aggr	manp	gntl	affc	exct	impl	inqs	subm	depd	irri	pred	decs	depr	sens	defn	intll	prot	invt	clmy	errc	frdy	lazy	dsor	unem	imit	indp
Jenny	2/24/40	Wendy	Jack	0	DL	10/04/1997	21042	59.1	Yerkes	B		5	6	5	6	5	6	2	3	2	5	3	6	5	4	2	7	2	4	5	7	6	4	4	6	3	2	1	5	5	2	6	6	6	7	5	5	2	7	6	3	3	4	3
Ada	01/01/1955			0	WH	7/15/01	16997	47.7	Yerkes	A	1	2	1	2	5	4	6	4	3	3	2	5	4	1	6	4	2	2	3	4	4	4	2	2	4	5	5	2	5	4	6	3	2	2	2	3	6	5	2	6	6	7	2	5
Maxine	02/10/1957			0	MW	7/15/01	16226	45.6	Yerkes	A	2	7	1	5	7	3	2	2	5	2	3	7	3	2	2	1	6	1	1	2	6	4	5	2	3	7	6	4	6	2	6	5	2	5	1	2	3	2	4	6	4	3	2	2
Garbo	12/10/1953	Gamma	Bokar	0	WH	10/22/97	16022	45	Yerkes	B		1	1	5	6	5	3	3	2	1	5	5	5	4	6	1	4	1	1	5	6	4	4	3	5	6	5	2	5	3	4	4	1	5	4	3	5	3	6	5	4	2	4	5
Flora	01/01/1954			0	LF	7/24/97	15910	44.7	Yerkes	A	3	6	1	5	4	2	4	4	6	1	4	5	3	2	4	2	2	1	1	1	4	3	6	4	3	5	5	6	3	3	5	3	3	3	3	2	4	5	2	5	3	2	2	4
Jenda	2/14/58	Soda	Jent	0	MW	7/26/01	15868	44.6	Yerkes	A	6	3	2	2	5	5	3	2	2	1	2	4	3	1	6	2	4	1	2	3	4	3	3	2	2	5	5	2	5	5	5	4	1	3	2	2	4	2	4	2	5	4	2	6
Wenka	5/21/54	Banka	Web	0	WH	08/11/1997	15788	44.3	Yerkes	A	3	5	2	2	5	2	6	1	2	2	3	5	4	2	6	2	2	1	1	4	4	3	5	5	4	6	6	4	5	4	6	3	4	3	4	3	5	5	4	4	6	3	4	5
Anna	01/01/1955			0	WH	10/04/1997	15617	43.9	Yerkes	B		4	2	3	6	6	3	5	4	5	2	5	1	1	7	2	2	2	1	2	6	2	2	2	3	6	5	5	6	6	3	2	6	4	2	4	6	2	3	6	3	6	4	7
Cheri	01/01/1955			0	DL	10/04/1997	15617	43.9	Yerkes	B		4	1	1	6	5	6	2	2	2	2	6	2	1	7	3	1	2	2	2	5	1	4	2	3	7	6	6	4	5	5	5	1	4	1	2	6	4	2	5	5	5	3	3
Sparkle	01/01/1955			0	DL	10/04/1997	15617	43.9	Yerkes	B		6	4	6	4	2	3	5	6	6	2	3	3	1	3	3	5	3	3	4	3	4	6	5	5	5	6	6	3	6	5	5	6	6	4	6	5	5	3	5	2	2	4	6
Lulu	01/01/1957			0	SS	1/14/99	15353	43.1	Yerkes	B		3	1	4	4	3	2	2	4	1	5	4	5	4	4	3	5	1	1	3	5	5	5	2	5	4	4	2	6	4	2	5	3	5	5	2	2	2	6	2	2	1	2	4
Lucy	07/01/1956			0	DL	10/04/1997	15070	42.3	Yerkes	B		6	2	2	6	5	5	3	3	2	5	6	5	2	5	3	5	2	3	3	6	5	3	2	2	6	7	4	5	4	3	6	3	4	6	2	5	2	5	5	2	5	6	5
Mary	07/07/1960	Flora	Jent	0	AH	7/15/01	14983	42.1	Yerkes	A	2	3	1	2	6	4	1	1	1	1	3	5	4	2	5	1	2	1	1	4	6	5	4	2	2	6	5	2	6	5	4	5	1	4	3	2	5	2	3	7	1	5	4	4
Cheeta	01/01/1957			0	WH	8/13/97	14834	41.7	Yerkes	B		2	5	5	2	2	4	6	5	5	4	3	2	2	5	4	3	5	6	5	3	2	5	5	4	3	2	6	3	4	4	4	5	5	3	4	4	5	2	4	4	3	4	6
Dobbs	01/01/1961			1	MW	7/15/01	14805	41.6	Yerkes	A	2	1	7	5	2	2	2	5	5	5	2	1	2	2	6	3	2	6	7	5	2	1	6	6	2	1	1	6	5	6	5	2	6	5	3	2	2	6	2	2	5	3	2	6
Beleka	01/01/1962			0	MW	7/26/01	14451	40.6	Yerkes	A	6	3	2	6	3	3	4	5	4	4	3	3	4	2	3	3	5	2	4	3	4	4	4	3	4	4	3	3	6	4	5	4	2	2	3	2	4	4	3	4	5	5	2	6
Sonia	11/01/1959			0	SS	01/03/1999	14308	40.2	Yerkes	A		4	4	2	4	6	1	1	1	1	6	2	6	1	4	1	6	1	1	1	7	7	2	1	4	4	2	1	7	6	5	5	1	5	6	2	4	1	7	6	1	4	3	4
Iyk	08/01/1962			1	MW	7/26/01	14239	40	Yerkes	A	6	3	1	2	5	5	2	2	3	2	2	5	3	3	6	1	4	2	2	1	5	5	2	2	1	3	2	2	6	3	5	4	2	3	3	1	3	1	4	7	5	4	3	6
Francisca	01/01/1959			0	WH	11/23/97	14206	39.9	Yerkes	A	2	4	6	6	3	2	5	6	6	6	2	4	4	2	5	1	2	6	7	7	3	3	7	5	2	2	3	6	5	5	2	3	6	5	4	3	4	6	2	6	2	1	4	5
Reba	11/03/1958	Flora	Web	0	WH	7/30/97	14149	39.7	Yerkes	A	7	6	3	4	4	2	6	3	3	2	4	5	3	2	2	4	4	3	2	2	3	3	5	5	2	5	5	5	5	4	2	3	3	3	3	2	5	6	4	4	6	2	4	4
Hoboh	01/01/1959			1	WH	7/27/97	14087	39.6	Yerkes	A	3	1	6	6	2	2	6	6	4	6	3	5	2	3	4	4	4	5	6	5	3	3	6	6	4	2	4	4	5	5	5	2	6	4	4	4	5	6	4	4	5	1	4	5
