chimp,sex,maternity,paternity,momage,parity,bo,rearing, age ,hi,date1,rbc,wbc,hct,hgb,mcv,mch,mchc,lymph,monos,eos,date2,rbc2,wbc2,hct2,hgb2,mcv2,mch2,mchc2,lymp2,mono2,eos2,date3,rbc3,wbc3,hct3,hgb3,mcv3,mch3,mchc3,lymp3,mono3,eos3
Abby,1,Barbara,Sam,22,3,3,1,1.5,0.28,1/30/97,5.4,16800,39.6,13.1,73.3,24.3,33.1,60,0,3,09/03/1998,5.78,12100,41.7,14,72.1,24.2,33.6,58,1,3,17/12/1999,5.35,10600,40.9,13.6,76.4,25.4,33.3,48,3,1
Agatha,1,Melinda,Walnut,10.25,2,2,1,4.5,0.39,21/10/1997,5.02,8400,40.5,14,80.7,27.9,34.6,44,1,4,09/09/1998,5.06,15300,41.2,14.1,81.4,27.9,34.2,29,2,0,28/09/1999,5,10700,42.4,13.8,84.8,27.6,32.5,50,1,2
Alice,1,,,,,,1,36,0.36,08/05/1997,3.86,21000,35.6,11.7,92.2,30.3,32.9,78,0,0,11/05/1998,3.84,22900,35.6,11.6,92.7,30.2,32.6,61,9,1,26/01/1999,3.69,22000,34.1,11,92.4,29.8,32.3,55,1,0
Alicia,1,Cynthia,Phineas,9,1,1,1,7.5,-0.23,30/04/1997,4.98,17100,42.5,14.6,85.3,29.3,34.4,15,3,0,07/04/1998,4.78,7700,41,13.9,85.8,29.1,33.9,50,6,4,01/12/1999,4.87,12200,41.4,13.9,85,28.5,33.6,31,2,1
Amanda,1,Sheila,Jimoh,18.75,9,3,2,6,-0.86,26/11/1997,5.44,9400,43.3,14.6,79.6,26.8,33.7,40,1,0,12/01/1999,5.26,7100,42.5,14.3,80.8,27.2,33.6,60,5,3,12/08/1999,4.34,20400,34.6,11.5,79.7,26.5,33.2,53,6,1
Amos,2,Sonia,Phineas,22,7,4,1,15,0,14/02/1997,6.29,8300,48.5,16.3,77.1,25.9,33.6,28,5,1,17/03/1998,6.07,13900,47.6,16.5,78.4,27.2,34.7,8,2,1,01/03/1999,6.16,17700,49.3,16.9,80,27.4,34.3,11,3,1
Anja,1,Tari,Jiggs,22,5,5,1,17.5,0.31,04/11/1997,5.05,7600,40.9,13.6,81,26.9,33.3,25,2,6,03/11/1998,5.44,12100,45,15,82.7,27.6,33.3,55,7,2,21/10/1999,5.13,18700,42.3,13.4,82.5,26.1,31.7,43,1,2
Anna,1,,,,,,1,42.5,1,25/11/1997,4.35,8100,35.8,10.8,82.3,24.8,30.2,40,1,0,05/01/1998,4.45,6600,35.7,11.1,80.2,24.9,31.1,45,0,7,01/12/1998,4.95,7500,40.7,13,82.2,26.3,31.9,41,10,0
Artemus,2,Jenda,Iyk,32.08,11,3,2,6.5,-0.23,04/06/1997,5.51,19400,44.9,14.9,81.5,27,33.2,14,4,0,17/06/1998,5.52,14000,45.9,15.4,83.2,27.9,33.6,6,2,0,24/06/1999,5.47,13100,45.9,15.4,83.9,28.2,33.6,15,0,0
Arthur,2,Jaq,Rogger,14.58,2,2,2,5.5,1,06/11/1996,5.09,7900,42.1,13.2,82.7,25.9,31.4,43,3,2,24/11/1997,5.02,8600,39.7,13,79.1,25.9,32.7,50,2,2,24/11/1998,5.29,14300,41.7,14.3,78.8,27,34.3,20,1,1
Artifee,1,Banana,Hoboh,30.25,7,5,2,20.5,-0.47,08/05/1997,5.14,17000,38.8,12,75.5,23.3,30.9,40,0,2,11/05/1998,5.07,14000,41.5,13.1,81.9,25.8,31.6,33,9,1,25/05/1999,5.16,15500,43.1,13.9,83.5,26.9,32.3,44,6,0
Atlanta,1,Cheri,Jent,19,4,3,2,31,0.48,10/09/1996,5.44,7600,44.6,13.9,82,25.6,31.2,49,2,0,11/02/1998,5.28,11700,41.1,12.4,77.8,23.5,30.2,50,7,1,18/02/1999,5.95,18800,49.1,15,82.5,25.2,30.5,62,7,0
Augusta,1,Mary,Homer,15.08,1,1,2,22,-0.65,06/08/1997,4.9,24500,40.9,13.4,83.5,27.3,32.8,36,0,1,01/09/1998,4.49,11000,38.1,12.7,84.9,28.3,33.3,60,3,3,18/08/1999,4.68,14400,39.7,13.1,84.8,28,33,34,0,2
Barbara,1,Sonia,Hal,13.12,3,2,1,24,0.57,30/01/1997,5.05,13100,42.1,14.1,83.4,27.9,33.5,30,4,2,09/03/1998,5.18,8400,42.5,14.3,82,27.6,33.6,57,4,0,17/02/1999,4.78,8600,41.1,13.6,86,28.5,33.1,29,6,0
Barbi,1,Cookie,Homer,20.42,6,3,1,20.5,-0.35,13/05/1997,5.21,9900,41.9,13.8,80.4,26.5,32.9,32,3,5,28/05/1998,5.42,15100,43.8,14.4,80.8,26.6,32.9,18,2,2,02/06/1999,5.29,9300,43.4,14.7,82,27.8,33.9,55,5,1
Barney,2,Melissa,Joseph,7.92,1,1,3,7.5,-0.05,02/01/1997,4.88,12300,42.2,13.7,86.5,28.1,32.5,33,0,0,14/12/1998,5.54,9000,48,16.3,86.6,29.4,34,28,2,2,28/10/1998,5.85,10600,50.5,16.7,86.3,28.5,33.1,33,4,2
Beleka,1,,,,,,1,35,0.02,08/04/1997,5.51,6300,44.7,14.6,81.1,26.5,32.7,54,4,6,30/04/1998,5.14,6800,43.4,14.4,84.4,28,33.2,31,4,2,22/04/1999,5,6100,41.7,13.7,83.4,27.4,32.9,33,1,0
Bjorn,2,Anja,Walnut,8,1,1,1,8,0.33,07/11/1996,5.85,18000,47.9,15.7,81.9,26.8,32.8,17,1,0,07/01/1998,5.99,11900,47.6,16.3,79.5,27.2,34.2,23,2,4,05/01/1999,6.71,10400,54.9,18.5,81.8,27.6,33.7,53,3,0
Bo,1,,,,,,1,28,0.04,19/03/1997,5.21,9200,43.1,13.8,82.7,26.5,32,54,4,1,10/03/1998,4.8,8500,40.2,13.1,83.7,27.3,32.6,52,7,3,15/07/1999,4.62,10300,39.5,12.7,85.5,27.5,32.2,35,3,1
