pseudomerge,faces,personality
Abbey     ,Totoni,Abbey     
ADONIS    ,Staun,ADONIS    
Ahni      ,Sparky,Ahni      
AJAX      ,Samson,AJAX      
AKIMEL    ,Rusty,AKIMEL    
Alex,Radar,Alex
ALLIE     ,Punch,ALLIE     
Alpha,Pecos,Alpha
Angie,Pacer,Angie
Ann,Oscar,April
April,Nowi,ARMOND    
ARMOND    ,Nahko,Austin
Austin,Martin,Bahn
Bahn,Marcus,BART      
BART      ,Mahsho,Bashful
Bashful,Magic,Becca
Becca,Lyle,BERNADETTE
BERNADETTE,Kuhta,BERNIE    
BERNIE    ,Kudzu,Beta
Beta,Keno,Betty
Betty,Kalioni,Billy
Billy,Huhni,Bo2
Bischk,Gremlin,BRIA      
Bo,Gage,CASSIE    
BRIA      ,Ehsto,CECELIA   
CASSIE    ,Cordova,CHECHEKUL 
CECELIA   ,Chester,Cheopi
Cesar,Cesar,Chester
CHECHEKUL ,Bo2,CHINOOK   
Cheopi,Billy,CHRISSY   
,Bahn,COCO      
Chester ,Austin,CODY      
CHINOOK   ,Alex,Cordova
CHRISSY   ,Alpha,CYBILL    
COCO      ,Angie,DOYLE     
CODY      ,Ann,Ehsto
Cordova,April,EMILY     
CYBILL    ,Bashful,Gage
Dahpi,Becca,GERTRUDE  
DOYLE     ,Beta,GIGI      
Eesha,Betty,GIMP      
Ehsto,Bischk,GISOKI    
EMILY     ,Cheopi,GRACIE    
Eniga,Dahpi,Gremlin
Gage,Eesha,HA'AKID   
GERTRUDE  ,Eniga,Hannah
GIGI      ,Hannah,HELGA     
GIMP      ,Hodari,HOBBES    
GISOKI    ,Jana,Hodari
GRACIE    ,Jane,HUEY      
Gremlin,Jessie,Huhni
HA'AKID   ,Judy,JAKE      
Hannah,Junie,Jana
HELGA     ,Kampani,Jane
HOBBES    ,Kaya,Jessie
Hodari,Kiht,JOEY      
HUEY      ,Lexus,JOSIE     
Huhni,Lulu,JUDUMI    
JAKE      ,Mae,Judy
Jana,Maishpa,Junie
Jane,Melissa,KAKAICHU  
Jessie,Michon,Kalioni   
JOEY      ,Monique,Kareem    
JOSIE     ,Muffin,Kaya      
JUDUMI    ,Nahja,Kehg      
Judy,Nina,Keno      
Junie,Oki,Kelly     
KAKAICHU  ,Pahstihl,Kiht
,Pepper,Krog      
Kalioni   ,Sindee,Kudzu     
Kampani,Sophie2,Kukui     
Kareem    ,Taffy,Kuhta
,Tanya,Lacey     
Kaya      ,Tasha,Lexus     
Kehg      ,Tina,Lulu      
Kelly     ,Tuppence,Lyle      
,Xena,Mae       
Keno      ,Magic,Magic     
Kiht,Gage,Mahi      
Krog      ,Kiht,Mahsho
,Maishpa,MANDY     
Kudzu     ,Chester ,Marcus
Kuhta,Cesar,MARTHA    
Kukui     ,Austin,Martin
Lacey     ,Dahpi,MARY      
,Taffy,MAXI      
Lexus     ,Tasha,MAYNARD   
,Beta,MISTY     
Lulu      ,Punch,Michon
,Lexus,MONIQUE   
Lyle      ,Austin,MOOSE     
,Dahpi,Muffin
Mae       ,Nina,NAHAGIO   
,Michon,Nahja
Magic     ,Xena,Nahko
Mahi      ,Alpha,NICK      
Mahsho,Gremlin,Nina
Maishpa,Bo2,Nowi
MANDY     ,Samson,OREO      
Marcus,Kampani,Oscar
MARTHA    ,Mahsho,Pacer
Martin,Cheopi,PATTI     
MARY      ,Maishpa,Pecos
MAXI      ,,Pepper
MAYNARD   ,,PERRY     
Melissa,,PIERRE    
Michon,,PIMACH    
MISTY     ,,PIPLIN    
Monique,,POLLY     
,,PRISSY    
MOOSE     ,,Punch
Muffin,,QUINCY    
NAHAGIO   ,,Radar
Nahja,,Reno      
Nahko,,REEUH     
NICK      ,,RHODA     
Nina,,ROSIE     
Nowi,,RUSTY     
Oki,,Samson    
OREO      ,,SANDY     
Oscar,,SHAHEE    
Pacer,,SHAKAL    
Pahstihl,,SHOHSHON  
PATTI     ,,SIMBA     
Pecos,,SIMON     
Pepper,,Sindee
PERRY     ,,SKEETER   
PIERRE    ,,Sophie2
PIMACH    ,,Staun
PIPLIN    ,,SUHNA     
POLLY     ,,TABU      
PRISSY    ,,Taffy
Punch,,TAMBLO    
QUINCY    ,,TANG      
Radar,,Tasha
REEUH     ,,Tina
Reno      ,,TOHBI     
RHODA     ,,Totoni
ROSIE     ,,TULIK     
,,URSULA    
RUSTY     ,,Xena
,,ZIPPY     
Samson    ,,ZOE       
SANDY     ,,
SHAHEE    ,,
SHAKAL    ,,
SHOHSHON  ,,
SIMBA     ,,
SIMON     ,,
Sindee,,
SKEETER   ,,
Sophie,,
Sparky,,
Staun,,
SUHNA     ,,
TABU      ,,
Taffy,,
TAMBLO    ,,
TANG      ,,
Tanya,,
Tasha,,
Tina,,
TOHBI     ,,
Totoni,,
TULIK     ,,
Tuppence,,
URSULA    ,,
Xena,,
ZIPPY     ,,
ZOE       ,,
