"monkey, photo id",A,B,C,D,E,F,G,
Bart6595,"1192, 1096","1214, 1866","1064, 1148","1320, 1138","878, 1204","1540, 1182","1176, 1576",
Cecil6952,"2224, 967","2211, 1293","2138, 982","2297, 989","2052, 1011","2383, 1020","2215, 1201",
CrabApple6584,"1695, 1104","1560, 2544","1314, 1152","1905, 1215","960, 1236","2217, 1314","1614, 2322",
Estrella6886,"2262, 938","2252, 2210","2040,  1030","2442, 1096","1722, 1108","2738, 1160","2256, 1658",
Estrella6887,"1756, 867","1699, 1518","1602, 890","1880, 965","1443, 928","2066, 1003","1706, 1318",
Estrella6888,"1684, 1002","1574, 1644","1524, 1032","1804, 1110","1382, 1063","2007, 1140","1569, 1446",
Hayden6903,"1951, 1061","1939, 1536","1844, 1084","2040, 1097","1680, 1130","2168, 1146","1957, 1415",
Hazel7001,"1992, 920","1956, 1474","1888, 948","2122, 966","1700, 990","2266, 1016","1970, 1302",
Kwik6574,"1716, 693","1716, 1191","1596, 752","1827, 753","1429, 809","1981, 804","1719, 1041",
Kyra6521,"1683, 913","1788, 2953","1232, 1117","2211, 1078","786, 1304","2717, 1193","1749, 2618",cropped on side
Maggie6599,"1108, 1190","1042, 1734","1008, 1206","1230, 1234","862, 1236","1388, 1280","1040, 1576",
Obscure6832,"1980, 720","2091, 2027","1647, 918","2298, 876","1269, 1077","2670, 984","2094, 1788",
Sherri6548,"1590, 352","1325, 2497","1155, 660","1969, 759","677, 830","2354, 974","1408, 2101",
SourPatch6894,"1704, 670","1782, 1462","1530, 696","1902, 670","1320, 778","2166, 684","1742, 1246",
Springfield6518,"1298, 1314","1268, 1872","1180, 1328","1410, 1346","1012, 1376","1566, 1394","1278, 1692",
Squishy6538,"1200, 1134","1239, 1929","1038, 1176","1389, 1182","840, 1227","1662, 1236","1191, 1737",
Topher6880,"1873, 849","1716, 1337","1768, 831","1967, 910","1625, 817","2097, 993","1769, 1167",
Topher6884,"1909, 1059","1791, 1551","1808, 1029","2016, 1083","1656, 1011","2164, 1137","1824, 1382",
Viecht6839,"1662, 1194","1656, 1610","1571, 1207","1757, 1212","1455, 1245","1860, 1248","1675, 1485",
Vermouth6733,"1842, 1038","1842, 1624","1722, 1085","1954, 1100","1564, 1131","2134, 1152","1839, 1410",
