location,ID,Folder,Image_name,Repeat measure?,Year taken,DOB,Age at photo,Sex,width,height,fHWR,Notes,A,B,C,D,E,F,G,lower.face,face.height,lffh
Edinburgh,Cindy,Edinburgh New,Cindy P1040453.tem,N,2009,01/01/1964,45,0,285,214,1.331775701,,"1365, 1101","1296, 1462",,,,,,84.89994111,327.4160198,0.259302954
Edinburgh,Cindy,Edinburgh New,Cindy P1120886.tem,N,2010,01/01/1964,46,0,504,317,1.589905363,,"833, 736","834, 1268",,,,,,150.0833102,525.023809,0.285860008
Edinburgh,Cindy,Edinburgh New,Cindy May 2011RT.tem,N,2011,01/01/1964,47,0,716,526,1.36121673,,"651, 474","657,  1320",,,,,,233.4202219,838.0005967,0.278544219
Edinburgh,Cindy,Edinburgh New,Cindy May 2012RT.tem,N,2012,01/01/1964,48,0,666,450,1.48,,"453, 432","522, 1119",,,,,,144.9310181,671.7804701,0.215741637
Edinburgh,Cindy,Edinburgh New,Cindy Feb 2013RT.tem,N,2013,01/01/1964,49,0,622,404,1.53960396,,"537, 324","504, 1005",,,,,,189.066126,650.6027974,0.290601465
Edinburgh,Cindy,Edinburgh New,Cindy Sept2013JN.tem,N,2013,01/01/1964,49,0,395,243,1.625514403,,"1198, 612","1240, 1064",,,,,,141.5980226,431.4220671,0.328212285
Edinburgh,David,Edinburgh New,David P1010077.tem,N,2008,02/03/1975,33,1,375,227,1.651982379,,"1529, 540","1579, 895","1459, 593","1599, 567","1389, 610","1665, 564","1562, 810",86.68333173,358.5038354,0.241791923
Edinburgh,David,Edinburgh New,David.tem,Y,2010,02/03/1975,35,1,164,107,1.53271028,,"133, 105","147, 272",,,,,,39.02166065,163.3184925,0.238929836
Edinburgh,David,Edinburgh New,Edinburgh - David 3.tem,Y,2010,02/03/1975,35,1,374,243,1.53909465,,"2206, 540","2234, 924",,,,,,89.00842657,376.7774542,0.236236074
Edinburgh,David,Edinburgh New,David May2012RT.tem,N,2012,02/03/1975,37,1,919,568,1.617957746,,"664, 620","680, 1576",,,,,,215.2812114,872.4820915,0.246745708
Edinburgh,David,Edinburgh New,David P1020273.tem,N,2012,02/03/1975,37,1,327,172,1.901162791,,"1200, 1780","1300, 2102",,,,,,120.2601347,330.4636894,0.363913309
Edinburgh,David,Vanessa photos 27.11.13,David,N,2013,02/03/1975,38,1,649,335,1.937313433,,"972, 465","1167, 1125",,,,,,233.6236289,664.8308055,0.351403134
Edinburgh,Edith,Edinburgh New,Holland - Edith 1.JPG,N,2010,11/04/1996,14,0,519,323,1.606811146,,"1922, 598","1900, 1178","1798, 638","2022, 654","1722, 622","2096, 682","1898, 1008",170.0117643,580.4170914,0.292913091
Edinburgh,Edith,Edinburgh New,Holland - Paul (left) and Edith (right).JPG,N,2010,11/04/1996,14,0,273,163,1.674846626,,"2311, 217","2327, 500","2255, 246","2370, 242","2203, 257","2421, 253","2320, 422",78.31347266,283.451936,0.27628484
Edinburgh,Edith,Edinburgh New,EdithApril2011.jpg,N,2011,11/04/1996,15,0,93,61,1.524590164,,"281, 135","270, 241",,,,,,29.93927187,105.0205694,0.285080076
Edinburgh,Edith,Vanessa photos 27.11.13 -Edith,2013-11-27 15.06.59.jpg,N,2013,11/04/1996,17,0,507,257,1.972762646,,"1515, 546","1650, 1110",,,,,,240.1020616,586.586737,0.409320645
Edinburgh,Edith,Vanessa photos 27.11.13 -Edith,2013-11-27 15.10.56.jpg,N,2013,11/04/1996,17,0,N/A,N/A,N/A,,X,,,,,,,NA,NA,NA
Edinburgh,Edith,Vanessa photos 27.11.13 -Edith,2013-11-27 15.11.46-1.jpg,N,2013,11/04/1996,17,0,N/A,N/A,N/A,,X,,,,,,,NA,NA,NA
Edinburgh,Edith,Vanessa photos 27.11.13 -Edith,2013-11-27 15.11.46-2.jpg,N,2013,11/04/1996,17,0,N/A,N/A,N/A,,X,,,,,,,NA,NA,NA
Edinburgh,Edith,Vanessa photos 27.11.13 -Edith,2013-11-27 15.12.02-1.jpg,N,2013,11/04/1996,17,0,765,432,1.770833333,,"1058, 354","1088, 1260","924, 462","1240, 466","742, 518","1422, 512","1068, 926",334.5982666,906.4965527,0.369111461
Edinburgh,Edith,Vanessa photos 27.11.13 -Edith,2013-11-27 15.12.02-2.jpg,N,2013,11/04/1996,17,0,763,440,1.734090909,,"1074, 405","1089, 1263",,,,,,293.7839342,855.0368413,0.343592135
Edinburgh,Edith,Vanessa photos 27.11.13 -Edith,2013-11-27 15.12.02-3.jpg,N,2013,11/04/1996,17,0,755,441,1.712018141,,X,,,,,,,NA,NA,NA
Edinburgh,Edith,Vanessa photos 27.11.13 -Edith,2013-11-27 15.12.03.jpg,N,2013,11/04/1996,17,0,765,402,1.902985075,,"1137, 288","1128, 1179",,,,,,356.2751745,888.2978104,0.401076272
Edinburgh,Edith,Vanessa photos 27.11.13 -Edith,2013-11-27 15.12.04.jpg,N,2013,11/04/1996,17,0,799,416,1.920673077,,X,,,,,,,NA,877.415523,NA
