Rhesus,Date Day,Date Month,Date Year,Dob day,Dob month,Dob year,Sex,Dominance status,Nursey
GR937762,4,5,2016,5,5,2005,M,11.252778,x
FL832845,4,5,2016,7,4,2001,F,9.38464,
KR679263,4,5,2016,2,7,2013,M,4.432547,
FW226838,4,5,2016,4,5,2001,F,7.461808,
WB866370,4,5,2016,9,8,2001,F,3.912798,x
RN646928,4,5,2016,4,4,2008,F,6.091493,
FC945755,4,5,2016,4,9,2001,F,5.504216,x
JB407258,4,5,2016,30,4,2013,F,5.448673,
XT163656,4,5,2016,4,6,2013,F,6.514765,
EQ343855,4,5,2016,24,4,2010,F,7.227349,x
EE297164,4,5,2016,16,5,2010,F,6.853372,
NM268979,4,5,2016,21,5,2015,F,5.104409,
OQ814451,4,5,2016,15,4,2003,F,9.573222,x
OT229421,4,5,2016,11,5,2005,F,4.614323,x
AW318767,4,5,2016,16,5,2005,F,3.989524,x
JZ968874,4,5,2016,9,4,2010,F,10.235571,
SO354996,4,5,2016,2,5,2005,F,5.882063,x
DA731191,4,5,2016,19,4,2011,F,6.404561,
TX323478,4,5,2016,7,3,2001,F,7.854415,
HD776594,4,5,2016,10,5,2013,F,8.013641,
MK955933,4,5,2016,18,5,2008,F,8.596999,
SO254787,4,5,2016,10,4,2002,F,8.846305,
KD597894,4,5,2016,27,3,2011,M,4.7686,
OZ411129,4,5,2016,22,4,2013,M,9.232391,
WN662952,4,5,2016,21,5,2013,F,7.519775,
CM365266,4,5,2016,3,4,2000,F,6.85627,x
SR603268,4,5,2016,2,4,2013,M,7.538604,
BT907059,4,5,2016,9,5,2005,F,7.437037,x
KB618623,4,5,2016,12,5,2005,F,5.731468,x
TY477886,4,5,2016,12,5,2005,F,4.944372,x
FD708784,4,5,2016,10,7,2013,M,3.38058,
KH988531,4,5,2016,6,6,2013,F,8.813291,
OM474365,4,5,2016,8,5,2005,F,5.827039,x
ZL607999,4,5,2016,11,3,2008,M,8.895006,
GP692024,4,5,2016,1,5,2009,F,7.187442,
MP193564,4,5,2016,11,5,2005,F,8.730456,x
KD912085,4,5,2016,18,6,2013,M,7.400833,
UC666576,4,5,2016,31,3,2011,F,6.567234,
US292134,4,5,2016,10,5,2015,M,5.256288,
GT684998,4,5,2016,18,4,1995,M,6.771182,
WU691823,4,5,2016,13,4,2009,M,8.205188,
NU135354,4,5,2016,20,4,2013,F,10.479828,
YA844190,4,5,2016,14,5,2010,M,4.725687,
GM527322,4,5,2016,9,5,2010,M,3.531957,
