Rhesus,Date Day,Date Month,Date Year,Dob day,Dob month,Dob year,Sex,Dominance status,Facility,Nursey
GR937762,4,5,2016,5,5,2005,M,11.252778,ZX6012,x
FL832845,4,5,2016,7,4,2001,F,9.38464,ZX6012,
KR679263,4,5,2016,2,7,2013,M,4.432547,ZX6012,
FW226838,4,5,2016,4,5,2001,F,7.461808,ZX6012,
WB866370,4,5,2016,9,8,2001,F,3.912798,ZX6012,x
RN646928,4,5,2016,4,4,2008,F,6.091493,ZX6012,
FC945755,4,5,2016,4,9,2001,F,5.504216,ZX6012,x
JB407258,4,5,2016,30,4,2013,F,5.448673,ZX6012,
XT163656,4,5,2016,4,6,2013,F,6.514765,ZX6012,
EQ343855,4,5,2016,24,4,2010,F,7.227349,ZX6012,x
EE297164,4,5,2016,16,5,2010,F,6.853372,ZX6012,
NM268979,4,5,2016,21,5,2015,F,5.104409,ZX6012,
OQ814451,4,5,2016,15,4,2003,F,9.573222,ZX6012,x
OT229421,4,5,2016,11,5,2005,F,4.614323,ZX6012,x
AW318767,4,5,2016,16,5,2005,F,3.989524,ZX6012,x
JZ968874,4,5,2016,9,4,2010,F,10.235571,ZX6012,
SO354996,4,5,2016,2,5,2005,F,5.882063,ZX6012,x
DA731191,4,5,2016,19,4,2011,F,6.404561,ZX6012,
TX323478,4,5,2016,7,3,2001,F,7.854415,ZX6012,
HD776594,4,5,2016,10,5,2013,F,8.013641,ZX6012,
MK955933,4,5,2016,18,5,2008,F,8.596999,ZX6012,
SO254787,4,5,2016,10,4,2002,F,8.846305,ZX6012,
KD597894,4,5,2016,27,3,2011,M,4.7686,ZX6012,
OZ411129,4,5,2016,22,4,2013,M,9.232391,ZX6012,
WN662952,4,5,2016,21,5,2013,F,7.519775,ZX6012,
CM365266,4,5,2016,3,4,2000,F,6.85627,ZX6012,x
SR603268,4,5,2016,2,4,2013,M,7.538604,ZX6012,
BT907059,4,5,2016,9,5,2005,F,7.437037,ZX6012,x
KB618623,4,5,2016,12,5,2005,F,5.731468,ZX6012,x
TY477886,4,5,2016,12,5,2005,F,4.944372,ZX6012,x
FD708784,4,5,2016,10,7,2013,M,3.38058,ZX6012,
KH988531,4,5,2016,6,6,2013,F,8.813291,ZX6012,
OM474365,4,5,2016,8,5,2005,F,5.827039,ZX6012,x
ZL607999,4,5,2016,11,3,2008,M,8.895006,ZX6012,
GP692024,4,5,2016,1,5,2009,F,7.187442,ZX6012,
MP193564,4,5,2016,11,5,2005,F,8.730456,ZX6012,x
KD912085,4,5,2016,18,6,2013,M,7.400833,ZX6012,
UC666576,4,5,2016,31,3,2011,F,6.567234,ZX6012,
US292134,4,5,2016,10,5,2015,M,5.256288,ZX6012,
GT684998,4,5,2016,18,4,1995,M,6.771182,ZX6012,
WU691823,4,5,2016,13,4,2009,M,8.205188,ZX6012,
NU135354,4,5,2016,20,4,2013,F,10.479828,ZX6012,
