Animal,Rater,Date,Facility,Fearful,Dominant,Cautious,Curious,Innovative,Bullying,Submissive,Cool,Quitting,Erratic,Anxious,Socially withdrawn,Stable,Autistic,Thoughtless,Stingy.Greedy,Jealous,Individualistic,Reckless,Sociable,Distractible,Timid,Sympathetic,Playful,Solitary,Vulnerable,Active,Helpful,Aggressive,Manipulative,Gentle,Affectionate,Excitable,Impulsive,Inquisitive,Dependent.Follower,Irritable,Unperceptive,Predictable,Decisive,Conventional,Sensitive,Defiant,Intelligent,Protective,Inventive,Clumsy,Friendly,Lazy,Disorganized,Unemotional,Imitative,Independent,Persistent
GR937762,KB1,04/05/2016,ZX6012,3,6,2,7,1,6,2,1,2,5,2,2,5,1,5,6,5,7,6,3,6,1,2,6,3,1,3,2,6,4,2,4,7,7,7,2,5,4,2,5,2,2,2,4,5,4,1,5,5,4,2,2,6,4
GR937762,CF2,04/05/2016,ZX6012,3,6,3,3,3,5,2,2,6,5,5,4,2,6,3,5,5,5,5,3,6,3,4,5,5,3,4,3,4,4,3,3,6,6,3,2,5,4,3,5,3,4,5,4,5,3,5,3,4,3,2,3,6,5
FL832845,KB1,04/05/2016,ZX6012,1,7,1,4,4,6,1,6,4,1,1,4,5,1,5,7,4,6,5,5,2,1,1,1,4,1,4,1,5,7,2,3,1,1,2,1,6,4,7,7,6,4,2,5,2,2,1,3,6,2,5,2,7,6
FL832845,CF2,04/05/2016,ZX6012,2,7,2,4,4,6,1,4,4,4,2,3,4,1,2,6,6,4,6,3,4,2,3,1,5,1,4,2,6,5,2,3,4,5,4,2,6,4,4,6,4,4,6,4,5,4,1,3,4,2,4,4,6,6
FD708784,KB1,04/05/2016,ZX6012,5,2,6,2,1,1,6,3,6,2,7,4,4,2,2,1,1,2,1,4,2,6,5,3,5,5,2,4,1,2,6,5,3,2,2,6,1,3,5,2,5,5,1,4,1,1,5,6,2,4,4,4,2,1
FD708784,CF2,04/05/2016,ZX6012,5,2,5,4,4,2,6,5,4,3,4,3,5,1,4,2,3,3,3,3,4,5,4,5,5,4,4,5,2,3,6,3,3,3,4,5,2,4,5,3,5,4,2,4,3,4,2,3,4,4,5,4,3,2
KR679263,KB1,04/05/2016,ZX6012,3,2,5,4,5,2,5,4,5,5,5,3,4,3,3,3,4,4,4,5,6,5,6,6,3,5,6,5,2,5,5,5,5,4,5,6,3,3,4,4,4,6,2,5,5,5,5,6,2,5,4,5,4,3
KR679263,CF2,04/05/2016,ZX6012,4,3,4,4,3,3,5,4,4,4,3,3,4,1,4,4,3,4,4,5,4,4,4,5,3,3,4,4,3,4,5,5,4,4,4,5,3,4,4,4,4,4,4,4,4,3,2,5,4,4,4,5,3,4
FW226838,KB1,04/05/2016,ZX6012,2,7,2,5,2,5,1,6,2,1,1,5,6,2,2,6,5,4,1,3,2,1,3,4,5,1,2,3,5,6,2,3,2,2,4,2,6,5,6,7,7,4,2,6,3,4,2,4,6,1,6,1,7,5
FW226838,CF2,04/05/2016,ZX6012,2,7,2,2,3,5,1,6,2,3,2,2,6,1,3,5,5,4,5,3,2,2,3,2,5,2,3,3,4,4,3,3,2,3,2,2,4,4,5,5,5,4,5,4,4,3,4,3,5,3,6,3,6,5
