ID,DOB Day,DOB Month,DOB Year,Ob Day,Ob Month,Ob Year,Sex,Dominance status
CC247311,5,5,2010,4,5,2014,F,6.939206
EX901937,13,4,2011,3,7,2014,F,7.226865
AQ261036,21,4,2010,4,5,2014,M,7.743175
ZU237372,2,8,2010,20,6,2014,M,5.013672
MT847018,24,3,2011,3,7,2014,M,4.272411
HT369149,24,3,2010,4,5,2014,M,7.251111
AF986386,2,3,2011,20,6,2014,M,5.39816
WN712323,1,11,2006,20,6,2014,M,7.984848
ST975353,28,9,2011,4,5,2014,M,6.216349
XT321236,1,4,2011,3,7,2014,M,2.924444
HD733323,18,3,2011,4,5,2014,M,8.791389
XC973450,1,4,2011,4,5,2014,F,5.901944
HR319820,18,5,2009,20,6,2014,M,6.709524
MP333192,12,3,2011,4,5,2014,M,5.619762
JR216141,1,4,2011,4,5,2014,F,5.394444
BF788277,22,8,2011,6,4,2014,M,6.936667
YW478641,18,7,2010,20,6,2014,M,7.750505
PS927367,4,4,2010,20,6,2014,M,2.57619
QC535312,5,5,2010,3,7,2014,F,5.103016
KY472369,28,9,2011,4,5,2014,F,7.070278
TC311114,24,3,2010,4,5,2014,M,7.126389
AE664810,14,6,2012,3,7,2014,F,7.560813
FP128397,15,4,2012,4,5,2014,F,4.97754
EA955373,2,3,2011,3,7,2014,M,4.490688
FA616516,13,2,2011,20,6,2014,M,4.845671
YV313128,7,4,2010,4,5,2014,M,7.098373
LE597180,24,3,2010,3,7,2014,M,8.971923
DK867233,24,3,2010,3,7,2014,M,8.114514
LR477814,4,5,2010,3,7,2014,F,11.055952
PD711075,21,4,2010,4,5,2014,F,9.119444
DC961667,19,4,2010,20,6,2014,M,4.468759
DW494999,10,3,2010,4,5,2014,M,8.813929
CD267893,1,4,2011,3,7,2014,F,5.558397
XM666658,24,3,2010,3,7,2014,M,9.201296
KD584564,3,4,2011,3,7,2014,F,7.659733
HR908721,13,2,2011,20,6,2014,M,2.409071
QS303048,4,4,2010,20,6,2014,M,4.69798
OH739364,13,3,2011,16,6,2014,M,5.795234
GH361455,28,3,2010,20,6,2014,M,3.145619
PB777214,21,4,2010,3,7,2014,M,10.693913
SY662659,20,3,2011,16,6,2014,M,6.3708
BE511696,1,5,2003,30,9,2014,Female,
XR275555,1,4,2003,30,9,2014,Male,
IB616337,1,6,2003,30,9,2014,Female,
GX358062,1,3,2003,30,9,2014,Female,
BT662786,15,4,2003,30,9,2014,Female,
CL863218,1,2,2003,30,9,2014,Female,
XW864733,1,2,2003,30,9,2014,Female,
BW727532,15,12,2006,30,9,2014,Female,
XB206713,15,4,2007,30,9,2014,Female,
ZA269132,1,4,2007,30,9,2014,Female,
XO265798,1,4,2007,30,9,2014,Female,
IN294525,15,5,2007,30,9,2014,Female,
IB117312,1,7,2007,30,9,2014,Female,
VE565635,27,8,2007,30,9,2014,Female,
PU287487,3,7,2008,30,9,2014,Female,
FR738812,15,3,2008,30,9,2014,Female,
VN248945,25,3,2005,30,9,2014,Male,
CK466436,3,4,2008,30,9,2014,Male,
IH262719,14,3,2011,30,9,2014,Male,
WX215574,25,2,2010,30,9,2014,Female,
RX566569,4,7,2011,30,9,2014,Female,
UD298756,7,6,2011,30,9,2014,Female,
EY496574,12,7,2011,30,9,2014,Female,
RW184092,25,7,2011,30,9,2014,Male,
