Animal,Rater,Date,Facility,Fearful,Dominant,Persistent,Cautious,Stable,Autistic,Curious,Thoughtless,Stingy.Greedy,Jealous,Individualistic,Reckless,Sociable,Distractible,Timid,Sympathetic,Playful,Solitary,Vulnerable,Innovative,Active,Helpful,Bullying,Aggressive,Manipulative,Gentle,Affectionate,Excitable,Impulsive,Inquisitive,Submissive,Cool,Dependent.Follower,Irritable,Unperceptive,Predictable,Decisive,Depressed,Conventional,Sensitive,Defiant,Intelligent,Protective,Quitting,Inventive,Clumsy,Erratic,Friendly,Anxious,Lazy,Disorganized,Unemotional,Imitative,Independent
GR937762,KB1,04/05/2016,ZX6012,3,6,4,2,5,1,7,5,6,5,7,6,3,6,1,2,6,3,1,1,3,2,6,6,4,2,4,7,7,7,2,1,2,5,4,2,5,2,2,2,2,4,5,2,4,1,5,5,2,5,4,2,2,6
GR937762,CF2,04/05/2016,ZX6012,3,6,5,3,2,6,3,3,5,5,5,5,3,6,3,4,5,5,3,3,4,3,5,4,4,3,3,6,6,3,2,2,2,5,4,3,5,4,3,4,5,4,5,6,3,5,5,3,5,4,3,2,3,6
FL832845,KB1,04/05/2016,ZX6012,1,7,6,1,5,1,4,5,7,4,6,5,5,2,1,1,1,4,1,4,4,1,6,5,7,2,3,1,1,2,1,6,1,6,4,7,7,4,6,4,2,5,2,4,2,1,1,3,1,6,2,5,2,7
FL832845,CF2,04/05/2016,ZX6012,2,7,6,2,4,1,4,2,6,6,4,6,3,4,2,3,1,5,1,4,4,2,6,6,5,2,3,4,5,4,1,4,2,6,4,4,6,3,4,4,6,4,5,4,4,1,4,3,2,4,2,4,4,6
FD708784,KB1,04/05/2016,ZX6012,5,2,1,6,4,2,2,2,1,1,2,1,4,2,6,5,3,5,5,1,2,4,1,1,2,6,5,3,2,2,6,3,6,1,3,5,2,4,5,5,1,4,1,6,1,5,2,6,7,2,4,4,4,2
FD708784,CF2,04/05/2016,ZX6012,5,2,2,5,5,1,4,4,2,3,3,3,3,4,5,4,5,5,4,4,4,5,2,2,3,6,3,3,3,4,6,5,5,2,4,5,3,3,5,4,2,4,3,4,4,2,3,3,4,4,4,5,4,3
KR679263,KB1,04/05/2016,ZX6012,3,2,3,5,4,3,4,3,3,4,4,4,5,6,5,6,6,3,5,5,6,5,2,2,5,5,5,5,4,5,5,4,6,3,3,4,4,3,4,6,2,5,5,5,5,5,5,6,5,2,5,4,5,4
KR679263,CF2,04/05/2016,ZX6012,4,3,4,4,4,1,4,4,4,3,4,4,5,4,4,4,5,3,3,3,4,4,3,3,4,5,5,4,4,4,5,4,5,3,4,4,4,3,4,4,4,4,4,4,3,2,4,5,3,4,4,4,5,3
FW226838,KB1,04/05/2016,ZX6012,2,7,5,2,6,2,5,2,6,5,4,1,3,2,1,3,4,5,1,2,2,3,5,5,6,2,3,2,2,4,1,6,2,6,5,6,7,5,7,4,2,6,3,2,4,2,1,4,1,6,1,6,1,7
FW226838,CF2,04/05/2016,ZX6012,2,7,5,2,6,1,2,3,5,5,4,5,3,2,2,3,2,5,2,3,3,3,5,4,4,3,3,2,3,2,1,6,2,4,4,5,5,2,5,4,5,4,4,2,3,4,3,3,2,5,3,6,3,6
