"","fWHR","LFFH","Dominance.status","Age","Age2","Age3","Short.con","Short.opn","Short.dom","Short.anx","Confidence","Openness","Dominance","Friendliness","Activity","Anxiety"
"fWHR",1,0.114397578469435,-0.021039713433889,-0.0817889128609191,-0.0817889128609191,-0.0817889128609191,-0.0384835190028448,0.0539568196845286,-0.00648486766186422,0.114159632213968,-0.0308996604054466,0.0955128077298748,-0.0227757308081736,0.16373752835756,-0.0569472720058942,0.0466877265069325
"LFFH",0.114397578469435,1,-0.0391829576610121,-0.0382133539221876,-0.0382133539221876,-0.0382133539221876,0.052793756832389,0.101294641440663,0.084812195528044,0.00267247204092398,0.218721671941168,0.286510576889995,0.150381078355679,0.380371870627635,0.067891173178665,-0.125755650429963
"Dominance.status",-0.021039713433889,-0.0391829576610121,1,0.251258647053355,0.251258647053355,0.251258647053355,0.755826640111486,0.583264728442709,0.776281657228753,-0.494212105068646,0.713441941906746,0.514189224262972,0.814752704968873,0.306126516264895,0.452603896218641,0.000713563717892642
"Age",-0.0817889128609191,-0.0382133539221876,0.251258647053355,1,1,1,0.345664209454479,-0.0790525887543272,0.406863100702957,-0.287948851859835,0.462855774482945,-0.257152058306606,0.18586754267074,0.419310739607743,-0.478797846959287,-0.456473615791257
"Age2",-0.0817889128609191,-0.0382133539221876,0.251258647053355,1,1,1,0.345664209454479,-0.0790525887543272,0.406863100702957,-0.287948851859835,0.462855774482945,-0.257152058306606,0.18586754267074,0.419310739607743,-0.478797846959287,-0.456473615791257
"Age3",-0.0817889128609191,-0.0382133539221876,0.251258647053355,1,1,1,0.345664209454479,-0.0790525887543272,0.406863100702957,-0.287948851859835,0.462855774482945,-0.257152058306606,0.18586754267074,0.419310739607743,-0.478797846959287,-0.456473615791257
"Short.con",-0.0384835190028448,0.052793756832389,0.755826640111486,0.345664209454479,0.345664209454479,0.345664209454479,1,0.6715882963595,0.880726369957483,-0.549485088786421,0.971869873414532,0.361825928383023,0.771555085232946,0.564151891669434,0.190011610933103,-0.372049585814422
"Short.opn",0.0539568196845286,0.101294641440663,0.583264728442709,-0.0790525887543272,-0.0790525887543272,-0.0790525887543272,0.6715882963595,1,0.590770429107322,-0.225142433855271,0.45016382553992,0.934647791077693,0.598156578987058,0.273284733421938,0.647730471037886,0.251731681688102
"Short.dom",-0.00648486766186422,0.084812195528044,0.776281657228753,0.406863100702957,0.406863100702957,0.406863100702957,0.880726369957483,0.590770429107322,1,-0.359410976048045,0.854639018661388,0.416992859598478,0.927813688139407,0.35406281045033,0.315711280250999,-0.11852379873289
"Short.anx",0.114159632213968,0.00267247204092398,-0.494212105068646,-0.287948851859835,-0.287948851859835,-0.287948851859835,-0.549485088786421,-0.225142433855271,-0.359410976048045,1,-0.673348055664692,0.2512498080137,-0.0717625788711788,-0.748161528374766,0.397532193010991,0.919142771494748
"Confidence",-0.0308996604054466,0.218721671941168,0.713441941906746,0.462855774482945,0.462855774482945,0.462855774482945,0.971869873414532,0.45016382553992,0.854639018661388,-0.673348055664692,1,0.276061078225285,0.698593412815224,0.655740961509096,0.0378651179881766,-0.512541115371802
"Openness",0.0955128077298748,0.286510576889995,0.514189224262972,-0.257152058306606,-0.257152058306606,-0.257152058306606,0.361825928383023,0.934647791077693,0.416992859598478,0.2512498080137,0.276061078225285,1,0.600128702242304,0.166394476981458,0.793022214848655,0.462862174740073
"Dominance",-0.0227757308081736,0.150381078355679,0.814752704968873,0.18586754267074,0.18586754267074,0.18586754267074,0.771555085232946,0.598156578987058,0.927813688139407,-0.0717625788711788,0.698593412815224,0.600128702242304,1,0.171708748583541,0.546074941493157,0.193628967577836
"Friendliness",0.16373752835756,0.380371870627635,0.306126516264895,0.419310739607743,0.419310739607743,0.419310739607743,0.564151891669434,0.273284733421938,0.35406281045033,-0.748161528374766,0.655740961509096,0.166394476981458,0.171708748583541,1,-0.211277320257347,-0.65907530191359
"Activity",-0.0569472720058942,0.067891173178665,0.452603896218641,-0.478797846959287,-0.478797846959287,-0.478797846959287,0.190011610933103,0.647730471037886,0.315711280250999,0.397532193010991,0.0378651179881766,0.793022214848655,0.546074941493157,-0.211277320257347,1,0.658049373160379
"Anxiety",0.0466877265069325,-0.125755650429963,0.000713563717892642,-0.456473615791257,-0.456473615791257,-0.456473615791257,-0.372049585814422,0.251731681688102,-0.11852379873289,0.919142771494748,-0.512541115371802,0.462862174740073,0.193628967577836,-0.65907530191359,0.658049373160379,1
