monkey,A,B,C,D,E,F,G,,a,b,c,d,e,f,g,,,,,,,,,,,,,,,,
BJ05023,"1013, 542","991, 990","913, 584","1109, 595","773, 616","1212, 641","992, 875",,"1007, 545","984, 986","906, 596","1107, 586","739, 610","1204, 642","986, 884",,"1013, 542","991, 990","913, 584","1109, 595","773, 616","1212, 641","992, 875",,,,,,,,
Dougal05056,"1004, 831","999, 1563","846, 852","1180, 860","648, 917","1368, 930","998, 1370",,"1005, 844","991, 1554","843, 853","1174, 862","666, 939","1345, 946","997, 1389",,"1004, 831","999, 1563","846, 852","1180, 860","648, 917","1368, 930","998, 1370",,,,,,,,
Bobby05228,"852.5, 757.5","850, 1151","776, 795","937.5, 789","672.5, 831","1037.5, 824","850, 1025",,"850, 761","848, 1148","776, 797","930, 789","680, 840","1014, 835","848, 1041",,"852.5, 757.5","850, 1151","776, 795","937.5, 789","672.5, 831","1037.5, 824","850, 1025",,,,,,,,
Ramsay05178,"1862, 716","1868, 1376","1720, 768","1984, 784","1540, 862","2142, 870","1880, 1170",,"1129, 553","1149, 1176","991, 583","1257, 591","838, 655","1387, 670","1158, 978",,"1128, 531","1153, 1184","995, 584","1260, 590","865, 587","1376, 591","1160, 1017",,,,,,,,
Bart6595,"1192, 1096","1214, 1866","1064, 1148","1320, 1138","878, 1204","1540, 1182","1176, 1576",,"1204, 1208","1224, 1936","1082, 1266","1342, 1254","912, 1336","1532, 1302","1200, 1664",,"1192, 1096","1214, 1866","1064, 1148","1320, 1138","878, 1204","1540, 1182","1176, 1576",,,,,,,,
Cecil6952,"2224, 967","2211, 1293","2138, 982","2297, 989","2052, 1011","2383, 1020","2215, 1201",,"2222.9, 972.9","2207.1, 1290","2140, 980","2292.9, 990","2061.4, 1011.4","2368.6, 1020","2214.3, 1200",,"2224, 967","2211, 1293","2138, 982","2297, 989","2052, 1011","2383, 1020","2215, 1201",,,,,,,,
CrabApple6584,"1695, 1104","1560, 2544","1314, 1152","1905, 1215","960, 1236","2217, 1314","1614, 2322",,"1650, 1122","1540, 2563","1309, 1160.5","1886.5, 1215.5","924, 1243","2189, 1320","1600.5, 2216.5",,"1695, 1104","1560, 2544","1314, 1152","1905, 1215","960, 1236","2217, 1314","1614, 2322",,,,,,,,
Estrella6886,"2262, 938","2252, 2210","2040,  1030","2442, 1096","1722, 1108","2738, 1160","2256, 1658",,"2253, 954","2247, 1986","2025, 1032","2445, 1092","1671, 1015","2739, 1149","2241, 1641",,"2262, 938","2252, 2210","2040,  1030","2442, 1096","1722, 1108","2738, 1160","2256, 1658",,,,,,,,
Estrella6887,"1756, 867","1699, 1518","1602, 890","1880, 965","1443, 928","2066, 1003","1706, 1318",,"1764, 871","1680, 1504","1608, 894","1879, 964","1420, 921","2073, 1009","1705, 1306",,"1756, 867","1699, 1518","1602, 890","1880, 965","1443, 928","2066, 1003","1706, 1318",,"307, 150","297, 264","283, 159","327, 169","248, 167","364, 183","297, 232"
