Name,Subspecies,DOB,Birthsite,Field ,GAIN ID
Gigi,troglodytes,01/01/1962,Wildborn,,
Pierre,troglodytes,01/01/1962,Wildborn,,
Perry,troglodytes,01/01/1963,Wildborn,,
Polly,troglodytes,01/01/1963,Wildborn,,
Phoda,troglodytes,01/01/1963,Wildborn,,
Ursula,troglodytes,01/01/1964,Wildborn,,
Mae       ,troglodytes,01/01/1965,Wildborn,,
Mary,troglodytes,01/01/1965,Wildborn,,
Abbey     ,schweinfurthii,01/01/1966,Wildborn,,
Bashful,troglodytes,01/01/1966,Wildborn,,
Helga,troglodytes,01/01/1966,Wildborn,,
Junie,troglodytes,01/01/1966,Wildborn,,
Martha,troglodytes,01/01/1966,Wildborn,,
Bernie,troglodytes,01/01/1967,Wildborn,,
Pepper,troglodytes,01/01/1967,Wildborn,,
Gertrude,troglodytes,01/01/1968,Wildborn,,
Judy,troglodytes,01/01/1968,Wildborn,,
Kelly     ,troglodytes,01/01/1968,Wildborn,,
Prissy,troglodytes,01/01/1968,Wildborn,,
Simon,troglodytes,01/01/1968,Wildborn,,
Tang,verus,01/01/1968,Wildborn,,
Gimp,troglodytes,01/01/1969,Wildborn,,
Patti,troglodytes,01/01/1969,Wildborn,,
Tanya,troglodytes,01/01/1969,Wildborn,,
Chrissy,unknown,12/26/69,captive born,,
Ann,verus,01/01/1970,Wildborn,,
Moose,troglodytes,01/01/1970,Wildborn,,
Gremlin,troglodytes,01/01/1971,Wildborn,,
Jane,troglodytes,01/01/1971,Wildborn,,
Pacer,troglodytes,01/01/1971,Wildborn,,
Quincy,troglodytes,01/01/1971,Wildborn,,
Simba,verus,01/01/1971,Wildborn,,
Tuppence,troglodytes,01/01/1971,Wildborn,,
Zippy,troglodytes,01/01/1971,Wildborn,,
Cordova,troglodytes,01/01/1972,Wildborn,,
Joey,troglodytes,01/01/1972,Wildborn,,
Maynard,troglodytes,01/01/1972,Wildborn,,
Sandy,troglodytes,01/01/1972,Wildborn,,
Betty,troglodytes,09/05/1974,captive born,,
Rosie,troglodytes,12/27/74,captive born,,
Angie,verus,01/01/1975,Wildborn,,
Adonis,troglodytes,02/09/1975,captive born,,
Skeeter,troglodytes,07/12/1977,captive born,,
Ajax,troglodytes,01/01/1978,captive born,,
Bernadette,troglodytes,02/18/78,captive born,,
Lacey     ,troglodytes,04/25/78,captive born,,
Akimel,verus,02/09/1980,captive born,,
Kuhta,unknown,03/11/1980,captive born,,
April,troglodytes,04/30/80,captive born,,
